"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балдинюк
Василь
Михайлович","Болотенюк
Степан
Васильович","Братанюк
Леонід
Євгенович","Власюк
Олександр
Іванович","Вовк
Анатолій
Іванович","Демчак
Андрій
Васильович","Калетнік
Григорій
Миколайович","Квашук
Олександр
Євгенович","Кошиль
Андрій
Григорович","Куровський
Станіслав
Євгенович","Манжуловський
Олександр
Феофанович","Миролюб
Наталія
Анатоліївна","Стамбула
Геннадій
Станіславович","Філонова
Анна
Валентинівна","Чечель
Микола
Йосипович","Якименко
Костянтин
Вячеславович","Дата підписання протоколу"
"050933","18","Вінницька область","школа, каб.1
вул.Травнева, 2, с.Вишнівка, Погребищенський р-н, Вінницька обл., 22215","92","22","90","8","62","8","70","","0","62","8","70","0","70","0","1","0","0","0","1","50","0","0","0","2","1","0","0","0","15","28.10.12"
"050934","18","Вінницька область","сільський клуб, глядацька зала
вул.Кооперативна, 32, с.Смаржинці, Погребищенський р-н, Вінницька обл., 22215","168","54","165","10","106","8","114","","0","106","8","114","2","112","0","1","1","0","0","4","64","1","0","13","0","0","0","2","1","25","29.10.12"
"050935","18","Вінницька область","будинок культури, глядацький зал
вул.Іскри й Кочубея, 34, с.Борщагівка, Погребищенський р-н, Вінницька обл., 22233","352","76","347","29","250","26","276","","0","250","26","276","28","248","1","2","9","1","2","12","108","7","5","9","2","1","0","5","0","84","28.10.12"
"050936","18","Вінницька область","сільський клуб, глядацький зал
вул.Будьонного, 9, с.Скибинці, Погребищенський р-н, Вінницька обл., 22234","164","29","163","17","119","16","135","","0","119","16","135","6","129","0","0","8","1","1","6","64","8","0","2","2","0","0","1","2","34","29.10.12"
"050937","18","Вінницька область","будинок культури, глядацька зала
вул.Центральна, 1А, с.Гопчиця, Погребищенський р-н, Вінницька обл., 22216","1104","501","1093","21","584","19","603","","0","584","19","603","14","589","6","0","23","4","4","27","306","24","5","31","4","3","2","16","2","132","29.10.12"
"050938","18","Вінницька область","будинок культури, фойє
вул.Кооперативна, 5В, с.Дзюньків, Погребищенський р-н, Вінницька обл., 22232","872","343","865","36","497","32","529","","0","497","32","529","19","510","4","4","14","0","2","15","292","16","3","68","3","6","1","9","2","71","29.10.12"
"050939","18","Вінницька область","будинок культури, актова зала
вул.Шкільна, 5, с.Довгалівка, Погребищенський р-н, Вінницька обл., 22236","420","90","415","23","308","22","330","","0","308","22","330","10","320","2","1","8","1","1","5","222","7","2","8","0","4","2","5","0","52","29.10.12"
"050940","18","Вінницька область","будинок культури, фойє
вул.Шкільна, 10, с.Збаржівка, Погребищенський р-н, Вінницька обл., 22235","324","109","317","18","199","16","215","","0","199","16","215","4","211","2","1","5","0","2","9","117","2","2","5","1","1","4","7","0","53","28.10.12"
"050941","18","Вінницька область","сільський клуб, глядацький зал
вул.Центральна, 74, с.Обозівка, Погребищенський р-н, Вінницька обл., 22232","52","9","52","2","41","2","43","","0","41","2","43","1","42","0","0","0","1","0","1","19","2","0","8","0","0","0","1","0","10","28.10.12"
"050942","18","Вінницька область","сільський клуб, к.1
вул.Жовтнева, 9, с.Травневе, Погребищенський р-н, Вінницька обл., 22235","76","26","76","15","37","13","50","","0","37","13","50","0","50","0","0","0","0","0","1","32","0","1","7","0","1","0","2","0","6","29.10.12"
"050943","18","Вінницька область","сільський клуб, глядацька зала
вул.Садова, 20, с.Левківка, Погребищенський р-н, Вінницька обл., 22243","240","75","237","9","156","9","165","","0","156","9","165","5","160","2","0","7","3","2","8","67","3","2","17","1","0","1","1","1","45","29.10.12"
"050944","18","Вінницька область","сільський клуб, глядацька зала
вул.Ювілейна, 22, с.Ординці, Погребищенський р-н, Вінницька обл., 22244","324","110","319","14","200","14","214","","0","200","14","214","9","205","2","1","6","2","3","9","117","6","0","17","3","0","0","2","0","37","29.10.12"
"050945","18","Вінницька область","школа, фойє
вул.Центральна, 61, с.Мончин, Погребищенський р-н, Вінницька обл., 22246","420","94","411","62","265","61","326","","0","265","61","326","1","325","6","2","13","0","3","3","221","5","0","12","2","3","0","3","1","51","29.10.12"
"050946","18","Вінницька область","сільський клуб, фойє
вул.Центральна, 21А, с.Сопин, Погребищенський р-н, Вінницька обл., 22247","288","82","289","37","172","34","206","","0","172","34","206","3","203","1","3","3","2","1","3","87","9","2","30","0","1","1","5","2","53","29.10.12"
"050947","18","Вінницька область","сільська рада, зал засідань
вул.Кооперативна, 1А, с.Морозівка, Погребищенський р-н, Вінницька обл., 22220","452","109","445","32","311","32","343","","0","311","32","343","9","334","2","0","44","14","5","40","2","0","0","212","2","0","4","4","2","3","28.10.12"
"050948","18","Вінницька область","адмінприміщення ФГ ""Бухнівське"", кім. агронома
вул.Кооперативна, 1А, с.Бухни, Погребищенський р-н, Вінницька обл., 22221","352","87","352","31","234","31","265","","0","234","31","265","3","262","2","2","7","1","1","13","121","5","0","24","2","1","1","16","2","64","29.10.12"
"050949","18","Вінницька область","будинок культури, глядацька зала
вул.Садова, 6, с.Новофастів, Погребищенський р-н, Вінницька обл., 22223","628","191","568","49","390","47","437","","0","390","47","437","14","423","1","0","7","0","1","4","278","13","1","6","1","2","0","4","0","105","29.10.12"
"050950","18","Вінницька область","ФАП, оглядовий кабінет
вул.Кооперативна, 6А, с.Бурківці, Погребищенський р-н, Вінницька обл., 22223","52","13","52","4","35","4","39","","0","35","4","39","5","34","0","0","1","0","0","2","15","3","0","0","1","1","1","0","0","10","28.10.12"
"050951","18","Вінницька область","будинок культури, глядацька зала
вул.Центральна, 35А, с.Очеретня, Погребищенський р-н, Вінницька обл., 22253","516","173","515","58","287","56","343","","0","287","56","343","10","333","4","2","14","2","3","8","197","6","0","28","1","0","0","3","1","64","29.10.12"
"050952","18","Вінницька область","сільський клуб, актова зала
вул.Центральна, 62, с.Довжок, Погребищенський р-н, Вінницька обл., 22254","196","68","193","20","108","20","128","","0","108","20","128","4","124","0","0","6","0","1","6","74","5","0","13","1","0","0","4","1","13","28.10.12"
"050953","18","Вінницька область","сільський клуб, глядацька зала
вул.Центральна, 5А, с-ще Погребище Друге, Погребищенський р-н, Вінницька обл., 22254","368","155","359","9","206","7","213","","0","206","7","213","5","208","1","0","3","0","0","3","119","2","0","7","0","0","0","2","1","70","28.10.12"
"050954","18","Вінницька область","будинок культури, актова зала
вул.Першотравнева, 24А, с.Павлівка, Погребищенський р-н, Вінницька обл., 22260","668","240","661","31","398","30","428","","0","398","30","428","14","414","3","1","11","5","1","10","216","15","1","40","4","1","2","6","0","98","29.10.12"
"050955","18","Вінницька область","сільський клуб, фойє
вул.Піщанка, 40, с.Круподеринці, Погребищенський р-н, Вінницька обл., 22203","292","79","283","22","192","21","213","","0","192","21","213","5","208","0","1","3","1","0","1","153","2","0","5","1","1","0","2","0","38","30.10.12"
"050956","18","Вінницька область","будинок культури, глядацька зала
вул.Центральна, 15Б, с.Педоси, Погребищенський р-н, Вінницька обл., 22209","372","92","366","46","239","41","280","","0","239","41","280","3","277","7","2","14","2","2","8","169","3","3","13","1","0","1","3","0","49","29.10.12"
"050957","18","Вінницька область","сільський клуб, глядацька зала
вул.Центральна, 22В, с.Малинки, Погребищенський р-н, Вінницька обл., 22209","236","68","229","23","146","22","168","","0","146","22","168","4","164","0","0","4","1","3","4","110","3","0","3","0","2","2","0","0","32","29.10.12"
"050958","18","Вінницька область","будинок культури, фойє
вул.Броніцького, 13, с.Плисків, Погребищенський р-н, Вінницька обл., 22252","1020","422","1008","63","537","61","598","","0","537","61","598","13","585","2","2","10","4","1","10","348","9","0","58","2","0","1","8","8","122","29.10.12"
"050959","18","Вінницька область","школа, фойє
вул.Інтернаціональна, 92, с.Розкопане, Погребищенський р-н, Вінницька обл., 22263","548","170","526","49","329","49","378","","0","329","49","378","10","368","1","3","5","3","0","4","204","5","1","13","0","1","2","1","1","124","29.10.12"
"050960","18","Вінницька область","будинок культури, фойє
вул.Садова, 40, с.Саражинці, Погребищенський р-н, Вінницька обл., 22230","244","47","238","31","169","28","197","","0","169","28","197","5","192","0","3","6","1","0","7","121","8","0","3","0","0","0","2","0","41","29.10.12"
"050961","18","Вінницька область","сільський клуб, фойє
вул.Травнева, 44, с.Жовтневе, Погребищенський р-н, Вінницька обл., 22230","52","16","51","9","28","8","36","","0","28","8","36","1","35","0","0","1","0","0","0","23","1","0","2","0","0","0","0","0","8","28.10.12"
"050962","18","Вінницька область","сільський клуб, фойє
вул.Тракторна, 19, с.Кур’янці, Погребищенський р-н, Вінницька обл., 22231","176","36","172","18","122","18","140","","0","122","18","140","4","136","1","0","4","0","0","3","78","0","0","5","1","2","2","0","0","40","29.10.12"
"050963","18","Вінницька область","сільський клуб, фойє
вул.Зелена, 56, с.Юнашки, Погребищенський р-н, Вінницька обл., 22230","132","33","130","12","87","12","99","","0","87","12","99","1","98","0","0","3","0","0","1","68","1","0","5","0","1","0","1","0","18","29.10.12"
"050964","18","Вінницька область","сільська рада, зал засідань
вул.Шаляпіна, 1А, с.Сніжна, Погребищенський р-н, Вінницька обл., 22222","400","125","394","31","246","29","275","","0","246","29","275","10","265","3","0","8","1","1","3","179","6","1","17","1","1","1","5","0","38","29.10.12"
"050965","18","Вінницька область","гуртожиток, к.2
вул.Кооперативна, 1А, с.Задорожнє, Погребищенський р-н, Вінницька обл., 22222","56","20","54","3","34","2","36","","0","34","2","36","0","36","0","0","1","2","0","1","26","0","0","2","0","0","0","0","0","4","29.10.12"
"050966","18","Вінницька область","ФАП, оглядовий кабінет
вул.Червоноармійська, 1, с.Озерна, Погребищенський р-н, Вінницька обл., 22222","40","11","37","4","25","4","29","","0","25","4","29","2","27","0","0","0","0","0","0","21","1","0","1","0","0","0","0","0","4","29.10.12"
"050967","18","Вінницька область","будинок культури, фойє
вул.Поштова, 31, с.Спичинці, Погребищенський р-н, Вінницька обл., 22250","280","72","274","31","177","31","208","","0","177","31","208","1","207","3","0","4","1","0","2","141","5","0","13","1","1","0","2","0","34","29.10.12"
"050968","18","Вінницька область","сільський клуб, фойє
вул.Комуністична, 35, с.Васильківці, Погребищенський р-н, Вінницька обл., 22250","80","20","73","17","46","14","60","","0","46","14","60","2","58","0","0","1","0","0","1","32","1","0","7","1","0","0","2","0","13","29.10.12"
"050969","18","Вінницька область","школа, фойє
вул.Комсомольська, 14, с.Станилівка, Погребищенський р-н, Вінницька обл., 22214","348","122","340","23","205","21","226","","0","205","21","226","0","226","0","0","6","1","1","7","143","7","3","4","2","0","1","2","0","49","29.10.12"
"050970","18","Вінницька область","будинок культури, глядацька зала
вул.Леніна, 23, с.Талалаї, Погребищенський р-н, Вінницька обл., 22242","152","25","151","13","114","13","127","","0","114","13","127","4","123","1","0","7","1","1","2","60","4","0","4","0","1","0","3","0","39","29.10.12"
"050971","18","Вінницька область","сільська рада, актова зала
вул.Горького, 30, с.Старостинці, Погребищенський р-н, Вінницька обл., 22212","392","111","385","63","220","61","281","","0","220","61","281","4","277","1","2","9","2","2","10","137","3","0","12","0","0","0","4","2","93","29.10.12"
"050972","18","Вінницька область","ФАП, к.1
вул.Вигінна, 7, с.Іваньки, Погребищенський р-н, Вінницька обл., 22212","36","3","35","12","21","12","33","","0","21","12","33","1","32","0","0","1","1","0","0","20","0","0","0","0","0","0","0","0","10","29.10.12"
"050973","18","Вінницька область","будинок культури, к.1
вул.Колгоспна, 33, с.Ліщинці, Погребищенський р-н, Вінницька обл., 22213","260","80","256","24","156","24","180","","0","156","24","180","3","177","0","1","2","1","0","3","102","4","0","2","0","1","0","3","0","58","28.10.12"
"050974","18","Вінницька область","будинок культури, глядацький зал
вул.Театральна, 42, с.Чапаєвка, Погребищенський р-н, Вінницька обл., 22245","256","59","252","26","172","25","197","","0","172","25","197","5","192","3","1","11","4","1","6","100","5","1","6","1","1","0","5","0","47","29.10.12"
"050975","18","Вінницька область","школа, фойє
вул.Шкільна, 5, с.Булаї, Погребищенський р-н, Вінницька обл., 22245","236","64","232","30","146","26","172","","0","146","26","172","4","168","1","2","7","2","0","5","113","0","2","12","0","0","0","1","0","23","29.10.12"
"050976","18","Вінницька область","школа, фойє
вул.Хоменка В.П., 14А, с.Черемошне, Погребищенський р-н, Вінницька обл., 22240","516","137","507","46","334","45","379","","0","334","45","379","8","371","1","2","12","2","0","6","178","14","1","40","3","2","3","13","1","93","29.10.12"
"050977","18","Вінницька область","контора САТ ""Погребищенське"", фойє
вул.Центральна, 1, с.Веселівка, Погребищенський р-н, Вінницька обл., 22242","100","43","97","6","54","3","57","","0","54","3","57","0","57","3","0","2","0","1","0","43","0","0","1","0","1","0","0","0","6","29.10.12"
"050978","18","Вінницька область","ФАП, фізкабінет
вул.Колгоспна, 16, с.Кулешів, Погребищенський р-н, Вінницька обл., 22242","112","8","113","15","90","14","104","","0","90","14","104","2","102","2","1","3","0","2","4","68","4","0","4","0","0","1","1","0","12","29.10.12"
"050979","18","Вінницька область","школа, фойє
вул.Шкільна, 18, с.Степанки, Погребищенський р-н, Вінницька обл., 22242","240","83","232","23","134","23","157","","0","134","23","157","3","154","0","0","3","0","2","13","50","4","0","10","2","0","0","4","0","66","28.10.12"
"050980","18","Вінницька область","будинок культури, фойє
вул.Трудова, 36, с.Ширмівка, Погребищенський р-н, Вінницька обл., 22210","392","93","388","39","267","32","299","","0","267","32","299","13","286","1","1","11","1","3","6","137","6","2","13","0","0","1","5","0","99","29.10.12"
"050981","18","Вінницька область","школа, фойє
вул.Шкільна, 5, с.Свитинці, Погребищенський р-н, Вінницька обл., 22211","148","29","148","17","102","17","119","","0","102","17","119","1","118","0","0","4","1","2","1","73","3","1","6","1","0","0","2","0","24","29.10.12"
"050982","18","Вінницька область","школа, к.1
вул.Колгоспна, 6, с.Соснівка, Погребищенський р-н, Вінницька обл., 22211","116","16","115","9","91","9","100","","0","91","9","100","3","97","0","0","2","1","0","4","58","0","0","2","0","0","0","2","0","28","28.10.12"
"050983","18","Вінницька область","центральна районна лікарня, актова зала
вул.П.Тичини, 54, м.Погребище, Погребищенський р-н, Вінницька обл., 22200","92","2","129","12","79","11","90","","0","79","11","90","3","87","1","1","2","0","0","0","65","0","2","4","0","0","1","0","0","11","29.10.12"
"050984","18","Вінницька область","соціальний центр ""Милосердя"", фойє
вул.Пирогова, 6, с.Плисків, Погребищенський р-н, Вінницька обл., 22252","24","0","27","0","24","0","24","","0","24","0","24","0","24","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","28.10.12"
