"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Базелюк
Володимир
Васильович","Барчишен
Олег
Вікторович","Бондарчук
Іван
Миколайович","Дмитрів
Олег
Степанович","Іорданов
Юрій
Іванович","Костирко
Дмитро
Олександрович","Максимчук
Борис
Анатолійович","Порошенко
Петро
Олексійович","Дата підписання протоколу"
"051558","12","Вінницька область","Вінницький коледж Національного університету харчових технологій, фойє
вул.Привокзальна, 44, м.Вінниця, 21100","2496","1150","2456","23","1328","18","1346","","0","1328","18","1346","16","1330","165","42","47","8","57","32","88","891","30.10.12"
"051559","12","Вінницька область","підлітковий клуб, актова зала
вул.Щорса, 8, м.Вінниця, 21012","1832","759","1775","21","1059","14","1073","","0","1059","14","1073","13","1060","128","24","36","3","51","28","42","748","29.10.12"
"051560","12","Вінницька область","товариство ""Вінницягаз"", актова зала
пров.Щорса, 24, м.Вінниця, 21012","2432","1065","2387","28","1340","27","1367","","0","1340","27","1367","33","1334","125","24","27","3","61","23","57","1014","29.10.12"
"051561","12","Вінницька область","клуб ""Соняшник"", танцювальна зала
вул.А.Іванова, 8, м.Вінниця, 21034","2416","971","2383","33","1416","29","1445","","0","1416","29","1445","20","1425","146","47","37","3","55","18","67","1052","30.10.12"
"051562","12","Вінницька область","Вище професійно-технічне училище №11, хол
вул.Немирівське шосе, 78, м.Вінниця, 21034","2488","1072","2467","18","1399","17","1416","","0","1399","17","1416","22","1394","154","46","31","4","47","17","76","1019","29.10.12"
"051563","12","Вінницька область","школа №20, вестибюль, праве крило
вул.Блюхера, 250, м.Вінниця, 21050","2512","1458","1936","6","1049","5","1054","","0","1049","5","1054","21","1033","106","30","24","4","66","19","54","730","29.10.12"
"051564","12","Вінницька область","школа №20, вестибюль, ліве крило
вул.Блюхера, 250, м.Вінниця, 21050","2224","845","2377","36","1351","28","1379","","0","1351","28","1379","16","1363","144","43","25","5","89","18","81","958","29.10.12"
"051565","12","Вінницька область","школа №20, їдальня
вул.Блюхера, 250, м.Вінниця, 21050","2424","1116","2399","28","1284","24","1308","","0","1284","24","1308","28","1280","139","44","43","0","70","15","66","903","29.10.12"
"051566","12","Вінницька область","Вінницький будівельний технікум, вестибюль
просп.Коцюбинського, 53, м.Вінниця, 21100","1616","662","1597","15","943","11","954","","0","943","11","954","17","937","112","34","44","4","35","19","42","647","29.10.12"
"051567","12","Вінницька область","центр первинної медико-санітарної допомоги №5, клуб
вул.50-річчя Перемоги, 49, м.Вінниця, 21001","2448","959","2404","30","1460","29","1489","","0","1460","29","1489","19","1470","157","47","63","7","52","44","72","1028","29.10.12"
"051568","12","Вінницька область","ПАТ ""Вінницягаз"", 1-й поверх, хол
вул.Шмідта, 32, м.Вінниця, 21018","2360","937","2345","26","1403","20","1423","","0","1403","20","1423","18","1405","48","154","65","4","51","39","67","977","29.10.12"
"051569","12","Вінницька область","міський військомат, 2-й поверх, хол
вул.Папаніна, 14, м.Вінниця, 21001","1616","713","1542","9","898","5","903","","0","898","5","903","23","880","90","43","41","5","39","32","44","586","29.10.12"
"051570","12","Вінницька область","клуб ""Лідер"", актова зала
вул.Привокзальна, 2/1, м.Вінниця, 21001","1608","673","1583","19","924","11","935","","0","924","11","935","15","920","92","31","42","2","30","34","45","644","29.10.12"
"051571","12","Вінницька область","Вище художнє професійно-технічне училище №5, хол
вул.Лебединського, 13, м.Вінниця, 21034","1096","479","1093","4","613","4","617","","0","613","4","617","4","613","52","21","14","3","20","12","38","453","29.10.12"
"051572","12","Вінницька область","лікарня швидкої допомоги, конференцзал
вул.Київська, 68, м.Вінниця, 21032","256","107","199","95","86","63","149","","0","86","63","149","2","147","10","7","4","1","4","5","8","108","29.10.12"
"051573","12","Вінницька область","пологовий будинок №2, актова зала
просп.Коцюбинського, 50, м.Вінниця, 21001","112","41","71","0","71","0","71","","0","71","0","71","4","67","4","3","1","0","2","10","9","38","29.10.12"
"051574","12","Вінницька область","вузлова клінічна лікарня, приміщення фізіотерапевтичного відділення
просп.Коцюбинського, 6, м.Вінниця, 21001","72","44","29","5","23","5","28","","0","23","5","28","4","24","1","0","0","0","0","2","2","19","29.10.12"
"051587","12","Вінницька область","міська клінічна лікарня №3, вестибюль лікарні
вул.Маяковського, 138, м.Вінниця, 21019","152","99","69","49","18","35","53","","0","18","35","53","4","49","4","1","4","0","3","3","2","32","29.10.12"
"051588","12","Вінницька область","центр матері та дитини, актова зала
вул.Маяковського, 138, м.Вінниця, 21019","176","151","26","0","25","0","25","","0","25","0","25","1","24","2","1","0","1","1","1","5","13","28.10.12"
"051589","12","Вінницька область","установа виконання покарань, кімната психо-емоційного розвантаження
вул.Островського, 2, м.Вінниця, 21001","448","6","442","376","66","376","442","","0","66","376","442","18","424","10","4","4","0","5","11","5","385","29.10.12"
"051590","12","Вінницька область","виправна колонія, каб.9
вул.Привокзальна, 26, м.Вінниця, 21001","752","54","732","0","698","0","698","","0","698","0","698","23","675","4","3","0","0","6","6","4","652","29.10.12"
