"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боровська
Наталя
Дмитрівна","Грабар
Іван
Григорович","Довбиш
Юрій
Григорович","Кізін
Сидор
Васильович","Козел
Василь
Васильович","Кропивницький
Володимир
Миколайович","Развадовський
Віктор
Йосипович","Самчик
Максим
Юрійович","Солоп
Михайло
Павлович","Дата підписання протоколу"
"180998","67","Житомирська область","сільська рада, кабінет бухгалтера
вул.Шкільна, 20, с.Нивна, Романівський р-н, Житомирська обл., 13289","144","49","138","10","85","10","95","","0","85","10","95","1","94","0","0","2","4","0","12","73","0","3","28.10.12"
"180999","67","Житомирська область","клуб, глядацька зала
вул.Центральна, 32, с.Голубин, Романівський р-н, Житомирська обл., 13289","80","21","76","3","56","3","59","","0","56","3","59","0","59","0","0","0","8","0","8","42","0","1","28.10.12"
"181000","67","Житомирська область","клуб, глядацька зала
вул.Клубна, 2, с.Ольшанка, Романівський р-н, Житомирська обл., 13289","232","49","226","24","161","22","183","","0","161","22","183","3","180","1","0","3","18","0","12","145","0","1","29.10.12"
"181001","67","Житомирська область","сільська рада, зала засідань
вул.Підкоритова, 1А, с.Печанівка, Романівський р-н, Житомирська обл., 13045","896","372","882","56","475","49","524","","0","475","49","524","7","517","2","2","5","65","4","12","421","2","4","29.10.12"
"181002","67","Житомирська область","школа, вестибюль
вул.Чапаєва, 2Б, с.Паволочка, Романівський р-н, Житомирська обл., 13045","272","86","269","29","158","28","186","","0","158","28","186","4","182","0","0","2","42","0","25","107","0","6","28.10.12"
"181003","67","Житомирська область","клуб, фойє
вул.Леніна, 23, с.Прутівка, Романівський р-н, Житомирська обл., 13010","216","67","208","44","110","39","149","","0","110","39","149","6","143","0","0","1","13","8","0","117","1","3","29.10.12"
"181004","67","Житомирська область","клуб, фойє
вул.Домбровського, 23, с.Костянтинівка, Романівський р-н, Житомирська обл., 13010","248","93","245","44","115","40","155","","0","115","40","155","1","154","0","0","1","15","0","10","127","0","1","29.10.12"
"181005","67","Житомирська область","сільська рада, зала засідань
вул.Транзитна, 1А, с.Романівка, Романівський р-н, Житомирська обл., 13043","408","139","403","28","243","26","269","","0","243","26","269","5","264","0","0","2","19","0","4","239","0","0","28.10.12"
"181006","67","Житомирська область","клуб, глядацька зала
вул.40-річчя Перемоги, 20А, с.Романівка, Романівський р-н, Житомирська обл., 13043","384","134","365","29","223","27","250","","0","223","27","250","2","248","2","0","0","20","0","12","212","1","1","28.10.12"
"181007","67","Житомирська область","клуб, глядацька зала
вул.Леніна, 39Б, с.Романівка, Романівський р-н, Житомирська обл., 13043","176","49","170","15","112","15","127","","0","112","15","127","3","124","0","0","2","23","1","7","90","0","1","28.10.12"
"181008","67","Житомирська область","ТОВ ""УКР-МЕТАЛ"", контора, к.1
вул.Привокзальна, 57А, с.Разіне, Романівський р-н, Житомирська обл., 13044","272","81","265","11","181","10","191","","0","181","10","191","3","188","1","1","1","25","1","14","142","3","0","28.10.12"
"181009","67","Житомирська область","сільська рада, зала засідань
вул.Центральна, 26, с.Садки, Романівський р-н, Житомирська обл., 13288","144","60","140","9","76","8","84","","0","76","8","84","5","79","0","0","1","10","0","2","61","0","5","29.10.12"
"181010","67","Житомирська область","клуб, глядацька зала
вул.Центральна, 42, с.Гвіздярня, Романівський р-н, Житомирська обл., 13020","136","55","125","9","72","9","81","","0","72","9","81","0","81","0","0","0","16","0","2","62","0","1","28.10.12"
"181011","67","Житомирська область","клуб, глядацька зала
вул.Путіліна, 60, с.Соболівка, Романівський р-н, Житомирська обл., 13288","232","62","230","5","165","5","170","","0","165","5","170","3","167","1","0","3","19","0","46","96","0","2","28.10.12"
"181012","67","Житомирська область","клуб, глядацька зала
вул.Центральна, 77, с.Вила, Романівський р-н, Житомирська обл., 13288","136","51","130","7","78","7","85","","0","78","7","85","2","83","0","0","1","14","3","5","58","0","2","28.10.12"
"181013","67","Житомирська область","сільська рада, зала засідань
вул.Перемоги, 1, с.Старочуднівська Гута, Романівський р-н, Житомирська обл., 13288","392","144","386","34","220","28","248","","0","220","28","248","6","242","3","1","1","45","2","34","156","0","0","28.10.12"
"181014","67","Житомирська область","будинок культури, фойє
вул.Леніна, 23, с.Хижинці, Романівський р-н, Житомирська обл., 13044","304","73","297","26","206","25","231","","0","206","25","231","3","228","0","0","2","24","1","3","196","0","2","29.10.12"
"181015","67","Житомирська область","школа, спортивна зала
вул.Весняна, 32, с.Червоні Хатки, Романівський р-н, Житомирська обл., 13288","240","62","236","15","165","13","178","","0","165","13","178","3","175","0","0","2","34","1","11","122","1","4","28.10.12"
"181016","67","Житомирська область","клуб, глядацька зала
вул.Лугова, 2, с.Залужне, Романівський р-н, Житомирська обл., 13288","72","8","73","8","56","8","64","","0","56","8","64","1","63","0","0","2","19","0","0","42","0","0","29.10.12"
"181017","67","Житомирська область","школа, фойє
вул.Жовтнева, 5А, с.Ягодинка, Романівський р-н, Житомирська обл., 13023","336","116","322","48","180","40","220","","0","180","40","220","5","215","1","1","0","17","0","35","160","1","0","28.10.12"
"181018","67","Житомирська область","клуб, глядацька зала
вул.Першотравнева, 70, с.Борятин, Романівський р-н, Житомирська обл., 13288","96","39","94","28","38","19","57","","0","38","19","57","4","53","3","1","0","8","1","9","31","0","0","28.10.12"
"181019","67","Житомирська область","клуб, танцювальна зала
вул.Лісова, 61, с.Лісна Рудня, Романівський р-н, Житомирська обл., 13288","112","41","110","14","66","5","71","","0","66","5","71","0","71","0","0","0","6","0","2","61","0","2","29.10.12"
"181020","67","Житомирська область","сільська рада, зала засідань
вул.Леніна, 36, с.Ясногород, Романівський р-н, Житомирська обл., 13020","296","88","281","35","176","32","208","","0","176","32","208","0","208","0","2","0","9","0","10","185","1","1","29.10.12"
"181021","67","Житомирська область","районна поліклініка, зала засідань
вул.Котовського, 2, смт Романів, Романівський р-н, Житомирська обл., 13001","112","81","35","9","22","9","31","","0","22","9","31","0","31","0","0","0","4","0","0","27","0","0","28.10.12"
"181166","67","Житомирська область","селянське господарство ""Дружба"", зала засідань
вул.Леніна, 73, м.Чуднів, Чуднівський р-н, Житомирська обл., 13200","1248","536","1223","35","679","33","712","","0","679","33","712","18","694","9","3","12","144","5","64","430","17","10","28.10.12"
"181167","67","Житомирська область","клуб, танцювальна зала
вул.Леніна, 95, м.Чуднів, Чуднівський р-н, Житомирська обл., 13200","1336","553","1294","31","763","20","783","","0","763","20","783","19","764","5","3","12","116","5","74","468","74","7","28.10.12"
"181168","67","Житомирська область","селищна рада, актова зала
вул.Леніна, 146, м.Чуднів, Чуднівський р-н, Житомирська обл., 13200","1144","449","1110","23","673","22","695","","0","673","22","695","12","683","2","2","5","148","5","58","389","57","17","29.10.12"
"181169","67","Житомирська область","гімназія, фойє
вул.50-річчя Жовтня, 1, м.Чуднів, Чуднівський р-н, Житомирська обл., 13200","1360","530","1308","31","803","27","830","","0","803","27","830","13","817","4","1","25","208","7","92","421","47","12","28.10.12"
"181170","67","Житомирська область","школа, їдальня
школа, смт Вакуленчук, Чуднівський р-н, Житомирська обл., 13246","1552","604","1538","31","928","20","948","","0","928","20","948","11","937","18","5","17","124","8","62","638","49","16","29.10.12"
"181171","67","Житомирська область","клуб, фойє
вул.Леніна, 6, смт Великі Коровинці, Чуднівський р-н, Житомирська обл., 13240","1040","425","1022","38","581","34","615","","0","581","34","615","11","604","7","2","7","157","10","115","279","22","5","29.10.12"
"181172","67","Житомирська область","школа, спортивна зала
пров.Горького, 5, смт Великі Коровинці, Чуднівський р-н, Житомирська обл., 13240","928","455","911","43","433","40","473","","0","433","40","473","12","461","2","3","9","92","4","77","233","35","6","29.10.12"
"181173","67","Житомирська область","фельдшерсько-акушерський пункт, процедурний кабінет
вул.Центральна, 63, с.Михайленки, Чуднівський р-н, Житомирська обл., 13243","232","74","236","23","135","23","158","","0","135","23","158","3","155","0","0","2","9","3","71","56","14","0","06.11.12"
"181174","67","Житомирська область","селищна рада, зала урочистостей
вул.Леніна, 19, смт Іванопіль, Чуднівський р-н, Житомирська обл., 13253","952","487","939","35","430","35","465","","0","430","35","465","13","452","2","1","8","56","5","47","293","34","6","29.10.12"
"181175","67","Житомирська область","гімназія, фойє
вул.Леніна, 134, смт Іванопіль, Чуднівський р-н, Житомирська обл., 13253","1072","543","1051","32","499","30","529","","0","499","30","529","12","517","4","3","8","103","4","35","333","24","3","29.10.12"
"181176","67","Житомирська область","гімназія, актова зала
вул.Леніна, 134, смт Іванопіль, Чуднівський р-н, Житомирська обл., 13253","1024","517","1004","36","471","36","507","","0","471","36","507","8","499","3","3","15","101","5","43","292","29","8","28.10.12"
"181177","67","Житомирська область","клуб, актова зала
вул.Леніна, 3, с.Радісне, Чуднівський р-н, Житомирська обл., 13257","64","22","64","9","33","9","42","","0","33","9","42","2","40","0","0","3","0","0","9","26","1","1","28.10.12"
"181178","67","Житомирська область","клуб, актова зала
вул.Леніна, 50, с.Бабушки, Чуднівський р-н, Житомирська обл., 13225","456","165","448","33","262","29","291","","0","262","29","291","5","286","1","0","5","37","3","23","194","20","3","28.10.12"
"181179","67","Житомирська область","бібліотека, читальна зала
вул.Центральна, 31, с.Дацьки, Чуднівський р-н, Житомирська обл., 13225","80","24","70","10","47","9","56","","0","47","9","56","0","56","0","0","0","6","0","0","43","7","0","28.10.12"
"181180","67","Житомирська область","школа, фойє
вул.Шевченка, 3, с.Безпечна, Чуднівський р-н, Житомирська обл., 13265","288","94","281","33","163","31","194","","0","163","31","194","6","188","3","2","2","20","0","37","103","16","5","28.10.12"
"181181","67","Житомирська область","школа, спортивна зала
вул.Семенюка, 3, с.Бейзимівка, Чуднівський р-н, Житомирська обл., 13244","472","143","465","59","274","55","329","","0","274","55","329","12","317","3","2","1","60","1","56","160","27","7","28.10.12"
"181182","67","Житомирська область","школа, фойє
вул.Миколи Бричника, 1, с.Будичани, Чуднівський р-н, Житомирська обл., 13213","712","242","704","29","443","27","470","","0","443","27","470","13","457","1","1","5","70","3","33","294","36","14","28.10.12"
"181183","67","Житомирська область","клуб, фойє
вул.Жовтнева, 9, с.Бурківці, Чуднівський р-н, Житомирська обл., 13261","384","129","377","63","200","55","255","","0","200","55","255","2","253","0","2","4","11","0","28","202","4","2","28.10.12"
"181184","67","Житомирська область","клуб, актова зала
вул.Лісова, 11, с.Лихосілка, Чуднівський р-н, Житомирська обл., 13261","176","64","172","32","84","28","112","","0","84","28","112","2","110","0","0","1","7","0","7","81","9","5","28.10.12"
"181185","67","Житомирська область","клуб, фойє
вул.Короченська, 2, с.Вільшанка, Чуднівський р-н, Житомирська обл., 13244","1400","539","1384","44","824","37","861","","0","824","37","861","15","846","3","2","19","155","4","71","522","61","9","28.10.12"
"181186","67","Житомирська область","школа, спортивна зала
вул.ім.В.Ф.Мазуркевича, 38А, с.Галіївка, Чуднівський р-н, Житомирська обл., 13251","496","168","486","51","280","48","328","","0","280","48","328","3","325","3","2","0","53","2","83","141","35","6","29.10.12"
"181187","67","Житомирська область","клуб, фойє
вул.Жовтнева, 6А, с.Дриглів, Чуднівський р-н, Житомирська обл., 13210","256","78","244","34","144","34","178","","0","144","34","178","7","171","3","3","4","23","0","36","89","12","1","29.10.12"
"181188","67","Житомирська область","школа, спортивна зала
вул.Щорса, 32А, с.Кихті, Чуднівський р-н, Житомирська обл., 13210","152","51","144","22","81","20","101","","0","81","20","101","6","95","1","1","1","11","0","21","45","14","1","28.10.12"
"181189","67","Житомирська область","клуб, актова зала
вул.Партизанська, 6А, с.Рижів, Чуднівський р-н, Житомирська обл., 13210","88","24","87","8","59","5","64","","0","59","5","64","0","64","0","0","0","6","0","2","44","12","0","28.10.12"
"181190","67","Житомирська область","школа, кабінет біології
вул.Леніна, 67, с.Дубище, Чуднівський р-н, Житомирської обл., 13211","824","337","802","48","447","40","487","","0","447","40","487","14","473","4","1","3","65","0","80","297","16","7","28.10.12"
"181191","67","Житомирська область","школа, кабінет української мови
вул.Димитрова, 59, с.Дідківці, Чуднівський р-н, Житомирська обл., 13212","352","129","340","43","184","39","223","","0","184","39","223","5","218","2","1","2","81","1","33","79","17","2","28.10.12"
"181192","67","Житомирська область","школа, фойє
вул.50-річчя Жовтня, 1, с.Жеребки, Чуднівський р-н, Житомирська обл., 13256","416","147","412","73","203","66","269","","0","203","66","269","7","262","2","1","3","34","4","73","118","25","2","28.10.12"
"181193","67","Житомирська область","клуб, глядацька зала
вул.Миру, 33, с.Степок, Чуднівський р-н, Житомирська обл., 13257","144","30","140","22","92","22","114","","0","92","22","114","0","114","0","0","3","13","1","31","60","6","0","06.11.12"
"181194","67","Житомирська область","сільська рада, актова зала
вул.Леніна, 15, с.Карпівці, Чуднівський р-н, Житомирська обл., 13235","1392","652","1376","79","669","71","740","","0","669","71","740","18","722","9","1","1","75","5","114","482","27","8","28.10.12"
"181195","67","Житомирська область","клуб, фойє
вул.50-річчя Перемоги, 11, с.Шевченка, Чуднівський р-н, Житомирська обл., 13235","152","60","144","12","80","12","92","","0","80","12","92","5","87","1","0","1","11","0","7","57","10","0","29.10.12"
"181196","67","Житомирська область","клуб, фойє
вул.Шкільна, 31А, с.Кілки, Чуднівський р-н, Житомирська обл., 13232","376","146","370","40","192","38","230","","0","192","38","230","4","226","1","0","3","50","3","20","130","18","1","28.10.12"
"181197","67","Житомирська область","клуб, бібліотека
вул.Набережна, 1А, с.Волосівка, Чуднівський р-н, Житомирська обл., 13232","432","149","424","45","241","42","283","","0","241","42","283","5","278","1","2","1","51","2","28","173","17","3","28.10.12"
"181198","67","Житомирська область","орендована будівля, зала
вул.Зелена, 21А, с.Подолянці, Чуднівський р-н, Житомирська обл., 13224","312","120","306","34","161","31","192","","0","0","0","192","7","185","1","1","0","53","3","26","80","18","3","06.11.12"
"181199","67","Житомирська область","фельдшерсько-акушерський пункт, процедурний кабінет
вул.Перемоги, 55, с.Красноволиця, Чуднівський р-н, Житомирська обл., 13231","192","43","185","20","129","20","149","","0","129","20","149","2","147","2","0","1","18","2","19","96","9","0","28.10.12"
"181200","67","Житомирська область","клуб, глядацька зала
вул.Шкільна, 2, с.Красногірка, Чуднівський р-н, Житомирська обл., 13230","272","87","260","22","165","20","185","","0","165","20","185","0","185","0","3","1","36","1","15","104","25","0","28.10.12"
"181201","67","Житомирська область","школа, актова зала
вул.Центральна, 19, с.Краснопіль, Чуднівський р-н, Житомирська обл., 13264","824","284","813","84","460","80","540","","0","460","80","540","14","526","3","2","5","67","2","146","283","7","11","28.10.12"
"181202","67","Житомирська область","школа, спортивна зала
вул.Леніна, 52, с.Красносілка, Чуднівський р-н, Житомирська обл., 13234","640","204","621","44","395","41","436","","0","395","41","436","8","428","0","1","4","70","3","65","234","39","12","28.10.12"
"181203","67","Житомирська область","клуб, глядацька зала
вул.Бердичівська, 5, с.Мала Волиця, Чуднівський р-н, Житомирська обл., 13250","264","72","260","19","173","19","192","","0","173","19","192","1","191","0","1","5","41","3","43","68","28","2","28.10.12"
"181204","67","Житомирська область","фельдшерсько-акушерський пункт, процедурний кабінет
вул.Садова, 62, с.Дібрівка, Чуднівський р-н, Житомирська обл., 13252","160","47","156","13","101","12","113","","0","101","12","113","3","110","0","0","3","16","1","20","36","28","6","28.10.12"
"181205","67","Житомирська область","клуб, глядацька зала
вул.Леніна, 1А, с.Молочки, Чуднівський р-н, Житомирська обл., 13262","456","141","444","28","288","27","315","","0","288","27","315","6","309","3","1","8","94","3","64","115","17","4","28.10.12"
"181206","67","Житомирська область","фельдшерсько-акушерський пункт, процедурний кабінет
вул.Молочківська, 1, с.Мотрунки, Чуднівський р-н, Житомирська обл., 13262","80","23","77","14","44","13","57","","0","44","13","57","0","57","1","3","1","8","0","18","25","1","0","28.10.12"
"181207","67","Житомирська область","клуб, глядацька зала
вул.Дубова, 4, с.Носівки, Чуднівський р-н, Житомирська обл., 13266","528","179","525","17","333","16","349","","0","333","16","349","12","337","2","5","2","34","3","76","186","24","5","28.10.12"
"181208","67","Житомирська область","орендована будівля, зала
вул.Центральна, 16, с.Суслівка, Чуднівський р-н, Житомирська обл., 13267","152","39","148","9","104","9","113","","0","104","9","113","1","112","0","0","4","16","0","12","53","27","0","28.10.12"
"181209","67","Житомирська область","школа, фойє
вул.Жданівська, 11, с.П’ятка, Чуднівський р-н, Житомирська обл., 13222","632","210","616","35","387","35","422","","0","387","35","422","10","412","21","1","12","52","1","30","282","10","3","29.10.12"
"181210","67","Житомирська область","клуб, глядацька зала
вул.Перша Леніна, 54, с.Пилипівка, Чуднівський р-н, Житомирська обл., 13222","232","87","219","11","134","11","145","","0","134","11","145","4","141","3","1","4","10","1","4","107","10","1","28.10.12"
"181211","67","Житомирська область","орендована будівля, зала
вул.Леніна, 21А, с.Пилипівка, Чуднівський р-н, Житомирська обл., 13222","120","40","118","3","77","3","80","","0","77","3","80","3","77","0","1","0","2","0","11","51","10","2","28.10.12"
"181212","67","Житомирська область","клуб, глядацька зала
вул.Леніна, 10Б, с.Рачки, Чуднівський р-н, Житомирська обл., 13245","368","151","358","44","175","42","217","","0","175","42","217","4","213","1","4","5","13","0","13","174","3","0","28.10.12"
"181213","67","Житомирська область","клуб, глядацька зала
вул.Леніна, 45А, с.Стетківці, Чуднівський р-н, Житомирська обл., 13263","544","149","533","47","349","46","395","","0","349","46","395","4","391","2","0","3","44","2","67","201","66","6","29.10.12"
"181214","67","Житомирська область","клуб, глядацька зала
вул.Шевченка, 25Б, с.Стовпів, Чуднівський р-н, Житомирська обл., 13214","592","220","579","42","332","40","372","","0","332","40","372","12","360","0","1","6","59","1","82","169","39","3","28.10.12"
"181215","67","Житомирська область","клуб, глядацька зала
вул.Островського, 16, с.Дреники, Чуднівський р-н, Житомирська обл., 13214","64","21","58","4","39","4","43","","0","39","4","43","0","43","0","0","1","2","0","2","33","5","0","28.10.12"
"181216","67","Житомирська область","школа, спортивна зала
вул.Чуднівська, 69, с.Троща, Чуднівський р-н, Житомирська обл., 13260","672","288","658","60","334","50","384","","0","334","50","384","7","377","2","1","7","48","6","52","253","4","4","29.10.12"
"181217","67","Житомирська область","школа, актова зала
вул.Котовського, 4, с.Турчинівка, Чуднівський р-н, Житомирська обл., 13223","336","118","328","24","198","20","218","","0","198","20","218","11","207","1","0","2","33","3","51","112","4","1","28.10.12"
"181218","67","Житомирська область","школа, фойє
вул.Чехова, 1, с.Княжин, Чуднівський р-н, Житомирська обл., 13223","216","73","212","19","124","19","143","","0","124","19","143","3","140","1","1","3","28","1","27","69","9","1","28.10.12"
"181219","67","Житомирська область","клуб, фойє
вул.Миру, 1, с.Тютюнники, Чуднівський р-н, Житомирська обл., 13220","704","209","697","59","442","53","495","","0","442","53","495","7","488","7","0","7","46","9","72","306","36","5","28.10.12"
"181220","67","Житомирська область","клуб, глядацька зала
вул.Колгоспна, 16, с.Городище, Чуднівський р-н, Житомирська обл., 13220","184","32","181","21","131","21","152","","0","131","21","152","5","147","3","0","6","29","0","32","69","5","3","28.10.12"
"181221","67","Житомирська область","клуб, глядацька зала
вул.Чуднівська, 1, с.Короченки, Чуднівський р-н, Житомирська обл., 13200","408","97","403","36","276","35","311","","0","276","35","311","9","302","4","0","4","70","2","45","163","14","0","28.10.12"
"181222","67","Житомирська область","клуб, глядацька зала
вул.Вакуленчука, 3, с.Малі Коровинці, Чуднівський р-н, Житомирська обл., 13221","344","99","333","29","216","29","245","","0","216","29","245","5","240","2","1","6","27","4","60","113","22","5","28.10.12"
"181223","67","Житомирська область","клуб, глядацька зала
вул.Чуднівська, 1, с.Судачівка, Чуднівський р-н, Житомирська обл., 13220","136","33","134","8","96","7","103","","0","96","7","103","5","98","1","0","1","8","1","39","42","4","2","28.10.12"
"181224","67","Житомирська область","центральна лікарня, актова зала
вул.Житомирська, 15, смт Чуднів, Чуднівський р-н, Житомирська обл., 13200","152","94","95","0","58","0","58","","0","58","0","58","0","58","1","1","0","5","1","7","35","6","2","28.10.12"
"181373","67","Житомирська область","Житомирський коледж ресторанно-туристичного бізнесу та торгівлі, вестибюль
вул.Черняховського, 101, м.Житомир, 10005","2112","873","2113","11","1232","7","1239","","0","1232","7","1239","37","1202","47","31","90","392","7","409","142","39","45","29.10.12"
"181374","67","Житомирська область","Житомирський державний технологічний університет, вестибюль
вул.Черняховського, 103, м.Житомир, 10005","2040","1086","2156","11","946","8","954","","0","946","8","954","33","921","29","46","114","281","11","269","93","45","33","29.10.12"
"181375","67","Житомирська область","Житомирський професійний ліцей сфери послуг, вестибюль
вул.Черняховського, 102А, м.Житомир, 10005","2328","981","2320","9","1344","3","1347","","0","1344","3","1347","27","1320","53","21","123","338","12","473","162","79","59","29.10.12"
"181376","67","Житомирська область","дошкільний навчальний заклад №6, музична зала
вул.Старочуднівська, 4, м.Житомир, 10005","1912","806","1885","9","1097","9","1106","","0","1097","9","1106","34","1072","41","37","104","296","11","368","136","41","38","29.10.12"
"181377","67","Житомирська область","школа №1, вестибюль
вул.Якіра, 26, м.Житомир, 10006","1664","784","1669","9","875","5","880","","0","875","5","880","24","856","41","15","96","319","10","193","112","39","31","29.10.12"
"181378","67","Житомирська область","навчально-виховний комплекс №11, актова зала
вул.Західна, 110, м.Житомир, 10006","1840","844","1840","7","989","7","996","","0","989","7","996","44","952","55","19","87","360","12","184","152","59","24","28.10.12"
"181379","67","Житомирська область","Житомирський міський центр науково-технічної творчості учнівської молоді, вестибюль
вул.Островського, 3, м.Житомир, 10006","2048","1069","2038","6","974","5","979","","0","974","5","979","50","929","45","25","84","371","15","172","138","38","41","29.10.12"
"181380","67","Житомирська область","дошкільний навчальний заклад №52, кабінет фізіотерапевтичний
вул.Максютова, 11А, м.Житомир, 10020","1496","723","1488","10","763","10","773","","0","763","10","773","37","736","46","34","102","221","10","88","153","47","35","29.10.12"
"181381","67","Житомирська область","ТОВ ""Атем-Франк"", актова зала
вул.Бялика, 6, м.Житомир, 10020","1648","827","1640","6","815","6","821","","0","815","6","821","26","795","37","14","89","293","15","176","118","29","24","28.10.12"
"181387","67","Житомирська область","школа №15, спортивна зала
вул.Максютова, 203, м.Житомир, 10028","2416","1096","2405","4","1317","3","1320","","0","1317","3","1320","41","1279","49","33","126","313","20","364","263","76","35","29.10.12"
"181390","67","Житомирська область","навчально-виховний комплекс №65, танцювальна зала
вул.Щорса, 129А, м.Житомир, 10031","1512","714","1498","6","795","3","798","","0","795","3","798","25","773","41","23","56","315","16","91","147","48","36","29.10.12"
"181391","67","Житомирська область","школа №28, вестибюль
вул.Маршала Рибалка, 17, м.Житомир, 10031","2416","1074","2403","17","1328","14","1342","","0","1328","14","1342","40","1302","47","36","132","436","17","189","316","80","49","29.10.12"
"181392","67","Житомирська область","ПТУ №5, актова зала
вул.Маршала Рибалка, 34, м.Житомир, 10031","2128","1149","2113","11","970","9","979","","0","970","9","979","35","944","43","14","78","357","6","169","210","38","29","29.10.12"
"181393","67","Житомирська область","міжшкільний навчально-виробничий комбінат, каб.5
вул.Щорса, 100, м.Житомир, 10031","2344","1259","2335","6","1080","5","1085","","0","1080","5","1085","37","1048","38","24","106","409","15","168","213","45","30","29.10.12"
"181394","67","Житомирська область","АТЗТ ""Шляхово-будівельне управління №35"", вестибюль
вул.Щорса, 203, м.Житомир, 10031","2448","1333","1116","5","1111","4","1115","","0","1111","4","1115","48","1067","48","20","104","412","14","178","203","52","36","29.10.12"
"181395","67","Житомирська область","школа №16, вестибюль
вул.Маршала Рибалка, 15, м.Житомир, 10031","1792","697","1793","5","1091","4","1095","","0","1091","4","1095","33","1062","72","29","117","340","15","209","176","52","52","28.10.12"
"181396","67","Житомирська область","Житомирський агротехнічний коледж, вестибюль
вул.Щорса, 96, м.Житомир, 10031","2408","1084","2397","15","1310","14","1324","","0","1310","14","1324","43","1281","60","45","142","381","20","250","277","58","48","29.10.12"
"181397","67","Житомирська область","центр розвитку дитини №5, музична зала
вул.Щорса, 143, м.Житомир, 10031","2384","1106","2355","6","1274","4","1278","","0","1274","4","1278","32","1246","63","20","126","470","17","173","265","52","60","29.10.12"
"181398","67","Житомирська область","центральна станція швидкої і невідкладної медичної допомоги, мала актова зала
вул.Щорса, 98В, м.Житомир, 10031","2448","1199","2439","8","1245","4","1249","","0","1245","4","1249","38","1210","70","28","158","410","15","238","185","54","52","29.10.12"
"181461","67","Житомирська область","приміщення бібліотеки, читальна зала
вул.П.Соломка, 28, с.Бистрі, Житомирський р-н, Житомирська обл., 12431","296","118","290","18","162","16","178","","0","162","16","178","5","173","1","0","10","26","4","18","94","4","16","29.10.12"
"181462","67","Житомирська область","приміщення клубу, зала
вул.Михайлівська, 10, с.Михайлівка, Житомирський р-н, Житомирська обл., 12422","144","48","144","13","84","12","96","","0","84","12","96","3","93","0","1","2","5","0","25","43","1","16","28.10.12"
