"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Афонін
Віктор
Тимофійович","Горкуша
Михайло
Андрійович","Заславський
Михайло
Віталійович","Зубко
Геннадій
Григорович","Камінський
Іван
Анатолійович","Коцюбко
Олександр
Петрович","Мирний
Володимир
Вікторович","Рижук
Сергій
Миколайович","Савенко
Микола
Миколайович","Туманов
Володимир
Михайлович","Умінський
Олег
Феліксович","Дата підписання протоколу"
"181407","62","Житомирська область","дошкільний навчальний заклад №27, спортивна зала
шосе Київське, 22А, м.Житомир, 10007","1938","900","1927","9","1030","8","1038","","0","1030","8","1038","36","1002","3","15","26","645","7","7","5","236","17","4","37","29.10.12"
"181408","62","Житомирська область","Житомирська дистанція колії, актова зала
вул.Вокзальна, 15Б, м.Житомир, 10001","2190","953","2164","17","1220","17","1237","","0","1220","17","1237","37","1200","14","18","32","747","6","14","8","296","17","3","45","29.10.12"
"181409","62","Житомирська область","дошкільний навчальний заклад №61, музична зала
вул.Гоголівська, 67, м.Житомир, 10001","2358","1071","2333","10","1278","9","1287","","0","1278","9","1287","51","1236","13","17","21","790","7","10","10","293","21","3","51","29.10.12"
"181410","62","Житомирська область","культурно-спортивний центр, спортивна зала
вул.Київська, 104/1, м.Житомир, 10001","2304","944","2273","8","1354","6","1360","","0","1354","6","1360","61","1299","18","13","29","853","10","10","10","287","29","4","36","29.10.12"
"181411","62","Житомирська область","дошкільний навчальний заклад №43, музична зала
вул.Перша Партизанська, 12А, м.Житомир, 10012","1320","597","1314","0","723","0","723","","0","723","0","723","22","701","7","10","12","446","8","8","4","162","13","5","26","28.10.12"
"181412","62","Житомирська область","школа №20, актова зала
вул.Східна, 65, м.Житомир, 10012","2142","1030","2092","8","1102","7","1109","","0","1102","7","1109","51","1058","16","20","20","629","10","19","6","303","8","2","25","29.10.12"
"181413","62","Житомирська область","гуртожиток Житомирського кооперативного коледжу бізнесу і права, к.59
вул.Київська, 80, м.Житомир, 10012","2040","809","2118","13","1222","9","1231","","0","1222","9","1231","64","1167","14","22","33","728","11","10","11","253","31","5","49","29.10.12"
"181414","62","Житомирська область","Житомирський кооперативний коледж бізнесу і права, фойє
вул.Київська, 82, м.Житомир, 10012","1794","755","1754","17","1027","12","1039","","0","1027","12","1039","40","999","17","15","17","607","9","24","8","246","23","3","30","29.10.12"
"181415","62","Житомирська область","комунальне виробниче житлове ремонтно-експлуатаційне підприємство №11, актова зала
вул.Гоголівська, 16, м.Житомир, 10012","2124","945","2095","11","1168","11","1179","","0","1167","11","1178","45","1133","16","14","29","753","9","13","12","232","19","1","35","29.10.12"
"181416","62","Житомирська область","гуманітарна гімназія №23, фойє
вул.Бориса Лятошинського, 14, м.Житомир, 10002","1116","451","1116","10","655","10","665","","0","655","10","665","24","641","6","4","14","379","7","13","4","174","18","0","22","29.10.12"
"181417","62","Житомирська область","Житомирський кооперативний коледж бізнесу і права, фойє
проїзд Скорульського, 5, м.Житомир, 10014","714","263","710","2","449","2","451","","0","449","2","451","13","438","4","5","11","224","5","5","2","146","8","1","27","30.10.12"
"181418","62","Житомирська область","Житомирський автошляховий коледж, спортивна зала
вул.Велика Бердичівська, 2, м.Житомир, 10014","1710","664","1694","7","1041","5","1046","","0","1041","5","1046","42","1004","15","11","22","612","10","13","5","266","22","3","25","29.10.12"
"181419","62","Житомирська область","ліцей №25, актова зала
вул.Мала Бердичівська, 18, м.Житомир, 10014","1086","451","1065","2","633","2","635","","0","633","2","635","22","613","14","5","21","292","8","8","5","202","15","5","38","29.10.12"
"181420","62","Житомирська область","Житомирське державне музичне училище імені В.Косенка, фойє
вул.Пушкінська, 28, м.Житомир, 10008","1248","573","1236","6","669","6","675","","0","669","6","675","43","632","1","7","17","344","4","11","1","218","9","4","16","30.10.12"
"181421","62","Житомирська область","Житомирський національний агроекологічний університет, фойє
бульв.Старий, 9, м.Житомир, 10008","900","462","1015","3","435","3","438","","0","435","3","438","8","430","2","7","12","274","5","6","2","105","2","1","14","29.10.12"
"181422","62","Житомирська область","палац культури, фойє
вул.1 Травня, 12/5, м.Житомир, 10008","1302","425","1306","8","869","8","877","","0","869","8","877","35","842","14","9","16","480","9","9","3","255","25","4","18","29.10.12"
"181423","62","Житомирська область","школа №21, спортивна зала
вул.1 Травня, 6А, м.Житомир, 10008","1302","619","1303","1","682","1","683","","0","682","1","683","27","656","8","13","23","391","6","6","3","163","10","5","28","29.10.12"
"181424","62","Житомирська область","навчально-виховний комплекс №25, музична зала
вул.Бориса Тена, 84А, м.Житомир, 10001","1740","749","1725","2","989","2","991","","0","989","2","991","72","919","7","21","14","574","13","5","5","218","29","4","29","29.10.12"
"181425","62","Житомирська область","комунальне виробниче житлове ремонтно-експлуатаційне підприємство №13, актова зала
проїзд Академіка Тутковського, 15, м.Житомир, 10024","2322","941","2300","10","1371","10","1381","","0","1371","10","1381","54","1327","14","13","17","887","15","13","9","272","36","7","44","29.10.12"
"181426","62","Житомирська область","обласний центр еколого-натуралістичної творчості учнівської молоді, актова зала
проїзд Академіка Тутковського, 10, м.Житомир, 10024","1404","601","1398","1","802","1","803","","0","802","1","803","39","764","6","15","10","535","1","10","6","132","26","2","21","29.10.12"
"181427","62","Житомирська область","територіальний центр обслуговування пенсіонерів, фойє
вул.Вокзальна, 18А, м.Житомир, 10001","2184","946","2182","6","1232","6","1238","","0","1232","6","1238","68","1170","19","18","23","802","8","8","7","207","37","7","34","29.10.12"
"181428","62","Житомирська область","центр розвитку дитини №68, музична зала
проїзд Академіка Тутковського, 10, м.Житомир, 10024","2058","894","2034","11","1153","11","1164","","0","1153","11","1164","42","1122","7","36","15","701","9","16","8","270","22","1","37","29.10.12"
"181429","62","Житомирська область","екологічний ліцей №24, фойє
вул.Шевченка, 105Б, м.Житомир, 10024","2346","956","2319","12","1381","9","1390","","0","1381","9","1390","63","1327","13","29","20","854","11","10","2","294","36","5","53","29.10.12"
"181430","62","Житомирська область","міський колегіум, вестибюль, 1-й поверх
вул.Мануїльського, 18, м.Житомир, 10002","2118","893","2149","16","1214","11","1225","","0","1214","11","1225","46","1179","22","14","32","812","12","14","12","213","14","4","30","29.10.12"
"181431","62","Житомирська область","гуртожиток Житомирського державного університету імені І.Франка, читальна зала
вул.Шелушкова, 10, м.Житомир, 10008","2208","993","2200","11","1205","10","1215","","0","1205","10","1215","60","1155","7","13","28","798","13","12","8","222","19","2","33","29.10.12"
"181432","62","Житомирська область","комунальне виробниче житлове ремонтно-експлуатаційне підприємство №16, фойє
вул.Шевченка, 24, м.Житомир, 10008","1032","409","1018","4","619","4","623","","0","619","4","623","23","600","7","17","8","395","2","6","3","135","7","2","18","29.10.12"
"181433","62","Житомирська область","Житомирський державний університет імені І.Франка, фойє
вул.Велика Бердичівська, 40, м.Житомир, 10008","1938","1125","1988","2","811","2","813","","0","811","2","813","31","782","11","18","25","516","16","4","4","163","11","2","12","29.10.12"
"181434","62","Житомирська область","Житомирський інститут медсестринства, стоматологічне відділення, ауд.13
вул.Велика Бердичівська, 46/15, м.Житомир, 10002","1620","767","1685","6","847","6","853","","0","847","6","853","42","811","13","15","19","483","10","14","3","224","5","1","24","29.10.12"
"181435","62","Житомирська область","школа №33, фойє
вул.Велика Бердичівська, 52, м.Житомир, 10002","1944","740","1925","18","1187","17","1204","","0","1187","17","1204","44","1160","9","6","26","732","11","23","7","277","24","2","43","29.10.12"
"181436","62","Житомирська область","дошкільний навчальний заклад №57, музична зала
вул.Довженка, 11, м.Житомир, 10002","810","338","792","5","468","4","472","","0","468","4","472","23","449","5","5","7","307","2","3","5","89","10","3","13","29.10.12"
"181437","62","Житомирська область","ОКП ""Обласний учбово-курсовий комбінат житлово-комунального господарства"", фойє
пров.2-й Госпітальний, 15, м.Житомир, 10002","1974","787","1948","14","1175","12","1187","","0","1175","12","1187","59","1127","16","10","24","643","7","16","8","316","34","4","49","29.10.12"
"181438","62","Житомирська область","обласна санітарно-епідеміологічна станція, актова зала
вул.Велика Бердичівська, 64, м.Житомир, 10002","2160","818","2135","8","1334","8","1342","","0","1334","8","1342","59","1283","12","6","22","811","13","25","6","322","28","3","35","29.10.12"
"181439","62","Житомирська область","Державна санітарна епідеміологічна служба, актова зала
вул.Гагаріна, 55, м.Житомир, 10002","1470","676","1464","5","789","5","794","","0","789","5","794","29","765","5","9","18","524","3","12","3","151","7","2","31","30.10.12"
"181440","62","Житомирська область","Інститут післядипломної освіти та дорадництва Національного агроуніверситету, фойє
вул.Льва Толстого, 18, м.Житомир, 10002","2334","1104","2318","2","1228","2","1230","","0","1228","2","1230","53","1177","11","7","28","774","12","14","8","270","10","3","40","29.10.12"
"181441","62","Житомирська область","ПАТ ""Енерго постачальна компанія ""Житомиробленерго"", зала
вул.Жуйка, 12, м.Житомир, 10002","372","187","367","0","185","0","185","","0","185","0","185","8","177","0","2","3","128","2","2","1","32","1","0","6","29.10.12"
"181442","62","Житомирська область","Центр професійно-технічної освіти, фойє
вул.Селецька, 5, м.Житомир, 10009","2196","1045","2185","10","1141","10","1151","","0","1141","10","1151","38","1113","10","11","24","818","9","12","10","160","17","3","39","29.10.12"
"181443","62","Житомирська область","дошкільний навчальний заклад №3, музична зала
вул.Слобідська, 7, м.Житомир, 10019","1992","924","1970","6","1064","4","1068","","0","1063","4","1067","63","1004","11","12","16","669","8","17","5","205","16","4","41","29.10.12"
"181444","62","Житомирська область","навчально-виховний комплекс №34 ""Гармонія"", музична зала
проїзд Юрія Кондратюка, 13, м.Житомир, 10009","2382","1073","2346","11","1302","7","1309","","0","1302","7","1309","63","1246","14","16","24","747","8","12","9","346","29","6","35","29.10.12"
"181445","62","Житомирська область","гуманітарна гімназія №1, актова зала
вул.Вітрука, 55, м.Житомир, 10009","2304","1086","2271","7","1215","3","1218","","0","1215","3","1218","51","1167","8","11","32","743","8","7","8","283","24","6","37","29.10.12"
"181446","62","Житомирська область","гуртожиток Центру професійно-технічної освіти м.Житомира, актова зала
вул.Івана Огієнка, 14, м.Житомир, 10009","2286","1059","2282","4","1223","4","1227","","0","1223","4","1227","44","1183","12","14","20","765","16","16","4","284","18","1","33","29.10.12"
"181447","62","Житомирська область","дошкільний навчальний заклад №66, музична зала
пл.Польова, 16, м.Житомир, 10009","2370","1176","2472","4","1190","4","1194","","0","1190","4","1194","40","1154","8","16","28","796","13","13","8","224","16","2","30","29.10.12"
"181448","62","Житомирська область","дошкільний навчальний заклад №46, спортивна зала
пров.Шкільний, 6, м.Житомир, 10002","2250","1053","2225","14","1187","10","1197","","0","1187","10","1197","62","1135","8","18","20","744","6","17","4","246","25","5","42","29.10.12"
"181449","62","Житомирська область","школа №14, фойє
вул.Кибальчича, 7, м.Житомир, 10009","2244","996","2218","10","1239","9","1248","","0","1239","9","1248","41","1207","6","16","21","830","9","21","12","230","24","3","35","29.10.12"
"181450","62","Житомирська область","школа №22, фойє
вул.Космонавтів, 36, м.Житомир, 10009","2322","1042","2302","8","1273","7","1280","","0","1273","7","1280","72","1208","5","6","22","789","11","9","7","275","33","5","46","29.10.12"
"181451","62","Житомирська область","школа №30, фойє
пров.Шкільний, 4, м.Житомир, 10025","2238","985","2227","14","1243","10","1253","","0","1243","10","1253","69","1184","10","7","29","756","14","19","10","261","26","2","50","30.10.12"
"181452","62","Житомирська область","дошкільний навчальний заклад №44, музична зала
вул.Вітрука, 17, м.Житомир, 10025","2232","969","2192","15","1250","13","1263","","0","1250","13","1263","70","1193","7","16","18","760","10","17","10","285","22","12","36","29.10.12"
"181453","62","Житомирська область","Інститут підприємництва та сучасних технологій, фойє
пров.Шкільний, 7, м.Житомир, 10025","2136","976","2119","14","1146","14","1160","","0","1146","14","1160","50","1110","8","9","19","716","12","16","10","252","32","4","32","29.10.12"
"181454","62","Житомирська область","Житомирське вище професійне училище сервісу і дизайну, фойє
вул.Корольова, 132, м.Житомир, 10025","1626","850","1678","2","774","2","776","","0","774","2","776","23","753","13","9","17","454","6","7","4","194","17","2","30","29.10.12"
"181455","62","Житомирська область","центральна міська лікарня №1, читальна зала
вул.Велика Бердичівська, 70, м.Житомир, 10002","558","395","169","97","70","93","163","","0","70","93","163","10","153","1","1","5","73","3","3","0","54","9","0","4","29.10.12"
"181456","62","Житомирська область","Житомирська обласна клінічна лікарня імені О.Ф.Гербачевського, актова зала
вул.Червоного Хреста, 3, м.Житомир, 10002","834","490","403","181","188","156","344","","0","188","156","344","16","328","6","8","10","128","12","6","6","136","5","1","10","29.10.12"
"181457","62","Житомирська область","центральна дитяча міська лікарня, фойє
вул.Шевченка, 2, м.Житомир, 10002","192","176","20","0","16","0","16","","0","16","0","16","1","15","0","0","1","7","0","1","0","6","0","0","0","29.10.12"
"181458","62","Житомирська область","Житомирський військовий госпіталь - військова частина А1065, клуб
вул.Фещенка-Чопівського, 22, м.Житомир, 10002","204","158","46","8","38","8","46","","0","38","8","46","5","41","0","4","2","10","2","3","3","9","2","4","2","29.10.12"
"181459","62","Житомирська область","Житомирський обласний онкологічний диспансер, актова зала
вул.Фещенка-Чопівського, 24/4, м.Житомир, 10002","246","193","53","16","37","16","53","","0","37","16","53","5","48","1","2","1","12","1","1","0","24","2","0","4","29.10.12"
"181460","62","Житомирська область","сектор медичного забезпечення УМВС України в Житомирській області, актова зала
вул.Петровського, 2, м.Житомир, 10014","132","119","13","0","13","0","13","","0","13","0","13","0","13","0","0","0","3","0","0","0","10","0","0","0","29.10.12"
