"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баранівський
Олександр
Петрович","Білозір
Оксана
Володимирівна","Венчагов
Валентин
Володимирович","Гречаний
Сергій
Анатолійович","Добряк
Євген
Дмитрович","Журавський
Віталій
Станіславович","Іванова
Світлана
Олексіївна","Михайлюта
Олександр
Олександрович","Мішин
Віталій
Миколайович","Рудченко
Микола
Миколайович","Рябенко
Петро
Константинович","Тильчик
Галина
Климівна","Дата підписання протоколу"
"180958","66","Житомирська область","клуб, зала
вул.Леніна, 16, с.Будилівка, Радомишльський р-н, Житомирська обл., 12222","90","29","85","10","51","10","61","","0","51","10","61","1","60","0","15","0","2","26","10","1","0","0","6","0","0","28.10.12"
"180959","66","Житомирська область","школа, зала
вул.Центральна, 1Б, с.Облітки, Радомишльський р-н, Житомирська обл., 12223","306","101","304","38","167","38","205","","0","167","38","205","5","200","4","35","4","5","38","40","17","0","0","47","9","1","28.10.12"
"180960","66","Житомирська область","клуб, зала
вул.Центральна, 11Б, с.Дітинець, Радомишльський р-н, Житомирська обл., 12224","78","14","76","9","56","8","64","","0","56","8","64","2","62","0","7","1","1","14","32","2","0","0","3","2","0","28.10.12"
"180961","66","Житомирська область","сільська рада, зала
вул.Несененка, 50, с.Осички, Радомишльський р-н, Житомирська обл., 12241","384","145","373","23","216","23","239","","0","216","23","239","4","235","1","35","0","2","95","48","7","3","0","42","2","0","28.10.12"
"180962","66","Житомирська область","клуб, зала
вул.70 річчя Жовтня, 4, с.Русанівка, Радомишльський р-н, Житомирська обл., 12241","168","38","166","17","113","17","130","","0","113","17","130","10","120","4","12","1","3","17","32","6","1","2","37","4","1","28.10.12"
"180963","66","Житомирська область","будинок культури, зала
вул.Чайківська, 3, с.Пилиповичі, Радомишльський р-н, Житомирська обл., 12253","438","118","435","62","264","56","320","","0","264","56","320","5","315","2","19","3","2","81","130","19","0","1","52","6","0","03.11.12"
"180964","66","Житомирська область","будинок культури, зала
вул.Леніна, 30, с.Потіївка, Радомишльський р-н, Житомирська обл., 12225","1476","614","1441","43","820","42","862","","0","820","42","862","26","836","18","56","5","18","237","199","28","10","0","229","33","3","30.10.12"
"180965","66","Житомирська область","клуб, зала
вул.Центральна, 68, с.Моделів, Радомишльський р-н, Житомирська обл., 12225","234","78","230","23","133","23","156","","0","133","23","156","8","148","1","11","1","1","50","50","0","1","0","29","3","1","28.10.12"
"180966","66","Житомирська область","клуб, зала
вул.Центральна, 36Б, с.Раковичі, Радомишльський р-н, Житомирська обл., 12260","216","82","211","25","111","23","134","","0","111","23","134","4","130","2","6","3","3","38","38","4","1","1","22","9","3","28.10.12"
"180967","66","Житомирська область","будинок культури, зала
вул.Будьоннівська, 1, с.Чайківка, Радомишльський р-н, Житомирська обл., 12250","498","133","492","67","306","59","365","","0","306","59","365","7","358","1","24","1","1","169","52","8","3","0","95","3","1","28.10.12"
"180968","66","Житомирська область","центральна районна лікарня, хол
вул.Присутственна, 9, м.Радомишль, Радомишльський р-н, Житомирська обл., 12201","126","103","28","7","18","5","23","","0","18","5","23","0","23","0","2","0","2","3","7","2","0","0","4","3","0","03.11.12"
"180969","66","Житомирська область","поліклініка, хол
вул.Заляського, 14, с.Потіївка, Радомишльський р-н, Житомирська обл., 12225","30","3","27","0","27","0","27","","0","27","0","27","0","27","0","0","0","2","4","6","1","0","0","12","2","0","28.10.12"
"181119","66","Житомирська область","будинок культури, фойє
вул.Майдан Рад, 3, смт Черняхів, Черняхівський р-н, Житомирська обл., 12301","1866","839","1836","23","1008","19","1027","","0","1008","19","1027","27","1000","8","96","4","178","183","313","27","5","1","138","42","5","29.10.12"
"181120","66","Житомирська область","школа, вестибюль
вул.Калініна, 14, смт Черняхів, Черняхівський р-н, Житомирська обл., 12301","2154","932","2128","18","1206","16","1222","","0","1206","16","1222","31","1191","26","147","3","187","262","308","21","6","3","168","58","2","29.10.12"
"181121","66","Житомирська область","ветлікарня, зала засідань
вул.Щорса, 9, смт Черняхів, Черняхівський р-н, Житомирська обл., 12301","1956","870","1925","26","1066","20","1086","","0","1066","20","1086","29","1057","21","103","3","118","187","333","29","11","3","193","51","5","29.10.12"
"181122","66","Житомирська область","будинок дитячої творчості, актова зала
вул.Червоноармійська, 12, смт Черняхів, Черняхівський р-н, Житомирська обл., 12301","2190","942","2172","26","1228","20","1248","","0","1228","20","1248","35","1213","18","150","2","126","245","398","35","7","0","191","37","4","29.10.12"
"181123","66","Житомирська область","дитячий навчальний заклад, актова зала
вул.Свердлова, 2, с.Новосілка, Черняхівський р-н, Житомирська обл., 12305","432","153","428","8","272","7","279","","0","272","7","279","7","272","6","21","1","14","30","96","0","1","1","92","10","0","29.10.12"
"181124","66","Житомирська область","гімназія, спортивна зала
вул.Адміністративна, 5, смт Головине, Черняхівський р-н, Житомирська обл., 12325","1032","398","1022","23","615","19","634","","0","615","19","634","15","619","13","110","2","54","147","98","10","3","1","152","26","3","28.10.12"
"181125","66","Житомирська область","будинок культури, актова зала
вул.Щорса, 35А, смт Головине, Черняхівський р-н, Житомирська обл., 12325","336","108","325","14","214","14","228","","0","214","14","228","7","221","4","27","0","13","38","80","4","0","1","40","12","2","28.10.12"
"181126","66","Житомирська область","сільська рада, зала засідань
вул.Чапаєва, 20, с.Андріївка, Черняхівський р-н, Житомирська обл., 12321","420","158","416","22","242","20","262","","0","242","20","262","9","253","2","31","1","14","33","106","7","2","0","51","6","0","28.10.12"
"181127","66","Житомирська область","будинок культури, актова зала
вул.Леніна, 43, с.Бежів, Черняхівський р-н, Житомирська обл., 12326","408","137","404","16","258","13","271","","0","258","13","271","9","262","8","69","1","18","37","77","9","0","0","32","8","3","28.10.12"
"181128","66","Житомирська область","сільська рада, депутатська кімната
вул.Леніна, 37, с.Вільськ, Черняхівський р-н, Житомирська обл., 12334","582","209","576","52","324","49","373","","0","324","49","373","15","358","15","97","1","10","63","103","8","2","1","43","14","1","29.10.12"
"181129","66","Житомирська область","фельдшерський пункт, фойє
вул.Зої Космодем’янської, 9, с.Щербини, Черняхівський р-н, Житомирська обл., 12334","126","44","124","15","69","13","82","","0","69","13","82","0","82","3","8","3","1","8","39","3","1","1","14","0","1","29.10.12"
"181130","66","Житомирська область","сільська рада, зала засідань
вул.Леніна, 17А, с.Видибор, Черняхівський р-н, Житомирська обл., 12314","540","210","536","33","299","31","330","","0","299","31","330","11","319","7","66","3","16","29","103","5","2","1","75","9","3","28.10.12"
"181131","66","Житомирська область","клуб, актова зала
вул.Тварковського, 24А, с.Ганнопіль, Черняхівський р-н, Житомирська обл., 12314","168","64","160","23","86","18","104","","0","86","18","104","5","99","2","17","0","1","17","41","1","0","1","18","0","1","28.10.12"
"181132","66","Житомирська область","клуб, актова зала
вул.Радянська, 17А, с.Свидя, Черняхівський р-н, Житомирська обл., 12314","222","88","216","11","123","11","134","","0","123","11","134","3","131","1","12","0","8","13","43","5","0","2","41","3","3","28.10.12"
"181133","66","Житомирська область","сільська рада, зала засідань
вул.Чеська, 46, с.Високе, Черняхівський р-н, Житомирська обл., 12341","828","386","823","48","398","44","442","","0","398","44","442","20","422","15","61","1","19","81","137","4","3","1","60","38","2","28.10.12"
"181134","66","Житомирська область","клуб, актова зала
вул.Леніна, 27, с.Осники, Черняхівський р-н, Житомирська обл., 12342","348","162","340","17","170","16","186","","0","170","16","186","8","178","1","34","0","13","26","56","13","1","0","29","4","1","28.10.12"
"181135","66","Житомирська область","будинок культури, зала засідань
вул.Житомирська, 19, с.Велика Горбаша, Черняхівський р-н, Житомирська обл., 12343","522","189","518","11","324","9","333","","0","324","9","333","14","319","8","24","2","21","55","74","7","3","3","106","15","1","29.10.12"
"181136","66","Житомирська область","клуб, зала засідань
вул.Гагаріна, 59, с.Мала Горбаша, Черняхівський р-н, Житомирська обл., 12300","204","47","206","12","145","12","157","","0","145","12","157","7","150","1","27","1","17","28","47","0","0","1","12","14","2","29.10.12"
"181137","66","Житомирська область","будинок культури, танцювальна зала
вул.1 Травня, 1, с.Горбулів, Черняхівський р-н, Житомирська обл., 12316","546","221","541","14","311","14","325","","0","311","14","325","16","309","7","43","1","7","65","75","9","3","0","81","16","2","29.10.12"
"181138","66","Житомирська область","будинок культури, танцювальна зала
вул.Миру, 8, с.Городище, Черняхівський р-н, Житомирська обл., 12347","348","108","345","25","216","24","240","","0","216","24","240","7","233","11","27","0","11","30","85","8","1","2","45","10","3","29.10.12"
"181139","66","Житомирська область","будинок культури, актова зала
вул.Леніна, 3, с.Дівочки, Черняхівський р-н, Житомирська обл., 12340","528","201","522","14","317","10","327","","0","317","10","327","11","316","6","71","2","18","51","44","3","2","0","26","93","0","28.10.12"
"181140","66","Житомирська область","сільська рада, актова зала
вул.Першотравнева, 4, с.Жадьки, Черняхівський р-н, Житомирська обл., 12311","534","271","529","14","249","14","263","","0","249","14","263","1","262","5","44","2","10","58","46","4","0","0","80","12","1","28.10.12"
"181141","66","Житомирська область","будинок культури, зала засідань
вул.Леніна, 1Б, с.Забріддя, Черняхівський р-н, Житомирська обл., 12344","420","127","420","39","255","38","293","","0","255","38","293","7","286","6","61","1","11","47","122","3","5","1","26","3","0","29.10.12"
"181142","66","Житомирська область","клуб, зала засідань
вул.Поліщука, 12А, с.Щеніїв, Черняхівський р-н, Житомирська обл., 12344","210","45","208","34","132","33","165","","0","132","33","165","4","161","0","11","1","2","71","39","4","1","2","28","2","0","28.10.12"
"181143","66","Житомирська область","будинок культури, актова зала
вул.Леніна, 55, с.Зороків, Черняхівський р-н, Житомирська обл., 12335","252","70","253","18","164","18","182","","0","164","18","182","4","178","12","16","0","3","31","44","4","1","2","59","6","0","28.10.12"
"181144","66","Житомирська область","будинок культури, актова зала
вул.Котовського, 44, с.Вишпіль, Черняхівський р-н, Житомирська обл., 12335","282","85","276","11","186","11","197","","0","186","11","197","5","192","4","41","0","6","24","79","4","0","1","26","6","1","28.10.12"
"181145","66","Житомирська область","клуб, актова зала
вул.Фрунзе, 85, с.Іванків, Черняхівський р-н, Житомирська обл., 12335","210","70","202","18","128","12","140","","0","128","12","140","4","136","5","21","0","3","16","42","4","2","3","31","9","0","28.10.12"
"181146","66","Житомирська область","сільська рада, зала засідань
вул.Леніна, 55, с.Клітище, Черняхівський р-н, Житомирська обл., 12332","288","131","284","8","153","4","157","","0","153","4","157","7","150","3","17","0","4","30","30","4","0","1","44","15","2","29.10.12"
"181147","66","Житомирська область","сільська рада, зала засідань
вул.Леніна, 8, с.Ксаверівка, Черняхівський р-н, Житомирська обл., 12332","306","130","297","11","166","10","176","","0","166","10","176","3","173","8","40","0","0","20","55","4","1","3","29","12","1","28.10.12"
"181148","66","Житомирська область","будинок культури, фойє
вул.Рад, 1, с.Крученець, Черняхівський р-н, Житомирська обл., 12332","150","41","148","9","100","9","109","","0","100","9","109","3","106","0","18","0","3","27","25","0","1","0","31","1","0","29.10.12"
"181149","66","Житомирська область","сільська рада, зала засідань
вул.Червоноармійська, 1, с.Новопіль, Черняхівський р-н, Житомирська обл., 12333","534","232","529","36","273","29","302","","0","273","29","302","9","293","5","52","3","8","32","93","3","1","1","81","13","1","28.10.12"
"181150","66","Житомирська область","адмінбудинок сільськогосподарського підприємства, кімната засідань
вул.Леніна, 43А, с.Окілок, Черняхівський р-н, Житомирська обл., 12333","318","132","310","16","174","12","186","","0","174","12","186","2","184","0","21","1","6","23","42","1","1","0","86","3","0","28.10.12"
"181151","66","Житомирська область","сільська рада, обрядова зала
вул.Перемоги, 2, с.Очеретянка, Черняхівський р-н, Житомирська обл., 12320","288","106","281","12","171","11","182","","0","171","11","182","8","174","3","10","0","10","19","47","4","0","1","79","1","0","28.10.12"
"181152","66","Житомирська область","будинок культури, фойє
вул.Петровського, 1, с.Пекарщина, Черняхівський р-н, Житомирська обл., 12331","288","99","282","20","170","19","189","","0","170","19","189","6","183","7","29","2","2","35","59","6","0","0","38","4","1","28.10.12"
"181153","66","Житомирська область","приміщення дошкільного закладу, кімната відпочинку 2
вул.Московська, 3, с.Сали, Черняхівський р-н, Житомирська обл., 12312","252","83","241","23","149","20","169","","0","149","20","169","1","168","2","18","1","6","29","44","6","0","0","57","5","0","28.10.12"
"181154","66","Житомирська область","школа, кабінет початкових класів 2
вул.Радянська, 21, с.Росівка, Черняхівський р-н, Житомирська обл., 12312","186","46","184","32","109","31","140","","0","109","31","140","3","137","3","18","1","7","23","41","5","0","1","37","0","1","28.10.12"
"181155","66","Житомирська область","ліцей, приміщення їдальні
вул.Творогова, 42, с.Селянщина, Черняхівський р-н, Житомирська обл., 12331","330","125","325","18","189","16","205","","0","189","16","205","7","198","7","21","0","10","49","53","3","1","0","48","5","1","28.10.12"
"181156","66","Житомирська область","адмінбудинок сільськогосподарського підприємства, актова зала
вул.Черняхівська, 14, с.Славів, Черняхівський р-н, Житомирська обл., 12331","156","52","148","7","99","5","104","","0","99","5","104","1","103","2","23","2","6","4","42","0","0","0","14","10","0","28.10.12"
"181157","66","Житомирська область","сільська рада, зала засідань
вул.Радянська, 91, с.Сліпчиці, Черняхівський р-н, Житомирська обл., 12325","528","189","524","19","323","16","339","","0","323","16","339","9","330","10","39","4","23","75","53","5","3","1","69","47","1","28.10.12"
"181158","66","Житомирська область","клуб, зала урочистих подій
вул.Шевченка, 27А, с.Корчівка, Черняхівський р-н, Житомирська обл., 12325","114","39","111","4","71","4","75","","0","71","4","75","0","75","1","10","3","4","30","13","0","0","0","13","1","0","28.10.12"
"181159","66","Житомирська область","будинок культури, фойє
вул.Леніна, 3, с.Селець, Черняхівський р-н, Житомирська обл., 12312","258","93","253","2","164","1","165","","0","164","1","165","7","158","2","16","2","5","44","44","10","0","2","31","2","0","29.10.12"
"181160","66","Житомирська область","школа, каб.1
вул.Житомирська, 6, с.Браженка, Черняхівський р-н, Житомирська обл., 12312","156","43","151","8","110","3","113","","0","110","3","113","4","109","2","15","1","4","36","35","1","0","0","12","3","0","28.10.12"
"181161","66","Житомирська область","сільська рада, кімната урочистих подій
вул.Леніна, 42, с.Стирти, Черняхівський р-н, Житомирська обл., 12322","270","96","267","12","162","12","174","","0","162","12","174","3","171","2","10","1","6","24","55","4","0","0","61","6","2","29.10.12"
"181162","66","Житомирська область","клуб, зала засідань
вул.Калініна, 22, с.Федорівка, Черняхівський р-н, Житомирська обл., 12322","186","53","186","10","127","6","133","","0","127","6","133","6","127","4","15","1","1","24","52","1","1","0","25","2","1","28.10.12"
"181163","66","Житомирська область","сільська рада, зала засідань
вул.Житомирська, 1А, с.Троковичі, Черняхівський р-н, Житомирська обл., 12345","1296","689","1284","31","576","31","607","","0","576","31","607","38","569","14","64","3","49","85","182","21","7","5","97","39","3","29.10.12"
"181164","66","Житомирська область","клуб, танцювальна зала
вул.Високівська, 2Б, с.Некраші, Черняхівський р-н, Житомирська обл., 12345","426","166","422","37","223","37","260","","0","223","37","260","8","252","9","28","1","11","47","84","4","2","0","57","7","2","28.10.12"
"181165","66","Житомирська область","Черняхівське територіальне медичне об’єднання, актова зала
вул.Калініна, 42, смт Черняхів, Черняхівський р-н, Житомирська обл., 12301","114","89","43","4","21","4","25","","0","21","4","25","0","25","0","2","0","3","7","6","1","0","0","6","0","0","28.10.12"
"181300","66","Житомирська область","районний будинок культури, фойє
вул.Грушевського, 16, м.Малин, Житомирська обл., 11601","2436","1021","2416","37","1386","29","1415","","0","1386","29","1415","18","1397","24","141","6","34","619","143","96","5","3","259","66","1","29.10.12"
"181301","66","Житомирська область","клуб автопідприємства 11845, актова зала
вул.Кримського, 118, м.Малин, Житомирська обл., 11601","2436","1029","2421","42","1371","36","1407","","0","1371","36","1407","28","1379","30","103","3","38","578","246","67","6","2","239","63","4","02.11.12"
"181302","66","Житомирська область","клуб каменедробильного заводу, актова зала
вул.Героїв Малинського підпілля, 4, м.Малин, Житомирська обл., 11603","2184","916","2172","13","1255","13","1268","","0","1255","13","1268","32","1236","7","131","2","38","555","170","53","4","0","235","35","6","29.10.12"
"181303","66","Житомирська область","школа №5, спортивна зала
пров.Радянський, 4, м.Малин, Житомирська обл., 11603","1542","713","1537","13","818","11","829","","0","818","11","829","16","813","24","120","0","16","333","101","39","8","2","130","38","2","29.10.12"
"181304","66","Житомирська область","дитячий садок ""Золотий ключик"", актова зала
вул.Огієнка, 73Б, м.Малин, Житомирська обл., 11604","1890","802","1873","16","1077","11","1088","","0","1077","11","1088","11","1077","10","98","2","34","441","207","40","3","2","189","48","3","29.10.12"
"181305","66","Житомирська область","виробниче комунальне ремонтно-експлуатаційне підприємство, адмінкімната
вул.Українських повстанців, 27, м.Малин, Житомирська обл., 11601","2442","1080","2434","11","1353","9","1362","","0","1353","9","1362","41","1321","30","129","1","37","555","163","89","14","2","232","66","3","29.10.12"
"181306","66","Житомирська область","адмінбудинок електромереж, актова зала
вул.Некрасова, 18, м.Малин, Житомирська обл., 11601","2430","1002","2411","30","1399","29","1428","","0","1399","29","1428","36","1392","24","182","2","35","555","214","50","6","5","252","65","2","29.10.12"
"181307","66","Житомирська область","школа №3, спортивна зала
вул.Суворова, 1/52, м.Малин, Житомирська обл., 11601","1722","673","1709","23","1033","16","1049","","0","1033","16","1049","18","1031","21","101","1","24","402","192","88","16","0","140","44","2","29.10.12"
"181308","66","Житомирська область","будинок культури паперової фабрики, актова зала
вул.Неманіхіна, 11, м.Малин, Житомирська обл., 11602","2478","1011","2441","19","1454","13","1467","","0","1454","13","1467","18","1449","17","110","2","40","677","247","75","5","4","200","69","3","29.10.12"
"181309","66","Житомирська область","школа №4. фойє
пров.Димитрова, 1А, м.Малин, Житомирська обл., 11602","2454","1021","2435","10","1424","9","1433","","0","1424","9","1433","34","1399","17","116","2","50","609","255","65","8","2","208","64","3","29.10.12"
"181310","66","Житомирська область","міськрайонне територіальне медичне об’єднання, велика конференц зала
вул.Суворова, 83, м.Малин, Житомирська обл., 11601","192","148","50","6","38","6","44","","0","38","6","44","0","44","1","3","0","1","12","15","5","0","0","4","3","0","29.10.12"
"181463","66","Житомирська область","Гарнізонний будинок офіцерів, фойє
вул.Першотравнева, 6, смт Городок, Радомишльський р-н, Житомирська обл.","1326","611","1315","2","713","2","715","","0","713","2","715","25","690","12","118","1","47","118","247","43","1","3","77","15","8","29.10.12"
