"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Грушевський
Віталій
Анатолійович","Дем’янчук
Вікторія
Олександрівна","Діденко
Олег
Валентинович","Колючий
Володимир
Данилович","Кропівка
Анатолій
Федосійович","Литвин
Юрій
Олексійович","Маральов
Юрій
Васильович","Ролінський
Володимир
Іванович","Супрун
Людмила
Павлівна","Сухін
Юрій
Михайлович","Чорноіваненко
Олександр
Анатолійович","Дата підписання протоколу"
"350456","101","Кіровоградська область","сільський будинок культури, зала
вул.Леніна, 23, с.Шпакове, Новомиргородський р-н, Кіровоградська обл., 26022","186","55","183","14","118","13","131","","0","118","13","131","2","129","53","5","6","1","1","9","1","0","13","1","39","29.10.12"
"350457","101","Кіровоградська область","фельдшерсько-акушерський пункт, хол
вул.Шевченка, 10, с.Бровкове, Новомиргородський р-н, Кіровоградська обл., 26022","72","33","72","4","35","4","39","","0","35","4","39","0","39","15","3","1","0","1","3","0","0","9","0","7","28.10.12"
"350669","101","Кіровоградська область","школа, спортзал
вул.Леніна, 55, с.Богданове, Ульяновський р-н, Кіровоградська обл., 26432","378","129","373","22","227","22","249","","0","227","22","249","7","242","78","10","12","1","1","43","0","0","52","9","36","28.10.12"
"350670","101","Кіровоградська область","школа, спортзал
вул.Поворознюка, 10А, с.Великі Трояни, Ульяновський р-н, Кіровоградська обл., 26413","900","296","880","89","520","84","604","","0","520","84","604","18","586","140","13","92","5","4","37","2","3","76","44","170","28.10.12"
"350671","101","Кіровоградська область","школа, вестибюль
вул.Гагаріна, 5, с.Вільхове, Ульяновський р-н, Кіровоградська обл., 26410","852","382","837","79","402","68","470","","0","402","68","470","20","450","119","25","65","3","2","35","1","3","72","25","100","29.10.12"
"350672","101","Кіровоградська область","будинок культури, вестибюль
вул.Шевченка, 1Б, с.Грушка, Ульяновський р-н, Кіровоградська обл., 26420","1068","431","1053","61","579","58","637","","0","579","58","637","11","626","169","28","73","8","24","39","6","12","86","37","144","29.10.12"
"350673","101","Кіровоградська область","будинок культури, вестибюль
вул.Наумова, 160, с.Станіславове, Ульяновський р-н, Кіровоградська обл., 26421","84","19","79","12","53","12","65","","0","53","12","65","3","62","13","10","16","0","0","1","0","1","3","3","15","28.10.12"
"350674","101","Кіровоградська область","школа, вестибюль
вул.Леніна, 2, с.Данилова Балка, Ульяновський р-н, Кіровоградська обл., 26440","618","244","609","47","332","42","374","","0","332","42","374","12","362","96","28","36","0","2","45","0","0","96","6","53","29.10.12"
"350675","101","Кіровоградська область","будинок культури, вестибюль
вул.Шевченка, 41, с.Шевченка, Ульяновський р-н, Кіровоградська обл., 26440","150","37","147","24","89","24","113","","0","89","24","113","2","111","18","5","8","0","0","10","0","0","56","2","12","28.10.12"
"350676","101","Кіровоградська область","будинок культури, вестибюль
вул.Центральна, 19, с.Йосипівка, Ульяновський р-н, Кіровоградська обл., 26414","1146","466","1146","90","598","82","680","","0","598","82","680","16","664","143","17","40","1","11","129","3","5","86","50","179","29.10.12"
"350677","101","Кіровоградська область","будинок культури, фойє
вул.Орджонікідзе, 9, с.Кам’яний Брід, Ульяновський р-н, Кіровоградська обл., 26430","600","242","592","36","327","31","358","","0","327","31","358","13","345","118","6","47","2","3","48","1","1","52","23","44","28.10.12"
"350678","101","Кіровоградська область","сільський клуб, к.2
вул.Леніна, 3, с.Христофорове, Ульяновський р-н, Кіровоградська обл., 26431","144","52","142","14","83","9","92","","0","83","9","92","4","88","31","3","2","1","0","18","0","0","17","2","14","28.10.12"
"350679","101","Кіровоградська область","школа, спортзал
вул.Леніна, 130, с.Кам’яна Криниця, Ульяновський р-н, Кіровоградська обл., 26412","804","338","793","53","419","47","466","","0","419","47","466","18","448","105","12","46","5","0","21","1","2","143","34","79","28.10.12"
"350680","101","Кіровоградська область","будинок культури, вестибюль
вул.Фрунзе, 54, с.Лозувата, Ульяновський р-н, Кіровоградська обл., 26441","888","351","872","56","485","52","537","","0","485","52","537","27","510","98","18","47","4","0","115","12","0","67","28","121","29.10.12"
"350681","101","Кіровоградська область","будинок культури, вестибюль
вул.Змійововго, 39, с.Дельфінове, Ульяновський р-н, Кіровоградська обл., 26442","252","72","249","33","148","32","180","","0","148","32","180","5","175","65","16","11","1","0","44","1","0","22","1","14","29.10.12"
"350682","101","Кіровоградська область","будинок культури, фойє
вул.Колгоспна, 116, с.Луполове, Ульяновський р-н, Кіровоградська обл., 26443","456","218","452","28","212","26","238","","0","212","26","238","7","231","34","9","37","2","0","24","1","1","83","8","32","29.10.12"
"350683","101","Кіровоградська область","будинок культури, фойє
вул.Кооперативна, 42, с.Кошаро-Олександрівка, Ульяновський р-н, Кіровоградська обл., 26444","204","88","201","18","98","18","116","","0","98","18","116","4","112","28","4","20","2","2","20","1","0","15","4","16","29.10.12"
"350684","101","Кіровоградська область","будинок культури, вестибюль
вул.Центральна, 3, с.Мечиславка, Ульяновський р-н, Кіровоградська обл., 26415","558","240","546","45","277","41","318","","0","277","41","318","17","301","84","9","28","2","0","39","1","0","62","16","60","28.10.12"
"350685","101","Кіровоградська область","школа, фойє
вул.Леніна, 70, с.Новоселиця, Ульяновський р-н, Кіровоградська обл., 26423","1062","383","1058","72","612","67","679","","0","612","67","679","13","666","171","34","72","6","30","68","4","4","68","25","184","29.10.12"
"350686","101","Кіровоградська область","школа, вестибюль
вул.Леніна, 50А, с.Розношенське, Ульяновський р-н, Кіровоградська обл., 26422","672","222","663","72","383","67","450","","0","383","67","450","9","441","189","9","50","1","4","30","3","6","48","37","64","29.10.12"
"350687","101","Кіровоградська область","школа, їдальня
вул.Леніна, 159, с.Сабатинівка, Ульяновський р-н, Кіровоградська обл., 26434","732","358","721","64","330","44","374","","0","330","44","374","11","363","97","15","27","2","0","21","2","1","99","11","88","29.10.12"
"350688","101","Кіровоградська область","будинок культури, вестибюль
вул.Леніна, 35, с.Синицівка, Ульяновський р-н, Кіровоградська обл., 26433","294","96","287","26","179","19","198","","0","179","19","198","7","191","130","6","13","2","2","10","0","0","14","1","13","29.10.12"
"350689","101","Кіровоградська область","будинок культури, обрядова кімната
вул.Леніна, 23, с.Синьки, Ульяновський р-н, Кіровоградська обл., 26411","774","306","760","79","406","62","468","","0","406","62","468","12","456","102","23","31","5","5","50","9","52","111","12","56","08.11.12"
"350690","101","Кіровоградська область","будинок культури, вестибюль
вул.Леніна, 68, м.Ульяновка, Ульяновський р-н, Кіровоградська обл., 26400","1920","912","1906","70","972","36","1008","","0","972","36","1008","13","995","136","67","128","7","8","68","7","10","240","75","249","29.10.12"
"350691","101","Кіровоградська область","відділ реєстрації актів цивільного стану управління юстиції, обрядова зала
вул.Промислова, 23/54, м.Ульяновка, Ульяновський р-н, Кіровоградська обл., 26400","1644","807","1574","32","805","32","837","","0","805","32","837","24","813","129","42","109","4","4","72","4","2","171","105","171","29.10.12"
"350692","101","Кіровоградська область","гімназія, школа №1, їдальня
пров.Леніна, 7, м.Ульяновка, Ульяновський р-н, Кіровоградська обл., 26400","1974","863","2013","92","1039","72","1111","","0","1039","72","1111","40","1071","164","51","147","5","7","49","4","6","178","131","329","28.10.12"
"350693","101","Кіровоградська область","школа, спортзал
вул.Чернишевського, 6, с.Шамраєве, Ульяновський р-н, Кіровоградська обл., 26452","1356","549","1358","86","744","63","807","","0","744","63","807","12","795","227","11","54","0","21","36","3","0","232","57","154","29.10.12"
