"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрющенко
Богдан
Вікторович","Березкін
Станіслав
Семенович","Гранатова
Ольга
Арсентіївна","Гук
Вадим
Ігорович","Дорохіна
Людмила
Володимирівна","Іванченко
Павло
Петрович","Манженко
Євгеній
Іванович","Подорожний
Сергій
Михайлович","Порубай
Валерій
Юрійович","Секрет
Зоя
Федорівна","Сіненко
Ігор
Михайлович","Дата підписання протоколу"
"350145","100","Кіровоградська область","школа, їдальня
вул.Леніна, 3, с.Карбівка, Добровеличківський р-н, Кіровоградська обл., 27017","288","108","284","15","165","15","180","","0","165","15","180","8","172","4","82","48","4","0","1","22","4","0","4","3","29.10.12"
"350146","100","Кіровоградська область","сільська рада, зала засідань
вул.Волосика, 21, с.Липняжка, Добровеличківський р-н, Кіровоградська обл., 27015","984","439","985","101","459","86","545","","0","459","86","545","16","529","11","122","272","13","10","3","30","21","4","41","2","29.10.12"
"350147","100","Кіровоградська область","сільський палац культури, фойє
вул.Леніна, 18, с.Липняжка, Добровеличківський р-н, Кіровоградська обл., 27015","642","248","637","44","353","41","394","","0","353","41","394","6","388","15","105","195","6","7","3","21","4","4","25","3","29.10.12"
"350148","100","Кіровоградська область","школа №2, кл. 5
вул.Цукровий завод, 10, с.Липняжка, Добровеличківський р-н, Кіровоградська обл., 27015","828","532","810","24","279","17","296","","0","279","17","296","11","285","10","127","81","4","7","3","20","3","1","28","1","29.10.12"
"350149","100","Кіровоградська область","школа, вестибюль
вул.Шевченка, 35, с.Любомирка, Добровеличківський р-н, Кіровоградська обл., 27040","330","148","327","24","161","21","182","","0","161","21","182","4","178","8","57","75","1","3","2","22","1","0","7","2","29.10.12"
"350150","100","Кіровоградська область","адмінбудинок ТОВ ""Згода"", актовий зал
вул.Центральна, 10, с.Маркове, Добровеличківський р-н, Кіровоградська обл., 27011","216","97","210","13","110","9","119","","0","110","9","119","6","113","2","48","40","1","1","1","2","3","2","12","1","30.10.12"
"350151","100","Кіровоградська область","сільська рада, зала засідань
вул.Орджонекідзе, 1, с.Миколаївка, Добровеличківський р-н, Кіровоградська обл., 27042","330","152","329","30","151","27","178","","0","0","0","178","7","171","3","85","54","1","3","2","6","8","1","6","2","31.10.12"
"350152","100","Кіровоградська область","сільський клуб, глядацька зала
вул.Радянська, сільський клуб, с.Новолутківка, Добровеличківський р-н, Кіровоградська обл., 27022","378","121","374","20","238","19","257","","0","238","19","257","6","251","10","58","131","0","5","3","24","3","0","9","8","29.10.12"
"350153","100","Кіровоградська область","сільський клуб, глядацька зала
вул.Леніна, 30, с.Олександрівка, Добровеличківський р-н, Кіровоградська обл., 27012","426","161","418","40","227","38","265","","0","227","38","265","5","260","11","84","82","3","4","1","15","8","1","39","12","29.10.12"
"350154","100","Кіровоградська область","сільський палац культури, зала засідань
вул.Леніна, 1, с.Олексіївка, Добровеличківський р-н, Кіровоградська обл., 27036","942","397","936","70","482","63","545","","0","482","63","545","20","525","17","142","207","7","22","5","53","13","6","47","6","29.10.12"
"350155","100","Кіровоградська область","будинок культури, фойє
вул.Миру, 24, с.Перчунове, Добровеличківський р-н, Кіровоградська обл., 27043","504","224","499","24","256","24","280","","0","256","24","280","9","271","12","126","80","3","2","3","16","5","2","17","5","29.10.12"
"350156","100","Кіровоградська область","аграрний ліцей, спортивний зал
вул.Дзержинського, 1, с.Піщаний Брід, Добровеличківський р-н, Кіровоградська обл., 27037","798","380","789","14","408","10","418","","0","408","10","418","10","408","10","141","140","3","9","19","35","10","3","33","5","29.10.12"
"350157","100","Кіровоградська область","школа №1, вестибюль
вул.Поповича, 23, с.Піщаний Брід, Добровеличківський р-н, Кіровоградська обл., 27037","684","277","680","41","370","37","407","","0","370","37","407","15","392","11","156","125","3","5","5","32","11","0","35","9","29.10.12"
"350158","100","Кіровоградська область","школа №2, спортивний зал
вул.України, 1А, с.Піщаний Брід, Добровеличківський р-н, Кіровоградська обл., 27037","420","135","417","36","253","32","285","","0","253","32","285","5","280","7","113","101","4","6","7","17","4","4","11","6","29.10.12"
"350159","100","Кіровоградська область","школа, вестибюль
школа, с.Перемога, Добровеличківський р-н, Кіровоградська обл., 27037","162","60","161","6","98","4","102","","0","98","4","102","5","97","4","37","23","1","3","1","11","7","1","8","1","29.10.12"
"350160","100","Кіровоградська область","фельдшерсько-акушерський пункт, робоча кімната
фельдшерсько-акушерський пункт, с.Веснянка, Добровеличківський р-н, Кіровоградська обл., 27037","138","49","141","14","77","12","89","","0","77","12","89","0","89","2","41","24","3","3","0","4","4","3","5","0","29.10.12"
"350161","100","Кіровоградська область","сільський клуб, глядацька зала
вул.Леніна, 40, с.Тернове, Добровеличківський р-н, Кіровоградська обл., 27023","210","46","207","16","149","15","164","","0","149","15","164","7","157","7","45","40","3","5","7","18","6","3","19","4","29.10.12"
"350162","100","Кіровоградська область","сільський клуб, глядацька зала
вул.Шевченка, сільський клуб, с.Новастанкувата, Добровеличківський р-н, Кіровоградська обл., 27023","120","41","120","7","72","7","79","","0","72","7","79","1","78","3","20","37","3","2","2","3","2","0","4","2","30.10.12"
"350163","100","Кіровоградська область","школа, кл. 4
школа, с.Андріївка, Добровеличківський р-н, Кіровоградська обл., 27013","174","60","170","13","104","10","114","","0","104","10","114","3","111","3","70","20","0","0","0","8","1","1","7","1","31.10.12"
"350164","100","Кіровоградська область","контора ТОВ ""СВК Україна"", актовий зал
вул.Чкалова, 3, с.Тишківка, Добровеличківський р-н, Кіровоградська обл., 27013","960","453","945","41","468","39","507","","0","468","39","507","11","496","18","164","215","3","4","3","41","7","2","33","6","29.10.12"
"350165","100","Кіровоградська область","сільський палац культури, фойє
вул.Чкалова, 15, с.Тишківка, Добровеличківський р-н, Кіровоградська обл., 27013","684","337","681","34","314","33","347","","0","314","33","347","12","335","15","131","96","4","6","1","33","3","4","40","2","29.10.12"
"350166","100","Кіровоградська область","контора ТОВ ""АФ ""Світанок"", актовий зал
вул.Суворова, 1, с.Тишківка, Добровеличківський р-н, Кіровоградська обл., 27013","600","264","598","29","309","27","336","","0","309","27","336","7","329","14","121","97","0","7","3","40","12","4","28","3","29.10.12"
"350167","100","Кіровоградська область","школа, вестибюль
школа, с.Трояни, Добровеличківський р-н, Кіровоградська обл., 27021","240","82","234","21","142","16","158","","0","142","16","158","6","152","3","43","53","2","0","0","20","4","3","20","4","29.10.12"
"350168","100","Кіровоградська область","сільський клуб, глядацька зала
сільський клуб, с.Федорівка, Добровеличківський р-н, Кіровоградська обл., 27020","318","115","305","15","189","14","203","","0","189","14","203","9","194","9","53","82","6","7","0","16","2","3","14","2","29.10.12"
"350169","100","Кіровоградська область","сільський клуб, фойє
сільський клуб, с.Показове, Добровеличківський р-н, Кіровоградська обл., 27020","102","34","99","6","62","6","68","","0","62","6","68","1","67","3","29","26","1","0","0","2","2","0","3","1","29.10.12"
"350170","100","Кіровоградська область","сільський клуб, глядацька зала
вул.Радгоспна, 3, с.Червона Поляна, Добровеличківський р-н, Кіровоградська обл., 27038","474","173","473","52","256","45","301","","0","256","45","301","9","292","11","110","102","4","7","3","17","9","1","23","5","29.10.12"
"350171","100","Кіровоградська область","школа, вестибюль
школа, с.Юр’ївка, Добровеличківський р-н, Кіровоградська обл., 27006","348","146","344","30","173","29","202","","0","173","29","202","12","190","4","52","57","4","5","2","26","5","3","29","3","29.10.12"
"350249","100","Кіровоградська область","дитячий садок ""Веселка"", музично-спортивна зала
вул.Кірова, 4, с.Аджамка, Кіровоградський р-н, Кіровоградська обл., 27620","1068","544","1081","42","482","42","524","","0","482","42","524","20","504","25","190","144","15","11","5","44","16","11","39","4","29.10.12"
"350250","100","Кіровоградська область","будинок культури, фойє
вул.Леніна, 59, с.Аджамка, Кіровоградський р-н, Кіровоградська обл., 27620","1176","617","1168","73","489","70","559","","0","489","70","559","17","542","18","204","206","6","5","2","27","13","11","45","5","29.10.12"
"350251","100","Кіровоградська область","адмінприміщення ФГ ""Маяк Р"", фойє
вул.Пушкіна, 61А, с.Аджамка, Кіровоградський р-н, Кіровоградська обл., 27620","756","368","754","63","326","62","388","","0","326","62","388","8","380","12","168","127","2","5","2","22","6","2","30","4","29.10.12"
"350252","100","Кіровоградська область","будинок культури, мала зала
вул.Боженко, 135А, с.Бережинка, Кіровоградський р-н, Кіровоградська обл., 27605","1890","951","1867","28","915","24","939","","0","915","24","939","41","898","34","273","348","12","20","6","110","29","6","50","10","29.10.12"
"350253","100","Кіровоградська область","школа, фойє
вул.Радянська, 2А, с.Веселівка, Кіровоградський р-н, Кіровоградська обл., 27603","636","308","633","52","277","51","328","","0","277","51","328","17","311","13","137","97","5","4","0","30","6","1","16","2","29.10.12"
"350254","100","Кіровоградська область","школа, актова зала
вул.Леніна, 2А, с.Велика Северинка, Кіровоградський р-н, Кіровоградська обл., 27613","822","361","816","26","435","26","461","","0","435","26","461","21","440","14","159","127","4","5","8","64","10","11","31","7","29.10.12"
"350255","100","Кіровоградська область","сільський клуб, глядацька зала
вул.Говорова, 5, с.Підгайці, Кіровоградський р-н, Кіровоградська обл., 27613","990","442","979","25","525","23","548","","0","525","23","548","16","532","18","162","165","5","24","2","47","18","3","76","12","28.10.12"
"350256","100","Кіровоградська область","сільський клуб, глядацька зала
вул.Річна, 1, с.Лозуватка, Кіровоградський р-н, Кіровоградська обл., 27613","138","47","131","9","82","9","91","","0","82","9","91","2","89","4","37","22","1","3","0","10","4","3","4","1","29.10.12"
"350257","100","Кіровоградська область","будинок культури, фойє
вул.Леніна, 5, с.Високі Байраки, Кіровоградський р-н, Кіровоградська обл., 27601","726","374","717","22","330","22","352","","0","330","22","352","6","346","7","261","42","1","1","1","19","5","2","5","2","29.10.12"
"350258","100","Кіровоградська область","школа, фойє
вул.Молодіжна, 1А, с.Вишняківка, Кіровоградський р-н, Кіровоградська обл., 27645","282","133","280","32","119","30","149","","0","119","30","149","4","145","4","55","60","2","3","2","9","5","1","4","0","29.10.12"
"350259","100","Кіровоградська область","сільський клуб, фойє
вул.Будьонного, 30, с.Вільне, Кіровоградський р-н, Кіровоградська обл., 27640","750","314","735","0","436","0","436","","0","436","0","436","25","411","13","142","153","3","6","1","50","15","2","18","8","28.10.12"
"350260","100","Кіровоградська область","сільський клуб, кінозал
вул.Куйбишева, 14, с.Володимирівка, Кіровоградський р-н, Кіровоградська обл., 27611","438","167","434","31","242","29","271","","0","242","29","271","10","261","4","88","116","2","6","5","16","11","2","10","1","29.10.12"
"350261","100","Кіровоградська область","будинок культури, фойє
вул.Леніна, 48, с.Гаївка, Кіровоградський р-н, Кіровоградська обл., 27604","282","118","278","14","151","13","164","","0","151","13","164","8","156","6","85","38","1","4","3","4","4","2","5","4","28.10.12"
"350262","100","Кіровоградська область","будинок культури, мала зала
вул.Сабліна, 42, с.Грузьке, Кіровоградський р-н, Кіровоградська обл., 27632","906","490","894","63","356","60","416","","0","356","60","416","29","387","7","219","81","3","7","2","30","12","2","20","4","28.10.12"
"350263","100","Кіровоградська область","школа, фойє
вул.Миру, 58Б, с.Іванівка, Кіровоградський р-н, Кіровоградська обл., 27655","438","188","435","23","229","21","250","","0","229","21","250","10","240","2","82","85","4","7","3","20","8","4","24","1","29.10.12"
"350264","100","Кіровоградська область","сільський клуб, мала зала
вул.Леніна, 58, с.Івано-Благодатне, Кіровоградський р-н, Кіровоградська обл., 27635","324","126","312","11","188","10","198","","0","188","10","198","3","195","4","97","50","2","0","0","22","5","0","13","2","29.10.12"
"350265","100","Кіровоградська область","адмінприміщення житлового будинку №1, фойє
вул.Лісова Поляна, 1, с.Івано-Благодатне, Кіровоградський р-н, Кіровоградська обл., 27635","222","90","221","0","132","0","132","","0","132","0","132","6","126","5","64","32","1","2","0","12","3","2","2","3","29.10.12"
"350266","100","Кіровоградська область","будинок культури, фойє
вул.Шкільна, 91, с.Калинівка, Кіровоградський р-н, Кіровоградська обл., 27653","648","263","641","48","340","45","385","","0","340","45","385","15","370","8","191","80","3","7","4","30","3","2","38","4","29.10.12"
"350267","100","Кіровоградська область","будинок культури, фойє
вул.Гагаріна, 2, с.Клинці, Кіровоградський р-н, Кіровоградська обл., 27651","678","274","668","24","381","23","404","","0","381","23","404","14","390","19","176","98","7","5","2","23","11","6","33","10","29.10.12"
"350268","100","Кіровоградська область","школа, фойє
вул.Леніна, 4, с.Ганнинське, Кіровоградський р-н, Кіровоградська обл., 27644","258","117","253","19","124","17","141","","0","124","17","141","8","133","5","42","60","2","5","3","10","0","1","3","2","29.10.12"
"350269","100","Кіровоградська область","школа, фойє
вул.Шабанова, 40, с.Крупське, Кіровоградський р-н, Кіровоградська обл., 27643","528","250","519","36","245","33","278","","0","245","33","278","11","267","17","85","96","4","2","4","19","22","2","14","2","29.10.12"
"350270","100","Кіровоградська область","школа, фойє
вул.Туристична, 26А, с.Олено-Косогорівка, Кіровоградський р-н, Кіровоградська обл., 27636","222","80","218","10","133","9","142","","0","133","9","142","12","130","2","64","35","1","3","0","12","0","3","8","2","29.10.12"
"350271","100","Кіровоградська область","сільський клуб, фойє
вул.Гагаріна, 58А, с.Українка, Кіровоградський р-н, Кіровоградська обл., 27635","300","71","299","16","215","14","229","","0","215","14","229","2","227","5","127","59","3","6","0","11","7","0","7","2","28.10.12"
"350272","100","Кіровоградська область","будинок культури, фойє
вул.Братів Тобілевичів, 70, с.Шевченкове, Кіровоградський р-н, Кіровоградська обл., 27634","288","99","296","34","156","33","189","","0","156","33","189","4","185","9","96","38","3","4","1","9","1","2","18","4","28.10.12"
"350273","100","Кіровоградська область","Шостаківський хлібоприймальний пункт, актова зала
вул.Гагаріна, 1А, с-ще Шостаківка, Кіровоградський р-н, Кіровоградська обл., 27635","288","97","285","14","177","14","191","","0","177","14","191","8","183","5","79","55","3","1","0","12","2","3","19","4","29.10.12"
"350274","100","Кіровоградська область","будинок культури, фойє
вул.Леніна, 44А, с.Миколаївка, Кіровоградський р-н, Кіровоградська обл., 27634","360","131","351","15","214","15","229","","0","214","15","229","8","221","5","100","74","2","5","1","11","3","3","16","1","29.10.12"
"350275","100","Кіровоградська область","будинок культури, зала засідань
вул.Кірова, 113А, с.Могутнє, Кіровоградський р-н, Кіровоградська обл., 27612","444","173","441","28","243","28","271","","0","243","28","271","15","256","2","114","75","1","5","2","19","16","3","15","4","29.10.12"
"350276","100","Кіровоградська область","сільський клуб, зала засідань
вул.Леніна, 18, с.Аврамівка, Кіровоградський р-н, Кіровоградська обл., 27612","108","39","104","3","66","3","69","","0","66","3","69","2","67","2","17","24","2","3","2","7","3","1","4","2","29.10.12"
"350277","100","Кіровоградська область","школа, фойє
пров.Слави, 1А, с.Назарівка, Кіровоградський р-н, Кіровоградська обл., 27642","222","66","219","22","135","21","156","","0","135","21","156","11","145","2","68","52","0","1","3","8","1","2","7","1","28.10.12"
"350278","100","Кіровоградська область","контора колишнього КСП ""Ватутіна"", фойє
вул.Ватутіна, 15Б, с.Новоолександрівка, Кіровоградський р-н, Кіровоградська обл., 27621","240","109","229","14","117","14","131","","0","117","14","131","11","120","5","54","34","1","0","0","4","1","4","13","4","29.10.12"
"350279","100","Кіровоградська область","будинок культури, фойє
вул.Леніна, 2, с.Обознівка, Кіровоградський р-н, Кіровоградська обл., 27630","720","364","705","33","323","33","356","","0","323","33","356","22","334","6","137","126","5","5","2","31","6","3","10","3","29.10.12"
"350280","100","Кіровоградська область","будинок культури, фойє
вул.Шкільна, 8, с.Катеринівка, Кіровоградський р-н, Кіровоградська обл., 27631","726","330","711","18","380","16","396","","0","380","16","396","19","377","6","169","116","0","7","3","38","19","2","15","2","28.10.12"
"350281","100","Кіровоградська область","школа, актова зала
вул.Дзержинського, 24, с.Овсяниківка, Кіровоградський р-н, Кіровоградська обл., 27633","318","128","314","30","162","28","190","","0","162","28","190","9","181","1","86","62","5","5","1","10","3","1","7","0","29.10.12"
"350282","100","Кіровоградська область","будинок культури, фойє
вул.Ушакова, 61А, с.Олексіївка, Кіровоградський р-н, Кіровоградська обл., 27614","372","130","364","14","228","14","242","","0","228","14","242","6","236","4","116","64","2","4","1","17","4","0","18","6","29.10.12"
"350283","100","Кіровоградська область","сільський клуб, фойє
вул.Венгеровського, 19, с.Осикувате, Кіровоградський р-н, Кіровоградська обл., 27614","120","33","112","9","78","9","87","","0","78","9","87","2","85","1","57","18","0","2","0","2","1","2","2","0","28.10.12"
"350284","100","Кіровоградська область","сільський клуб, фойє
вул.Кіровоградська, 21, с.Лісне, Кіровоградський р-н, Кіровоградська обл., 27614","150","53","146","7","94","3","97","","0","94","3","97","3","94","1","70","9","0","1","0","5","2","0","4","2","29.10.12"
"350285","100","Кіровоградська область","будинок культури, фойє
вул.Жовтнева, 48, с.Оситняжка, Кіровоградський р-н, Кіровоградська обл., 27610","822","370","820","47","405","47","452","","0","405","47","452","17","435","31","175","144","8","13","5","21","8","1","22","7","29.10.12"
"350286","100","Кіровоградська область","будинок культури, фойє
вул.Гагаріна, 4, с.Первозванівка, Кіровоградський р-н, Кіровоградська обл., 27652","1788","1021","1783","43","730","37","767","","0","730","37","767","31","736","16","262","285","4","17","3","76","38","2","27","6","29.10.12"
"350287","100","Кіровоградська область","будинок культури, мала зала
пров.Миру, 2, с.Покровське, Кіровоградський р-н, Кіровоградська обл., 27650","834","415","837","52","373","46","419","","0","373","46","419","23","396","14","199","93","2","9","3","26","18","4","24","4","28.10.12"
"350288","100","Кіровоградська область","школа, спортивна зала
вул.Академічна, 1, с.Созонівка, Кіровоградський р-н, Кіровоградська обл., 27602","1590","640","1582","52","910","40","950","","0","910","40","950","52","898","35","390","266","5","18","6","88","17","5","61","7","29.10.12"
"350289","100","Кіровоградська область","школа, фойє
просп.Комсомольський, 1, с.Соколівське, Кіровоградский р-н, Кіровоградська обл., 27641","2280","1214","2272","23","1047","19","1066","","0","1047","19","1066","42","1024","34","265","426","8","22","5","148","33","9","60","14","29.10.12"
"350290","100","Кіровоградська область","сільський клуб, фойє
вул.Польова, 2, с.Черняхівка, Кіровоградський р-н, Кіровоградська обл., 27641","762","367","753","21","375","20","395","","0","375","20","395","16","379","12","112","144","3","9","3","64","9","2","18","3","29.10.12"
"350291","100","Кіровоградська область","сільський клуб, фойє
вул.Полинкіна, 3, с.Нова Павлівка, Кіровоградський р-н, Кіровоградська обл., 27641","276","138","269","10","128","10","138","","0","128","10","138","8","130","5","53","43","0","4","1","13","2","1","6","2","29.10.12"
"350292","100","Кіровоградська область","школа, фойє
вул.Центральна, 7, с.Степове, Кіровоградський р-н, Кіровоградська обл., 27656","480","179","472","18","284","17","301","","0","284","17","301","11","290","10","165","70","1","3","3","18","3","1","12","4","29.10.12"
"350293","100","Кіровоградська область","школа, актова зала
вул.Леоніда Кравчука, 70, с.Федорівка, Кіровоградський р-н, Кіровоградська обл., 27654","582","241","572","59","291","50","341","","0","291","50","341","7","334","8","144","94","3","4","1","29","11","2","34","4","28.10.12"
"350294","100","Кіровоградська область","школа, спортивна зала
вул.Центральна, 2, с.Червоний Яр, Кіровоградський р-н, Кіровоградська обл., 27622","594","208","583","41","345","41","386","","0","345","41","386","11","375","16","216","72","4","1","4","27","11","3","17","4","28.10.12"
"350295","100","Кіровоградська область","обласна туберкульозна лікарня, актова зала
вул.Лісова Поляна, 3, с.Івано-Благодатне, Кіровоградський р-н, Кіровоградська обл., 27635","342","229","207","47","85","28","113","","0","85","28","113","12","101","4","44","17","2","5","4","9","4","0","7","5","29.10.12"
"350296","100","Кіровоградська область","районний будинок культури, дискотечна зала ""Формула"", 1-й поверх
вул.Кірова, 14А, смт Компаніївка, Компаніївський р-н, Кіровоградська обл., 28400","2448","1198","2409","28","1222","28","1250","","0","1222","28","1250","45","1205","110","358","437","9","20","7","80","33","7","135","9","29.10.12"
"350297","100","Кіровоградська область","школа, їдальня
вул.Щорса, 81, смт Компаніївка, Компаніївський р-н, Кіровоградська обл., 28400","1608","841","1590","18","753","14","767","","0","753","14","767","28","739","80","210","277","6","9","7","43","19","4","75","9","29.10.12"
"350298","100","Кіровоградська область","школа, фойє
вул.Колгоспна, 35, с.Живанівка, Компаніївський р-н, Кіровоградська обл., 28406","432","198","433","14","220","14","234","","0","220","14","234","4","230","9","149","38","2","3","1","7","4","0","16","1","29.10.12"
"350299","100","Кіровоградська область","сільська рада, зала засідань
вул.Центральна, 41А, с.Виноградівка, Компаніївський р-н, Кіровоградська обл., 28421","318","118","309","24","178","22","200","","0","178","22","200","7","193","11","108","48","0","3","1","8","2","1","9","2","29.10.12"
"350300","100","Кіровоградська область","сільський клуб, актова зала
вул.лейтенанта Шевченка, 26Б, с.Водяне, Компаніївський р-н, Кіровоградська обл., 28424","204","57","204","11","136","11","147","","0","136","11","147","8","139","3","82","30","1","1","1","2","10","1","8","0","29.10.12"
"350301","100","Кіровоградська область","будинок культури, фойє
вул.Леніна, 14Б, с.Гарманівка, Компаніївський р-н, Кіровоградська обл., 28412","372","154","366","16","204","14","218","","0","204","14","218","6","212","7","124","52","1","6","1","6","10","1","4","0","29.10.12"
"350302","100","Кіровоградська область","фельдшерсько-акушерський пункт, допоміжна кімната
вул.Жовтнева, 35, с.Семенівка, Компаніївський р-н, Кіровоградська обл., 28412","150","59","144","6","85","6","91","","0","85","6","91","8","83","0","49","9","1","1","3","6","6","0","7","1","29.10.12"
"350303","100","Кіровоградська область","школа, спортивна зала
вул.Шкільна, 21, с.Голубієвичі, Компаніївський р-н, Кіровоградська обл., 28441","276","100","271","7","169","7","176","","0","169","7","176","2","174","29","76","51","0","3","0","5","4","1","4","1","29.10.12"
"350304","100","Кіровоградська область","будинок культури, глядацька зала
вул.Дем’яна Бєдного, 87, с.Губівка, Компаніївський р-н, Кіровоградська обл., 28413","480","175","473","34","274","31","305","","0","274","31","305","5","300","9","163","62","3","1","0","19","3","2","34","4","29.10.12"
"350305","100","Кіровоградська область","сільський клуб, фойє
вул.Аббади, 4А, с.Коротяк, Компаніївський р-н, Кіровоградська обл., 28434","324","115","323","14","198","11","209","","0","198","11","209","11","198","4","77","68","0","6","9","14","3","2","14","1","29.10.12"
"350306","100","Кіровоградська область","будинок культури, мала зала, 1-й поверх
вул.Лісна, 2, с.Лозуватка, Компаніївський р-н, Кіровоградська обл., 28432","582","275","569","23","288","19","307","","0","288","19","307","10","297","10","144","81","1","7","6","16","5","1","19","7","29.10.12"
"350307","100","Кіровоградська область","будинок культури, фойє
вул.Леніна, 3, с.Мар’ївка, Компаніївський р-н, Кіровоградська обл., 28410","702","310","694","46","353","39","392","","0","353","39","392","10","382","19","121","124","5","5","17","31","9","1","47","3","01.11.12"
"350308","100","Кіровоградська область","школа, фойє
пров.Зої Космодем’янської, 16, с.Зелене, Компаніївський р-н, Кіровоградська обл., 28411","306","132","297","14","161","13","174","","0","161","13","174","8","166","7","92","40","1","1","1","7","5","3","8","1","28.10.12"
"350309","100","Кіровоградська область","сільська рада, зала засідань
вул.Яновського, 1А, с.Нечаївка, Компаніївський р-н, Кіровоградська обл., 28420","414","198","409","37","183","33","216","","0","183","33","216","3","213","8","103","53","2","2","4","17","8","0","13","3","29.10.12"
"350310","100","Кіровоградська область","сільський клуб, приміщення гуртків
вул.Набережна, 1, с.Криничувате, Компаніївський р-н, Кіровоградська обл., 28420","66","18","60","14","34","14","48","","0","34","14","48","0","48","1","25","16","2","0","0","4","0","0","0","0","29.10.12"
"350311","100","Кіровоградська область","будинок культури, обрядова зала
вул.Леніна, 83, с.Першотравенка, Компаніївський р-н, Кіровоградська обл., 28431","372","139","368","22","214","19","233","","0","214","19","233","9","224","5","110","65","0","3","4","19","11","1","6","0","29.10.12"
"350312","100","Кіровоградська область","сільський клуб, кінозал
вул.Близнеця, 22, с.Володимирівка, Компаніївський р-н, Кіровоградська обл., 28431","126","35","125","17","74","17","91","","0","74","17","91","2","89","5","49","24","0","2","0","3","1","1","4","0","29.10.12"
"350313","100","Кіровоградська область","будинок культури, глядацька зала
вул.Центральна, 10, с.Петрівка, Компаніївський р-н, Кіровоградська обл., 28430","234","90","231","4","141","3","144","","0","141","3","144","1","143","4","70","46","1","1","1","9","3","1","6","1","29.10.12"
"350314","100","Кіровоградська область","школа, фойє
вул.Садова, 8, с.Наглядівка, Компаніївський р-н, Кіровоградська обл., 28430","126","55","119","1","71","0","71","","0","71","0","71","5","66","0","25","30","0","0","0","6","0","1","4","0","29.10.12"
"350315","100","Кіровоградська область","будинок культури, обрядова зала
вул.Леніна, 19А, с.Полтавка, Компаніївський р-н, Кіровоградська обл., 28425","474","165","468","20","291","18","309","","0","291","18","309","6","303","14","147","84","2","1","2","7","8","8","28","2","29.10.12"
"350316","100","Кіровоградська область","тракторна бригада, кімната відпочинку
вул.Степова, 1А, с.Долинівка, Компаніївський р-н, Кіровоградська обл., 28425","96","32","89","3","61","3","64","","0","61","3","64","1","63","2","29","24","0","1","0","2","0","1","4","0","29.10.12"
"350317","100","Кіровоградська область","школа, фойє
вул.Ювілейна, 7, с.Сасівка, Компаніївський р-н, Кіровоградська обл., 28416","426","197","425","27","206","23","229","","0","206","23","229","4","225","4","115","45","1","5","2","17","8","0","23","5","28.10.12"
"350318","100","Кіровоградська область","будинок культури, фойє
вул.Піонерська, 1, с.Софіївка, Компаніївський р-н, Кіровоградська обл., 28422","372","117","365","35","223","32","255","","0","223","32","255","5","250","9","111","81","1","2","2","9","8","2","22","3","29.10.12"
"350319","100","Кіровоградська область","будинок культури, фойє
вул.Центральна, 1, с.Червоновершка, Компаніївський р-н, Кіровоградська обл., 28414","720","370","709","46","310","40","350","","0","310","40","350","12","338","19","131","134","6","3","2","15","7","3","15","3","29.10.12"
"350320","100","Кіровоградська область","сільський клуб, глядацька зала
вул.Слави, 1, с.Роздолля, Компаніївський р-н, Кіровоградська обл., 28415","504","216","503","25","263","25","288","","0","263","25","288","9","279","8","130","75","3","4","1","24","13","2","18","1","29.10.12"
"350321","100","Кіровоградська область","школа, фойє
вул.Ілліча, 45, с.Червона Слобода, Компаніївський р-н, Кіровоградська обл., 28433","294","125","285","28","145","24","169","","0","145","24","169","8","161","9","62","50","2","5","3","10","3","0","15","2","29.10.12"
"350458","100","Кіровоградська область","ВАТ ""Новоукраїнський"", актова зала, 1-й поверх
вул.Леніна, 131, м.Новоукраїнка, Новоукраїнський р-н, Кіровоградська обл., 27100","1146","626","1143","17","504","16","520","","0","504","16","520","31","489","21","182","157","9","4","3","45","11","6","46","5","28.10.12"
"350459","100","Кіровоградська область","будинок культури №1, вестибюль, 1-й поверх
вул.Кірова, 202, м.Новоукраїнка, Новоукраїнський р-н, Кіровоградська обл., 27100","1326","628","1320","34","669","29","698","","0","669","29","698","25","673","11","226","273","8","11","3","83","14","2","36","6","28.10.12"
"350460","100","Кіровоградська область","центральна районна лікарня, актова зала, 1-й поверх
пров.Лікарняний, 1, м.Новоукраїнка, Новоукраїнський р-н, Кіровоградська обл., 27100","1002","491","998","18","499","12","511","","0","499","12","511","24","487","7","192","159","5","11","1","55","12","5","34","6","29.10.12"
