"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беляй
Олександр
Іванович","Боденчук
Олександр
Сергійович","Василюк
Сергій
Юрійович","Величко
Ігор
Валентинович","Єдін
Олександр
Йосипович","Золотарьов
Євгеній
Григорович","Крюков
Віктор
Васильович","Мороз
Олександр
Олександрович","Пантелішин
Геннадій
Олександрович","Прилуцький
Олександр
Семенович","Рустамян
Ігор
Манукович","Дата підписання протоколу"
"350804","102","Кіровоградська область","контора заводу ""Спецзалізобетон"", адміністративний корпус, фойє, 1-й поверх
вул.Комсомольська, 36, м.Світловодськ, Кіровоградська обл., 27503","1938","1046","1927","12","882","10","892","","0","882","10","892","35","857","20","7","197","55","218","4","11","202","24","51","68","30.10.12"
"350805","102","Кіровоградська область","політехнічний коледж, актова зала, 1-й поверх
вул.Єгорова, 15, м.Світловодськ, Кіровоградська обл., 27501","1506","665","1514","14","833","8","841","","0","833","8","841","25","816","47","5","198","43","206","0","7","151","21","56","82","30.10.12"
"350806","102","Кіровоградська область","контора заводу ""Буддеталь"", хол, 1-й поверх
вул.Лісозаводська, 1, м.Світловодськ, Кіровоградська обл., 27500","174","61","174","0","113","0","113","","0","113","0","113","8","105","4","0","23","8","35","0","0","18","3","3","11","30.10.12"
"350807","102","Кіровоградська область","селищна рада, коридор, 1-й поверх
вул.Першотравнева, 59, смт Власівка, м.Світловодськ, Кіровоградська обл., 27552","1116","567","1116","35","519","30","549","","0","519","30","549","18","531","29","3","129","27","174","9","10","58","14","19","59","30.10.12"
"350808","102","Кіровоградська область","будинок культури, вестибюль, 1-й поверх
вул.Труда, 35, смт Власівка, м.Світловодськ, Кіровоградська обл., 27552","1740","885","1725","2","854","1","855","","0","854","1","855","41","814","31","3","193","33","240","12","12","164","20","44","62","29.10.12"
"350809","102","Кіровоградська область","дитячий сектор, актова зала, 1-й поверх
вул.Молодіжна, 15, смт Власівка, м.Світловодськ, Кіровоградська обл., 27552","1650","797","1638","14","843","10","853","","0","843","10","853","33","820","37","7","139","34","277","12","12","161","19","31","91","29.10.12"
"350810","102","Кіровоградська область","лікарська амбулаторія, лікувально-фізкультурний кабінет, 2-й поверх
вул.Східна, 3, смт Власівка, м.Світловодськ, Кіровоградська обл., 27552","1290","654","1280","4","632","4","636","","0","632","4","636","22","614","21","7","143","31","180","4","3","145","13","25","42","30.10.12"
"350811","102","Кіровоградська область","пансіонат для ветеранів війни та праці, вестибюль, 2-й поверх
вул.Східна, 1, смт Власівка, м.Світловодськ, Кіровоградська обл., 27552","234","0","245","19","219","15","234","","0","219","15","234","13","221","8","3","10","1","174","7","5","6","4","1","2","01.11.12"
"350812","102","Кіровоградська область","терапевтичний корпус ЦРЛ, лікувально-фізкультурний кабінет, 2-й поверх
вул.Павлова, 16, м.Світловодськ, Кіровоградська обл., 27500","156","103","59","11","45","8","53","","0","45","8","53","2","51","1","0","14","4","17","1","1","5","1","1","6","29.10.12"
"350813","102","Кіровоградська область","хірургічний корпус ЦРЛ, ендоскопічний кабінет, 1-й поверх
вул.Леніна, 108, м.Світловодськ, Кіровоградська обл., 27500","174","136","60","9","30","8","38","","0","30","8","38","0","38","3","1","7","2","13","1","0","2","0","3","6","29.10.12"
