"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безбах
Яків
Якович","Безус
Валерій
Олександрович","Крупський
Анатолій
Федорович","Лукіша
Микита
Анатолійович","Самойленко
Владислав
Олександрович","Саттаров
Валерій
Азамович","Суханов
Сергій
Анатолійович","Тіпко
Григорій
Васильович","Убогов
Валерій
Леонідович","Шебанова
Ганна
Олегівна","Дата підписання протоколу"
"121452","24","Дніпропетровська область","школа №24, вестибюль, 1-й поверх
вул.Молодогвардійська, 18, м.Дніпропетровськ, 49122","2046","937","2036","14","1098","11","1109","","0","1098","11","1109","54","1055","490","9","380","20","17","3","18","2","78","38","29.10.12"
"121453","24","Дніпропетровська область","навчально-виховне об’єднання №109, спортивний зал, 2-й поверх
вул.Здоров’я, 45А, м.Дніпропетровськ, 49117","2064","1008","2041","22","1041","15","1056","","0","1041","15","1056","57","999","358","14","450","33","12","15","15","7","59","36","29.10.12"
"121454","24","Дніпропетровська область","Самарський РСТК ТСОУ, учбовий клас, 1-й поверх
вул.Дежньова, 1, м.Дніпропетровськ, 49127","1518","789","1497","21","710","19","729","","0","709","19","728","42","686","234","11","301","20","10","6","11","6","63","24","29.10.12"
"121455","24","Дніпропетровська область","Клуб ""Дніпропетровська обласна клінічна психіатрична лікарня"", актовий зал, 1-й поверх
вул.Бехтерева, 1, м.Дніпропетровськ, 49115","1956","971","1935","16","971","14","985","","0","971","14","985","69","916","436","8","329","19","18","8","18","8","46","26","29.10.12"
"121456","24","Дніпропетровська область","школа №110, спортивний зал, 1-й поверх
вул.Спогадів, 177, м.Дніпропетровськ, 49116","1644","843","1629","17","791","10","801","","0","790","10","800","26","774","352","12","285","22","12","6","9","8","53","15","30.10.12"
"121457","24","Дніпропетровська область","школа №110, спортивний зал, 1-й поверх
вул.Спогадів, 177, м.Дніпропетровськ, 49116","1722","850","1704","22","855","17","872","","0","855","17","872","46","826","374","10","298","17","11","1","5","14","68","28","29.10.12"
"121458","24","Дніпропетровська область","навчально-виховний комплекс №122, каб.16, 2-й поверх
вул.Кожедуба, 49, м.Дніпропетровськ, 49115","1608","760","1571","26","827","21","848","","0","827","21","848","53","795","309","12","328","27","16","8","11","12","51","21","29.10.12"
"121459","24","Дніпропетровська область","навчально-виховний комплекс №122, каб.12, 2-й поверх
вул.Кожедуба, 49, м.Дніпропетровськ, 49115","1740","854","1710","18","870","16","886","","0","870","16","886","30","856","388","5","316","18","10","8","8","11","73","19","29.10.12"
"121460","24","Дніпропетровська область","школа №87, хол, 1-й поверх
вул.Мальовнича, 55, м.Дніпропетровськ, 49114","2412","1286","2373","24","1106","20","1126","","0","1106","20","1126","73","1053","458","9","376","35","15","17","16","12","81","34","29.10.12"
"121461","24","Дніпропетровська область","школа №127, спортивний зал, 1-й поверх
вул.Календарна, 20А, м.Дніпропетровськ, 49114","2352","1266","2347","29","1074","12","1086","","0","1074","12","1086","42","1044","555","8","286","15","7","5","16","13","98","41","29.10.12"
"121462","24","Дніпропетровська область","школа №108, хол, 1-й поверх
вул.Чаплинська, 203, м.Дніпропетровськ, 49118","1380","629","1361","15","736","15","751","","0","736","15","751","27","724","377","9","220","9","9","1","6","11","55","27","29.10.12"
"121463","24","Дніпропетровська область","будинок культури села Чаплі, хол, 1-й поверх
вул.Чаплинська, 139, м.Дніпропетровськ, 49118","2052","988","2020","22","1044","20","1064","","0","1044","20","1064","35","1029","400","10","496","16","4","1","11","13","58","20","29.10.12"
"121467","24","Дніпропетровська область","школа №98, хол, 1-й поверх
вул.Космонавтів, 7А, м.Дніпропетровськ, 49127","1440","660","1420","22","760","20","780","","0","760","20","780","39","741","303","12","228","23","20","15","13","13","84","30","29.10.12"
"121468","24","Дніпропетровська область","школа №98, спортивний зал, 1-й поверх
вул.Космонавтів, 7А, м.Дніпропетровськ, 49127","2340","1058","2294","14","1271","11","1282","","0","1271","11","1282","83","1199","615","17","324","32","20","6","22","11","102","50","29.10.12"
"121469","24","Дніпропетровська область","школа №98, хол, 2-й поверх
вул.Космонавтів, 7А, м.Дніпропетровськ, 49127","2172","1031","2141","11","1132","9","1141","","0","1132","9","1141","58","1083","518","14","334","26","10","9","21","8","103","40","29.10.12"
"121470","24","Дніпропетровська область","спеціалізована школа №129, спортивний зал, 2-й поверх
вул.Космонавтів, 12, м.Дніпропетровськ, 49127","2268","1069","2240","14","1190","9","1199","","0","1189","9","1198","69","1129","453","16","417","25","26","9","14","13","118","38","30.10.12"
"121471","24","Дніпропетровська область","спеціалізована школа №129, рекреація, 2-й поверх
вул.Космонавтів, 12, м.Дніпропетровськ, 49127","2262","1052","2247","11","1202","8","1210","","0","1202","8","1210","72","1138","477","10","376","37","20","12","33","14","117","42","29.10.12"
"121472","24","Дніпропетровська область","гімназія №136, рекреація, 1-й поверх
вул.Космонавтів, 10, м.Дніпропетровськ, 49127","2106","987","2082","10","1112","7","1119","","0","1112","7","1119","55","1064","490","6","315","25","27","9","19","18","108","47","29.10.12"
"121473","24","Дніпропетровська область","гімназія №136, рекреація молодшої школи, 2-й поверх
вул.Космонавтів, 10, м.Дніпропетровськ, 49127","2250","1109","2210","7","1136","5","1141","","0","1136","5","1141","65","1076","357","12","432","37","27","12","30","17","107","45","29.10.12"
"121474","24","Дніпропетровська область","гімназія №136, рекреація старшої школи, 2-й поверх
вул.Космонавтів, 10, м.Дніпропетровськ, 49127","2316","1088","2288","14","1218","10","1228","","0","1218","10","1228","73","1155","489","16","380","34","28","8","29","12","107","52","29.10.12"
"121475","24","Дніпропетровська область","КЗ ""Дніпропетровський геріатричний пансіонат"", актовий зал, 1-й поверх
вул.Гаванська, 15, м.Дніпропетровськ, 49127","654","115","666","142","446","93","539","","0","446","93","539","93","446","134","15","178","14","10","6","13","19","37","20","30.10.12"
"121476","24","Дніпропетровська область","""Відділкова лікарня станції Нижньодніпровськ-Вузол"", каб.1, 1-й поверх
вул.Іларіонівська, 9, м.Дніпропетровськ, 49124","90","24","66","0","66","0","66","","0","66","0","66","5","61","20","0","27","4","2","1","2","0","4","1","28.10.12"
"121477","24","Дніпропетровська область","Обласна клінічна психіатрична лікарня, зал засідань, 2-й поверх
вул.Бехтерева, 1, м.Дніпропетровськ, 49115","1686","498","1190","935","254","934","1188","","0","254","934","1188","19","1169","137","9","957","7","11","5","10","12","8","13","29.10.12"
"121478","24","Дніпропетровська область","Центр з профілактики та боротьби зі СНІДом, ординаторська, 2-й поверх
вул.Бехтерева, 1, м.Дніпропетровськ, 49115","30","0","30","0","30","0","30","","0","0","0","30","0","30","7","0","20","0","0","0","3","0","0","0","29.10.12"
"121479","24","Дніпропетровська область","Обласне комунальне клінічне лікувально-профілактичне об’єднання ""Фтизіатрія"", хол, 3-й поверх
вул.Бехтерева, 12, м.Дніпропетровськ, 49115","486","235","251","136","115","136","251","","0","115","136","251","2","249","10","0","232","1","1","2","0","1","1","1","29.10.12"
"121481","24","Дніпропетровська область","Ігренський виправний центр (№ 133), їдальня, 1-й поверх
вул.Бехтерева, 5, м.Дніпропетровськ, 49115","498","69","429","0","429","0","429","","0","429","0","429","22","407","58","9","253","8","9","5","9","17","12","27","29.10.12"
