"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Беспальчук
Ігор
Вячеславович","Ганюков
Сергій
Михайлович","Герасименко
Ірина
Миколаївна","Коваль
Максим
Валерійович","Любоненко
Юрій
Вікторович","Поворознюк
Ігор
Іванович","Туровська
Ірина
Львівна","Шевчик
Оксана
Олександрівна","Дата підписання протоколу"
"121548","32","Дніпропетровська область","дошкільний заклад №77, приміщення зимового саду, 1-й поверх
вул.Незалежності України, 20, м.Кривий Ріг, Дніпропетровська обл., 50093","2136","1103","2096","8","1028","5","1033","","0","1028","5","1033","45","988","25","150","26","116","428","10","32","201","29.10.12"
"121549","32","Дніпропетровська область","школа №130, хол, 2-й поверх
вул.Незалежності України, 12, м.Кривий Ріг, Дніпропетровська обл., 50093","2400","1233","2359","13","1158","9","1167","","0","1158","9","1167","38","1129","28","161","39","138","469","6","30","258","29.10.12"
"121550","32","Дніпропетровська область","школа №130, рекреація, 2-й поверх
вул.Незалежності України, 12, м.Кривий Ріг, Дніпропетровська обл., 50093","2264","1086","2239","13","1170","8","1178","","0","1170","8","1178","51","1127","27","148","23","158","511","26","30","204","29.10.12"
"121551","32","Дніпропетровська область","школа №130, хол, 1-й поверх
вул.Незалежності України, 12, м.Кривий Ріг, Дніпропетровська обл., 50093","2272","1134","2252","11","1132","6","1138","","0","1132","6","1138","41","1097","20","153","22","143","531","10","23","195","29.10.12"
"121552","32","Дніпропетровська область","відділкова лікарня станції Кривий Ріг-Головний, актова зала, 3-й поверх
вул.Вернадського, 141А, м.Кривий Ріг, Дніпропетровська обл., 50023","160","81","80","5","74","5","79","","0","74","5","79","8","71","1","3","2","10","48","0","2","5","29.10.12"
"121553","32","Дніпропетровська область","Криворізький онкологічний диспансер, диспансерне відділення, 1-й поверх
вул.Дніпропетровське шосе, 41, м.Кривий Ріг, Дніпропетровська обл., 50048","272","4","268","126","142","126","268","","0","142","126","268","11","257","2","6","2","17","204","2","5","19","28.10.12"
"121638","32","Дніпропетровська область","школа №113, к.104, 1-й поверх
вул.Курчатова, 39А, м.Кривий Ріг, Дніпропетровська обл., 50042","1808","840","1784","16","955","13","968","","0","955","13","968","49","919","19","125","20","140","427","21","26","141","29.10.12"
"121639","32","Дніпропетровська область","школа №113, к.106, 1-й поверх
вул.Курчатова, 39А, м.Кривий Ріг, Дніпропетровська обл., 50042","1760","865","1738","12","887","8","895","","0","887","8","895","51","844","16","97","18","141","392","14","20","146","29.10.12"
"121640","32","Дніпропетровська область","Криворізький державний комерційно-економічний технікум, к.1, 1-й поверх
вул.Курчатова, 13, м.Кривий Ріг, Дніпропетровська обл., 50042","1744","851","1715","11","883","10","893","","0","883","10","893","50","843","14","88","22","154","377","31","19","138","29.10.12"
"121641","32","Дніпропетровська область","школа №43, к.10, 1-й поверх
вул.Подбєльського, 34А, м.Кривий Ріг, Дніпропетровська обл., 50049","1904","864","1879","16","1028","12","1040","","0","1028","12","1040","43","997","15","132","27","145","480","14","22","162","29.10.12"
"121642","32","Дніпропетровська область","школа №43, к.20, 2-й поверх
вул.Подбєльського, 34А, м.Кривий Ріг, Дніпропетровська обл., 50049","1584","796","1549","13","778","10","788","","0","778","10","788","37","751","12","88","10","120","355","15","13","138","29.10.12"
"121643","32","Дніпропетровська область","школа №21, к.64, 1-й поверх
вул.Спаська, 8А, м.Кривий Ріг, Дніпропетровська обл., 50049","2136","1014","2116","23","1101","21","1122","","0","1101","21","1122","41","1081","11","136","31","198","451","11","21","222","28.10.12"
"121644","32","Дніпропетровська область","школа №21, к.65, 1-й поверх
вул.Спаська, 8А, м.Кривий Ріг, Дніпропетровська обл., 50049","2160","913","2135","16","1232","15","1247","","0","1232","15","1247","54","1193","16","173","30","228","485","10","23","228","29.10.12"
"121645","32","Дніпропетровська область","школа №21, к.66, 1-й поверх
вул.Спаська, 8А, м.Кривий Ріг, Дніпропетровська обл., 50049","2352","985","2300","18","1352","15","1367","","0","1352","15","1367","43","1324","21","168","28","286","557","24","32","208","29.10.12"
"121646","32","Дніпропетровська область","школа №51, к.11, 1-й поверх
вул.Світлогірська, 103, м.Кривий Ріг, Дніпропетровська обл., 50011","1784","764","1745","43","984","36","1020","","0","984","36","1020","32","988","15","115","15","231","363","6","50","193","29.10.12"
"121647","32","Дніпропетровська область","ПК шахти ""Родіна"" ПАТ ""Криворізький залізорудний комбінат"", к.2, 1-й поверх
вул.Житомирська, 2, м.Кривий Ріг, Дніпропетровська обл., 50011","2264","1187","2225","25","1057","20","1077","","0","1057","20","1077","31","1046","18","37","119","194","459","14","22","183","29.10.12"
"121648","32","Дніпропетровська область","школа №41, к.43, 1-й поверх
вул.Співдружності, 44А, м.Кривий Ріг, Дніпропетровська обл., 50042","2336","1071","2305","24","1243","22","1265","","0","1243","22","1265","44","1221","13","168","35","180","568","13","34","210","29.10.12"
"121649","32","Дніпропетровська область","школа №41, к.44, 1-й поверх
вул.Співдружності, 44А, м.Кривий Ріг, Дніпропетровська обл., 50042","2192","932","2182","15","1247","13","1260","","0","1247","13","1260","47","1213","21","162","35","179","534","12","22","248","28.10.12"
"121650","32","Дніпропетровська область","ліцей №35, к.11, 1-й поверх
вул.Співдружності, 84А, м.Кривий Ріг, Дніпропетровська обл., 50084","2184","1045","2131","28","1116","23","1139","","0","1114","23","1137","49","1088","18","131","16","170","516","16","23","198","30.10.12"
"121651","32","Дніпропетровська область","ліцей №35, к.12, 1-й поверх
вул.Співдружності, 84А, м.Кривий Ріг, Дніпропетровська обл., 50084","2152","1047","2130","18","1089","16","1105","","0","1089","16","1105","49","1056","30","122","19","199","450","11","21","204","29.10.12"
"121652","32","Дніпропетровська область","школа №11, к.117, 1-й поверх
вул.Співдружності, 92А, м.Кривий Ріг, Дніпропетровська обл., 50084","2008","865","1981","18","1126","17","1143","","0","1126","17","1143","40","1103","19","177","22","188","459","11","22","205","28.10.12"
"121653","32","Дніпропетровська область","школа №74, к.104, 1-й поверх
мікрорайон Ювілейний, 1А, м.Кривий Ріг, Дніпропетровська обл., 50084","2000","852","1967","17","1134","14","1148","","0","1134","14","1148","40","1108","24","133","26","174","501","13","31","206","28.10.12"
"121654","32","Дніпропетровська область","школа №74, к.105, 1-й поверх
мікрорайон Ювілейний, 1А, м.Кривий Ріг, Дніпропетровська обл., 50084","1800","764","1772","16","1028","8","1036","","0","1028","8","1036","36","1000","9","137","32","130","473","12","25","182","29.10.12"
"121655","32","Дніпропетровська область","школа №124, к.1, 1-й поверх
мікрорайон Гірницький, 33А, м.Кривий Ріг, Дніпропетровська обл., 50057","2192","1064","2151","20","1114","14","1128","","0","1114","14","1128","37","1091","24","150","27","163","478","14","28","207","29.10.12"
"121656","32","Дніпропетровська область","школа №124, к.2, 1-й поверх
мікрорайон Гірницький, 33А, м.Кривий Ріг, Дніпропетровська обл., 50057","2144","984","2118","12","1149","11","1160","","0","1149","11","1160","63","1097","24","160","38","136","484","11","35","209","29.10.12"
"121657","32","Дніпропетровська область","школа №68, к.101, 1-й поверх
мікрорайон Гірницький, 3, м.Кривий Ріг, Дніпропетровська обл., 50057","2136","904","2097","24","1210","22","1232","","0","1210","22","1232","45","1187","27","162","33","185","536","11","29","204","29.10.12"
"121658","32","Дніпропетровська область","школа №68, к.102, 1-й поверх
мікрорайон Гірницький, 3, м.Кривий Ріг, Дніпропетровська обл., 50057","2112","930","2098","14","1172","10","1182","","0","1172","10","1182","70","1112","72","122","32","138","496","9","36","207","29.10.12"
"121659","32","Дніпропетровська область","школа №118, к.100А, 1-й поверх
мікрорайон Сонячний, 1, м.Кривий Ріг, Дніпропетровська обл., 50056","2360","1029","2322","13","1324","7","1331","","0","1324","7","1331","37","1294","30","177","44","164","605","13","29","232","29.10.12"
"121660","32","Дніпропетровська область","школа №118, к.107А, 1-й поверх
мікрорайон Сонячний, 1, м.Кривий Ріг, Дніпропетровська обл., 50056","2392","1111","2370","22","1262","19","1281","","0","1260","19","1279","42","1237","27","150","32","205","563","16","29","215","30.10.12"
"121661","32","Дніпропетровська область","школа №118, к.100Б, 1-й поверх
мікрорайон Сонячний, 1, м.Кривий Ріг, Дніпропетровська обл., 50056","2176","1026","2139","21","1133","17","1150","","0","1133","17","1150","48","1102","31","120","23","157","531","15","20","205","29.10.12"
"121662","32","Дніпропетровська область","школа №119, к.1, 1-й поверх
мікрорайон Сонячний, 48А, м.Кривий Ріг, Дніпропетровська обл., 50056","2216","957","2179","11","1248","11","1259","","0","1248","11","1259","37","1222","22","158","36","152","565","4","32","253","29.10.12"
"121663","32","Дніпропетровська область","школа №119, к.2, 1-й поверх
мікрорайон Сонячний, 48А, м.Кривий Ріг, Дніпропетровська обл., 50056","2328","1132","2291","21","1178","18","1196","","0","1178","18","1196","40","1156","55","155","33","170","497","9","29","208","29.10.12"
"121664","32","Дніпропетровська область","школа №120, к.49, 1-й поверх
вул.Корнійчука, 22, м.Кривий Ріг, Дніпропетровська обл., 50076","2280","1133","2250","24","1129","18","1147","","0","1129","18","1147","43","1104","24","138","25","158","446","16","43","254","29.10.12"
"121665","32","Дніпропетровська область","школа №120, к.48, 1-й поверх
вул.Корнійчука, 22, м.Кривий Ріг, Дніпропетровська обл., 50076","2112","915","2088","40","1169","28","1197","","0","1169","28","1197","56","1141","19","134","31","178","483","15","39","242","29.10.12"
"121666","32","Дніпропетровська область","школа №19, к.1, 1-й поверх
вул.Корнійчука, 20, м.Кривий Ріг, Дніпропетровська обл., 50076","2144","1051","2100","36","1063","30","1093","","0","1062","30","1092","29","1063","17","149","42","170","461","7","28","189","29.10.12"
"121667","32","Дніпропетровська область","школа №19, к.3, 1-й поверх
вул.Корнійчука, 20, м.Кривий Ріг, Дніпропетровська обл., 50076","2136","1036","2091","29","1077","23","1100","","1","1076","23","1099","40","1059","11","164","24","145","437","15","46","217","30.10.12"
"121668","32","Дніпропетровська область","школа №19, к.2, 1-й поверх
вул.Корнійчука, 20, м.Кривий Ріг, Дніпропетровська обл., 50076","2256","1049","2213","25","1184","23","1207","","1","1184","23","1207","36","1171","22","183","20","182","465","14","27","258","29.10.12"
"121669","32","Дніпропетровська область","гімназія №91, к.1, 1-й поверх
вул.Тинка, 48, м.Кривий Ріг, Дніпропетровська обл., 50008","2216","965","2192","41","1214","37","1251","","0","1214","37","1251","47","1204","19","167","22","181","548","14","35","218","29.10.12"
"121670","32","Дніпропетровська область","гімназія №91, к.2, 1-й поверх
вул.Тинка, 48, м.Кривий Ріг, Дніпропетровська обл., 50008","2216","998","2190","43","1182","36","1218","","0","1182","36","1218","49","1169","18","166","37","181","506","10","32","219","29.10.12"
"121671","32","Дніпропетровська область","школа №14, к.20, 1-й поверх
вул.Мелешкіна, 34Б, м.Кривий Ріг, Дніпропетровська обл., 50071","2264","1009","2252","37","1221","34","1255","","0","1221","34","1255","66","1189","22","142","30","177","574","7","31","206","29.10.12"
"121672","32","Дніпропетровська область","школа №14, к.29, 1-й поверх
вул.Мелешкіна, 34Б, м.Кривий Ріг, Дніпропетровська обл., 50071","2296","1165","2285","24","1115","16","1131","","0","1115","16","1131","41","1090","15","138","34","186","513","13","21","170","29.10.12"
"121673","32","Дніпропетровська область","Криворізький природничо-науковий ліцей, к.1.11, 1-й поверх
вул.Мелешкіна, 32А, м.Кривий Ріг, Дніпропетровська обл., 50071","2360","1146","2317","35","1196","18","1214","","0","1196","18","1214","47","1167","16","166","30","159","549","24","21","202","29.10.12"
"121674","32","Дніпропетровська область","школа №107, к.3, 2-й поверх
вул.Мануйлова, 11, м.Кривий Ріг, Дніпропетровська обл., 50071","2232","1078","2192","30","1131","23","1154","","0","1131","23","1154","56","1098","13","128","21","206","505","11","27","187","29.10.12"
"121675","32","Дніпропетровська область","школа №107, к.4, 2-й поверх
вул.Мануйлова, 11, м.Кривий Ріг, Дніпропетровська обл., 50071","2296","1098","2277","28","1178","20","1198","","0","1178","20","1198","50","1148","18","149","25","202","507","12","35","200","29.10.12"
"121676","32","Дніпропетровська область","школа №72, к.40, 1-й поверх
вул.Мануйлова, 8А, м.Кривий Ріг, Дніпропетровська обл., 50071","2064","969","2019","45","1063","32","1095","","0","1063","32","1095","51","1044","13","118","20","200","517","9","26","141","29.10.12"
"121677","32","Дніпропетровська область","школа №72, к.41, 2-й поверх
вул.Мануйлова, 8А, м.Кривий Ріг, Дніпропетровська обл., 50071","2056","992","2003","45","1032","32","1064","","0","1032","32","1064","45","1019","11","131","27","166","499","11","17","157","29.10.12"
"121678","32","Дніпропетровська область","палац культури ім.Артема, к.2, 1-й поверх
вул.Бикова, 2, м.Кривий Ріг, Дніпропетровська обл., 50036","2048","996","2009","55","1010","42","1052","","0","1010","42","1052","40","1012","16","125","27","190","479","8","20","147","29.10.12"
"121679","32","Дніпропетровська область","палац культури ім.Артема, к.3, 1-й поверх
вул.Бикова, 2, м.Кривий Ріг, Дніпропетровська обл., 50036","1896","837","1864","35","1032","27","1059","","0","1032","27","1059","58","1001","14","129","23","153","432","6","31","213","29.10.12"
"121680","32","Дніпропетровська область","школа №122, к.67, 1-й поверх
вул.Мелешкіна, 51Д, м.Кривий Ріг, Дніпропетровська обл., 50071","2376","1053","2353","32","1297","26","1323","","0","1297","26","1323","48","1275","30","196","36","178","584","11","24","216","29.10.12"
"121681","32","Дніпропетровська область","школа №122, к.68, 1-й поверх
вул.Мелешкіна, 51Д, м.Кривий Ріг, Дніпропетровська обл., 50071","2368","931","2339","21","1423","14","1437","","0","1423","14","1437","65","1372","16","195","28","190","631","12","34","266","29.10.12"
"121682","32","Дніпропетровська область","школа №31, к.28, 2-й поверх
вул.Качалова, 4, м.Кривий Ріг, Дніпропетровська обл., 50036","2072","1039","2051","27","1013","20","1033","","0","1013","20","1033","57","976","18","150","21","148","416","9","22","192","29.10.12"
"121683","32","Дніпропетровська область","школа №31, к.29, 2-й поверх
вул.Качалова, 4, м.Кривий Ріг, Дніпропетровська обл., 50036","1880","861","1848","45","976","43","1019","","0","976","43","1019","43","976","20","140","19","163","411","11","30","182","29.10.12"
"121690","32","Дніпропетровська область","Криворізька міська лікарня №5, к.134, 1-й поверх
вул.Поперечна, 1А, м.Кривий Ріг, Дніпропетровська обл., 50049","248","8","244","109","131","109","240","","0","131","109","240","9","231","2","5","4","19","180","5","5","11","28.10.12"
"121691","32","Дніпропетровська область","Криворізька міська клінічна лікарня №2, к.3, 4-й поверх
майдан 30-річчя Перемоги, 2, м.Кривий Ріг, Дніпропетровська обл., 50056","720","191","529","52","477","52","529","","0","477","52","529","19","510","8","33","12","33","370","7","8","39","29.10.12"
"121692","32","Дніпропетровська область","Криворізька міська лікарня №4, к.5, 3-й поверх
вул.Мелешкіна, 21, м.Кривий Ріг, Дніпропетровська обл., 50071","232","5","228","57","171","56","227","","0","171","56","227","10","217","3","17","6","27","138","1","2","23","29.10.12"
"121693","32","Дніпропетровська область","Криворізький шкірно-венерологічний диспансер, к.21, 2-й поверх
вул.Мелешкіна, 25, м.Кривий Ріг, Дніпропетровська обл., 50071","56","3","53","0","53","0","53","","0","53","0","53","0","53","0","0","0","3","49","0","0","1","28.10.12"
