"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Анікєєв
Володимир
Ілліч","Громакова
Раїса
Миколаївна","Кузьміна
Євгенія
Олександрівна","Мартовицький
Артур
Володимирович","Мочалін
Олексій
Олександрович","Ткаченко
Євгеній
Леонідович","Чумак
Геннадій
Іванович","Дата підписання протоколу"
"120876","36","Дніпропетровська область","школа №13, ліве крило, каб.4
вул.Калініна, 39, м.Павлоград, Дніпропетровська обл., 51400","1416","679","1398","36","708","29","737","","0","708","29","737","12","725","35","31","127","339","88","89","16","29.10.12"
"120877","36","Дніпропетровська область","школа №12, праве крило, фойє
вул.Дніпровська, 243, м.Павлоград, Дніпропетровська обл., 51400","1456","687","1437","34","743","26","769","","0","743","26","769","42","727","41","26","143","330","61","112","14","29.10.12"
"120878","36","Дніпропетровська область","школа №12, ліве крило, фойє
вул.Дніпровська, 243, м.Павлоград, Дніпропетровська обл., 51400","1904","914","1888","35","961","29","990","","0","961","29","990","44","946","43","30","119","496","121","117","20","29.10.12"
"120879","36","Дніпропетровська область","школа №14, фойє
вул.Котовського, 35, м.Павлоград, Дніпропетровська обл., 51400","1920","959","1904","9","952","9","961","","0","952","9","961","39","922","44","35","164","458","95","109","17","29.10.12"
"120880","36","Дніпропетровська область","школа №20, ліве крило, фойє
вул.Дніпровська, 400, м.Павлоград, Дніпропетровська обл., 51400","1736","762","1714","13","963","11","974","","0","963","11","974","39","935","49","23","121","517","98","111","16","29.10.12"
"120881","36","Дніпропетровська область","школа №20, праве крило, фойє
вул.Дніпровська, 400, м.Павлоград, Дніпропетровська обл., 51400","1448","599","1435","58","802","47","849","","0","800","47","847","24","823","51","18","152","401","72","109","20","29.10.12"
"120882","36","Дніпропетровська область","школа №19, ліве крило, фойє
вул.Малиновського, 2, м.Павлоград, Дніпропетровська обл., 51400","1976","890","1949","12","1076","10","1086","","0","1076","10","1086","31","1055","84","36","163","527","90","138","17","29.10.12"
"120883","36","Дніпропетровська область","школа №19, праве крило, фойє
вул.Малиновського, 2, м.Павлоград, Дніпропетровська обл., 51400","1600","723","1578","5","872","5","877","","0","872","5","877","29","848","51","42","109","427","76","128","15","29.10.12"
"120884","36","Дніпропетровська область","школа №19, центр, фойє
вул.Малиновського, 2, м.Павлоград, Дніпропетровська обл., 51400","1904","968","1879","13","925","11","936","","0","925","11","936","34","902","60","46","107","487","60","126","16","29.10.12"
"120885","36","Дніпропетровська область","медичне училище, зал клубу
вул.Промислова, 13, м.Павлоград, Дніпропетровська обл., 51400","1840","886","1832","10","946","8","954","","0","946","8","954","37","917","46","54","119","471","79","131","17","29.10.12"
"120886","36","Дніпропетровська область","школа №5, ліве крило, фойє
вул.Верстатобудівників, 5, м.Павлоград, Дніпропетровська обл., 51400","2392","1024","2338","27","1341","27","1368","","0","1341","27","1368","44","1324","79","52","189","689","120","170","25","29.10.12"
"120887","36","Дніпропетровська область","школа №5, центр, фойє
вул.Верстатобудівників, 5, м.Павлоград, Дніпропетровська обл., 51400","2400","1025","2357","21","1358","17","1375","","0","1358","17","1375","41","1334","77","83","153","674","154","175","18","29.10.12"
"120888","36","Дніпропетровська область","школа №5, праве крило, фойє
вул.Верстатобудівників, 5, м.Павлоград, Дніпропетровська обл., 51400","2296","973","2293","22","1301","22","1323","","0","1301","22","1323","41","1282","68","79","165","667","119","161","23","29.10.12"
"120889","36","Дніпропетровська область","палац Машинобудівників, праве крило, фойє, 2-й поверх
вул.Тельмана, 1, м.Павлоград, Дніпропетровська обл., 51400","2392","1089","2353","28","1278","25","1303","","0","1278","25","1303","37","1266","67","40","160","667","134","178","20","29.10.12"
"120890","36","Дніпропетровська область","палац Машинобудівників, ліве крило, фойє, 2-й поверх
вул.Тельмана, 1, м.Павлоград, Дніпропетровська обл., 51400","2400","995","2370","36","1372","33","1405","","0","1372","33","1405","55","1350","31","36","133","785","122","227","16","29.10.12"
"120891","36","Дніпропетровська область","школа №18, ліве крило, фойє, 1-й поверх
вул.Іскровська, 4А, м.Павлоград, Дніпропетровська обл., 51400","2352","1076","2309","32","1251","25","1276","","0","1251","25","1276","48","1228","45","26","139","740","132","126","20","29.10.12"
"120892","36","Дніпропетровська область","школа №18, праве крило, фойє, 2-й поверх
вул.Іскровська, 4А, м.Павлоград, Дніпропетровська обл., 51400","2328","1084","2287","39","1212","32","1244","","0","1212","32","1244","43","1201","39","28","143","636","155","173","27","29.10.12"
"120893","36","Дніпропетровська область","гуртожиток шахти Героїв космосу, актова зала
вул.Будівельна, 1, м.Павлоград, Дніпропетровська обл., 51400","2064","832","2043","37","1197","35","1232","","0","1197","35","1232","45","1187","42","31","154","671","129","134","26","29.10.12"
"120894","36","Дніпропетровська область","школа №8, праве крило, каб.3
вул.Ленінградська, 8А, м.Павлоград, Дніпропетровська обл., 51400","2000","903","1959","33","1071","26","1097","","0","1071","26","1097","47","1050","46","26","87","652","121","102","16","29.10.12"
"120895","36","Дніпропетровська область","школа №8, ліве крило, спортивна зала
вул.Ленінградська, 8А, м.Павлоград, Дніпропетровська обл., 51400","2336","957","2286","34","1350","29","1379","","0","1350","29","1379","65","1314","63","42","146","738","158","138","29","29.10.12"
"120896","36","Дніпропетровська область","школа №7, спортивна зала
вул.Комарова, 7, м.Павлоград, Дніпропетровська обл., 51400","2360","969","2327","26","1369","22","1391","","0","1369","22","1391","46","1345","69","50","213","717","123","18","155","29.10.12"
"120897","36","Дніпропетровська область","школа №10, спортивна зала
вул.Ленінградська, 29А, м.Павлоград, Дніпропетровська обл., 51400","2352","1025","2315","19","1310","17","1327","","0","1310","17","1327","56","1271","85","44","152","664","128","177","21","29.10.12"
"120898","36","Дніпропетровська область","Спеціалізована медико-санітарна частина №15, стаціонар, хол, 2-й поверх
пров.Лікарняний, 1, м.Павлоград, Дніпропетровська обл., 51400","112","2","110","1","109","1","110","","0","109","1","110","2","108","3","1","3","95","3","3","0","29.10.12"
"120899","36","Дніпропетровська область","Павлоградський протитуберкульозний диспансер, дитяче відділення
вул.Зелена, 10, м.Павлоград, Дніпропетровська обл., 51400","104","30","75","4","70","4","74","","0","70","4","74","2","72","2","0","5","54","5","4","2","29.10.12"
"120900","36","Дніпропетровська область","Павлоградська міська лікарня № 1, хол поліклініки
вул.Шевченка, 63, м.Павлоград, Дніпропетровська обл., 51400","144","4","140","0","140","0","140","","0","140","0","140","2","138","2","0","4","120","4","8","0","29.10.12"
"120901","36","Дніпропетровська область","Павлоградська центральна районна лікарня, актова зала
вул.Плеханова, 9, м.Павлоград, Дніпропетровська обл., 51400","80","0","80","16","64","16","80","","0","64","16","80","11","69","2","2","10","52","1","2","0","29.10.12"
"120902","36","Дніпропетровська область","Спеціалізована медико-санітарна частина №7, терапевтичне відділення, хол
вул.Нова, 1А, м.Павлоград, Дніпропетровська обл., 51400","40","0","40","1","39","1","40","","0","39","1","40","2","38","0","0","1","36","1","0","0","29.10.12"
"120903","36","Дніпропетровська область","Павлоградська міська лікарня №4, зал засідань
вул.Дніпровська, 541, м.Павлоград, Дніпропетровська обл., 51400","216","31","185","5","180","5","185","","0","180","5","185","3","182","0","1","8","171","1","1","0","29.10.12"
"120904","36","Дніпропетровська область","Павлоградська виправна колонія № 142, хол гуртожитоку
вул.Тернівська, 29, м.Павлоград, Дніпропетровська обл., 51400","272","5","267","0","267","0","267","","0","267","0","267","0","267","1","0","6","255","1","3","1","29.10.12"
"120905","36","Дніпропетровська область","управління праці та соціального захисту населення, їдальня, 1-й поверх
вул.Карла Маркса, 15А, м.Першотравенськ, Дніпропетровська обл., 52800","1704","669","1675","32","1008","27","1035","","0","1008","27","1035","40","995","30","14","123","461","294","54","19","29.10.12"
"120906","36","Дніпропетровська область","школа №4, вестибюль, 1-й поверх
вул.Леніна, 28, м.Першотравенськ, Дніпропетровська обл., 52800","1880","758","1855","23","1103","19","1122","","0","1103","19","1122","36","1086","11","9","116","596","256","85","13","29.10.12"
"120907","36","Дніпропетровська область","гірничий ліцей, актовий зал, 1-й поверх
вул.Леніна, 16, м.Першотравенськ, Дніпропетровська обл., 52800","1440","595","1421","21","827","18","845","","0","827","18","845","32","813","16","13","104","435","159","73","13","29.10.12"
"120908","36","Дніпропетровська область","будинок культури, фойє, 1-й поверх
вул.Леніна, 7, м.Першотравенськ, Дніпропетровська обл., 52800","1656","649","1638","38","969","38","1007","","0","969","38","1007","42","965","7","12","97","561","226","55","7","29.10.12"
"120909","36","Дніпропетровська область","школа-інтернат, фойє, 1-й поверх
вул.Шкільна, 12, м.Першотравенськ, Дніпропетровська обл., 52800","1800","703","1764","39","1060","37","1097","","0","1060","37","1097","38","1059","25","9","141","560","230","75","19","29.10.12"
"120910","36","Дніпропетровська область","школа №2, фойє, 1-й поверх
вул.Жовтнева, 12, м.Першотравенськ, Дніпропетровська обл., 52800","1960","795","1931","18","1150","15","1165","","0","1150","15","1165","65","1100","22","20","143","580","234","79","22","29.10.12"
"120911","36","Дніпропетровська область","школа №2, актовий зал, 1-й поверх
вул.Жовтнева, 12, м.Першотравенськ, Дніпропетровська обл., 52800","1768","713","1737","20","1037","18","1055","","0","1037","18","1055","34","1021","19","14","107","558","228","82","13","29.10.12"
"120912","36","Дніпропетровська область","школа №3, фойє, 1-й поверх
вул.Горького, 15, м.Першотравенськ, Дніпропетровська обл., 52800","1760","695","1726","24","1041","24","1065","","0","1041","24","1065","45","1020","21","16","128","586","193","58","18","29.10.12"
"120913","36","Дніпропетровська область","школа №3, актовий зал, 1-й поверх
вул.Горького, 15, м.Першотравенськ, Дніпропетровська обл., 52800","2216","902","2172","23","1295","19","1314","","0","1295","19","1314","51","1263","20","18","168","685","233","113","26","29.10.12"
"120914","36","Дніпропетровська область","школа №5, фойє №1, 1-й поверх
вул.Гагаріна, 39, м.Першотравенськ, Дніпропетровська обл., 52800","2408","1010","2347","7","1393","5","1398","","0","1393","5","1398","40","1358","29","26","196","696","260","123","28","29.10.12"
"120915","36","Дніпропетровська область","школа №5, фойє №2, 1-й поверх
вул.Гагаріна, 39, м.Першотравенськ, Дніпропетровська обл., 52800","2408","1043","2342","18","1354","11","1365","","0","1354","11","1365","49","1316","33","25","176","684","252","113","33","29.10.12"
"120916","36","Дніпропетровська область","центральна міська лікарня, хол фізіотерапевтичного відділення, 1-й поверх
вул.Леніна, 1, м.Першотравенськ, Дніпропетровська обл., 52800","168","8","160","7","153","7","160","","0","153","7","160","1","159","2","0","13","128","10","5","1","29.10.12"
"120936","36","Дніпропетровська область","гуртожиток №12, хол, 1-й поверх
вул.Лермонтова, 19А, м.Тернівка, Дніпропетровська обл., 51500","2272","920","2232","30","1330","22","1352","","0","1330","22","1352","70","1282","45","22","189","768","145","86","27","29.10.12"
"120937","36","Дніпропетровська область","школа №7, коридор, 1-й поверх
вул.Перемоги, 17А, м.Тернівка, Дніпропетровська обл., 51500","1904","731","1860","18","1161","12","1173","","0","1161","12","1173","53","1120","22","25","169","650","103","107","44","29.10.12"
"120938","36","Дніпропетровська область","школа №7, вестибюль, 1-й поверх
вул.Перемоги, 17А, м.Тернівка, Дніпропетровська обл., 51500","2216","817","2188","38","1366","33","1399","","0","1366","33","1399","65","1334","27","31","179","787","151","124","35","29.10.12"
"120939","36","Дніпропетровська область","школа №6, вестибюль, 1-й поверх
вул.Миру, 19, м.Тернівка, Дніпропетровська обл., 51500","2160","893","2114","15","1256","11","1267","","0","1256","11","1267","51","1216","27","24","183","727","120","106","29","29.10.12"
"120940","36","Дніпропетровська область","школа №6, коридор, 1-й поверх
вул.Миру, 19, м.Тернівка, Дніпропетровська обл., 51500","1912","775","1880","28","1113","24","1137","","0","1113","24","1137","46","1091","24","12","142","694","105","94","20","29.10.12"
"120941","36","Дніпропетровська область","ЦДТ, хол, 1-й поверх
вул.Сергія Маркова, 8, м.Тернівка, Дніпропетровська обл., 51500","2096","794","2065","37","1269","33","1302","","0","1269","33","1302","57","1245","37","23","128","843","100","91","23","29.10.12"
"120942","36","Дніпропетровська область","школа №4, актова зала, 1-й поверх
вул.Сергія Маркова, 7, м.Тернівка, Дніпропетровська обл., 51500","2328","862","2293","31","1442","24","1466","","0","1442","24","1466","42","1424","38","27","154","907","145","123","30","29.10.12"
"120943","36","Дніпропетровська область","школа №5, актова зала, 1-й поверх
вул.Маяковського, 14, м.Тернівка, Дніпропетровська обл., 51500","2144","882","2104","27","1236","26","1262","","0","1236","26","1262","64","1198","32","22","173","706","123","105","37","29.10.12"
"120944","36","Дніпропетровська область","школа №5, коридор, 1-й поверх
вул.Маяковського, 14, м.Тернівка, Дніпропетровська обл., 51500","2152","771","2109","34","1353","28","1381","","0","1353","28","1381","47","1334","48","22","163","832","124","114","31","29.10.12"
"120945","36","Дніпропетровська область","школа №1, вестибюль, 1-й поверх
вул.Чкалова, 93, м.Тернівка, Дніпропетровська обл., 51500","1384","625","1362","19","743","16","759","","0","743","16","759","30","729","31","17","110","404","90","51","26","29.10.12"
"120946","36","Дніпропетровська область","клуб Сергія Маркова, хол
вул.Леніна, 50, м.Тернівка, Дніпропетровська обл., 51500","1368","601","1363","12","756","11","767","","0","756","11","767","37","730","16","16","102","455","88","35","18","29.10.12"
"120947","36","Дніпропетровська область","Тернівська центральна міська лікарня, хол, 2-й поверх
вул.Маяковського, 22, м.Тернівка, Дніпропетровська обл., 51500","136","8","128","7","121","7","128","","0","121","7","128","9","119","6","0","11","92","5","4","1","29.10.12"
