"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безпятий
Анатолій
Олексійович","Бойко
Ярослав
Вікторович","Глазунов
Сергій
Миколайович","Далія
Сергій
Олександрович","Костромський
Максим
Васильович","Свергун
Олександр
Григорович","Чорний
Дмитро
Сергійович","Дата підписання протоколу"
"120480","34","Дніпропетровська область","адміністративний корпус, глядацька зала
вул.Набережна, 3, с.Красноіванівка, П’ятихатський р-н, Дніпропетровська обл., 52170","440","3","437","0","437","0","437","","0","437","0","437","60","377","41","23","185","30","62","15","21","29.10.12"
"120613","34","Дніпропетровська область","районний будинок культури, фойє, 1-й поверх
вул.Кірова, 42, смт Царичанка, Царичанський р-н, Дніпропетровська обл., 51000","1496","594","1457","68","839","63","902","","0","839","63","902","24","878","113","30","319","89","295","10","22","29.10.12"
"120614","34","Дніпропетровська область","школа, спортзал, 1-й поверх
вул.Піонерська, 40А, смт Царичанка, Царичанський р-н, Дніпропетровська обл., 51000","2064","719","2055","140","1207","138","1345","","0","1207","138","1345","36","1309","110","29","598","100","437","10","25","29.10.12"
"120615","34","Дніпропетровська область","адміністративний будинок райспоживспілки, зала засідань, 2-й поверх
вул.Комсомольська, 109А, смт Царичанка, Царичанський р-н, Дніпропетровська обл., 51000","1704","665","1691","76","970","69","1039","","0","970","69","1039","31","1008","75","20","479","82","333","11","8","29.10.12"
"120616","34","Дніпропетровська область","школа, хол, 1-й поверх
вул.Бутенка, 3, смт Царичанка, Царичанський р-н, Дніпропетровська обл., 51000","1360","503","1339","81","776","81","857","","0","776","81","857","15","842","94","24","427","65","207","13","12","29.10.12"
"120617","34","Дніпропетровська область","школа, спортзал
вул.Ворошилова, 16, с.Лисківка, Царичанський р-н, Дніпропетровська обл., 51006","560","210","554","79","275","75","350","","0","275","75","350","8","342","35","13","159","30","90","6","9","29.10.12"
"120618","34","Дніпропетровська область","сільський клуб, актова зала
вул.Чкалова, 12, с.Дубове, Царичанський р-н, Дніпропетровська обл., 51005","424","131","418","66","227","66","293","","0","227","66","293","11","282","31","9","170","19","47","4","2","29.10.12"
"120619","34","Дніпропетровська область","школа, спортивна зала, 1-й поверх
вул.Яна Фабриціуса, 1, с.Китайгород, Царичанський р-н, Дніпропетровська обл., 51030","1424","493","1412","144","789","142","931","","0","789","142","931","29","902","107","12","443","64","261","9","6","29.10.12"
"120620","34","Дніпропетровська область","магазин, торгова зала
вул.Леніна, 116А, с.Китайгород, Царичанський р-н, Дніпропетровська обл., 51030","488","140","479","73","276","72","348","","0","276","72","348","10","338","39","6","165","33","88","2","5","29.10.12"
"120621","34","Дніпропетровська область","сільський будинок культури, фойє, 1-й поверх
вул.Дніпропетровська, 1, с.Могилів, Царичанський р-н, Дніпропетровська обл., 51040","2032","966","2007","125","956","110","1066","","0","956","110","1066","31","1035","152","26","393","82","355","7","20","29.10.12"
"120622","34","Дніпропетровська область","бібліотека, читальна зала, 1-й поверх
вул.Центральна, 58А, с.Могилів, Царичанський р-н, Дніпропетровська обл., 51041","1128","402","1118","245","497","229","726","","0","497","229","726","20","706","107","27","377","46","130","8","11","29.10.12"
"120623","34","Дніпропетровська область","сільський будинок культури, обрядова кімната
вул.Комарова, 45, с.Новопідкряж, Царичанський р-н, Дніпропетровська обл., 51046","832","283","825","106","447","102","549","","0","447","102","549","20","529","47","12","240","30","197","2","1","28.10.12"
"120624","34","Дніпропетровська область","школа, спортзал, 1-й поверх
вул.Калініна, 42, с.Прядівка, Царичанський р-н, Дніпропетровська обл., 51022","1312","600","1292","62","656","56","712","","0","656","56","712","18","694","98","20","319","78","157","10","12","28.10.12"
"120625","34","Дніпропетровська область","сільська рада, обрядова кімната, 1-й поверх
вул.Леніна, 38А, с.Юр’ївка, Царичанський р-н, Дніпропетровська обл., 51020","576","192","572","78","308","76","384","","0","308","76","384","13","371","31","5","241","17","70","4","3","29.10.12"
"120626","34","Дніпропетровська область","школа, спортзал
вул.Центральна, 45, с.Преображенка, Царичанський р-н, Дніпропетровська обл., 51021","656","206","656","94","360","90","450","","0","360","90","450","10","440","23","6","335","12","58","2","4","29.10.12"
"120627","34","Дніпропетровська область","школа, спортзал
вул.Вороного, 1, с.Михайлівка, Царичанський р-н, Дніпропетровська обл., 51011","488","161","484","61","269","58","327","","0","269","58","327","15","312","16","6","243","11","31","2","3","29.10.12"
"120628","34","Дніпропетровська область","школа, спортзал, 1-й поверх
вул.Театральна, 1А, с.Бабайківка, Царичанський р-н, Дніпропетровська обл., 51010","1184","316","1172","128","743","125","868","","0","743","125","868","41","827","76","8","463","33","222","9","16","29.10.12"
"120629","34","Дніпропетровська область","сільський клуб, фойє
вул.Царичанська, 46, с.Новостроївка, Царичанський р-н, Дніпропетровська обл., 51010","696","205","695","67","425","66","491","","0","425","66","491","21","470","36","7","288","29","102","0","8","29.10.12"
"120630","34","Дніпропетровська область","сільський будинок культури, фойє
вул.Чкалова, 8А, с.Залелія, Царичанський р-н, Дніпропетровська обл., 51013","616","182","619","82","355","79","434","","0","355","79","434","16","418","23","11","257","21","88","6","12","29.10.12"
"120631","34","Дніпропетровська область","школа, актова зала, 1-й поверх
вул.Центральна, 3, с.Ляшківка, Царичанський р-н, Дніпропетровська обл., 51012","712","167","707","69","479","66","545","","0","479","66","545","12","533","27","7","382","33","83","1","0","29.10.12"
"120632","34","Дніпропетровська область","сільський клуб, актова зала
вул.Українська, 1, с.Шарівка, Царичанський р-н, Дніпропетровська обл., 51014","408","71","401","59","278","59","337","","0","278","59","337","0","337","22","7","269","7","30","1","1","29.10.12"
"120633","34","Дніпропетровська область","школа, спортзал, 1-й поверх
вул.Шкільна, 1, с.Рудка, Царичанський р-н, Дніпропетровська обл., 51031","1064","343","1047","147","581","140","721","","0","581","140","721","19","702","95","12","385","19","182","5","4","29.10.12"
"120634","34","Дніпропетровська область","школа, спортзал
вул.Леніна, 2, с.Цибульківка, Царичанський р-н, Дніпропетровська обл., 51032","680","290","671","89","304","86","390","","0","304","86","390","14","376","76","14","165","22","92","1","6","29.10.12"
"120635","34","Дніпропетровська область","школа, фойє, 1-й поверх
вул.Леніна, 26, с-ще Молодіжне, Царичанський р-н, Дніпропетровська обл., 51033","568","156","556","39","373","39","412","","0","373","39","412","12","400","29","7","256","23","79","2","4","29.10.12"
"120682","34","Дніпропетровська область","КЗ ""Культурно-діловий центр"", зала
вул.Жовтнева, 26, м.Вільногірськ, Дніпропетровська обл., 51700","2296","910","2278","57","1343","43","1386","","0","1343","43","1386","31","1355","115","23","546","122","523","7","19","29.10.12"
"120683","34","Дніпропетровська область","Центр профільного навчання, їдальня, 1-й поверх
вул.Леніна, 31, м.Вільногірськ, Дніпропетровська обл., 51700","2328","1023","2302","57","1260","45","1305","","0","1260","45","1305","35","1270","136","26","542","104","437","8","17","29.10.12"
"120684","34","Дніпропетровська область","школа №2, вестибюль, 1-й поверх
вул.Садова, 34, м.Вільногірськ, Дніпропетровська обл., 51700","2376","1094","2346","41","1250","32","1282","","0","1250","32","1282","57","1225","112","20","536","95","435","11","16","29.10.12"
"120685","34","Дніпропетровська область","школа №3, вестибюль, 1-й поверх
вул.Леніна, 45А, м.Вільногірськ, Дніпропетровська обл., 51700","2312","867","2289","93","1378","67","1445","","0","1378","67","1445","46","1399","137","21","609","96","508","15","13","29.10.12"
"120686","34","Дніпропетровська область","школа №4, спортивний зал, 1-й поверх
вул.Леніна, 51, м.Вільногірськ, Дніпропетровська обл., 51700","2408","1013","2387","42","1361","34","1395","","0","1361","34","1395","49","1346","99","17","548","130","523","15","14","29.10.12"
"120687","34","Дніпропетровська область","КЗ ""Спортивний комплекс ""Авангард"", вестибюль, 1-й поверх
вул.Леніна, 28, м.Вільногірськ, Дніпропетровська обл., 51700","2280","928","2255","41","1322","30","1352","","0","1322","30","1352","35","1317","96","25","536","131","498","10","21","29.10.12"
"120688","34","Дніпропетровська область","школа №5, вестибюль, 1-й поверх
вул.Ленінського Комсомолу, 46, м.Вільногірськ, Дніпропетровська обл., 51700","2000","799","1998","33","1180","21","1201","","0","1180","21","1201","66","1135","113","25","409","118","446","8","16","29.10.12"
"120689","34","Дніпропетровська область","палац культури і спорту ""Металург"", урочиста зала, 2-й поверх
вул.Леніна, 30, м.Вільногірськ, Дніпропетровська обл., 51700","2240","965","2220","44","1235","39","1274","","0","1236","39","1275","33","1242","126","30","481","116","473","10","6","29.10.12"
"120690","34","Дніпропетровська область","КЗО НВК ""Родина"", актова зала, 1-й поверх
вул.Лісова, 6А, м.Жовті Води, Дніпропетровська обл., 52205","1320","769","1320","49","514","37","551","","0","514","37","551","22","529","124","5","233","21","128","2","16","29.10.12"
"120691","34","Дніпропетровська область","колишня школа №7, рекреація 1-й поверх
вул.Зелена, 30, м.Жовті Води, Дніпропетровська обл., 52202","2160","1264","2136","93","826","70","896","","0","826","70","896","23","873","157","22","329","57","281","9","18","29.10.12"
"120692","34","Дніпропетровська область","гімназія, велика зала, 2-й поверх
вул.Петровського, 18, м.Жовті Води, Дніпропетровська обл., 52210","2176","1093","2178","63","1038","45","1083","","0","1038","45","1083","17","1066","155","9","437","53","369","3","40","29.10.12"
"120693","34","Дніпропетровська область","палац культури, дзеркальна зала
майдан В.І.Леніна, 4, м.Жовті Води, Дніпропетровська обл., 52210","2064","850","2027","79","1152","62","1214","","0","1152","62","1214","38","1176","284","8","478","51","322","5","28","29.10.12"
"120694","34","Дніпропетровська область","педучилище, спортивна зала, 1-й поверх
вул.Франка, 5, м.Жовті Води, Дніпропетровська обл., 52206","1976","828","1947","66","1107","41","1148","","0","1107","41","1148","37","1111","229","10","430","48","351","6","37","29.10.12"
"120695","34","Дніпропетровська область","НВК ""Дивосвіт"", спортивна зала, 1-й поверх
вул.Шевченка, 12, м.Жовті Води, Дніпропетровська обл., 52201","1816","784","1796","74","970","62","1032","","0","970","62","1032","42","990","188","8","438","59","259","8","30","29.10.12"
"120696","34","Дніпропетровська область","школа №5, фойє 1-й поверх
вул.Петровського, 42, м.Жовті Води, Дніпропетровська обл., 52210","2112","914","2088","100","1122","76","1198","","0","1122","76","1198","40","1158","266","18","434","54","345","6","35","29.10.12"
"120697","34","Дніпропетровська область","ліцей, актова зала 2-й поверх
вул.Гагаріна, 36, м.Жовті Води, Дніпропетровська обл., 52201","1736","914","1721","90","775","47","822","","0","775","47","822","23","799","112","11","268","76","303","2","27","29.10.12"
"120698","34","Дніпропетровська область","Державний професійно-навчальний заклад ""ЗДЦПТО"", фойє 1-й поверх
пров.О.Стовби, 1, м.Жовті Води, Дніпропетровська обл., 52201","2336","1263","2316","23","1059","14","1073","","0","1059","14","1073","23","1050","125","15","410","66","387","9","38","29.10.12"
"120699","34","Дніпропетровська область","музична школа, фойє 1-й поверх
вул.50-річчя комсомолу, 4, м.Жовті Води, Дніпропетровська обл., 52207","2048","912","2012","44","1099","37","1136","","0","1099","37","1136","39","1097","186","19","463","60","335","7","27","29.10.12"
"120700","34","Дніпропетровська область","школа №12, фойє 1-й поверх
вул.50-річчя комсомолу, 8, м.Жовті Води, Дніпропетровська обл., 52207","2416","1092","2390","32","1299","25","1324","","0","1299","25","1324","39","1285","237","13","472","78","437","8","40","29.10.12"
"120701","34","Дніпропетровська область","школа №3, північна рекреація 1-й поверх
вул.І.Богуна, 50, м.Жовті Води, Дніпропетровська обл., 52207","2296","1095","2264","24","1188","13","1201","","0","1187","13","1200","39","1161","187","11","473","76","378","9","27","29.10.12"
"120702","34","Дніпропетровська область","технікум, західна рекреація 1-й поверх
вул.Петровського, 35, м.Жовті Води, Дніпропетровська обл., 52200","2112","895","2116","70","1161","56","1217","","0","1161","56","1217","27","1190","204","8","464","65","395","5","49","29.10.12"
"120703","34","Дніпропетровська область","школа №10, рекреація 1-й поверх
вул.8-го Березня, 35, м.Жовті Води, Дніпропетровська обл., 52204","1832","820","1797","58","967","45","1012","","0","967","45","1012","35","977","179","9","412","52","278","6","41","29.10.12"
"120704","34","Дніпропетровська область","школа №10, їдальня 2-й поверх
вул.8-го Березня, 35, м.Жовті Води, Дніпропетровська обл., 52204","2016","1028","1956","34","957","31","988","","0","957","31","988","18","970","157","8","379","39","348","7","32","29.10.12"
"120705","34","Дніпропетровська область","школа №8, рекреація 1-й поверх
пров.Запорізький, 12, м.Жовті Води, Дніпропетровська обл., 52209","2112","996","2090","33","1089","27","1116","","0","1089","27","1116","24","1092","206","11","449","59","326","3","38","29.10.12"
"120706","34","Дніпропетровська область","школа №8, рекреація 2-й поверх
пров.Запорізький, 12, м.Жовті Води, Дніпропетровська обл., 52209","2256","1112","2219","15","1135","9","1144","","0","1135","9","1144","30","1114","180","14","461","81","334","10","34","29.10.12"
"120707","34","Дніпропетровська область","допоміжна школа, актова зала 2-й поверх
вул.50-річчя комсомолу, 25А, м.Жовті Води, Дніпропетровська обл., 52207","2032","1312","2004","13","713","7","720","","0","713","7","720","12","708","88","5","323","36","215","7","34","29.10.12"
"120708","34","Дніпропетровська область","КЗО НВК №6 ""Перспектива"", вестибюль
вул.Дзержинського, 11А, м.Жовті Води, Дніпропетровська обл., 52209","2000","1070","1991","14","917","13","930","","0","917","13","930","31","899","115","8","384","63","289","5","35","29.10.12"
"120709","34","Дніпропетровська область","КЗО НВК №6, вестибюль 1-й поверх
вул.Дзержинського, 11А, м.Жовті Води, Дніпропетровська обл., 52209","2176","1122","2145","7","1049","5","1054","","0","1049","5","1054","34","1020","144","14","347","63","379","9","64","29.10.12"
"120710","34","Дніпропетровська область","селищний клуб, вестибюль 1-й поверх
вул.Перемоги, 2, с-ще Суха Балка, м.Жовті Води, Дніпропетровська обл., 52291","584","228","578","45","320","36","356","","0","320","36","356","16","340","102","9","133","12","70","3","11","29.10.12"
"120711","34","Дніпропетровська область","Медико-санітарна частина № 9, приймальне відділення, актова зала
вул.Петровського, 24, м.Жовті Води, Дніпропетровська обл., 52210","328","106","224","110","114","108","222","","0","114","108","222","10","212","31","4","105","9","53","2","8","29.10.12"
"120712","34","Дніпропетровська область","Жовтоводська виправна колонія №26, клуб в охоронній зоні, актова зала
пров.Дальній, 11, м.Жовті Води, Дніпропетровська обл., 52201","1520","11","1509","0","1509","0","1509","","0","1509","0","1509","120","1389","54","57","1053","60","94","26","45","30.10.12"
