"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барановський
Володимир
Миколайович","Булкін
Дмитро
Валерійович","Волосянко
Микола
Іванович","Дацько
Тетяна
Федорівна","Самойленко
Юрій
Павлович","Синенко
Світлана
Іванівна","Дата підписання протоколу"
"120484","39","Дніпропетровська область","школа, їдальня, 1-й поверх
вул.Чапаєва, 9, смт Іларіонове, Синельниківський р-н, Дніпропетровська обл., 52520","1663","850","1665","41","775","38","813","","0","775","38","813","62","751","65","113","119","97","338","19","29.10.12"
"120485","39","Дніпропетровська область","навчально-виховний комплекс, фойє
вул.Маяковського, 100Б, смт Сад, Синельниківський р-н, Дніпропетровська обл., 52520","480","239","474","26","218","23","241","","0","218","23","241","12","229","15","26","23","23","134","8","29.10.12"
"120486","39","Дніпропетровська область","фельдшерський пункт, фізіотерапевтичний кабінет
вул.Фрунзе, 19, с.Старолозуватка, Синельниківський р-н, Дніпропетровська обл., 52522","448","222","444","21","206","20","226","","0","206","20","226","12","214","27","47","23","23","90","4","29.10.12"
"120487","39","Дніпропетровська область","будинок культури, вестибюль
вул.Леніна, 21, смт Роздори, Синельниківський р-н, Дніпропетровська обл., 52532","1312","729","1295","21","566","17","583","","0","566","17","583","18","565","36","48","160","82","231","8","29.10.12"
"120488","39","Дніпропетровська область","фельдшерський пункт, вестибюль
вул.Урожайна, 3, с.Роздолля, Синельниківський р-н, Дніпропетровська обл., 52532","160","71","161","8","81","8","89","","0","81","8","89","8","81","5","5","21","2","47","1","29.10.12"
"120489","39","Дніпропетровська область","червоний куток ПАТ ""Славгородський арматурний завод"", вестибюль
вул.Заводська, 1, смт Славгород, Синельниківський р-н, Дніпропетровська обл., 52580","1248","520","1236","44","684","44","728","","0","684","44","728","37","691","125","89","94","106","262","15","29.10.12"
"120490","39","Дніпропетровська область","відділення залізниці ПЧ-5, вестибюль
вул.Транспортна, 12, смт Славгород, Синельниківський р-н, Дніпропетровська обл., 52580","496","200","494","41","255","41","296","","0","255","41","296","8","288","59","21","28","68","106","6","28.10.12"
"120491","39","Дніпропетровська область","школа, вестибюль
вул.Гагаріна, 1, с.Тургенєвка, Синельниківський р-н, Дніпропетровська обл., 52582","504","247","486","33","226","31","257","","0","226","31","257","9","248","55","33","32","26","101","1","29.10.12"
"120492","39","Дніпропетровська область","червоний куток МТФ ТОВ ""Нива"", вестибюль
вул.Ральченко, 1, с.Бегма, Синельниківський р-н, Дніпропетровська обл., 52580","256","92","251","37","133","31","164","","0","133","31","164","4","160","7","63","18","8","60","4","28.10.12"
"120493","39","Дніпропетровська область","школа, вестибюль, 1-й поверх
вул.Ювілейна, 12А, с.Варварівка, Синельниківський р-н, Дніпропетровська обл., 52550","576","210","575","33","335","31","366","","0","335","31","366","7","359","37","36","32","26","222","6","29.10.12"
"120494","39","Дніпропетровська область","їдальня ТОВ ""Нива"", вестибюль
вул.Придніпровська, 1А, с.Андріївка, Синельниківський р-н, Дніпропетровська обл., 52550","368","105","362","34","229","34","263","","0","229","34","263","12","251","25","28","56","23","118","1","29.10.12"
"120495","39","Дніпропетровська область","будинок культури, вестибюль
вул.Петровського, 44, с.Василівка-на-Дніпрі, Синельниківський р-н, Дніпропетровська обл., 52551","680","285","670","63","335","60","395","","0","335","60","395","15","380","40","26","63","42","203","6","29.10.12"
"120496","39","Дніпропетровська область","навчально-виховний комплекс, спортивна зала, 1-й поверх
вул.50 років Жовтня, 54, с.Великомихайлівка, Синельниківський р-н, Дніпропетровська обл., 52571","352","104","349","22","226","22","248","","0","226","22","248","9","239","19","19","58","34","105","4","28.10.12"
"120497","39","Дніпропетровська область","сільський клуб, актова зала
вул.Леніна, 130, с.Вільне, Синельниківський р-н, Дніпропетровська обл., 52513","576","222","572","10","344","10","354","","0","344","10","354","15","339","21","31","37","24","218","8","29.10.12"
"120498","39","Дніпропетровська область","сільський клуб, вестибюль
вул.Шевченка, 9, с.Гірки, Синельниківський р-н, Дніпропетровська обл., 52562","704","271","685","53","380","53","433","","0","380","53","433","20","413","71","56","46","28","203","9","29.10.12"
"120499","39","Дніпропетровська область","будинок культури, вестибюль
вул.Ходарєва, 2В, с.Дерезувате, Синельниківський р-н, Дніпропетровська обл., 52510","744","308","740","31","405","31","436","","0","405","31","436","28","408","31","68","87","61","143","18","29.10.12"
"120500","39","Дніпропетровська область","будинок культури, вестибюль
вул.Шкільна, 1, с.Діброва, Синельниківський р-н, Дніпропетровська обл., 52542","400","160","397","46","194","46","240","","0","194","46","240","6","234","11","42","41","6","131","3","29.10.12"
"120501","39","Дніпропетровська область","будинок культури, актова зала
вул.Кірова, 39, с.Зайцеве, Синельниківський р-н, Дніпропетровська обл., 52514","880","292","897","86","502","86","588","","0","502","86","588","26","562","50","70","73","60","298","11","29.10.12"
"120502","39","Дніпропетровська область","будівля ТОВ ""Дніпроагротрейд"", вестибюль
вул.Ювілейна, 2, с.Красне, Синельниківський р-н, Дніпропетровська обл., 52514","200","54","193","23","123","23","146","","0","123","23","146","4","142","11","12","14","5","93","7","28.10.12"
"120503","39","Дніпропетровська область","будинок культури, вестибюль
вул.Виконкомівська, 8, с.Кислянка, Синельниківський р-н, Дніпропетровська обл., 52512","832","389","819","44","400","43","443","","0","400","43","443","18","425","59","29","67","33","228","9","29.10.12"
"120504","39","Дніпропетровська область","будинок культури, танцювальна зала
вул.Леніна, 3, с.Луб’янка, Синельниківський р-н, Дніпропетровська обл., 52560","824","320","823","72","438","66","504","","0","438","66","504","30","474","80","20","68","49","248","9","30.10.12"
"120505","39","Дніпропетровська область","будинок культури, вестибюль
вул.Шевченка, 2А, с.Майське, Синельниківський р-н, Дніпропетровська обл., 52511","976","443","958","49","484","49","533","","0","484","49","533","28","505","36","28","54","43","331","13","29.10.12"
"120506","39","Дніпропетровська область","сільська рада, зала засідань
вул.Українська, 59, с.Мар’ївка, Синельниківський р-н, Дніпропетровська обл., 52540","352","189","352","26","137","26","163","","0","137","26","163","8","155","15","8","8","7","115","2","29.10.12"
"120507","39","Дніпропетровська область","навчально-виховний комплекс, актова зала, 1-й поверх
вул.50 років Жовтня, 18, с-ще Первомайське, Синельниківський р-н, Дніпропетровська обл., 52541","1272","657","1253","21","595","20","615","","0","595","20","615","33","582","60","74","104","70","261","13","29.10.12"
"120508","39","Дніпропетровська область","школа, спортивна зала, 1-й поверх
вул.Миру, 10А, с-ще Шахтарське, Синельниківський р-н, Дніпропетровська обл., 52543","592","252","590","5","335","5","340","","0","335","5","340","11","329","51","33","26","52","161","6","28.10.12"
"120509","39","Дніпропетровська область","школа, вестибюль, 1-й поверх
вул.Леніна, 24, с.Миролюбівка, Синельниківський р-н, Дніпропетровська обл., 52570","896","397","900","53","447","52","499","","0","447","52","499","14","485","61","19","73","70","254","8","29.10.12"
"120510","39","Дніпропетровська область","сільський клуб, вестибюль
вул.Леніна, 40, с.Михайлівка, Синельниківський р-н, Дніпропетровська обл., 52552","800","343","781","66","392","65","457","","0","392","65","457","17","440","68","49","29","41","242","11","29.10.12"
"120511","39","Дніпропетровська область","сільський клуб, актова зала
вул.Центральна, 15, с.Новогніде, Синельниківський р-н, Дніпропетровська обл., 52524","720","329","726","22","372","19","391","","0","372","19","391","19","372","62","27","46","37","194","6","29.10.12"
"120512","39","Дніпропетровська область","сільський клуб, актова зала
вул.Пролетарська, 2Б, с.Вербове, Синельниківський р-н, Дніпропетровська обл., 52543","280","134","274","8","138","8","146","","0","138","8","146","5","141","11","5","20","6","96","3","28.10.12"
"120513","39","Дніпропетровська область","сільський клуб, актова зала
вул.Котляревського, 1, с.Грушувато-Криничне, Синельниківський р-н, Дніпропетровська обл., 52551","224","97","208","6","121","6","127","","0","121","6","127","4","123","9","8","15","12","78","1","29.10.12"
"120514","39","Дніпропетровська область","будинок культури, фойє
вул.Леніна, 4А, с.Новоолександрівка, Синельниківський р-н, Дніпропетровська обл., 52561","1024","453","1026","57","516","55","571","","0","516","55","571","12","559","79","38","54","36","343","9","29.10.12"
"120515","39","Дніпропетровська область","будинок культури, вестибюль
вул.Некрасова, 43А, с.Писарівка, Синельниківський р-н, Дніпропетровська обл., 52534","656","262","654","77","318","76","394","","0","318","76","394","10","384","36","31","80","33","196","8","29.10.12"
"120516","39","Дніпропетровська область","сільський клуб, актова зала
вул.Бугаєнко, 3, с.Раївка, Синельниківський р-н, Дніпропетровська обл., 52523","1424","708","1406","53","666","50","716","","0","666","50","716","27","689","59","93","96","157","279","5","28.10.12"
"120517","39","Дніпропетровська область","бібліотека, вестибюль
вул.Гагаріна, 4, с.Веселе, Раївська сільська рада, Синельниківський р-н, Дніпропетровська обл., 52523","664","316","654","30","319","29","348","","0","319","29","348","16","332","41","42","58","52","131","8","29.10.12"
"120518","39","Дніпропетровська область","будинок культури, вестибюль
вул.Шевченко, 36В, с.Старовишневецьке, Синельниківський р-н, Дніпропетровська обл., 52530","600","223","586","34","344","33","377","","0","344","33","377","16","361","29","23","43","47","209","10","28.10.12"
"120519","39","Дніпропетровська область","сільський клуб, вестибюль
вул.Леніна, 48А, с.Водяне, Синельниківський р-н, Дніпропетровська обл., 52530","160","47","154","8","105","8","113","","0","105","8","113","1","112","17","26","7","1","57","4","30.10.12"
"120520","39","Дніпропетровська область","фельдшерський пункт, вестибюль
вул.Зелена, 12, с-ще Фрунзе, Синельниківський р-н, Дніпропетровська обл., 52560","272","108","266","18","146","18","164","","0","146","18","164","5","159","33","4","12","22","86","2","29.10.12"
"120521","39","Дніпропетровська область","школа, спортивна зала, 1-й поверх
вул.Леніна, 46, с.Шевченківське, Синельниківський р-н, Дніпропетровська обл., 52572","376","151","371","36","192","33","225","","0","192","33","225","8","217","15","6","47","17","124","8","30.10.12"
"120522","39","Дніпропетровська область","адміністративна будівля колонії, клуб
с-ще Шахтарське, Синельниківський р-н, Дніпропетровська обл., 52543","1680","101","1579","0","1579","0","1579","","0","1579","0","1579","167","1412","109","192","93","105","753","160","28.10.12"
"120917","39","Дніпропетровська область","Синельниківський професійний ліцей, вестибюль
вул.Леніна, 185, м.Синельникове, Дніпропетровська обл., 52500","728","382","714","5","342","4","346","","0","342","4","346","20","326","25","29","86","40","140","6","29.10.12"
"120918","39","Дніпропетровська область","школа № 7, вестибюль
вул.Воїнів Інтернаціоналістів, 5, м.Синельникове, Дніпропетровська обл., 52500","2288","1122","2259","49","1133","33","1166","","0","1133","33","1166","42","1124","156","156","254","142","405","11","29.10.12"
"120919","39","Дніпропетровська область","гімназія, вестибюль
вул.Перемоги, 1, м.Синельникове Дніпропетровська обл., 52500","1640","811","1619","23","808","21","829","","0","808","21","829","28","801","90","107","169","105","318","12","29.10.12"
"120920","39","Дніпропетровська область","школа №1, фойє
вул.Петровського, 27, м.Синельникове, Дніпропетровська обл., 52500","1344","781","1324","28","543","20","563","","0","543","20","563","22","541","74","59","121","84","201","2","29.10.12"
"120921","39","Дніпропетровська область","будинок культури ""Родина"", фойє
вул.Богми, 8, м.Синельникове, Дніпропетровська обл., 52500","1632","883","1596","49","709","40","749","","0","709","40","749","27","722","84","107","141","114","263","13","28.10.12"
"120922","39","Дніпропетровська область","школа №3, вестибюль
вул.40 років Жовтня, 27, м.Синельникове, Дніпропетровська обл., 52500","1552","793","1524","41","722","37","759","","0","721","37","758","35","723","81","92","154","88","298","10","29.10.12"
"120923","39","Дніпропетровська область","Район електричних мереж, цокільне приміщення
вул.Інтернаціональна, 96, м.Синельникове, Дніпропетровська обл., 52500","1176","555","1159","35","593","28","621","","0","592","28","620","33","587","75","90","121","62","229","10","29.10.12"
"120924","39","Дніпропетровська область","Вузлова лікарня на станції Синельникове-2, фойє
вул.Гагаріна, 3, м.Синельникове, Дніпропетровська обл., 52500","928","425","922","49","459","44","503","","0","459","44","503","28","475","54","50","66","53","240","12","28.10.12"
"120925","39","Дніпропетровська область","дитячий садок №11, коридор
вул.Ковпака, 1, м.Синельникове, Дніпропетровська обл., 52500","984","469","974","13","504","11","515","","0","504","11","515","18","497","68","40","147","54","182","6","29.10.12"
"120926","39","Дніпропетровська область","школа №5, спортивний зал
вул.Тельмана, 29А, м.Синельникове, Дніпропетровська обл., 52500","1320","683","1302","26","616","21","637","","0","615","21","636","29","607","47","83","113","89","268","7","30.10.12"
"120927","39","Дніпропетровська область","школа №5, спортивний зал
вул.Тельмана, 29А, м.Синельникове, Дніпропетровська обл., 52500","1424","843","1413","18","570","11","581","","0","570","11","581","34","547","63","71","93","78","234","8","28.10.12"
"120928","39","Дніпропетровська область","пасажирське вагонне депо, фойє
вул.Гоголя, 39, м.Синельникове, Дніпропетровська обл., 52500","888","415","889","22","455","18","473","","0","455","18","473","16","457","38","42","48","91","228","10","29.10.12"
"120929","39","Дніпропетровська область","будинок залізничників, вестибюль
вул.Гоголя, 27, м.Синельникове, Дніпропетровська обл., 52500","1808","962","1767","30","822","24","846","","0","822","24","846","43","803","78","80","137","117","376","15","29.10.12"
"120930","39","Дніпропетровська область","школа №6, вестибюль
вул.Кремлівських Курсантів, 44, м.Синельникове, Дніпропетровська обл., 52500","2088","1055","2062","22","1013","20","1033","","0","1013","20","1033","56","977","95","101","180","145","442","14","29.10.12"
"120931","39","Дніпропетровська область","Синельниківське газове господарство, актовий зал
вул.Миру, 64, м.Синельникове, Дніпропетровська обл., 52500","1264","658","1230","16","590","16","606","","0","590","16","606","26","580","73","72","150","61","216","8","29.10.12"
"120932","39","Дніпропетровська область","дитячий садок №12, група дитячої творчості 2
вул.Миру, 12, м.Синельникове, Дніпропетровська обл., 52500","1696","923","1648","6","768","5","773","","0","767","5","772","28","744","103","119","158","65","292","7","31.10.12"
"120933","39","Дніпропетровська область","дитячий садок №10, група 2
вул.Миру, 25, м.Синельникове, Дніпропетровська обл., 52500","1304","687","1261","6","612","5","617","","0","612","5","617","25","592","87","64","131","46","254","10","29.10.12"
"120934","39","Дніпропетровська область","школа №2, фойе
вул.Миру, 13, м.Синельникове, Дніпропетровська обл., 52500","1832","951","1791","11","873","8","881","","0","873","8","881","29","852","108","108","203","100","323","10","29.10.12"
"120935","39","Дніпропетровська область","центральна районна лікарня, актовий зал
вул.Миру, 52, м.Синельникове, Дніпропетровська обл., 52500","240","32","212","40","169","39","208","","0","169","39","208","10","198","36","11","25","18","104","4","29.10.12"
