"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабич
Лариса
Ігорівна","Бахчевников
Олександр
Анатолійович","Демошенко
Геннадій
Валентинович","Дідич
Валентин
Володимирович","Козирський
Микола
Анатолійович","Рязанцев
Іван
Михайлович","Царьов
Олег
Анатолійович","Шебанов
Вадим
Анатолійович","Яковіткін
Олександр
Валентинович","Дата підписання протоколу"
"120597","40","Дніпропетровська область","школа, фойє
вул.Максименка, 27, с.Сергіївка, Томаківський р-н, Дніпропетровська обл., 53505","544","225","539","46","277","42","319","","0","277","42","319","12","307","5","35","29","5","3","112","117","1","0","29.10.12"
"120598","40","Дніпропетровська область","будинок культури, фойє
вул.Ювілейна, 6, с.Кисличувата, Томаківський р-н, Дніпропетровська обл., 53530","1144","449","1131","82","619","76","695","","0","619","76","695","16","679","2","31","8","21","8","201","399","3","6","29.10.12"
"120599","40","Дніпропетровська область","будинок культури, фойє
вул.Партизанська, 64, с.Михайлівка, Томаківський р-н, Дніпропетровська обл., 53531","576","259","555","43","280","37","317","","0","280","37","317","12","305","8","21","10","11","2","78","161","5","9","29.10.12"
"120600","40","Дніпропетровська область","будинок культури, фойє
вул.Бардукова, 44А, с.Володимирівка, Томаківський р-н, Дніпропетровська обл., 53550","1552","673","1535","195","717","162","879","","0","717","162","879","54","825","41","49","20","53","19","214","408","8","13","29.10.12"
"120601","40","Дніпропетровська область","будинок культури, фойє, 1-й поверх
вул.Центральна, 2, с.Китайгородка, Томаківський р-н, Дніпропетровська обл., 53512","472","105","466","45","324","43","367","","0","324","43","367","12","355","6","26","4","17","5","111","174","4","8","29.10.12"
"120602","40","Дніпропетровська область","будинок культури, фойє, 1-й поверх
вул.Гагаріна, 1, с.Чумаки, Томаківський р-н, Дніпропетровська обл., 53510","1312","586","1291","84","654","72","726","","0","654","72","726","26","700","21","75","16","48","8","200","318","5","9","29.10.12"
"120603","40","Дніпропетровська область","будинок культури, фойє
вул.Леніна, 199, с.Преображенка, Томаківський р-н, Дніпропетровська обл., 53520","1008","408","1000","62","546","54","600","","0","546","54","600","16","584","17","20","6","28","4","200","299","4","6","29.10.12"
"120604","40","Дніпропетровська область","навчально-виховний комплекс, фойє
вул.Центральна, 19А, с.Зелений Гай, Томаківський р-н, Дніпропетровська обл., 53521","496","189","484","38","272","35","307","","0","272","35","307","3","304","2","10","2","7","5","146","131","1","0","29.10.12"
"120605","40","Дніпропетровська область","будинок культури, фойє, 1-й поверх
вул.Кірова, 2, с.Топила, Томаківський р-н, Дніпропетровська обл., 53540","1816","910","1802","100","820","86","906","","0","820","86","906","38","868","25","77","7","38","9","308","381","4","19","29.10.12"
"120606","40","Дніпропетровська область","школа, фойє, 1-й поверх
вул.Гагаріна, 1А, с.Настасівка, Томаківський р-н, Дніпропетровська обл., 53541","640","307","630","29","304","29","333","","0","304","29","333","12","321","7","16","2","17","1","95","177","2","4","29.10.12"
"120607","40","Дніпропетровська область","будинок культури, фойє, 1-й поверх
вул.Сільськогосподарська, 37, с-ще Зоря, Томаківський р-н, Дніпропетровська обл., 53542","808","315","806","31","466","27","493","","0","466","27","493","22","471","5","34","2","36","4","92","281","2","15","29.10.12"
"120608","40","Дніпропетровська область","школа, фойє, 1-й поверх
вул.імені Надії Кулик, 23, с.Виводове, Томаківський р-н, Дніпропетровська обл., 53552","1080","471","1069","107","516","93","609","","0","516","93","609","12","597","2","24","20","0","2","326","215","1","7","29.10.12"
"120609","40","Дніпропетровська область","школа, фойє, 1-й поверх
вул.Горького, 7, с.Вищетарасівка, Томаківський р-н, Дніпропетровська обл., 53563","1408","687","1389","100","628","93","721","","0","628","93","721","34","687","10","63","3","42","14","243","307","1","4","29.10.12"
"120610","40","Дніпропетровська область","будинок культури, фойє, 1-й поверх
вул.Леніна, 11, с.Вищетарасівка, Томаківський р-н, Дніпропетровська обл., 53563","1320","638","1300","101","587","95","682","","0","587","95","682","27","655","11","64","2","34","4","208","327","3","2","29.10.12"
"120611","40","Дніпропетровська область","будинок культури, фойє
вул.Центральна, 1А, с.Новокиївка, Томаківський р-н, Дніпропетровська обл., 53560","448","212","439","15","221","15","236","","0","221","15","236","11","225","4","33","3","14","3","45","120","1","2","06.11.12"
"120612","40","Дніпропетровська область","сільський клуб, фойє
вул.Кірова, 1А, с.Добра Надія, Томаківський р-н, Дніпропетровська обл., 53562","968","459","958","205","379","130","509","","0","379","130","509","31","478","33","57","9","38","24","84","213","6","14","29.10.12"
"120713","40","Дніпропетровська область","Укрпошта, фойє
пров.Мар’ївський, 9, м.Марганець, Дніпропетровська обл., 53400","416","188","410","11","218","10","228","","0","218","10","228","12","216","7","60","0","17","6","30","77","0","19","28.10.12"
"120714","40","Дніпропетровська область","школа №2, фойє, 2-й поверх
вул.Садова, 18, м.Марганець, Дніпропетровська обл., 53400","1040","469","1037","53","530","41","571","","0","530","41","571","17","554","9","99","5","42","21","92","229","4","53","29.10.12"
"120715","40","Дніпропетровська область","комплекс позашкільної роботи, фойє
вул.Садова, 1, м.Марганець, Дніпропетровська обл., 53400","968","437","947","21","519","12","531","","0","519","12","531","11","520","15","92","3","33","21","74","177","4","101","29.10.12"
"120716","40","Дніпропетровська область","палац культури, фойє, 2-й поверх
пл.Леніна, 1, м.Марганець, Дніпропетровська обл., 53400","880","455","867","23","409","16","425","","0","409","16","425","22","403","4","70","5","32","12","67","149","9","55","29.10.12"
"120717","40","Дніпропетровська область","центр трудової підготовки, фойє
вул.О.Кошового, 4, м.Марганець, Дніпропетровська обл., 53400","1456","698","1450","35","733","25","758","","0","733","25","758","23","735","6","144","6","43","22","131","287","6","90","29.10.12"
"120718","40","Дніпропетровська область","школа №11, фойє, 1-й поверх
вул.50 років Жовтня, 14, м.Марганець, Дніпропетровська обл., 53400","1552","778","1545","62","725","49","774","","0","725","49","774","27","747","13","156","2","54","13","163","270","11","65","29.10.12"
"120719","40","Дніпропетровська область","професійно-технічний ліцей, спортивна зала, 1-й поверх
вул.Радянська, 41, м.Марганець, Дніпропетровська обл., 53400","936","461","916","17","463","12","475","","0","463","12","475","20","455","7","99","6","35","10","73","171","12","42","29.10.12"
"120720","40","Дніпропетровська область","школа №12, фойє, 1-й поверх
вул.Радянська, 65А, м.Марганець, Дніпропетровська обл., 53400","1976","906","1952","52","1034","36","1070","","0","1034","36","1070","31","1039","12","178","6","89","35","160","447","11","101","29.10.12"
"120721","40","Дніпропетровська область","ПАТ ""Рудоремонтний завод"", їдальня №3, 1-й поверх
вул.Радянська, 160, м.Марганець, Дніпропетровська обл., 53400","1760","906","1725","36","825","29","854","","0","825","29","854","31","823","16","163","5","59","38","116","356","5","65","29.10.12"
"120722","40","Дніпропетровська область","школа №3, фойє, 2-й поверх
вул.Жовтнева, 1, м.Марганець, Дніпропетровська обл., 53400","1512","755","1490","42","721","36","757","","0","721","36","757","32","725","10","126","9","51","10","101","381","2","35","29.10.12"
"120723","40","Дніпропетровська область","адмінбудинок ""Лісгоспу"", зала засідань
вул.Крупської, 32, м.Марганець, Дніпропетровська обл., 53400","1008","537","987","21","454","17","471","","0","454","17","471","20","451","10","74","3","37","10","84","186","3","44","29.10.12"
"120724","40","Дніпропетровська область","школа №9, фойє, 1-й поверх
квартал Ювілейний, 16, м.Марганець, Дніпропетровська обл., 53400","2376","1188","2333","26","1174","14","1188","","0","1174","14","1188","31","1157","17","178","7","87","37","230","524","5","72","29.10.12"
"120725","40","Дніпропетровська область","Марганецький коледж НГУ, фойє, 1-й поверх
вул.Лермонтова, 8, м.Марганець, Дніпропетровська обл., 53400","2200","1120","2169","36","1052","28","1080","","0","1052","28","1080","36","1044","19","224","13","71","26","164","438","14","75","29.10.12"
"120726","40","Дніпропетровська область","школа-інтернат №2, актова зала, 1-й поверх
вул.Лермонтова, 2, м.Марганець, Дніпропетровська обл., 53400","1880","1058","1871","49","785","37","822","","0","785","37","822","28","794","11","119","2","75","35","139","339","5","69","29.10.12"
"120727","40","Дніпропетровська область","МНС ""Гірничо-рятувальний загін"", актова зала
вул.Київська, 159, м.Марганець, Дніпропетровська обл., 53400","1888","1089","1843","18","789","10","799","","0","789","10","799","24","775","12","97","4","63","47","123","364","5","60","29.10.12"
"120728","40","Дніпропетровська область","школа №6, фойє, 1-й поверх
вул.Щербини, 26, м.Марганець, Дніпропетровська обл., 53400","2240","1057","2186","57","1145","38","1183","","0","1145","38","1183","33","1150","17","146","10","81","35","241","518","10","92","29.10.12"
"120729","40","Дніпропетровська область","школа №10, фойє, 1-й поверх
вул.Бульварна, 1, м.Марганець, Дніпропетровська обл., 53400","2184","1142","2106","44","1010","32","1042","","0","1010","32","1042","30","1012","16","139","6","76","44","184","473","12","62","29.10.12"
"120730","40","Дніпропетровська область","школа №1, фойє, 1-й поверх
вул.Перспективна, 3А, м.Марганець, Дніпропетровська обл., 53400","2408","1287","2364","30","1101","20","1121","","0","1101","20","1121","49","1072","14","158","1","89","73","171","487","6","73","29.10.12"
"120731","40","Дніпропетровська область","дитячий клуб ""Вікторія"", фойє
вул.Київська, 174А, м.Марганець, Дніпропетровська обл., 53400","2159","1096","2147","44","1027","36","1063","","0","1027","36","1063","21","1042","12","179","7","114","36","203","416","6","69","29.10.12"
"120732","40","Дніпропетровська область","дитячий садок, фойє
вул.Перспективна, 3Б, м.Марганець, Дніпропетровська обл., 53400","1592","968","1588","15","613","11","624","","0","613","11","624","16","608","7","78","8","55","33","93","262","14","58","29.10.12"
"120733","40","Дніпропетровська область","школа №8, фойє
вул.Макаренка, 22, м.Марганець, Дніпропетровська обл., 53400","448","232","446","8","209","7","216","","0","209","7","216","14","202","6","19","4","8","3","44","105","2","11","28.10.12"
"120734","40","Дніпропетровська область","ВАТ ""Пасавтотранс"", фойє, 1-й поверх
вул.Нікопольська, 1, м.Марганець, Дніпропетровська обл., 53400","1000","530","991","17","458","12","470","","0","458","12","470","11","459","7","40","3","18","12","144","186","4","45","29.10.12"
"120735","40","Дніпропетровська область","школа №7, їдальня, 1-й поверх
вул.Долгова, 1, м.Марганець, Дніпропетровська обл., 53400","1704","968","1679","25","719","17","736","","0","719","17","736","35","701","13","128","8","35","17","128","316","8","48","29.10.12"
"120736","40","Дніпропетровська область","школа №5, спортивна зала, 1-й поверх
вул.К.Маркса, 37, м.Марганець, Дніпропетровська обл., 53400","1904","1030","1902","55","827","47","874","","0","827","47","874","25","849","13","86","5","46","14","187","445","7","46","29.10.12"
"121022","40","Дніпропетровська область","школа №7, спортивна зала, 2-й поверх
вул.Ніжинська, 7, м.Дніпродзержинськ, Дніпропетровська обл., 51922","2240","1260","2209","22","967","13","980","","0","967","13","980","59","921","17","105","96","96","8","166","410","14","9","28.10.12"
"121023","40","Дніпропетровська область","школа №7, вестибюль, 1-й поверх
вул.Ніжинська, 7, м.Дніпродзержинськ, Дніпропетровська обл., 51922","2336","1318","2286","15","1005","13","1018","","0","1005","13","1018","57","961","50","99","148","135","7","162","333","19","8","29.10.12"
"121024","40","Дніпропетровська область","школа №35, коридор, 1-й поверх
вул.Куйбишева, 162, м.Дніпродзержинськ, Дніпропетровська обл., 51922","2376","1157","2374","21","1201","18","1219","","0","1201","18","1219","68","1151","30","116","158","182","8","265","369","16","7","29.10.12"
"121025","40","Дніпропетровська область","школа №35, коридор, 2-й поверх
вул.Куйбишева, 162, м.Дніпродзержинськ, Дніпропетровська обл., 51922","2280","1345","2253","2","933","2","935","","0","933","2","935","62","873","23","85","123","126","5","183","315","8","5","29.10.12"
"121026","40","Дніпропетровська область","реабілітаційний центр, спортивна зала, 2-й поверх
вул.Кузнєцова, 18, м.Дніпродзержинськ, Дніпропетровська обл., 51912","2384","1245","2331","17","1122","17","1139","","0","1122","17","1139","59","1080","31","117","124","122","7","258","398","17","6","29.10.12"
"121027","40","Дніпропетровська область","Дитячо-юнацька спортивна школа №4, вестибюль, 1-й поверх
вул.Скаліка, 5, м.Дніпродзержинськ, Дніпропетровська обл., 51935","2376","1361","2324","6","1012","3","1015","","0","1012","3","1015","71","944","34","112","145","128","8","179","319","17","2","29.10.12"
"121029","40","Дніпропетровська область","школа №28, вестибюль, 2-й поверх
вул.Криворізька, 41, м.Дніпродзержинськ, Дніпропетровська обл., 51914","2112","987","2061","10","1118","7","1125","","0","1118","7","1125","77","1048","30","77","113","174","3","288","338","13","12","29.10.12"
"121031","40","Дніпропетровська область","школа №13, коридор, 1-й поверх
вул.Бойка, 42, м.Дніпродзержинськ, Дніпропетровська обл., 51900","2176","1166","2129","7","1003","7","1010","","0","1003","7","1010","54","956","32","111","175","112","1","198","310","11","6","29.10.12"
"121032","40","Дніпропетровська область","школа №13, коридор, 2-й поверх
вул.Бойка, 42, м.Дніпродзержинськ, Дніпропетровська обл., 51900","2368","1260","2325","18","1093","15","1108","","0","1093","15","1108","84","1024","33","97","175","119","7","230","328","19","16","29.10.12"
"121033","40","Дніпропетровська область","школа №18, коридор, 1-й поверх
вул.Бойка, 31, м.Дніпродзержинськ, Дніпропетровська обл., 51900","2400","1315","2352","8","1079","6","1085","","0","1079","6","1085","57","1028","23","101","267","102","3","193","320","14","5","29.10.12"
"121034","40","Дніпропетровська область","школа №18, коридор, 1-й поверх
вул.Бойка, 31, м.Дніпродзержинськ, Дніпропетровська обл., 51900","2376","1292","2326","15","1073","11","1084","","0","1073","11","1084","59","1025","21","111","185","115","3","188","382","16","4","28.10.12"
"121035","40","Дніпропетровська область","школа №12, коридор, 1-й поверх
вул.Скаліка, 30, м.Дніпродзержинськ, Дніпропетровська обл., 51900","2376","1218","2343","15","1144","14","1158","","0","1144","14","1158","96","1062","43","116","179","168","2","212","324","12","6","29.10.12"
"121039","40","Дніпропетровська область","адміністративна будівля, актова зала
вул.Куп’янська, 31, м.Дніпродзержинськ, Дніпропетровська обл., 51900","1632","756","1603","5","871","5","876","","0","871","5","876","52","824","22","82","84","99","7","205","314","8","3","29.10.12"
"121044","40","Дніпропетровська область","Дніпродзержинська міська лікарня №7, хол, 2-й поверх
вул.Скаліка, 3, м.Дніпродзержинськ, Дніпропетровська обл., 51900","304","2","302","78","224","78","302","","0","224","78","302","14","288","10","18","54","28","4","23","143","7","1","28.10.12"
"121045","40","Дніпропетровська область","Дніпродзержинська виправна колонія №34, актова зала для засуджених, 2-й поверх
вул.Димитрова, 214, м.Дніпродзержинськ, Дніпропетровська обл., 51912","808","21","788","0","787","0","787","","0","787","0","787","7","780","2","7","2","15","1","3","746","2","2","28.10.12"
"121777","40","Дніпропетровська область","актова зала, 2-й поверх
вул.Паркова, 15, м.Марганець, Дніпропетровська обл., 53400","72","5","70","0","67","0","67","","0","67","0","67","2","65","1","14","0","1","3","9","32","0","5","29.10.12"
