"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бутківський
Віктор
Володимирович","Гноєвий
Віктор
Григорович","Мазур
Валерій
Григорович","Маласай
Віталій
Миколайович","Мельник
Сергій
Ігорович","Пегушин
Павло
Іванович","Садовий
Тарас
Іванович","Чалий
Дмитро
Володимирович","Штамбург
Вячеслав
Віталійович","Дата підписання протоколу"
"121054","29","Дніпропетровська область","школа №90, спортивна зала, 1-й поверх
вул.Передова, 253, м.Дніпропетровськ, 49021","2408","1534","2359","18","859","15","874","","0","859","15","874","69","805","248","54","31","12","20","9","260","146","25","29.10.12"
"121055","29","Дніпропетровська область","школа №90, хол, 1-й поверх
вул.Передова, 253, м.Дніпропетровськ, 49021","2368","1459","2352","15","896","13","909","","0","896","13","909","61","848","305","74","24","25","41","7","221","133","18","30.10.12"
"121056","29","Дніпропетровська область","школа №142, хол ліворуч, 1-й поверх
вул.Замполіта Бєляєва, 2, м.Дніпропетровськ, 49080","2376","1168","2343","11","1200","8","1208","","0","1200","8","1208","74","1134","383","91","31","9","28","9","377","173","33","29.10.12"
"121057","29","Дніпропетровська область","школа №142, хол праворуч, 1-й поверх
вул.Замполіта Бєляєва, 2, м.Дніпропетровськ, 49080","2384","1268","2362","2","1115","1","1116","","0","1115","1","1116","61","1055","348","81","32","9","38","4","354","162","27","29.10.12"
"121058","29","Дніпропетровська область","школа №142, вестибюль, 1-й поверх
вул.Замполіта Бєляєва, 2, м.Дніпропетровськ, 49080","2392","1161","2348","5","1228","3","1231","","0","1228","3","1231","64","1167","358","77","31","19","27","12","442","165","36","29.10.12"
"121065","29","Дніпропетровська область","школа №18, коридор, 1-й поверх
вул.Волоколамська, 12, м.Дніпропетровськ, 49025","2264","1329","2238","24","915","20","935","","0","915","20","935","74","861","352","37","30","14","35","9","214","143","27","29.10.12"
"121066","29","Дніпропетровська область","школа №68, хол, 1-й поверх
вул.Каляєва, 76, м.Дніпропетровськ, 49025","2408","1342","2355","19","1052","14","1066","","0","1052","14","1066","83","983","317","64","34","14","33","13","277","192","39","29.10.12"
"121067","29","Дніпропетровська область","школа №86, хол праворуч, 1-й поверх
вул.Янтарна, 39, м.Дніпропетровськ, 49024","2312","1324","2299","21","971","17","988","","0","971","17","988","84","904","282","87","36","14","33","8","277","149","18","28.10.12"
"121068","29","Дніпропетровська область","фінансово-економічний ліцей, хол ліворуч, 2-й поверх
вул.Вітчизняна, 93, м.Дніпропетровськ, 49063","2168","1312","2145","9","848","8","856","","0","848","8","856","51","805","272","51","26","13","16","6","240","156","25","29.10.12"
"121069","29","Дніпропетровська область","фінансово-економічний ліцей, хол праворуч, 2-й поверх
вул.Вітчизняна, 93, м.Дніпропетровськ, 49063","1968","1191","1946","11","770","7","777","","0","770","7","777","58","719","251","51","15","9","19","9","227","108","30","29.10.12"
"121070","29","Дніпропетровська область","школа №86, хол ліворуч, 1-й поверх
вул.Янтарна, 39, м.Дніпропетровськ, 49024","1920","1001","1877","9","914","5","919","","0","914","5","919","53","866","236","57","30","15","122","13","222","150","21","29.10.12"
"121078","29","Дніпропетровська область","школа №133, хол ліворуч, 1-й поверх
пров.Людмили Мокієвської, 3, м.Дніпропетровськ, 49125","2336","1205","2299","8","1123","8","1131","","0","1123","8","1131","96","1035","376","53","32","19","26","23","292","178","36","29.10.12"
"121079","29","Дніпропетровська область","школа №133, коридор праворуч, 1-й поверх
пров.Людмили Мокієвської, 3, м.Дніпропетровськ, 49125","2408","1278","2371","16","1118","12","1130","","0","1118","12","1130","88","1042","323","67","38","10","29","12","302","226","35","29.10.12"
"121080","29","Дніпропетровська область","школа №133, рекреація, 2-й поверх
пров.Людмили Мокієвської, 3, м.Дніпропетровськ, 49125","2272","1053","2253","12","1210","9","1219","","0","1210","9","1219","83","1136","437","49","38","18","22","16","304","216","36","29.10.12"
"121081","29","Дніпропетровська область","навчально-виховний комплекс №131, рекреація, 2-й поверх
пров.Людмили Мокієвської, 10, м.Дніпропетровськ, 49125","2392","1210","2356","21","1166","16","1182","","0","1166","16","1182","84","1098","419","48","33","19","26","18","313","189","33","28.10.12"
"121082","29","Дніпропетровська область","навчально-виховний комплекс №131, рекреація молодшої школи, 2-й поверх
пров.Людмили Мокієвської, 10, м.Дніпропетровськ, 49125","2264","1129","2230","15","1122","13","1135","","0","1122","13","1135","69","1066","376","63","32","18","38","9","288","206","36","29.10.12"
"121083","29","Дніпропетровська область","навчально-виховний комплекс №131, рекреація старшої школи, 1-й поверх
пров.Людмили Мокієвської, 10, м.Дніпропетровськ, 49125","2368","1160","2345","13","1198","10","1208","","0","1198","10","1208","78","1130","436","62","25","12","24","10","316","210","35","29.10.12"
"121085","29","Дніпропетровська область","Дніпропетровський професійний залізничний ліцей, хол, 1-й поверх
пров.Універсальний, 7, м.Дніпропетровськ, 49024","1960","1046","1940","7","910","4","914","","0","910","4","914","67","847","273","75","30","17","29","8","235","147","33","29.10.12"
"121086","29","Дніпропетровська область","художня школа №2, каб.8, 1-й поверх
вул.Калинова, 81, м.Дніпропетровськ, 49024","880","400","860","10","473","7","480","","0","473","7","480","41","439","145","33","16","5","17","3","108","98","14","29.10.12"
"121104","29","Дніпропетровська область","Дніпропетровська міська лікарня №20, коридор терапевтичного відділення, 1-й поверх
вул.Широка, 222, м.Дніпропетровськ, 49046","72","0","98","0","72","0","72","","0","72","0","72","2","70","52","3","5","0","1","0","7","2","0","28.10.12"
