"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","Latitude","Longitude","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Акашев
Валентин
Анатолійович","Вітушко
Олег
Вікторович","Гудов
Іван
Ілліч","Корж
Євген
Юрійович","Кравченко
Микола
Васильович","Пономаренко
Ілля
Миколайович","Пономарьов
Андрій
Вікторович","Сурін
Андрій
Миколайович","Герасимчук
Анатолій
Андрійович","Коваленко
Василь
Васильович","Міщенко
Ігор
Іванович","Раковський
Олександр
Степанович","Риженков
Олександр
Миколайович","Філіндаш
Сергій
Миколайович","Ясько
Геннадій
Геннадійович","Борковець
Алла
Олексіївна","Васильєв
Олександр
Андрійович","Прилепський
Віктор
Володимирович","Сучков
Олексій
Анатолійович","Шанова
Людмила
Миколаївна","Асєєв
Олег
Анатолійович","Білий
Олексій
Петрович","Гудзюк
Сергій
Степанович","Дейнєс
Віталій
Геннадійович","Конишев
Геннадій
Аркадійович","Красновський
Сергій
Борисович","Решетняк
Ігор
Миколайович","Тіхонова
Лілія
Валентинівна","Асєєв
Ігор
Анатолійович","Забавін
Дмитро
В’ячеславович","Матвієнков
Сергій
Анатолійович","Мороз
Анатолій
Михайлович","Пуговкін
Дмитро
Юрійович","Романюк
Олександр
Володимирович","Щербаков
Сергій
Андрійович","Яременко
Микола
Дмитрович","Бакуліна
Наталія
Василівна","Борт
Віталій
Петрович","Молоков
Денис
Геннадійович","Наумов
Олександр
Олександрович","Новаковський
Іван
Сергійович","Поліванов
Олег
Олександрович","Ткачук
Лариса
Віталіївна","Бєліков
Юрій
Миколайович","Кисельов
Юрій
Анатолійович","Ложечкін
Вадим
Сергійович","Нагорний
Тимофій
Олександрович","Новиков
Станіслав
Олегович","Омельченко
Валерій
Павлович","Волинець
Євгеній
Валерійович","Здор
Костянтин
Семенович","Кушніров
Олександр
Леонідович","Лук’янов
Владислав
Валентинович","Півень
Микола
Іванович","Подорожко
Євген
Сергійович","Романченко
Олексій
Віталійович","Волошин
Геннадій
Якович","Литвинов
Леонід
Федорович","Славгородський
Ігор
Васильович","Стужук
Микола
Олександрович","Другашов
Дмитро
Олександрович","Жмурко
Андрій
Анатолійович","Поддубний
Володимир
Анатолійович","Подколзін
Тимур
Сергійович","Попов
Василь
Миколайович","Проценко
Володимир
Васильович","Рибак
Володимир
Іванович","Рижков
Анатолій
Іванович","Шкіря
Ігор
Миколайович","Алишев
Олександр
Миколайович","Антип
Петро
Іванович","Березовий
Микола
Вікторович","Весьолкін
Володимир
Юрійович","Вініченко
Сергій
Вікторович","Герасимов
Артур
Володимирович","Гончаров
Анатолій
Дмитрович","Карпушев
Олексій
Олександрович","Поляков
Віталій
Дмитрійович","Попов
Роман
Валентинович","П’ятько
Роман
Анатолійович","Черненко
Віталій
Григорович","Шило
Віталій
Олександрович","Байсаров
Леонід
Володимирович","Єлін
Ілля
Костянтинович","Єрмоленко
Олена
Олександрівна","Яструбенко
Олександр
Васильович","Гур
Юлія
Олександрівна","Омельянович
Денис
Сергійович","Ходус
Микола
Олександрович","Шипілов
Олег
Федорович","Боярський
Юрій
Іванович","Гордієнко
Сергій
Леонідович","Городенський
Максим
Олексійович","Корнієнко
Сергій
Миколайович","Кривошеєв
Дмитро
Олексійович","Ржавський
Володимир
Іванович","Сопельник
Віктор
Іванович","Азаров
Олексій
Миколайович","Бондарєв
Вадим
Анатолійович","Вєкуа
Фрідон
Напойович","Єрмак
Олег
Віталійович","Зонтов
Олег
Вячеславович","Казацький
Дмитро
Геннадійович","Котенко
Олег
Олексійович","Мельник
Віталій
Володимирович","Підлісний
Ігор
Павлович","Хмельовий
Анатолій
Петрович","Єрдакій
Олег
Миколайович","Каплунов
Денис
Вікторович","Капля
Вадим
Вікторович","Клюєв
Сергій
Петрович","Матейченко
Костянтин
Володимирович","Теплицький
Валерій
Павлович","Волкова
Ольга
Іванівна","Гришко
Олег
Борисович","Звягільський
Юхим
Леонідович","Сінілов
Олександр
Валерійович","Топузов
Олександр
Юрійович","Волинко
Микола
Миколайович","Жнівін
Сергій
Юрійович","Кравченко
Анатолій
Васильович","Левицький
Євген
Леонідович","Левченко
Микола
Олександрович","Лигін
Роман
Олександрович","Лягін
Роман
Вікторович","Нікітін
Станіслав
Олександрович","Симоненко
Олександр
Борисович","Абрамчук
Євген
Миколайович","Бунтовський
Сергій
Юрійович","Вельдяксова
Ольга
Олександрівна","Волков
Роман
Юрійович","Екштейн
Інна
Миколаївна","Коваленко
Юрій
Тимофійович","Кутепов
Микола
Леонідович","Ландик
Валентин
Іванович","Лівочка
Олександр
Васильович","Рищенко
Наталя
Ашотовна","Анікушин
Сергій
Ігорович","Бахтеєва
Тетяна
Дмитрівна","Лук’янець
Володимир
Васильович","Талишев
Євген
Іванович","Шейко
Вольга
Василівна","Юрчак
Вадим
Олександрович","Бобков
Олександр
Михайлович","Деркач
Володимир
Григорович","Заярний
Артем
Олексійович","Скакун
Павло
Петрович","Дата підписання протоколу"
"140020","61","Донецька область","вул.Леніна, 24, с.Благодатне, Амвросіївський р-н, Донецька обл., 87330","47.88125","38.48472","1544","610","1520","132","810","124","934","","0","810","124","934","45","889","12","20","44","20","199","56","417","121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"140027","61","Донецька область","вул.Леніна, 77А, с.Зелене, Амвросіївський р-н, Донецька обл., 87310","47.9292047","38.2012104","712","252","712","58","402","58","460","","0","402","58","460","18","442","7","10","20","3","91","33","263","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140031","61","Донецька область","вул.Шкільна, 4А, с.Многопілля, Амвросіївський р-н, Донецька обл., 87311","47.85963","38.21632","720","298","711","37","395","27","422","","0","395","27","422","19","403","6","11","23","6","87","50","214","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140040","61","Донецька область","вул.Мічуріна, 7, м.Амвросіївка, Амвросіївський р-н, Донецька область, 87300","47.7861898","38.4699591","256","123","134","19","114","19","133","","0","114","19","133","2","131","1","2","2","5","29","7","76","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"140465","61","Донецька область","просп.Ангеліної, 34, смт Старобешеве, Старобешівський р-н, Донецька обл., 87200","47.7503699","38.02713","1968","865","1937","81","1027","76","1103","","0","1027","76","1103","44","1059","17","17","33","43","294","84","529","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140467","61","Донецька область","вул.Набережна, 1, м.Комсомольське, Старобешівський р-н, Донецька обл., 87250","47.6620803","38.0740371","1096","438","1100","52","612","46","658","","0","612","46","658","37","621","13","11","43","12","232","36","225","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140468","61","Донецька область","вул.Кірова, 15А, м.Комсомольське, Старобешівський р-н, Донецька обл., 87250","47.6638227","38.0735834","1160","363","1138","54","745","52","797","","0","745","52","797","30","767","13","18","57","24","285","44","278","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"140469","61","Донецька область","вул.Б.Хмельницького, 3, м.Комсомольське, Старобешівський р-н, Донецька обл., 87250","47.67076","38.07623","1296","350","1287","79","867","79","946","","0","867","79","946","34","912","13","15","50","17","315","36","359","107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140470","61","Донецька область","вул.Маяковського, 9, м.Комсомольське, Старобешівський р-н, Донецька обл., 87250","47.6712686","38.0694354","1288","512","1275","56","722","54","776","","0","722","54","776","33","743","7","13","66","21","320","34","230","52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140471","61","Донецька область","вул.Шкільна, 2, м.Комсомольське, Старобешівський р-н, Донецька обл., 87250","47.66777","38.0723399","1496","561","1460","40","895","40","935","","0","895","40","935","32","903","14","18","70","18","336","49","326","72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140472","61","Донецька область","вул.Леніна, 12Б, м.Комсомольське, Старобешівський р-н, Донецька обл., 87250","47.6680467","38.0737961","1112","358","1102","33","722","32","754","","0","722","32","754","35","719","9","17","54","25","228","32","271","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"140473","61","Донецька область","вул.Куйбишева, 170, м.Комсомольське, Старобешівський р-н, Донецька обл., 87250","47.6690776","38.080208","1632","588","1626","62","989","55","1044","","0","989","55","1044","44","1000","16","30","95","18","417","52","310","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140478","61","Донецька область","вул.Миру, 30В, с.Олександрівка, Старобешівський р-н, Донецька обл., 87232","47.8022028","38.0225732","1160","264","1131","306","602","294","896","","0","602","294","896","24","872","1","3","3","24","114","11","673","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"140479","61","Донецька область","вул.Леніна, 54, с.Кумачове, Старобешівський р-н, Донецька обл., 87260","47.62202","38.26563","1048","431","1029","96","525","92","617","","0","525","92","617","25","592","3","5","20","13","183","46","296","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"140482","61","Донецька область","вул.Шкільна, 1Г, с.Новозар’ївка, Старобешівський р-н, Донецька обл., 87253","47.64060974","38.13679123","1688","682","1669","114","897","109","1006","","0","897","109","1006","23","983","8","4","24","28","236","67","561","55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"140489","61","Донецька область","вул.Шкільна, 5, с.Василівка, Старобешівський р-н, Донецька обл., 87252","47.60176","38.01881","784","233","777","31","522","29","551","","0","522","29","551","5","546","9","2","18","9","131","41","296","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"140493","61","Донецька область","вул.Миру, 24, с.Новоселівка, Старобешівський р-н, Донецька обл., 87211","47.83528","37.8446","776","348","760","84","352","76","428","","0","352","76","428","15","413","13","6","5","13","104","34","231","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"140494","61","Донецька область","вул.Леніна, 12, с.Придорожнє, Старобешівський р-н, Донецька обл., 87212","47.8506807","37.9673383","624","269","613","46","317","38","355","","0","317","38","355","24","331","7","4","10","13","48","33","206","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
