"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","Latitude","Longitude","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Демішкан
Володимир
Федорович","Запорожець
Іван
Іванович","Ільїнова
Лідія
Рефатівна","Кравченко
Ольга
Ігнатівна","Сивоконь
Тетяна
Семенівна","Черенков
Олександр
Павлович","Чудовський
Андрій
Ігорович","Штомпель
Віталій
Олександрович","Мілейко
Володимир
Володимирович","Слєпцов
Микола
Миколайович","Тихонов
Віктор
Миколайович","Холопов
Олександр
Володимирович","Шакун
Сергій
Вікторович","Юник
Володимир
Йосипович","Біленький
Олександр
Юрійович","Бобошко
Микола
Михайлович","Бухалов
Олександр
Юрійович","Іоффе
Юлій
Якович","Клименко
Дмитро
Володимирович","Козюберда
Костянтин
Григорійович","Костєв
Микола
Михайлович","Радченко
Ігор
Олександрович","Сичова
Олена
Іванівна","Сінченко
Сергій
Григорович","Хохлов
Юрій
Миколайович","Баркасов
Олексій
Володимирович","Бондарєв
Віктор
Леонідович","Гайдей
Олександр
Петрович","Доровський
Юрій
Михайлович","Ільченко
Костянтин
Григорійович","Коваль
Олександр
Іванович","Степанець
Олена
Миколаївна","Бебешко
Олександр
Миколайович","Горулько
Юлія
Олександрівна","Жученко
Олександр
Вікторович","Іванов
Дмитро
Валерійович","Кириченко
Микола
Єгорович","Лисянський
Павло
Леонідович","Саліхов
Артем
Романович","Чуб
Володимир
Євгенович","Бойко
Володимир
Олександрович","Букаєва
Марина
Володимирівна","Данієлян
Вадим
Романович","Дудник
Олена
Григорівна","Кісельов
Олег
Валентинович","Корнієвський
Аркадій
Юрійович","Кривобоков
Артем
Анатолійович","Лозко
Ігор
Якович","Макаров
Костянтин
Костянтинович","Макаров
Олександр
Костянтинович","Медяник
Володимир
Юрійович","Моравський
Юрій
Вікторович","Павлінський
Олексій
Вікторович","Пригеба
Григорій
Валентинович","Рєзнік
Микола
Миколайович","Суглобов
Євген
Валерійович","Андріянов
Олександр
Олександрович","Гуславський
Володимир
Станіславович","Заіка
Артем
Миколайович","Кириченко
Людмила
Федорівна","Колесніков
Володимир
Анатолійович","Мошенський
Валерій
Захарович","Підгорний
Володимир
Миколайович","Ржавський
Олександр
Миколайович","Сафонова
Дар’я
Євгеніївна","Терніков
Юрій
Миколайович","Федоров
Василь
Васильович","Фролов
Володимир
Миколайович","Чередник
Геннадій
Олександрович","Аннушак
Сергій
Васильович","Гладких
Валентин
Валерійович","Дунаєв
Сергій
Володимирович","Єфіменко
Євгеній
Олегович","Кримцев
Віктор
Олексійович","Крисанов
Леонід
Дмитрович","Слєсарєв
Ігор
Едуардович","Теросипов
Вячеслав
Михайлович","Філь
Сергій
Олександрович","Шахов
Сергій
Володимирович","Шведов
Віталій
Миколайович","Беркут
Ігор
Віталійович","Грицишин
Геннадій
Андрійович","Казаков
Олег
Іванович","Казаков
Сергій
Вікторович","Карацуба
Павло
Васильович","Комчадалов
Євгеній
Євгенович","Корчагін
Павло
Петрович","Кунченко
Олексій
Петрович","Луговцов
Олексій
Сергійович","Припотень
Володимир
Юрійович","Самарський
Сергій
Вікторович","Сідєльнікова
Галина
Анатоліївна","Фурман
Юрій
Анатолійович","Хітько
Ірина
Сергіївна","Шахов
Сергій
Олександрович","Шевчук
Вячеслав
Анатолійович","Барвіна
Наталія
Олександрівна","Вікторов
Андрій
Сергійович","Горохов
Сергій
Олександрович","Жданова
Валентина
Олександрівна","Кривобоков
Владислав
Анатолійович","Мошенський
Сергій
Захарович","Попов
Володимир
Євгенович","Скіріч
Андрій
Степанович","Тамашев
Геннадій
Анатолійович","Чаленко
Максим
Михайлович","Василенко
Ольга
Дмитрівна","Василенко
Сергій
Петрович","Гейченко
Ігор
Васильович","Гончаров
Володимир
Олександрович","Гончаров
Олег
Борисович","Гончарук
Тетяна
Сергіївна","Гринюк
Світлана
Петрівна","Давидов
Сергій
Іванович","Демидович
Ірина
Володимирівна","Денищенко
Денис
Вікторович","Євлашин
Володимир
Анатолійович","Жароїд
Костянтин
Анатолійович","Зуєва
Карина
Олександрівна","Клєшнін
Роман
Євгенович","Ковальов
Павло
Олексійович","Криштов
Євген
Федорович","Мартиненков
Ігор
Миколайович","Масюк
Олег
Віталійович","Морочко
Юрій
Петрович","Пащук
Михайло
Федорович","Прокошин
Олександр
Ігорович","Сердюков
Василь
Михайлович","Струк
Володимир
Олексійович","Уманець Віталій Костянтинович","Філіпський Олександр Михайлович","Шаповалов Андрій Анатолійович","Шаповалов Віталій Олександрович","Шахов Володимир Миколайович","Дата підписання протоколу"
"440295","114","Луганська область","вул.Леніна, 4, с.Павленкове, Новопсковський р-н, Луганська обл., 92320","49.704395","39.0314691","512","171","508","42","304","37","341","","0","304","37","341","18","323","159","68","12","41","32","1","7","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440298","114","Луганська область","вул.Первомайська, 37, с.Заайдарівка, Новопсковський р-н, Луганська обл., 92340","49.5430372","39.0902551","1192","486","1171","90","622","84","706","","0","622","84","706","33","673","336","114","26","56","112","12","8","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440299","114","Луганська область","вул.Леніна, 1А, с.Осинове, Новопсковський р-н, Луганська обл., 92342","49.532214","39.1095011","912","381","898","64","471","60","531","","0","471","60","531","19","512","230","89","32","31","112","1","13","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440300","114","Луганська область","вул.Октябрська, 2А, с.Осинове, Новопсковський р-н, Луганська обл., 92343","49.5429427","39.093234","871","282","861","100","491","98","589","","0","491","98","589","18","571","278","83","22","31","134","4","10","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"440301","114","Луганська область","вул.Димитрова, 42В, с.Макартетине, Новопсковський р-н, Луганська обл., 92346","49.5809","38.93545","224","53","218","16","156","15","171","","0","156","15","171","5","166","60","19","18","18","45","0","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"440303","114","Луганська область","вул.Шкільна, 15Б, смт Новопсков, Новопсковський р-н, Луганська обл., 92302","49.53554916","39.10535049","2288","1011","2250","91","1209","68","1277","","0","1209","68","1277","32","1245","480","366","41","113","182","22","28","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440304","114","Луганська область","вул.Карла Маркса, 299, смт Новопсков, Новопсковський р-н, Луганська обл., 92301","49.53913","39.1131699","2232","1035","2201","82","1123","74","1197","","0","1123","74","1197","31","1166","475","322","33","112","170","20","18","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440305","114","Луганська область","вул.Леніна, 14А, с.Риб’янцеве, Новопсковський р-н, Луганська обл., 92350","49.5091604","39.0945754","968","304","953","57","609","55","664","","0","609","55","664","13","651","244","99","13","29","247","1","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440306","114","Луганська область","вул.Пархоменко, 23, с.Писарівка, Новопсковський р-н, Луганська обл., 92351","49.50418","39.08719","592","158","580","45","390","44","434","","0","390","44","434","15","419","201","70","8","29","79","18","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440307","114","Луганська область","вул.Айдарська, 6, с.Закотне, Новопсковський р-н, Луганська обл., 92352","49.4669145","38.980266","896","327","888","90","486","83","569","","0","486","83","569","17","552","216","55","9","25","235","3","7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440308","114","Луганська область","вул.Братів Касяненко, 61А, с.Лисогорівка, Новопсковський р-н, Луганська обл., 92353","49.43872833","38.94004822","248","76","243","35","137","35","172","","0","137","35","172","5","167","91","16","2","14","43","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"440309","114","Луганська область","вул.Леніна, 8, с.Піски, Новопсковський р-н, Луганська обл., 92354","49.45517","38.99477","1024","388","1019","73","568","68","636","","0","568","68","636","16","620","181","92","20","66","241","3","9","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440310","114","Луганська область","вул.Совєтська, 9, с.Булавинівка, Новопсковський р-н, Луганська обл., 92355","49.41149902","38.97422028","616","185","610","62","372","59","431","","0","372","59","431","22","409","133","93","22","52","86","1","13","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440311","114","Луганська область","вул.Ювілейна, 35, с.Новорозсош, Новопсковський р-н, Луганська обл., 92335","49.5295808","39.1175208","1408","401","1402","141","869","138","1007","","0","869","138","1007","26","981","521","173","21","45","194","4","11","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440467","114","Луганська область","вул.Шевченка, 6, с.Лобачеве, Слов’яносербський р-н, Луганська обл., 93734","48.6637743","39.1233514","176","36","172","16","124","16","140","","0","124","16","140","2","138","119","0","2","5","3","2","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"440468","114","Луганська область","вул.Шабаліна, 1А, с.Сабівка, Слов’яносербський р-н, Луганська обл., 93735","48.58829117","39.14633942","784","236","786","61","489","59","548","","0","489","59","548","15","533","398","12","18","27","39","9","15","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"440469","114","Луганська область","вул.Горького, 80, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","48.6022018","38.9017093","280","69","280","38","174","37","211","","0","174","37","211","2","209","167","6","5","6","21","3","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440470","114","Луганська область","вул.Леніна, 94, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","48.5909696","38.9295206","664","252","665","54","365","47","412","","0","365","47","412","25","387","280","6","9","23","52","1","7","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440471","114","Луганська область","вул.Садова, 26А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","48.584768","38.923894","680","262","670","52","368","50","418","","0","368","50","418","19","399","306","7","6","16","53","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440472","114","Луганська область","вул.Садова, 26А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","48.584768","38.923894","744","298","740","37","410","36","446","","0","410","36","446","18","428","303","11","10","16","71","3","6","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"440473","114","Луганська область","вул.Побєди, 7А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","48.5797288","38.948602","912","332","891","82","498","82","580","","0","497","82","579","25","554","373","12","16","17","114","5","5","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440474","114","Луганська область","вул.Побєди, 7А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","48.5797288","38.948602","1520","614","1489","50","858","48","906","","0","858","48","906","35","871","645","12","27","28","106","6","25","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440475","114","Луганська область","вул.Совєтов, 2А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","48.576128","38.9470895","1368","542","1327","54","772","54","826","","0","772","54","826","34","792","569","13","16","35","114","12","21","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
"440476","114","Луганська область","вул.Гоголя, 1А, м.Зимогір’я, Слов’яносербський р-н, Луганська обл., 93740","48.5739402","38.9554441","1320","485","1288","71","772","63","835","","0","772","63","835","21","814","658","11","20","22","64","9","15","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.10.12"
"440478","114","Луганська область","вул.Горького, 108, с.Сокільники, Слов’яносербський р-н, Луганська обл., 93714","48.7485297","38.8648196","240","69","235","22","149","22","171","","0","149","22","171","6","165","139","0","3","6","8","6","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.10.12"
"440479","114","Луганська область","вул.Леніна, 1А, смт Лозівський, Слов’яносербський р-н, Луганська обл., 93745","48.56214","38.88183","1608","683","1568","64","875","50","925","","0","875","50","925","43","882","573","22","18","28","194","14","11","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10.12"
