"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Височанський
Роман
Романович","Гдичинський
Богдан
Петрович","Доній
Олександр
Сергійович","Левицький
Олександр
Михайлович","Панчук
Роман
Теодорович","Сава
Андрій
Богданович","Церковнюк
Дарія
Юріївна","Дата підписання протоколу"
"261004","88","Івано-Франківська область","школа №10, к.АІ-3
вул.Січових Стрільців, 30, м.Коломия, Івано-Франківська обл., 78203","1232","500","1208","21","711","21","732","","0","711","21","732","16","716","5","181","283","209","5","17","16","29.10.12"
"261005","88","Івано-Франківська область","фізкультурно-спортивний клуб ""Локомотив"", фойє, 1-й поверх
вул.Дмитра Яворницького, 28, м.Коломия, Івано-Франківська обл., 78203","1792","773","1766","21","1007","12","1019","","0","1007","12","1019","38","981","9","283","341","265","37","28","18","29.10.12"
"261006","88","Івано-Франківська область","ясла-садок №7, музичний зал
вул.Дмитра Яворницького, 9, м.Коломия, Івано-Франківська обл., 78203","2120","957","2087","18","1148","15","1163","","0","1148","15","1163","27","1136","5","278","460","336","10","31","16","29.10.12"
"261007","88","Івано-Франківська область","ясла-садок №17, музичний зал
вул.Василя Стефаника, 11А, м.Коломия, Івано-Франківська обл., 78203","1528","642","1514","27","861","25","886","","0","861","25","886","19","867","5","208","363","254","12","12","13","29.10.12"
"261008","88","Івано-Франківська область","школа №4, фойє, 2-й поверх
вул.Марії Заньковецької, 11, м.Коломия, Івано-Франківська обл., 78203","1656","653","1642","14","989","14","1003","","0","989","14","1003","19","984","2","226","408","292","13","24","19","29.10.12"
"261009","88","Івано-Франківська область","Коломийський інститут управління природними ресурсами, ауд.204
вул.Григорія Тютюнника, 11А, м.Коломия, Івано-Франківська обл., 78203","1648","752","1635","9","887","9","896","","0","887","9","896","14","882","4","144","360","258","17","94","5","29.10.12"
"261010","88","Івано-Франківська область","Коломийське вище професійне училище №14, фойє, 1-й поверх
вул.Гетьмана Івана Мазепи, 224А, м.Коломия, Івано-Франківська обл., 78203","1784","866","1760","10","908","10","918","","0","908","10","918","18","900","4","140","354","323","7","60","12","29.10.12"
"261011","88","Івано-Франківська область","школа №3, спортивний зал
вул.Гетьмана Івана Мазепи, 132А, м.Коломия, Івано-Франківська обл., 78203","2024","815","2005","33","1182","27","1209","","0","1182","27","1209","27","1182","6","232","612","266","16","30","20","29.10.12"
"261012","88","Івано-Франківська область","ясла-садок №19, музичний зал
вул.Андрія Чайковського, 20, м.Коломия, Івано-Франківська обл., 78203","1696","845","1654","30","826","25","851","","0","826","25","851","13","838","5","259","304","185","19","22","44","29.10.12"
"261013","88","Івано-Франківська область","дитячо-юнацька спортивна школа №1, спортивний зал
бульв.Лесі Українки, 43, м.Коломия, Івано-Франківська обл., 78203","776","311","762","11","456","9","465","","0","456","9","465","11","454","5","130","186","102","12","9","10","29.10.12"
"261014","88","Івано-Франківська область","школа №8, корпус 2, спортивний зал
вул.Євгена Коновальця, 10, м.Коломия, Івано-Франківська обл., 78203","1592","675","1567","23","897","20","917","","0","897","20","917","16","901","9","167","421","248","14","28","14","29.10.12"
"261015","88","Івано-Франківська область","спеціалізована школа №1, їдальня
вул.Адама Міцкевича, 3, м.Коломия, Івано-Франківська обл., 78203","2160","875","2132","30","1257","28","1285","","0","1256","28","1284","25","1259","4","201","707","295","14","31","7","29.10.12"
"261016","88","Івано-Франківська область","ремонтно-будівельна дільниця КП ""Житлоінфоцентр"", актовий зал
вул.Староміська, 5, м.Коломия, Івано-Франківська обл., 78203","1448","593","1442","40","818","37","855","","0","818","37","855","20","835","3","107","514","180","7","23","1","29.10.12"
"261017","88","Івано-Франківська область","Коломийська автомобільна школа ТСО України, кімната ""Світлиця""
вул.Михайла Старицького, 31, м.Коломия, Івано-Франківська обл., 78203","1896","855","1869","21","1024","17","1041","","0","1024","17","1041","29","1011","5","155","549","262","9","22","9","29.10.12"
"261018","88","Івано-Франківська область","психіатричне відділення Коломийської ЦРЛ, їдальня
вул.Івана Франка, 37, м.Коломия, Івано-Франківська обл., 78203","48","19","54","0","29","0","29","","0","29","0","29","1","28","0","7","17","2","0","1","1","28.10.12"
"261019","88","Івано-Франківська область","Коломийський міжрайонний онкологічний диспансер, ординаторська
вул.Івана Франка, 31, м.Коломия, Івано-Франківська обл., 78203","40","19","49","16","6","15","21","","0","6","15","21","0","21","0","5","12","3","0","0","1","29.10.12"
"261020","88","Івано-Франківська область","Коломийський пологовий будинок, фойє
вул.Роксолани, 7, м.Коломия, Івано-Франківська обл., 78203","64","38","29","1","25","1","26","","0","25","1","26","0","26","0","11","4","9","1","0","1","29.10.12"
"261021","88","Івано-Франківська область","Коломийська районна інфекційна лікарня, корпус 1, актовий зал
вул.Симона Петлюри, 66, м.Коломия, Івано-Франківська обл., 78203","64","47","17","0","17","0","17","","0","17","0","17","0","17","0","7","4","4","2","0","0","29.10.12"
"261022","88","Івано-Франківська область","Вузлова лікарня станції Коломия, конференц-зал
вул.Юрія Шкрумеляка, 26, м.Коломия, Івано-Франківська обл., 78203","72","40","33","4","28","4","32","","0","28","4","32","0","32","1","12","9","7","2","0","1","29.10.12"
"261023","88","Івано-Франківська область","Центральна районна лікарня, медичний клуб, фойє
вул.Родини Крушельницьких, 50, м.Коломия, Івано-Франківська обл., 78203","472","367","139","86","53","52","105","","0","53","52","105","1","104","1","38","26","29","3","5","2","29.10.12"
"261024","88","Івано-Франківська область","Коломийський міжрайонний фтизіопульмонологічний диспансер, ординаторська
вул.Гетьманська, 5, м.Коломия, Івано-Франківська обл., 78203","136","108","29","0","28","0","28","","0","28","0","28","1","27","1","14","8","3","0","0","1","29.10.12"
