"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Виноградник
Тарас
Теофілович","Волощук
Ігор
Іванович","Галига
Петро
Степанович","Гергелюк
Володимир
Іванович","Зелінський
Микола
Романович","Круховська
Галина
Василівна","Круць
Микола
Федорович","Купчак
Володимир
Романович","Людера
Володимир
Ярославович","Мельник
Василь
Іванович","Олексюк
Олег
Миколайович","Пилянська
Марта
Ігорівна","Поліш
Володимир
Віталійович","Симак
Дмитро
Михайлович","Фученко
Василь
Павлович","Шевчук
Євген
Вільямович","Дата підписання протоколу"
"260830","84","Івано-Франківська область","клуб, зал
вул.Незалежності, 4, с.Сокирчин, Тлумацький р-н, Івано-Франківська обл., 78041","372","122","369","26","224","26","250","","0","224","26","250","3","247","0","6","4","17","1","1","22","146","1","1","1","2","29","7","2","7","29.10.12"
"260831","84","Івано-Франківська область","школа, актовий зал
вул.Шевченка, 76А, с.Підвербці, Тлумацький р-н, Івано-Франківська обл., 78046","544","156","541","52","345","43","388","","0","345","43","388","11","377","5","3","6","35","3","6","73","195","0","5","3","1","38","3","1","0","29.10.12"
"260832","84","Івано-Франківська область","школа, фойє
вул.І.Франка, 7, с.Прибилів, Тлумацький р-н, Івано-Франківська обл., 78031","748","315","741","45","389","44","433","","0","389","44","433","12","421","11","4","1","17","4","5","181","172","1","3","0","1","13","5","3","0","29.10.12"
"260833","84","Івано-Франківська область","клуб, зал
вул.Миру, 1, с.Пужники, Тлумацький р-н, Івано-Франківська обл., 78034","632","247","625","58","328","57","385","","0","328","57","385","14","371","3","16","5","34","4","8","76","195","0","3","5","3","10","7","1","1","29.10.12"
"260834","84","Івано-Франківська область","сільська рада, кімната засідань
вул.Шевченка, 4, с.Тарасівка, Тлумацький р-н, Івано-Франківська обл., 78063","264","97","264","21","148","19","167","","0","148","19","167","6","161","3","5","6","10","0","2","36","71","2","2","2","0","14","2","1","5","29.10.12"
"260835","84","Івано-Франківська область","клуб, зал
вул.Осередок, 15, с.Хотимир, Тлумацький р-н, Івано-Франківська обл., 78050","612","219","606","63","333","60","393","","0","333","60","393","11","382","8","4","7","39","8","8","75","182","4","7","5","1","11","21","0","2","29.10.12"
"260836","84","Івано-Франківська область","клуб, зал
вул.Хотимирська, 68, с.Жабокруки, Тлумацький р-н, Івано-Франківська обл., 78050","304","110","295","19","176","18","194","","0","176","18","194","8","186","3","1","1","15","0","13","67","34","0","0","4","2","13","9","0","24","29.10.12"
"260837","84","Івано-Франківська область","клуб, фойє
вул.Центральна, 1В, с.Яківка, Тлумацький р-н, Івано-Франківська обл., 78064","1116","443","1106","54","622","51","673","","0","622","51","673","26","647","8","4","5","79","14","10","219","217","2","14","0","2","35","36","2","0","29.10.12"
"260838","84","Івано-Франківська область","Тлумацька центральна районна лікарня, хол корпусу №1
вул.Винниченка, 84, м.Тлумач, Тлумацький р-н, Івано-Франківська обл., 78000","152","57","102","38","59","36","95","","0","59","36","95","0","95","1","6","2","7","0","2","11","51","0","1","1","0","11","0","0","2","29.10.12"
"260885","84","Івано-Франківська область","Вовчинецька школа, фойє
вул.Гайова, 10, с.Вовчинець, м.Івано-Франківськ, 76000","464","246","471","1","217","1","218","","0","217","1","218","6","212","3","7","1","58","4","3","28","76","0","11","1","3","9","5","2","1","28.10.12"
"260886","84","Івано-Франківська область","будинок культури, актова зала
вул.Вовчинецька, 35, с.Вовчинець, м.Івано-Франківськ, 76491","2404","863","2380","23","1522","19","1541","","0","1522","19","1541","41","1500","17","15","8","262","19","11","151","871","2","36","23","3","22","44","4","12","29.10.12"
"260908","84","Івано-Франківська область","Народний дім, актова зала
вул.Зарічна, 75А, с.Микитинці, м.Івано-Франківськ, 76494","2124","737","2104","50","1351","36","1387","","0","1351","36","1387","40","1347","9","19","19","170","32","10","169","818","3","8","19","1","38","23","4","5","29.10.12"
"260909","84","Івано-Франківська область","ліцей автотранспорту і будівництва, актова зала
вул.Юності, 7, с.Микитинці, м.Івано-Франківськ, 76494","724","325","707","0","399","0","399","","0","399","0","399","11","388","12","3","5","72","9","3","33","201","2","6","6","4","16","5","2","9","29.10.12"
"260910","84","Івано-Франківська область","Народний дім, зал
вул.Повстанців, 100, с.Угорники, м.Івано-Франківськ, 76492","2512","826","2489","41","1649","37","1686","","0","1649","37","1686","40","1646","23","9","17","204","41","14","204","958","4","17","31","3","97","10","2","12","29.10.12"
"260918","84","Івано-Франківська область","Народний дім с.Хриплин, актова зала
вул.Берегова, 4В, с.Хриплин, м.Івано-Франківськ, 76493","1564","585","1548","27","952","27","979","","0","952","27","979","19","960","6","7","6","109","10","4","113","618","4","6","10","1","27","22","7","10","29.10.12"
"260944","84","Івано-Франківська область","Крихівецька школа, спортивний зал
вул.22 Січня, 141А, с.Крихівці, м.Івано-Франківськ, 76493","2320","851","2299","33","1440","29","1469","","0","1440","29","1469","47","1422","17","28","8","210","22","15","168","817","12","12","21","5","45","27","3","12","29.10.12"
"260945","84","Івано-Франківська область","Народний дім, актова зала
вул.Криховецька, 1В, с.Крихівці, м.Івано-Франківськ, 76493","1676","567","1664","18","1095","14","1109","","0","1095","14","1109","45","1064","15","25","4","147","14","5","110","654","8","10","25","8","16","12","2","9","29.10.12"
