"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Келестин
Валерій
Васильович","Нижник
Олег
Богданович","Питлик
Василь
Михайлович","Сікора
Ольга
Мирославівна","Стула
Володимир
Михайлович","Турчин
Василь
Васильович","Федорів
Тарас
Федорович","Дата підписання протоколу"
"260584","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 40, с.Нижня Липиця, Рогатинський р-н, Івано-Франківська обл., 77071","488","145","480","73","270","73","343","","0","270","73","343","4","339","110","10","1","215","1","2","0","28.10.12"
"260585","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 7, с.Підвиння, Рогатинський р-н, Івано-Франківська обл., 77000","328","56","325","11","261","11","272","","0","261","11","272","5","267","101","18","6","138","3","1","0","28.10.12"
"260586","85","Івано-Франківська область","сільський клуб, зала
вул.Незалежності, 18, с.Кутці, Рогатинськийр-н, Івано-Франківська обл., 77000","296","73","288","9","215","8","223","","0","215","8","223","6","217","70","29","3","112","1","2","0","28.10.12"
"260587","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 4А, с.Перенівка, Рогатинський р-н, Івано-Франківська обл., 77000","144","33","139","6","105","6","111","","0","105","6","111","2","109","54","14","1","38","1","1","0","28.10.12"
"260588","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 6, с.Підгороддя, Рогатинський р-н, Івано-Франківська обл., 77023","456","154","443","25","277","25","302","","0","277","25","302","6","296","76","28","24","159","4","3","2","29.10.12"
"260589","85","Івано-Франківська область","школа, фойє
вул.І.Франка, 37, с.Руда, Рогатинський р-н, Івано-Франківська обл., 77024","344","67","342","35","243","34","277","","0","243","34","277","13","264","139","27","6","87","0","3","2","28.10.12"
"260590","85","Івано-Франківська область","сільський клуб, зала
вул.Л.Українки, 10А, с.Підкамінь, Рогатинський р-н, Івано-Франківська обл., 77014","392","91","379","41","265","36","301","","0","265","36","301","11","290","125","19","4","128","2","4","8","29.10.12"
"260591","85","Івано-Франківська область","школа, актова зала
вул.Шевченка, 14А, с.Підмихайлівці, Рогатинський р-н, Івано-Франківська обл., 77050","360","111","349","23","227","22","249","","0","227","22","249","5","244","67","5","6","162","1","3","0","29.10.12"
"260592","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 76А, с.Журів, Рогатинський р-н, Івано-Франківська обл., 77051","328","57","322","41","230","41","271","","0","230","41","271","4","267","94","18","14","133","2","3","3","29.10.12"
"260593","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 164А, с.Помонята, Рогатинський р-н, Івано-Франківська обл., 77032","648","160","639","31","457","31","488","","0","457","31","488","12","476","101","41","16","310","3","4","1","29.10.12"
"260594","85","Івано-Франківська область","школа, актова зала
вул.Шевченка, 406, с.Пуків, Рогатинський р-н, Івано-Франківська обл., 77041","784","181","771","50","556","47","603","","0","556","47","603","603","0","0","0","0","0","0","0","0","31.10.12"
"260595","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 23А, с.Путятинці, Рогатинський р-н, Івано-Франківська обл., 77040","768","240","751","63","469","59","528","","0","469","59","528","12","516","152","82","4","269","6","1","2","29.10.12"
"260596","85","Івано-Франківська область","школа, актова зала
вул.Незалежності, 18, с.Сарники, Рогатинський р-н, Івано-Франківська обл., 77072","648","208","646","86","363","77","440","","0","363","77","440","4","436","86","28","17","299","1","4","1","29.10.12"
"260597","85","Івано-Франківська область","школа, фойє
вул.Центральна, 88, с.Діброва, Рогатинський р-н, Івано-Франківська обл., 77073","264","64","258","37","163","37","200","","0","163","37","200","5","195","26","18","4","142","1","4","0","29.10.12"
"260598","85","Івано-Франківська область","сільська рада, зала засідань
вул.Жовтнева, 11, с.Світанок, Рогатинський р-н, Івано-Франківська обл., 77074","488","166","475","60","265","57","322","","0","265","57","322","8","314","90","15","5","197","0","5","2","28.10.12"
"260599","85","Івано-Франківська область","сільський клуб, зала
пл.Шевченка, 19, с.Стратин, Рогатинський р-н, Івано-Франківська обл., 77022","352","118","344","50","189","45","234","","0","189","45","234","6","228","48","14","2","158","3","3","0","28.10.12"
"260600","85","Івано-Франківська область","колишній магазин, зала
вул.Львівська, 8, с.Погребівка, Рогатинський р-н, Івано-Франківська обл., 77022","64","19","64","8","37","8","45","","0","37","8","45","3","42","11","3","3","24","0","1","0","29.10.12"
"260601","85","Івано-Франківська область","школа, спортивна зала
вул.Центральна, 70А, с.Уїзд, Рогатинський р-н, Івано-Франківська обл., 77045","272","82","265","17","174","16","190","","0","174","16","190","7","183","60","7","3","112","1","0","0","28.10.12"
"260602","85","Івано-Франківська область","школа, актова зала
вул.Львівська, 35А, с.Фрага, Рогатинський р-н, Івано-Франківська обл., 77011","504","176","485","36","292","36","328","","0","292","36","328","5","323","74","18","8","217","3","1","2","29.10.12"
"260603","85","Івано-Франківська область","магазин, торговельний зал
вул.Шевченка, 50А, с.Підбір’я, Рогатинський р-н, Івано-Франківська обл., 77011","160","19","159","11","130","11","141","","0","130","11","141","1","140","19","7","0","112","2","0","0","28.10.12"
"260604","85","Івано-Франківська область","школа, актова зала
вул.Галицька, 1А, с.Беньківці, Рогатинський р-н, Івано-Франківська обл., 77014","240","61","245","18","161","18","179","","0","161","18","179","5","174","55","30","8","76","3","2","0","29.10.12"
"260605","85","Івано-Франківська область","сільський клуб, зала
майдан Шевченка, 3, с.Чагрів, Рогатинський р-н, Івано-Франківська обл., 77061","560","136","557","51","373","51","424","","0","373","51","424","16","408","120","59","26","188","1","10","4","29.10.12"
"260606","85","Івано-Франківська область","будинок культури, зала
вул.Стуса, 12, с.Чернів, Рогатинський р-н, Івано-Франківська обл., 77062","448","130","440","40","288","30","318","","0","288","30","318","9","309","58","33","8","202","4","0","4","28.10.12"
"260607","85","Івано-Франківська область","сільський клуб, зала
вул.Шевченка, 54, с.Черче, Рогатинський р-н, Івано-Франківська обл., 77015","832","237","810","86","516","79","595","","0","516","79","595","12","583","94","31","18","431","3","2","4","28.10.12"
"260608","85","Івано-Франківська область","будинок культури, зала
вул.Роксолани, 13, с.Потік, Рогатинський р-н, Івано-Франківська обл., 77016","528","154","525","27","347","27","374","","0","347","27","374","7","367","115","30","9","208","2","2","1","29.10.12"
"260609","85","Івано-Франківська область","ФАП, оглядовий кабінет
вул.Шевченка, 82, с.Залип’я, Рогатинський р-н, Івано-Франківська обл., 77016","184","41","175","9","134","9","143","","0","134","9","143","4","139","50","5","10","73","0","1","0","30.10.12"
"260610","85","Івано-Франківська область","будинок культури, зала
вул.Гончарівка, 2, с.Чесники, Рогатинський р-н, Івано-Франківська обл., 77042","624","139","614","49","436","49","485","","0","436","49","485","11","474","136","66","10","252","2","5","3","29.10.12"
"260611","85","Івано-Франківська область","сільський клуб, зала
вул.І.Кліща, 2А, с.Юнашків, Рогатинський р-н, Івано-Франківська обл., 77070","736","207","718","9","520","9","529","","0","520","9","529","9","520","160","23","19","305","4","8","1","28.10.12"
"260612","85","Івано-Франківська область","школа, фойє
вул.Левицького, 4, с.Явче, Рогатинський р-н, Івано-Франківська обл., 77035","384","122","374","64","204","58","262","","0","204","58","262","8","254","98","22","12","116","1","2","3","28.10.12"
"260613","85","Івано-Франківська область","Рогатинська центральна районна лікарня, актова зала
вул.Чорновола, 9, м.Рогатин, Івано-Франківська обл., 77000","232","154","95","36","45","33","78","","0","45","33","78","1","77","19","0","2","54","2","0","0","28.10.12"
"260614","85","Івано-Франківська область","Букачівська міська лікарня, актова зала
вул.Чорновола, 44, смт Букачівці, Рогатинський р-н, Івано-Франківська обл., 77065","24","5","19","2","17","2","19","","0","17","2","19","0","19","6","0","0","13","0","0","0","28.10.12"
"260615","85","Івано-Франківська область","обласна психіатрична лікарня №2, їдальня
вул.Медична, 1, с.Підмихайлівці, Рогатинський р-н, Івано-Франківська обл., 77050","264","149","118","0","115","0","115","","0","115","0","115","7","108","25","2","1","78","2","0","0","28.10.12"
"260962","85","Івано-Франківська область","музична школа №1, концертна зала
вул.Степана Бандери, 11, м.Калуш, Івано-Франківська обл., 77301","1200","424","1188","9","769","7","776","","0","769","7","776","19","757","85","200","49","363","27","30","3","29.10.12"
"260963","85","Івано-Франківська область","стоматполіклініка, актова зала
вул.Грушевського, 88, м.Калуш, Івано-Франківська обл., 77302","2000","824","1985","16","1161","15","1176","","0","1161","15","1176","28","1148","92","373","81","512","21","56","13","29.10.12"
"260964","85","Івано-Франківська область","народний дім ""Просвіта"", актова зала
вул.Луки Загірські, 11, м.Калуш, Івано-Франківська обл., 77301","2376","760","2348","39","1580","36","1616","","0","1580","36","1616","31","1585","78","420","141","879","15","45","7","29.10.12"
"260965","85","Івано-Франківська область","школа №9, фойє
вул.Йосипа Сліпого, 30, м.Калуш, Івано-Франківська обл., 77307","1624","559","1601","34","1032","33","1065","","0","1031","33","1064","20","1044","50","271","66","598","9","40","10","29.10.12"
"260966","85","Івано-Франківська область","народний дім імені А.Могильницького, актова зала
вул.Івано-Франківська, 175, м.Калуш, Івано-Франківська обл., 77309","2288","786","2267","14","1488","14","1502","","0","1488","14","1502","21","1481","94","411","114","784","15","59","4","29.10.12"
"260967","85","Івано-Франківська область","коледж культури і мистецтв, хореографічна зала
вул.Ковжуна, 44, м.Калуш, Івано-Франківська обл., 77301","2056","711","2024","44","1305","40","1345","","0","1305","40","1345","15","1330","96","345","91","728","18","49","3","29.10.12"
"260968","85","Івано-Франківська область","палац культури ""Мінерал"", фойє, 2-й поверх
вул.Чорновола, 20, м.Калуш, Івано-Франківська обл., 77301","1584","659","1555","20","907","18","925","","0","907","18","925","26","899","70","244","66","457","11","40","11","29.10.12"
"260969","85","Івано-Франківська область","школа №3, актова зала
вул.Дзвонарська, 4, м.Калуш, Івано-Франківська обл., 77301","2304","960","2270","24","1322","22","1344","","0","1322","22","1344","27","1317","137","367","98","597","41","69","8","29.10.12"
"260970","85","Івано-Франківська область","центр художньої творчості дітей, юнацтва та молоді, танцювальна зала
вул.Сівецька, 2, м.Калуш, Івано-Франківська обл., 77304","2216","889","2183","20","1312","15","1327","","0","1312","15","1327","32","1295","110","421","89","576","30","57","12","29.10.12"
"260971","85","Івано-Франківська область","районна санстанція, актова зала
вул.Каракая, 9, м.Калуш, Івано-Франківська обл., 77304","2360","958","2319","16","1387","15","1402","","0","1387","15","1402","41","1361","124","353","104","669","29","70","12","29.10.12"
"260972","85","Івано-Франківська область","школа №11, спортзал
вул.Біласа і Данилишина, 15, м.Калуш, Івано-Франківська обл., 77304","2016","843","2010","5","1170","3","1173","","0","1170","3","1173","34","1139","84","368","94","518","12","48","15","29.10.12"
"260973","85","Івано-Франківська область","гімназія, актова зала
вул.Біласа і Данилишина, 15, м.Калуш, Івано-Франківська обл., 77304","2176","852","2164","13","1312","12","1324","","0","1312","12","1324","24","1300","111","351","121","611","20","67","19","29.10.12"
"260974","85","Івано-Франківська область","школа №2, актова зала
просп.Лесі Українки, 11, м.Калуш, Івано-Франківська обл., 77304","2376","910","2332","15","1456","10","1466","","0","1456","10","1466","31","1435","127","438","130","635","14","74","17","29.10.12"
"260975","85","Івано-Франківська область","школа №10, актова зала
вул.Євшана, 17, м.Калуш, Івано-Франківська обл., 77304","2328","850","2291","22","1459","19","1478","","0","1459","19","1478","27","1451","124","415","127","695","23","57","10","29.10.12"
"260976","85","Івано-Франківська область","школа №10, спортзал
вул.Євшана, 17, м.Калуш, Івано-Франківська обл., 77304","2408","1044","2374","15","1353","11","1364","","0","1353","11","1364","28","1336","128","423","112","575","32","61","5","29.10.12"
"260977","85","Івано-Франківська область","політехнічний коледж, актова зала
вул.Богдана Хмельницького, 2, м.Калуш, Івано-Франківська обл., 77303","2240","896","2208","13","1334","10","1344","","0","1334","10","1344","46","1298","121","426","88","598","17","40","8","29.10.12"
"260978","85","Івано-Франківська область","школа №7, спортзал
вул.Богдана Хмельницького, 8А, м.Калуш, Івано-Франківська обл., 77303","2296","1013","2276","11","1274","9","1283","","0","1274","9","1283","45","1238","152","358","65","552","31","65","15","29.10.12"
"260979","85","Івано-Франківська область","дитячо-юнацька спортивна школа ""Сокіл"", зала вільної боротьби
вул.Литвина, 2, м.Калуш, Івано-Франківська обл., 77308","2392","1095","2367","18","1280","17","1297","","0","1280","17","1297","36","1260","180","332","73","596","25","44","10","30.10.12"
"260980","85","Івано-Франківська область","дитячо-юнацька спортивна школа ""Сокіл"", ігрова зала
вул.Литвина, 2, м.Калуш, Івано-Франківська обл., 77308","2408","1053","2385","15","1344","11","1355","","0","1344","11","1355","51","1304","144","382","109","560","34","65","10","29.10.12"
"260981","85","Івано-Франківська область","школа №6, актова зала
вул.Стуса, 13, м.Калуш, Івано-Франківська обл., 77308","2415","1105","2382","14","1297","13","1310","","0","1297","13","1310","40","1270","100","362","85","614","30","70","9","30.10.12"
"260982","85","Івано-Франківська область","вище професійне училище №7, фойє
вул.Богдана Хмельницького, 78, м.Калуш, Івано-Франківська обл., 77308","2312","1139","2272","2","1171","2","1173","","0","1171","2","1173","37","1136","117","329","86","528","25","39","12","29.10.12"
"260983","85","Івано-Франківська область","школа №4, фойє, 2-й поверх
вул.Коновальця, 4, м.Калуш, Івано-Франківська обл., 77308","1912","853","1896","12","1049","10","1059","","0","1049","10","1059","43","1016","112","302","72","459","14","54","3","29.10.12"
"260984","85","Івано-Франківська область","палац культури ""Юність"", фойє, 2-й поверх
вул.Тихого, 6, м.Калуш, Івано-Франківська обл., 77308","2376","1100","2359","14","1266","10","1276","","0","1266","10","1276","45","1229","129","342","101","562","22","54","19","30.10.12"
"260985","85","Івано-Франківська область","палац культури ""Юність"", танцювальна зала, 2-й поверх
вул.Тихого, 6, м.Калуш, Івано-Франківська обл., 77308","1616","745","1584","9","864","7","871","","0","864","7","871","28","843","109","219","64","368","23","47","13","30.10.12"
"260986","85","Івано-Франківська область","школа №5, їдальня
вул.Хіміків, 20, м.Калуш, Івано-Франківська обл., 77303","2160","984","2125","18","1161","15","1176","","0","1161","15","1176","38","1138","117","354","78","504","21","51","13","29.10.12"
"260987","85","Івано-Франківська область","районна лікарня, кабінет лікувальної фізкультури
вул.Каракая, 25, м.Калуш, Івано-Франківська обл., 77304","152","106","51","6","41","5","46","","0","41","5","46","0","46","10","6","7","14","2","6","1","29.10.12"
"260988","85","Івано-Франківська область","лікарня, велика актова зала
вул.Медична, 6, м.Калуш, Івано-Франківська обл., 77309","600","418","232","47","142","40","182","","0","142","40","182","4","178","35","24","30","79","1","5","4","29.10.12"
