"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Богославець
Руслана
Юріївна","Гіль
Світлана
Богданівна","Гоголь
Василь
Васильович","Гриньків
Тетяна
Михайлівна","Дерев’янко
Юрій
Богданович","Жавранков
Віталій
Вячеславович","Жолоб
Юрій
Ігорович","Калічко
Володимир
Іванович","Монастирецький
Володимир
Ярославович","Мочерняк
Роман
Михайлович","Онутчак
Василь
Васильович","Піцуряк
Манолій
Васильович","Припхан
Наталія
Павлівна","Пришляк
Тетяна
Іванівна","Слободян
Іван
Володимирович","Хопта
Володимир
Іванович","Черноволенко
Олександр
Миколайович","Дата підписання протоколу"
"260001","87","Івано-Франківська область","палац культури, приміщення для засідань
вул.Шевченка, 65, смт Богородчани, Богородчанський р-н, Івано-Франківська обл., 77701","1804","762","1784","23","1026","16","1042","","0","1026","16","1042","21","1021","8","10","10","6","171","10","2","25","1","9","93","656","8","4","5","2","1","29.10.12"
"260002","87","Івано-Франківська область","школа №1, приміщення для засідань
вул.Грушевського, 12, смт Богородчани, Богородчанський р-н, Івано-Франківська обл., 77701","1681","653","1675","38","995","33","1028","","0","995","33","1028","30","998","5","10","16","7","191","12","2","15","5","2","57","665","1","2","3","1","4","31.10.12"
"260003","87","Івано-Франківська область","школа №2, їдальня
вул.Я.Мудрого, 14, смт Богородчани, Богородчанський р-н, Івано-Франківська обл., 77701","2092","902","2076","8","1184","6","1190","","0","1184","6","1190","26","1164","9","13","21","0","155","1","5","30","5","8","81","821","3","4","5","1","2","29.10.12"
"260004","87","Івано-Франківська область","будинок культури, актова зала
вул.Грушевського, 29, смт Солотвин, Богородчанський р-н, Івано-Франківська обл., 77753","972","349","959","25","599","24","623","","0","599","24","623","5","618","1","1","2","1","142","4","0","2","1","6","23","430","2","0","2","1","0","29.10.12"
"260005","87","Івано-Франківська область","навчально-виховний комплекс, їдальня
вул.Грушевського, 17, смт Солотвин, Богородчанський р-н, Івано-Франківська обл., 77753","847","304","848","30","513","30","543","","0","513","30","543","13","530","0","0","3","0","150","3","0","10","0","0","8","353","0","0","1","1","1","29.10.12"
"260006","87","Івано-Франківська область","Заріцький будинок культури, актова зала
вул.В.Стуса, 2, смт Солотвин, Богородчанський р-н, Івано-Франківська обл., 77753","1168","422","1159","45","703","43","746","","0","703","43","746","12","734","1","2","4","0","150","0","0","11","1","3","20","540","0","1","0","0","1","28.10.12"
"260007","87","Івано-Франківська область","будинок культури, актова зала
вул.Надрічна, 14, с.Бабче, Богородчанський р-н, Івано-Франківська обл., 77771","1884","1057","1873","27","803","24","827","","0","803","24","827","10","817","0","1","7","2","232","1","0","6","1","2","20","537","2","0","4","1","1","29.10.12"
"260010","87","Івано-Франківська область","будинок культури, спортивний зал
вул.Українська, 312, с.Горохолина, Богородчанський р-н, Івано-Франківська обл., 77760","988","347","982","36","605","36","641","","0","605","36","641","11","630","1","6","5","2","157","3","2","8","1","5","17","407","4","2","5","4","1","29.10.12"
"260011","87","Івано-Франківська область","кафе ""Перлина"", бенкетний зал
вул.Українська, 578А, с.Горохолина, Богородчанський р-н, Івано-Франківська обл., 77760","660","270","656","26","364","26","390","","0","364","26","390","12","378","4","5","4","1","124","1","3","2","0","2","30","190","1","0","5","2","4","29.10.12"
"260012","87","Івано-Франківська область","сільський клуб, актова зала
вул.В.Чорновола, 809А, с.Горохолин Ліс, Богородчанський р-н, Івано-Франківська обл., 77760","532","285","527","22","225","22","247","","0","225","22","247","10","237","1","5","5","2","86","1","0","10","3","2","23","94","0","0","5","0","0","29.10.12"
"260013","87","Івано-Франківська область","сільський клуб, актова зала
вул.Козацька, 4, с.Грабовець, Богородчанський р-н, Івано-Франківська обл., 77762","1008","424","999","74","512","72","584","","0","512","72","584","17","567","3","4","3","5","355","6","3","13","3","4","29","132","2","1","1","2","1","29.10.12"
"260016","87","Івано-Франківська область","палац культури, приміщення для засідань
вул.Степаняка, 30А, с.Дзвиняч, Богородчанський р-н, Івано-Франківська обл., 77750","2040","673","2025","47","1321","46","1367","","0","1321","46","1367","23","1344","4","0","0","0","123","0","0","12","0","3","26","1168","5","0","3","0","0","29.10.12"
"260017","87","Івано-Франківська область","будинок культури, кімната урочистих подій
вул.Січових стрільців, 42, с.Жураки, Богородчанський р-н, Івано-Франківська обл., 77751","1556","747","1540","38","779","30","809","","0","779","30","809","23","786","8","13","4","3","245","1","3","16","1","0","46","429","4","4","8","0","1","29.10.12"
"260018","87","Івано-Франківська область","навчально-виховний комплекс, спортивний зал
вул.Шевченка, 1, с.Забережжя, Богородчанський р-н, Івано-Франківська обл., 77781","664","236","654","14","414","14","428","","0","414","14","428","12","416","2","1","3","0","111","2","2","4","2","1","39","243","2","1","2","0","1","29.10.12"
"260019","87","Івано-Франківська область","сільський клуб, актова зала
вул.Т.Шевченка, 63, с.Іваниківка, Богородчанський р-н, Івано-Франківська обл., 77714","1848","602","1835","45","1202","44","1246","","0","1202","44","1246","36","1210","6","47","10","3","407","1","7","19","7","7","96","529","13","10","39","3","6","29.10.12"
"260024","87","Івано-Франківська область","школа, спортивний зал
вул.Незалежності, 10, с.Манява, Богородчанський р-н, Івано-Франківська обл., 77772","1212","640","1207","45","532","40","572","","0","532","40","572","6","566","1","3","3","0","81","0","0","0","1","0","4","464","1","1","4","1","2","28.10.12"
"260025","87","Івано-Франківська область","будинок культури, глядацький зал
вул.Незалежності, 1, с.Манява, Богородчанський р-н, Івано-Франківська обл., 77772","1496","853","1482","50","598","45","643","","0","598","45","643","15","628","1","1","2","0","158","3","1","6","4","1","6","439","2","1","2","0","1","29.10.12"
"260026","87","Івано-Франківська область","школа, приміщення для засідань
вул.Шептицького, 35А, с.Маркова, Богородчанський р-н, Івано-Франківська обл., 77770","2304","1054","2298","29","1222","28","1250","","0","0","0","1250","12","1238","3","5","80","4","200","3","2","8","2","4","24","890","4","2","6","1","0","31.10.12"
"260028","87","Івано-Франківська область","навчально-виховний комплекс, спортивний зал
вул.Шкільна, 1, с.Монастирчани, Богородчанський р-н, Івано-Франківська обл., 77752","1236","423","1228","53","760","53","813","","0","760","53","813","12","801","2","2","7","1","117","0","2","4","0","5","26","628","1","0","4","2","0","29.10.12"
"260029","87","Івано-Франківська область","будинок культури, приміщення для засідань
вул.В.Стефаника, 60Б, с.Нивочин, Богородчанський р-н, Івано-Франківська обл., 77710","508","196","498","26","287","25","312","","0","287","25","312","18","294","3","4","4","1","124","3","0","10","3","1","23","99","4","3","3","5","4","29.10.12"
"260030","87","Івано-Франківська область","сільський клуб, актова зала
вул.Богдана Яцківа, 116А, с.Гринівка, Богородчанський р-н, Івано-Франківська обл., 77710","512","189","507","29","296","27","323","","0","296","27","323","9","314","2","4","5","4","106","1","1","2","2","1","24","155","2","1","3","0","1","29.10.12"
"260031","87","Івано-Франківська область","сільський клуб, актова зала
вул.Лесі Українки, 69А, с.Лесівка, Богородчанський р-н, Івано-Франківська обл., 77710","264","91","262","5","168","5","173","","0","168","5","173","5","168","2","0","3","1","43","1","0","6","2","0","23","80","2","1","2","1","1","28.10.12"
"260032","87","Івано-Франківська область","сільський клуб, глядацький зал
вул.Шевченка, 66, с.Похівка, Богородчанський р-н, Івано-Франківська обл., 77716","372","125","372","12","238","9","247","","0","238","9","247","12","235","3","6","10","3","86","3","1","5","0","1","11","97","1","2","4","2","0","29.10.12"
"260033","87","Івано-Франківська область","будинок культури, бенкетний зал
вул.Сагайдачного, 4А, с.Підгір’я, Богородчанський р-н, Івано-Франківська обл., 77706","1908","647","1889","100","1177","84","1261","","0","1177","84","1261","34","1227","6","2","15","3","281","6","3","13","1","3","94","783","3","1","9","0","4","29.10.12"
"260040","87","Івано-Франківська область","будинок культури, приміщення для засідань
вул.Січових Стрільців, 79, с.Старі Богородчани, Богородчанський р-н, Івано-Франківська обл., 77712","1760","687","1745","54","1021","52","1073","","0","1021","52","1073","26","1047","7","7","22","4","231","4","1","6","4","6","62","664","6","3","15","3","2","29.10.12"
"260041","87","Івано-Франківська область","школа, їдальня
вул.Данила Галицького, 1, с.Старі Богородчани, Богородчанський р-н, Івано-Франківська обл., 77712","1016","433","1007","58","525","58","583","","0","0","0","583","13","570","3","7","9","3","117","1","1","18","1","7","13","377","2","1","5","2","3","31.10.12"
"260042","87","Івано-Франківська область","навчально-виховний комплекс, приміщення для засідань
вул.Грушевського, 83, с.Скобичівка, Богородчанський р-н, Івано-Франківська обл., 77712","644","221","638","22","401","22","423","","0","401","22","423","12","411","2","3","10","2","108","3","1","8","1","3","33","221","3","2","7","2","2","29.10.12"
"260043","87","Івано-Франківська область","школа, актова зала
вул.Миру, 60Г, с.Старуня, Богородчанський р-н, Івано-Франківська обл., 77763","1572","632","1560","62","885","55","940","","0","885","55","940","25","915","5","5","11","2","192","3","3","10","3","5","53","607","2","2","5","0","7","28.10.12"
"260044","87","Івано-Франківська область","школа, спортивний зал
вул.Лесі Українки, 63, с.Ластівці, Богородчанський р-н, Івано-Франківська обл., 77763","972","389","960","24","559","24","583","","0","559","24","583","32","551","5","5","6","2","220","1","2","15","1","1","27","255","1","1","5","1","3","29.10.12"
"260047","87","Івано-Франківська область","центральна районна лікарня, зал засідань
вул.Шевченка, 35, смт Богородчани, Богородчанський р-н, Івано-Франківська обл., 77701","304","260","53","31","17","27","44","","0","17","27","44","1","43","0","0","0","0","6","1","0","4","1","0","0","31","0","0","0","0","0","29.10.12"
"260329","87","Івано-Франківська область","будинок культури, фойє
вул.Свободи, 8А, смт Отинія, Коломийський р-н, Івано-Франківська обл., 78223","2140","788","2107","40","1315","37","1352","","0","1315","37","1352","27","1325","10","20","6","10","396","9","3","26","3","17","75","719","8","2","8","4","9","29.10.12"
"260330","87","Івано-Франківська область","ліцей енергетичних технологій, фойє
вул.Січових Стрільців, 12, смт Отинія, Коломийський р-н, Івано-Франківська обл., 78223","1952","816","1934","57","1079","57","1136","","0","1079","57","1136","29","1107","6","14","3","13","340","1","5","19","3","8","68","601","6","6","9","2","3","29.10.12"
"260331","87","Івано-Франківська область","клуб, вестибюль
вул.Юрія Гагаріна, 10, с.Грабич, Коломийський р-н, Івано-Франківська обл., 78225","432","152","429","10","271","9","280","","0","271","9","280","7","273","1","1","1","1","85","0","1","25","3","8","20","115","4","1","4","1","2","29.10.12"
"260332","87","Івано-Франківська область","клуб, фойє
вул.Коломийська, 31А, с.Глибока, Коломийський р-н, Івано-Франківська обл., 78223","176","42","175","7","127","7","134","","0","127","7","134","3","131","0","3","0","0","71","0","0","7","0","0","5","38","1","1","3","0","2","29.10.12"
"260333","87","Івано-Франківська область","будинок культури, фойє
вул.Українська, 13, с.Виноград, Коломийський р-н, Івано-Франківська обл., 78220","1020","460","1014","27","535","25","560","","0","535","25","560","19","541","3","4","2","3","271","2","4","10","1","6","14","203","3","1","7","6","1","29.10.12"
"260334","87","Івано-Франківська область","клуб, актова зала
вул.Тараса Шевченка, 37, с.Нижня Велесниця, Коломийський р-н, Івано-Франківська обл., 78220","256","75","255","20","161","20","181","","0","161","20","181","2","179","0","1","0","0","59","0","0","1","1","2","7","103","0","2","2","1","0","29.10.12"
