"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бовсуновський
Олександр
Михайлович","Захарчук
Микола
Петрович","Кандиба
Олександр
Володимирович","Крейнін
Дмитро
Олександрович","Купченко
Вадим
Володимирович","Лупейко
Олександр
Васильович","Москаленко
Ярослав
Миколайович","Наєлапєа
Галина
Миколаївна","Дата підписання протоколу"
"321266","96","Київська область","Бучанський тарний завод, актова зала, 2-й поверх
вул.Тургенєва, 1, м.Буча, Київської обл., 08292","1592","727","1569","17","850","15","865","","0","850","15","865","29","836","17","43","423","191","4","6","103","49","30.10.12"
"321267","96","Київська область","будинок культури, актова зала
вул.Кірова, 15, м.Буча, Київської обл., 08292","2480","1026","2465","19","1438","16","1454","","0","1438","16","1454","51","1403","25","62","698","255","10","26","281","46","29.10.12"
"321268","96","Київська область","Комунальне підприємство "" Фірма ""Агробудпостач"", актова зала
вул.Кірова, 144, м.Буча, Київської обл., 08292","2224","1053","2197","26","1153","18","1171","","0","1153","18","1171","54","1117","16","54","567","182","12","16","238","32","30.10.12"
"321269","96","Київська область","школа №3, спортивна зала
вул.Вокзальна, 46А, м.Буча, Київської обл., 08292","2016","874","2006","23","1123","19","1142","","0","1123","19","1142","53","1089","26","44","537","224","13","25","175","45","29.10.12"
"321270","96","Київська область","Відкрите акціонерне товариство Науково дослідний інститут ""Склопластиків і волокна"", хол, 2-й поверх
вул.Тарасівська, 32, м.Буча, Київської обл., 08292","2104","859","2076","9","1237","8","1245","","0","1237","8","1245","52","1193","27","67","627","238","7","17","165","45","29.10.12"
"321364","96","Київська область","школа №1, вестибюль
просп.Дружби народів, 19, м.Славутич, Київська обл., 07100","2432","1189","2406","12","1235","8","1243","","0","1235","8","1243","42","1201","9","100","297","145","12","8","586","44","29.10.12"
"321365","96","Київська область","школа №2, вестибюль
Київський квартал, 17, м.Славутич, Київська обл., 07100","2416","1207","2386","8","1204","5","1209","","0","1204","5","1209","37","1172","14","107","267","147","15","5","550","67","29.10.12"
"321366","96","Київська область","школа №3, вестибюль
просп.Дружби народів, 1, м.Славутич, Київська обл., 07100","2432","1094","2408","10","1328","10","1338","","0","1328","10","1338","50","1288","7","107","334","151","8","21","605","55","29.10.12"
"321367","96","Київська область","Інформаційний центр - представництво ДСП ""Чорнобильська АЕС"", клавірна зала
просп.Дружби народів, 7, м.Славутич, Київська обл., 07100","2344","1227","2317","7","1113","4","1117","","0","1113","4","1117","41","1076","15","105","287","139","8","12","468","42","29.10.12"
"321368","96","Київська область","КП ""Кіноконцертний комплекс"", фойє
Центральна площа, 9, м.Славутич, Київська обл., 07100","2400","1191","2381","12","1200","9","1209","","0","1200","9","1209","42","1167","10","94","307","167","13","13","525","38","29.10.12"
"321369","96","Київська область","школа №4, вестибюль
вул.Героїв Дніпра, 8, м.Славутич, Київська обл., 07100","2352","1236","2357","11","1112","4","1116","","0","1112","4","1116","40","1076","10","96","259","141","7","14","518","31","29.10.12"
"321370","96","Київська область","КП ""Управління з розвитку фізичної культури спорту та туризму"", спорткомплекс ""Олімпієць"", спортзал
Чернігівський квартал, 14, м.Славутич, Київська обл., 07100","2368","1299","2338","7","1067","2","1069","","0","1067","2","1069","23","1046","18","84","288","131","15","11","458","41","29.10.12"
"321371","96","Київська область","Фізкультурно-оздоровчий комплекс ""Грація"", спортзал
Тбіліський квартал, 2, м.Славутич, Київська обл., 07100","2240","1222","2218","8","1012","6","1018","","0","1012","6","1018","30","988","13","81","273","149","10","13","420","29","29.10.12"
"321372","96","Київська область","ДЗ СМСЧ №5, стаціонарне відділення, 1-й поверх, хол
вул.77-ї Гвардійської дивізії, 7, м.Славутич, Київська обл., 07100","104","74","32","6","24","6","30","","0","24","6","30","0","30","2","3","7","4","0","0","12","2","29.10.12"
