"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бондаренко
Микола
Васильович","Горбик
Володимир
Миколайович","Довгаль
Олександр
Петрович","Запара
Микола
Іванович","Кравченко
Василь
Віталійович","Мисак
Ігор
Миколайович","Онищук
Любов
Іванівна","Опришко
Олександр
Миколайович","Поплавський
Михайло
Михайлович","Пустова
Тамара
Вікторівна","Сольвар
Руслан
Миколайович","Суслов
Олександр
Іванович","Токар
Валерій
Олексійович","Чулков
Олександр
Володимирович","Дата підписання протоколу"
"321023","91","Київська область","Оленівська школа, актова зала
вул.Петровського, 1, с.Оленівка, Фастівський р-н, Київська обл., 08525","486","186","479","44","257","43","300","","0","257","43","300","14","286","5","4","2","2","2","1","66","2","115","1","74","3","0","9","30.10.12"
"321024","91","Київська область","будинок культури, фойє
вул.Лесі Українки, 9Б, с.Паляничинці, Фастівський р-н, Київська обл., 08542","486","80","481","34","374","32","406","","0","374","32","406","6","400","3","3","0","0","0","1","23","1","320","2","41","5","0","1","29.10.12"
"321025","91","Київська область","Пилипівська школа, їдальня
вул.Леніна, 63, с.Пилипівка, Фастівський р-н, Київська обл., 08553","348","97","340","39","212","39","251","","0","212","39","251","4","247","1","13","1","1","1","1","50","3","58","1","108","5","0","4","29.10.12"
"321026","91","Київська область","магазин, торгівельна зала
вул.Леніна, 55А, с.Королівка, Фастівський р-н, Київська обл., 08553","384","133","382","21","235","16","251","","0","235","16","251","8","243","1","9","3","1","1","0","42","2","43","0","129","7","1","4","30.10.12"
"321027","91","Київська область","будинок культури, фойє
вул.Леніна, 2Б, с.Пришивальня, Фастівський р-н, Київська обл., 08513","246","84","245","26","142","20","162","","0","142","20","162","6","156","2","4","5","0","0","1","20","1","26","0","89","4","0","4","29.10.12"
"321028","91","Київська область","сільська рада, зала засідань
вул.Шкільна, 9, с.Ставки, Фастівський р-н, Київська обл., 08530","552","157","551","65","335","60","395","","0","335","60","395","10","385","2","9","6","0","1","2","82","2","111","5","153","10","0","2","30.10.12"
"321029","91","Київська область","будинок культури, фойє
вул.30-річчя Перемоги, 5, с.Томашівка, Фастівський р-н, Київська обл., 08510","546","181","543","49","320","45","365","","0","320","45","365","7","358","0","8","4","1","1","2","55","0","58","4","222","2","0","1","29.10.12"
"321030","91","Київська область","Триліська медамбулаторія, коридор
вул.Декабристів, 2, с.Триліси, Фастівський р-н, Київська обл., 08552","642","259","631","63","336","47","383","","0","336","47","383","10","373","2","4","0","0","4","0","71","3","63","3","208","7","0","8","30.10.12"
"321031","91","Київська область","Триліська школа, фойє
вул.Сніцера, 4, с.Триліси, Фастівський р-н, Київська обл., 08552","918","363","909","46","517","38","555","","0","517","38","555","11","544","3","7","3","1","2","0","132","0","58","1","316","13","1","7","29.10.12"
"321032","91","Київська область","будинок культури, актова зала
вул.Дружби, 90А, с.Фастівець, Фастівський р-н, Київська обл., 08541","900","306","895","59","540","54","594","","0","540","54","594","23","571","3","8","9","1","1","1","116","4","110","1","300","9","1","7","30.10.12"
"321033","91","Київська область","сільський клуб, зала
вул.Мічуріна, 15, с.Клехівка, Фастівський р-н, Київська обл., 08541","222","72","225","9","141","9","150","","0","141","9","150","5","145","2","6","0","0","1","0","10","0","22","1","97","3","0","3","29.10.12"
"321034","91","Київська область","Червоненська школа, кабінет зарубіжної літератури
вул.Шевченка, 1, с.Червоне, Фастівський р-н, Київська обл., 08543","408","142","409","41","229","37","266","","0","229","37","266","3","263","0","0","1","1","1","0","71","0","50","1","125","7","1","5","29.10.12"
"321035","91","Київська область","Червономотовилівська школа, фойє
вул.Шевченка, 1, с.Червона Мотовилівка, Фастівський р-н, Київська обл., 08522","1452","668","1444","38","753","31","784","","0","753","31","784","26","758","11","32","10","2","1","0","147","5","84","4","443","9","1","9","29.10.12"
"321036","91","Київська область","магазин, приміщення кафетерію
вул.Шевченка, 63, с.Червона Мотовилівка, Фастівський р-н, Київська обл., 08522","1050","465","1041","19","569","16","585","","0","569","16","585","23","562","3","29","22","0","3","0","132","3","66","4","288","3","0","9","30.10.12"
"321037","91","Київська область","Великомотовилівська школа, фойє
вул.Шкільна, 3, с.Велика Мотовилівка, Фастівський р-н, Київська обл., 08522","804","404","795","29","374","26","400","","0","374","26","400","10","390","14","15","4","0","1","1","83","2","61","3","201","0","1","4","29.10.12"
"321038","91","Київська область","Вишняківський фельдшерський пункт, фойє
вул.Тітова, 1, с.Вишняки, Фастівський р-н, Київська обл., 08522","192","37","198","3","152","3","155","","0","152","3","155","3","152","0","12","0","0","1","0","15","0","12","1","99","9","1","2","30.10.12"
"321039","91","Київська область","Яхнівська школа, спортивна зала
вул.Гагаріна, 1, с.Яхни, Фастівський р-н, Київська обл., 08556","384","137","377","26","223","24","247","","0","223","24","247","8","239","1","4","2","1","1","0","29","1","45","3","145","3","0","4","28.10.12"
"321040","91","Київська область","Борівська школа, фойє
вул.Пушкіна, 68, смт Борова, Фастівський р-н, Київська обл., 08520","1524","590","1522","61","886","48","934","","0","886","48","934","30","904","19","17","11","2","1","242","2","98","11","24","456","4","15","2","29.10.12"
"321041","91","Київська область","Борівська школа, фойє
вул.Миру, 36, смт Борова, Фастівський р-н, Київська обл., 08520","1536","637","1518","60","851","48","899","","0","851","48","899","23","875","10","21","9","1","2","1","215","5","127","4","458","10","4","8","30.10.12"
"321042","91","Київська область","будинок культури, актова зала
вул.Франка, 3, смт Борова, Фастівський р-н, Київська обл., 08520","1350","604","1333","39","712","34","746","","0","712","34","746","28","718","13","45","5","6","2","2","177","2","66","1","378","11","4","6","31.10.12"
"321043","91","Київська область","Київська дослідна станція, їдальня
вул.Р.Люксембург, 2, смт Борова, Фастівський р-н, Київська обл., 08520","1716","687","1698","28","1004","25","1029","","0","1004","25","1029","30","999","17","22","9","2","7","5","272","9","98","8","520","13","5","12","29.10.12"
"321044","91","Київська область","Кожанська школа, фойє
вул.Шевченка, 173, смт Кожанка, Фастівський р-н, Київська обл., 08550","570","246","561","8","316","8","324","","0","316","8","324","11","313","3","6","2","1","0","0","27","1","29","1","226","9","0","8","31.10.12"
"321045","91","Київська область","будинок культури, фойє
вул.Заводська, 5, смт Кожанка, Фастівський р-н, Київська обл., 08550","1044","433","1030","20","596","15","611","","0","596","15","611","17","594","2","17","4","0","3","0","67","2","55","2","423","11","1","7","29.10.12"
"321046","91","Київська область","Кожанська школа, фойє
вул.Шкільна, 26, смт Кожанка, Фастівський р-н, Київська обл., 08550","534","220","533","37","283","31","314","","0","283","31","314","8","306","1","4","5","1","1","1","26","0","39","2","212","7","1","6","30.10.12"
"321047","91","Київська область","контора радгоспу, кімната № 2
вул.Новоселицька, 3, с-ще Степове, Фастівський р-н, Київська обл., 08550","84","26","85","0","58","0","58","","0","58","0","58","0","58","1","1","0","0","0","0","5","0","27","0","21","1","0","2","28.10.12"
"321373","91","Київська область","дільниця зрідженого газу, приміщення загального користування
пров.Карла Маркса, 2, м.Фастів, Київська обл., 08500","1572","653","1557","14","905","14","919","","0","905","14","919","21","898","7","5","1","1","0","2","191","2","79","3","571","25","0","11","30.10.12"
"321374","91","Київська область","Товариство з обмеженою відповідальністю ""Фастів-АВТОТРАНС"", актовий зал
вул.Бишівська, 2, м.Фастів, Київська обл., 08500","1932","760","1913","30","1152","20","1172","","0","1152","20","1172","21","1151","6","18","5","0","1","2","242","3","155","4","686","10","1","18","30.10.12"
"321375","91","Київська область","школа №3, актовий зал
вул.12-го Грудня, 19, м.Фастів, Київська обл., 08500","1524","572","1513","23","936","16","952","","0","936","16","952","23","929","7","10","3","0","1","0","179","0","126","2","577","17","1","6","31.10.12"
"321376","91","Київська область","школа №3, спортивний зал
вул.12-го Грудня, 19, м.Фастів, Київська обл., 08500","1776","716","1759","20","1042","18","1060","","0","1042","18","1060","22","1038","4","12","2","0","1","1","287","3","81","1","613","19","2","12","31.10.12"
"321377","91","Київська область","школа №4, вестибюль, 1-й поверх
вул.Комарова, 6, м.Фастів, Київська обл., 08500","1662","682","1647","26","956","24","980","","0","956","24","980","27","953","15","20","1","0","2","0","187","1","109","1","572","18","3","24","30.10.12"
"321378","91","Київська область","школа №7, вестибюль, 1-й поверх
вул.Фрунзе, 79А, м.Фастів, Київська обл., 08500","2022","811","2009","48","1177","34","1211","","0","1177","34","1211","38","1173","9","23","0","3","0","0","162","3","137","2","775","36","1","22","31.10.12"
"321379","91","Київська область","школа №7, коридор, 1-й поверх
вул.Фрунзе, 79А, м.Фастів, Київська обл., 08500","1806","787","1784","40","982","37","1019","","0","982","37","1019","13","1006","14","15","1","1","4","1","181","3","217","1","520","24","1","23","30.10.12"
"321380","91","Київська область","школа №12, каб.2
вул.Комунарів, 5, м.Фастів, Київська обл., 08500","2040","917","2011","17","1111","12","1123","","0","1111","12","1123","32","1091","17","25","2","2","3","2","158","3","75","4","741","27","2","30","31.10.12"
"321381","91","Київська область","школа №10, вестибюль, 2-й поверх
вул.Якубовського, 12, м.Фастів, Київська обл., 08500","1584","726","1571","16","845","13","858","","0","845","13","858","16","842","2","8","3","0","3","0","111","0","77","1","587","33","0","17","31.10.12"
"321382","91","Київська область","Комітет самоорганізації населення ""Завокзалля"", приміщення комітету
вул.Великоснітинська, 26, м.Фастів, Київська обл., 08500","1548","727","1533","34","791","30","821","","0","791","30","821","11","810","6","5","6","1","0","1","138","0","90","3","510","35","2","13","29.10.12"
"321383","91","Київська область","ліцей-інтернат, спортивний зал, 1-й поверх
вул.Великоснітинська, 63, м.Фастів, Київська обл., 08500","1680","723","1681","22","940","17","957","","0","940","17","957","19","938","3","7","5","4","3","1","118","3","85","2","626","67","2","12","30.10.12"
"321384","91","Київська область","початкова школа №11, спортивний зал
вул.Тітова, 95, м.Фастів, Київська обл., 08500","1956","803","1941","27","1128","25","1153","","0","1128","25","1153","21","1132","6","15","2","4","0","0","167","1","193","4","707","20","2","11","30.10.12"
"321385","91","Київська область","виконробська дільниця №3, актовий зал
вул.Героїв Прикордонників, 1, м.Фастів, Київська обл., 08500","1854","861","1830","26","979","14","993","","0","979","14","993","29","964","5","21","5","2","4","1","186","1","76","0","588","48","4","23","29.10.12"
"321386","91","Київська область","школа №9, малий спортивний зал, 2-й поверх
вул.Шевченка, 51, м.Фастів, Київська обл., 08500","1860","636","1834","14","1215","9","1224","","0","1215","9","1224","18","1206","4","20","4","0","3","0","190","2","112","2","794","55","2","18","30.10.12"
"321387","91","Київська область","відділ з питань фізичної культури та спорту, спортивний зал
вул.Орджонікідзе, 65, м.Фастів, Київська обл., 08500","2124","814","2109","19","1292","18","1310","","0","1292","18","1310","17","1293","5","8","0","2","0","0","183","1","298","2","760","20","3","11","29.10.12"
"321388","91","Київська область","міський Палац культури, фойє, 1-й поверх
пл.Перемоги, 1, м.Фастів, Київська обл., 08500","2142","772","2134","26","1351","19","1370","","0","1351","19","1370","29","1341","12","25","1","0","1","1","158","1","201","7","856","47","0","31","30.10.12"
"321389","91","Київська область","міський Палац культури, малий зал
пл.Перемоги, 1, м.Фастів, Київська обл., 08500","2292","887","2259","26","1386","19","1405","","0","1386","19","1405","20","1385","11","16","4","2","0","1","250","3","149","3","867","32","1","46","29.10.12"
"321390","91","Київська область","школа №5, вестибюль, 2-й поверх
вул.Радянська, 10, м.Фастів, Київська обл., 08500","1764","701","1758","23","1049","14","1063","","0","1049","14","1063","18","1045","10","25","1","2","0","0","188","0","108","1","651","29","0","30","29.10.12"
"321391","91","Київська область","гуртожиток ""Креатив-Інвест"", актовий зал
вул.Інтернаціональна, 6, м.Фастів, Київська обл., 08500","2010","802","2040","28","1187","21","1208","","0","1187","21","1208","26","1182","13","28","2","1","2","1","178","1","106","4","768","39","0","39","29.10.12"
"321392","91","Київська область","школа №1, вестибюль, 1-й поверх
вул.Льва Толстого, 9, м.Фастів, Київська обл., 08500","2118","796","2087","13","1314","8","1322","","0","1314","8","1322","23","1299","12","35","2","3","0","0","170","1","579","5","403","36","0","53","29.10.12"
"321393","91","Київська область","школа №2, приміщення початкових класів, вестибюль
вул.Червоноармійська, 44, м.Фастів, Київська обл., 08500","1686","686","1667","18","985","15","1000","","0","985","15","1000","26","974","15","18","2","3","2","0","171","1","113","2","596","42","0","9","30.10.12"
"321394","91","Київська область","школа №2, музичний клас
вул.Червоноармійська, 44, м.Фастів, Київська обл., 08500","1800","616","1781","10","1178","6","1184","","0","1178","6","1184","15","1169","5","16","4","1","1","2","186","0","118","5","774","38","1","18","31.10.12"
"321395","91","Київська область","школа №2, вестибюль, 2-й поверх
вул.Червоноармійська, 44, м.Фастів, Київська обл., 08500","1764","783","1739","21","969","12","981","","0","969","12","981","12","969","10","11","4","0","2","1","167","0","101","2","623","22","2","24","30.10.12"
"321396","91","Київська область","Фастівська центральна районна лікарня, поліклініка, 1-й поверх
вул.Льва Толстого, 17, м.Фастів, Київська обл., 08500","156","28","132","58","73","55","128","","0","73","55","128","4","124","0","2","0","0","0","0","17","0","14","0","85","3","0","3","30.10.12"
"321397","91","Київська область","Вузлова лікарня станції Фастів, фойє, 1-й поверх
вул.Кірова, 57, м.Фастів, Київська обл., 08500","114","77","41","9","28","9","37","","0","28","9","37","1","36","0","1","1","1","0","0","7","0","5","0","20","1","0","0","29.10.12"
