"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Засуха
Тетяна
Володимирівна","Кияниця
Валерій
Миколайович","Лазебник
Віталій
Михайлович","Михайлівський
Юрій
Ігорович","Мосійчук
Ігор
Володимирович","Онищенко
Віталій
Петрович","Пашкевич
Станіслав
Петрович","Попович
Валерій
Федорович","Продіус
Віктор
Миколайович","Романюк
Віктор
Миколайович","Савицький
Володимир
Іванович","Скороход
Андрій
Валерійович","Тимченко
Катерина
Петрівна","Тугай
Сергій
Іванович","Яковець
Юрій
Миколайович","Дата підписання протоколу"
"320749","94","Київська область","школа, спортивна зала
вул.Партизанська, 3, смт Козин, Обухівський р-н, Київська обл., 08711","1860","764","1849","24","1078","18","1096","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320750","94","Київська область","будинок культури, фойє
вул.Партизанська, 1А, смт Козин, Обухівський р-н, Київська обл., 08711","1184","537","1177","11","640","7","647","","0","640","7","647","22","625","156","17","15","10","11","14","39","15","11","265","2","16","31","0","23","29.10.12"
"320751","94","Київська область","сільський клуб, фойє
вул.Леніна, 23Б, с.Копачів, Обухівський р-н, Київська обл., 08715","428","170","426","25","234","24","258","","0","234","24","258","9","249","101","9","3","2","2","4","4","4","1","103","1","6","4","0","5","28.10.12"
"320752","94","Київська область","школа, спортивна зала
вул.Радянська, 30, с.Красне Перше, Обухівський р-н, Київська обл., 08725","512","191","510","21","304","17","321","","0","304","17","321","14","307","91","28","4","2","2","3","32","4","2","116","2","5","5","2","9","29.10.12"
"320753","94","Київська область","будинок культури, зала
вул.Шевченка, 2А, с.Красна Слобідка, Обухівський р-н, Київська обл., 08751","1256","582","1251","46","628","46","674","","0","0","0","674","10","664","197","23","5","1","2","4","27","8","4","376","5","6","2","1","3","02.11.12"
"320754","94","Київська область","будинок культури, фойє
вул.Шевченка, 1Г, с.Мала Вільшанка, Обухівський р-н, Київська обл., 08730","472","118","476","60","295","59","354","","0","295","59","354","10","344","235","11","5","1","0","3","9","2","3","71","1","1","0","0","2","28.10.12"
"320755","94","Київська область","сільський клуб, фойє
вул.Ватутіна, 1А, с.Степок, Обухівський р-н, Київська обл., 08730","120","23","124","13","84","13","97","","0","84","13","97","1","96","53","2","0","0","0","0","5","0","0","35","0","0","1","0","0","28.10.12"
"320756","94","Київська область","сільський клуб, зала
вул.Преображенська, 4А, с.Нещерів, Обухівський р-н, Київська обл., 08708","444","143","441","4","298","3","301","","0","298","3","301","11","290","117","12","5","3","2","3","7","4","2","127","1","2","2","1","2","29.10.12"
"320757","94","Київська область","будинок культури, фойє
вул.Воїнів, 29, с.Перегонівка, Обухівський р-н, Київська обл., 08732","264","89","175","16","159","16","175","","0","159","16","175","6","169","48","5","2","0","0","1","8","5","2","95","0","2","1","0","0","29.10.12"
"320758","94","Київська область","сільський клуб, фойє
вул.Комсомольська, 23, с.Перше Травня, Обухівський р-н, Київська обл., 08707","388","107","385","36","246","35","281","","0","246","35","281","5","276","160","3","1","2","2","1","3","0","3","50","1","1","4","0","45","29.10.12"
"320759","94","Київська область","школа, спортивна зала
вул.Васильківська, 39/1, с.Підгірці, Обухівський р-н, Київська обл., 08710","668","233","672","36","402","33","435","","0","402","33","435","15","420","197","6","6","0","8","1","11","18","7","137","1","10","6","1","11","29.10.12"
"320760","94","Київська область","будинок культури, зала
пл.Слави, 6, с.Семенівка, Обухівський р-н, Київська обл., 08752","496","173","487","21","302","21","323","","0","302","21","323","8","315","108","17","1","0","2","2","18","1","5","148","1","3","4","0","5","28.10.12"
"320761","94","Київська область","сільський клуб, зала
вул.Комарова, 1, с.Кулі, Обухівський р-н, Київська обл., 08752","128","25","130","18","87","16","103","","0","87","16","103","8","95","43","4","0","0","1","0","3","1","1","37","1","3","0","0","1","29.10.12"
"320762","94","Київська область","будинок культури, мала зала
вул.Київська, 1, с.Старі Безрадичі, Обухівський р-н, Київська обл., 08714","720","265","713","70","394","61","455","","0","394","61","455","10","445","141","22","6","1","10","3","18","10","2","219","1","1","5","4","2","28.10.12"
"320763","94","Київська область","сільська громада, фойє
вул.Жовтнева, 25, с.Нові Безрадичі, Обухівський р-н, Київська обл., 08714","280","124","276","16","141","15","156","","0","141","15","156","11","145","37","8","1","0","3","0","5","6","1","68","0","3","7","1","5","28.10.12"
"320764","94","Київська область","школа, фойє
вул.Шевченка, 102, с.Трипілля, Обухівський р-н, Київська обл., 08722","2244","991","2226","39","1215","38","1253","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320765","94","Київська область","будинок культури, фойє
вул.Комсомольська, 65, с.Халеп’я, Обухівський р-н, Київська обл., 08741","656","240","650","36","386","30","416","","0","386","30","416","16","400","164","9","4","3","2","3","7","8","2","188","0","3","4","0","3","29.10.12"
"320766","94","Київська область","сільський клуб, зала
вул.Шевченка, 46, с.Щербанівка, Обухівський р-н, Київська обл., 08723","200","65","200","8","129","6","135","","0","129","6","135","4","131","47","1","1","1","3","1","4","1","0","68","1","1","0","0","2","29.10.12"
"320767","94","Київська область","школа мистецтв, фойє
вул.Соснова, 2А, м.Українка, Обухівський р-н, Київська обл., 08720","1752","607","1757","3","1142","3","1145","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320768","94","Київська область","лікарня, актова зала
вул.Київська, 1, м.Українка, Обухівський р-н, Київська обл., 08720","1856","761","1839","9","1091","4","1095","","0","0","0","1095","31","1064","212","10","18","12","20","6","46","27","50","610","4","11","16","1","21","04.11.12"
"320769","94","Київська область","палац культури ""Енергетик"", фойє
просп.Дніпровський, 15, м.Українка, Обухівський р-н, Київська обл., 08720","1596","571","1578","26","1002","23","1025","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320770","94","Київська область","міська рада, велика зала
пл.Т.Шевченка, 1, м.Українка, Обухівський р-н, Київська обл., 08720","2048","828","2048","24","1202","18","1220","","0","0","0","1220","37","1183","188","26","19","3","21","14","67","26","65","684","2","9","27","5","27","04.11.12"
"320771","94","Київська область","школа №1, їдальня
вул.Юності, 7, м.Українка, Обухівський р-н, Київська обл., 08720","1636","670","1620","19","953","13","966","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320772","94","Київська область","школа №2, рекреація початкової школи
вул.Юності, 21, м.Українка, Обухівський р-н, Київська обл., 08720","1636","676","1617","25","940","20","960","","0","938","20","958","46","912","182","17","10","3","5","8","77","12","67","490","2","8","16","0","15","29.10.12"
"320773","94","Київська область","професійно-технічне училище №2, фойє
вул.Юності, 19, м.Українка, Обухівський р-н, Київська обл., 08720","2408","937","2388","19","1460","11","1471","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"320774","94","Київська область","лікарня, фойє
вул.Київська, 1, м.Українка, Обухівський р-н, Київська обл., 08720","176","165","11","3","8","3","11","","0","8","3","11","0","11","3","1","0","0","0","0","0","0","0","4","0","1","1","0","1","28.10.12"
"321271","94","Київська область","школа №8, спортивна зала
вул.Декабристів, в/м 11, м.Васильків, Київська обл., 08600","2204","857","2169","25","1328","19","1347","","0","1328","19","1347","21","1326","319","26","6","0","5","7","277","295","1","369","6","2","6","3","4","29.10.12"
"321272","94","Київська область","школа №8, кл.7А, 1-й поверх
вул.Декабристів, в/м 11, м.Васильків, Київська обл., 08600","2156","1089","2209","4","1064","3","1067","","0","1064","3","1067","37","1030","353","19","24","11","14","9","87","142","14","295","15","7","18","14","8","30.10.12"
"321273","94","Київська область","ТОВ ""Швейна фабрика"", їдальня, 1-й поверх
вул.Володимирська, 92, м.Васильків, Київська обл., 08600","2164","1088","2138","16","1068","8","1076","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"321274","94","Київська область","школа №1, каб.4, 1-й поверх
вул.Гоголя, 16, м.Васильків, Київська обл., 08600","2236","1049","2209","27","1172","15","1187","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"321275","94","Київська область","школа №9, вестибюль, 1-й поверх
вул.Декабристів, 135, м.Васильків, Київська обл., 08606","2272","1013","2265","51","1228","31","1259","","0","1228","31","1259","34","1225","366","20","12","5","12","6","50","184","6","532","5","4","7","7","9","29.10.12"
"321276","94","Київська область","професійний ліцей, спортивна зала, 2-й поверх
вул.Декабристів, 39, м.Васильків, Київська обл., 08600","1808","914","1770","5","892","2","894","","0","891","2","893","20","873","293","41","29","13","8","12","56","110","5","267","9","2","9","3","16","29.10.12"
"321277","94","Київська область","СТК ТСОУ, клас підготовки водіїв категорії ""С"", 1-й поверх
вул.Декабристів, 43, м.Васильків, Київська обл., 08600","1864","833","1844","12","1022","9","1031","","0","1022","9","1031","27","1004","290","23","9","2","8","3","104","147","5","385","6","3","8","2","9","29.10.12"
"321278","94","Київська область","кафе-бар ""Оленка"", банкетна зала
вул.Керамічна, 38, м.Васильків, Київська обл., 08600","1504","744","1508","8","754","6","760","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"321279","94","Київська область","школа №2, кабінет історії, 1-й поверх
вул.Луначарського, 2, м.Васильків, Київська обл., 08600","2232","1060","2231","27","1149","23","1172","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"321280","94","Київська область","АТЗТ ""Вас.хлібопродукт"", актова зала, 2-й поверх
вул.Володимирська, 22, м.Васильків, Київська обл., 08600","2196","1136","2178","16","1046","14","1060","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","04.11.12"
"321281","94","Київська область","школа №7, спортивна зала, 2-й поверх
вул.І Травня, 25, м.Васильків, Київська обл., 08600","2460","1088","2430","24","1354","18","1372","","0","1354","18","1372","26","1346","359","22","20","6","21","4","61","165","7","639","10","2","11","5","14","29.10.12"
