"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балога
Віктор
Іванович","Гулачі
Гейза
Людвигович","Ільтьо
Сергій
Васильович","Ланьо
Олександр
Олександрович","Ленд’єл
Золтан
Золтанович","Переста
Олександр
Михайлович","Федака
Павло
Павлович","Шевченко
Віктор
Федорович","Шутко
Вячеслав
Ласлович","Дата підписання протоколу"
"210335","69","Закарпатська область","сільський клуб, глядацька зала
вул.Духновича, 30, с.Макарьово, Мукачівський р-н, Закарпатська обл., 89676","1304","718","1288","20","569","17","586","","0","569","17","586","27","559","361","23","4","39","14","31","2","6","79","29.10.12"
"210336","69","Закарпатська область","школа, спортивна зала
вул.Зелена, 2, с.Барбово, Мукачівський р-н, Закарпатська обл., 89677","800","449","797","24","334","17","351","","0","334","17","351","16","335","179","10","6","16","15","37","5","16","51","29.10.12"
"210337","69","Закарпатська область","школа, спортивна зала
вул.Набережна, 99, с.Нове Давидково, Мукачівський р-н, Закарпатська обл., 89624","2120","1165","2080","46","914","41","955","","0","914","41","955","35","920","593","21","5","48","45","124","2","8","74","29.10.12"
"210338","69","Закарпатська область","школа, їдальня
вул.ім.Івана Франка, школа, с.Нове Давидково, Мукачівський р-н, Закарпатська обл., 89624","976","525","982","7","444","7","451","","0","444","7","451","19","432","259","21","5","31","12","53","1","5","45","29.10.12"
"210339","69","Закарпатська область","сільська рада, зала засідань
вул.Колгоспна, 2, с.Нижній Коропець, Мукачівський р-н, Закарпатська обл., 89670","744","260","743","29","458","26","484","","0","458","26","484","10","474","211","26","1","18","9","135","0","3","71","29.10.12"
"210343","69","Закарпатська область","школа, кл.2
вул.Л.Українки, 89, с.Павшино, Мукачівський р-н, Закарпатська обл., 89627","760","309","749","13","439","12","451","","0","439","12","451","20","431","207","36","4","42","22","56","1","8","55","29.10.12"
"210344","69","Закарпатська область","сільська рада, зала урочистих подій
152, с.Пістрялово, Мукачівський р-н, Закарпатської обл., 89673","584","222","587","4","358","4","362","","0","358","4","362","9","353","263","10","2","12","11","20","0","4","31","30.10.12"
"210345","69","Закарпатська область","сільський клуб, глядацька зала
72В, с.Пузняківці, Мукачівський р-н, Закарпатська обл., 89630","416","108","411","35","273","35","308","","0","273","35","308","8","300","196","7","1","13","4","10","1","3","65","28.10.12"
"210347","69","Закарпатська область","сільський клуб, глядацька зала
40А, с.Тростяниця, Мукачівський р-н, Закарпатська обл., 89630","136","60","132","4","72","4","76","","0","72","4","76","2","74","57","2","2","1","0","5","1","0","6","28.10.12"
"210348","69","Закарпатська область","сільський клуб, глядацька зала
50А, с.Крите, Мукачівський р-н, Закарпатська обл., 89630","288","127","280","14","147","14","161","","0","147","14","161","5","156","127","1","1","13","4","1","0","2","7","29.10.12"
"210349","69","Закарпатська область","магазин СТ, торгова зала
7А, с.Герцівці, Мукачівський р-н, Закарпатська обл., 89630","56","11","56","3","42","3","45","","0","42","3","45","1","44","38","0","0","1","0","0","0","2","3","29.10.12"
"210350","69","Закарпатська область","будинок культури, глядацька зала
вул.Перемоги, 19, с.Ракошино, Мукачівський р-н, Закарпатська обл., 89620","2448","1605","2419","9","843","0","843","","0","843","0","843","42","801","288","269","8","40","41","55","4","12","84","29.10.12"
"210351","69","Закарпатська область","сільський клуб, глядацька зала
вул.Набережна, 61, с.Кайданово, Мукачівський р-н, Закарпатська обл., 89620","1136","653","1115","4","479","4","483","","0","479","4","483","28","455","282","31","7","40","13","35","3","4","40","29.10.12"
"210352","69","Закарпатська область","дитячий садок, актова зала
вул.Бенедиківська, 20, с.Бенедиківці, Мукачівський р-н, Закарпастька обл., 89620","520","255","512","0","265","0","265","","0","265","0","265","6","259","160","14","1","22","13","15","3","6","25","29.10.12"
"210353","69","Закарпатська область","школа, спортивна зала
вул.Борканюка, 32, с.Руське, Мукачівський р-н, Закарпатська обл., 89621","848","456","846","8","386","6","392","","0","386","6","392","17","375","238","19","7","27","17","31","0","18","18","29.10.12"
"210354","69","Закарпатська область","дитячий садок, актова зала
вул.Виноградна, 2, с.Чопівці, Мукачівський р-н, Закарпатська обл., 89620","312","155","309","4","153","4","157","","0","153","4","157","0","157","100","10","1","8","8","24","1","0","5","29.10.12"
"210355","69","Закарпатська область","сільський клуб, глядацька зала
вул.Ракоці Ференца, 109, с.Серне, Мукачівський р-н, Закарпатська обл., 89653","1560","961","1550","45","554","45","599","","0","554","45","599","36","563","196","233","4","5","6","3","3","4","109","29.10.12"
"210356","69","Закарпатська область","сільський клуб, глядацька зала
вул.І.Сечені, сільський клуб, с.Баркасово, Мукачівський р-н, Закарпатська обл., 89654","1616","794","1604","48","774","48","822","","0","774","48","822","20","802","166","144","7","11","5","8","3","7","451","30.10.12"
"210357","69","Закарпатська область","сільський клуб, глядацька зала
278, с.Станово, Мукачівський р-н, Закарпатська обл., 89668","776","302","758","25","449","25","474","","0","449","25","474","10","464","346","2","1","44","4","16","1","3","47","29.10.12"
"210358","69","Закарпатська область","сільський клуб, глядацька зала
46, с.Гандеровиця, Мукачівський р-н, Закарпатська обл., 89668","192","63","192","8","121","8","129","","0","121","8","129","3","126","85","5","0","4","0","7","1","1","23","29.10.12"
"210359","69","Закарпатська область","школа, фойє
вул.Центральна, 199А, с.Страбичово, Мукачівський р-н, Закарпатська обл., 89655","1224","753","1210","28","446","25","471","","0","446","25","471","21","450","242","16","7","43","18","68","6","27","23","29.10.12"
"210360","69","Закарпатська область","школа, їдальня
вул.Центральна, 199А, с.Страбичово, Мукачівський р-н, Закарпатська обл., 89655","1424","871","1407","15","539","14","553","","0","539","14","553","31","522","263","44","6","37","24","72","2","21","53","29.10.12"
"210361","69","Закарпатська область","сільський клуб, читальна зала
вул.Беке, 154, с.Форнош, Мукачівський р-н, Закарпатська обл., 89672","1112","540","1100","5","567","5","572","","0","567","5","572","33","539","198","241","3","3","2","5","0","1","86","29.10.12"
"210362","69","Закарпатська область","будинок культури, глядацька зала
вул.Миру, 95, с.Чомонин, Мукачівський р-н, Закарпатська обл., 89652","1816","984","1798","0","832","0","832","","0","832","0","832","39","793","458","310","1","3","0","5","2","3","11","29.10.12"
"210363","69","Закарпатська область","сільська рада, зала засідань
вул.Голована, 6, с.Шенборн, Мукачівський р-н, Закарпатська обл., 89670","328","114","324","2","213","1","214","","0","213","1","214","4","210","147","14","2","11","7","6","2","6","15","28.10.12"
"210364","69","Закарпатська область","дитячий садок, к.2
вул.Миру, 50, с.Яблунів, Мукачівський р-н, Закарпатська обл., 89666","496","215","488","17","264","17","281","","0","264","17","281","4","277","206","8","1","16","4","28","0","6","8","29.10.12"
"210365","69","Закарпатська область","школа, кл.2
вул.Шевченка, 16, с.Новоселиця, Мукачівський р-н, Закарпатська обл., 89666","216","52","220","4","160","4","164","","0","160","4","164","3","161","108","4","0","12","4","2","0","0","31","29.10.12"
"210677","69","Закарпатська область","школа №13, фойє
вул.Росвигівська, 13, м.Мукачеве, Закарпатська обл., 89600","2504","1392","2470","4","1109","3","1112","","0","1109","3","1112","30","1082","395","43","14","91","100","166","5","63","205","29.10.12"
"210678","69","Закарпатська область","школа №11, фойє
вул.Осипенка, 58, м.Мукачеве, Закарпатська обл., 89600","2424","1230","2399","3","1193","1","1194","","0","1193","1","1194","34","1160","455","59","16","93","78","269","8","43","139","29.10.12"
"210679","69","Закарпатська область","професійний ліцей, фойє
вул.Яна Амоса Коменського, 64, м.Мукачеве, Закарпатська обл., 89600","2464","1228","2435","7","1232","4","1236","","0","1232","4","1236","35","1201","535","82","17","83","109","226","8","28","113","29.10.12"
"210680","69","Закарпатська область","дошкільний навчальний заклад №34, музична зала
вул.Генерала Петрова, 10, м.Мукачеве, Закарпатська обл., 89600","1936","1046","1906","3","888","2","890","","0","888","2","890","31","859","313","47","12","62","34","245","6","21","119","29.10.12"
"210681","69","Закарпатська область","дошкільний навчальний заклад №8, музична зала
вул.Генерала Петрова, 18, м.Мукачеве, Закарпатська обл., 89600","2224","1178","2201","8","1040","6","1046","","0","1040","6","1046","27","1019","382","44","12","68","89","249","6","49","120","29.10.12"
"210682","69","Закарпатська область","гуманітарно-педагогічний коледж МДУ, спортивна зала
вул.Яна Амоса Коменського, 59, м.Мукачеве, Закарпатська обл., 89600","2376","1298","2358","1","1077","1","1078","","0","1077","1","1078","37","1041","447","30","24","106","113","195","4","24","98","29.10.12"
"210683","69","Закарпатська область","навчально-виховний комплекс ""Гармонія"", спортивна зала
вул.Ужгородська, 27, м.Мукачеве, Закарпатська обл., 89600","2328","1165","2300","15","1149","14","1163","","0","1149","14","1163","48","1115","430","128","56","76","85","205","5","14","116","29.10.12"
"210684","69","Закарпатська область","дошкільний навчальний заклад №33, музична зала
вул.Підопригори, 3, м.Мукачеве, Закарпатська обл., 89600","2440","1282","2419","10","1149","9","1158","","0","1149","9","1158","52","1106","436","59","19","107","115","147","5","48","170","29.10.12"
"210685","69","Закарпатська область","будинок культури, літературна кімната
пл.Миру, 12, м.Мукачеве, Закарпатська обл., 89600","1272","653","1254","6","615","4","619","","0","615","4","619","28","591","234","77","15","44","59","63","2","20","77","29.10.12"
"210686","69","Закарпатська область","школа №3, зала засідань
вул.Миру, 17, м.Мукачеве, Закарпатська обл., 89600","904","508","886","1","396","0","396","","0","396","0","396","14","382","145","51","10","26","28","50","3","17","52","30.10.12"
"210687","69","Закарпатська область","ліцей з посиленою військово-фізичною підготовкою, актова зала
вул.Духновича, 17, м.Мукачеве, Закарпатська обл., 89600","1248","695","1234","5","550","3","553","","0","550","3","553","21","532","200","67","7","43","40","84","6","25","60","28.10.12"
"210688","69","Закарпатська область","дитячо-юнацька спортивна школа, спортивна зала
вул.Духновича, 93, м.Мукачеве, Закарпатська обл., 89600","1696","841","1685","12","848","7","855","","0","848","7","855","24","831","334","123","8","64","65","150","6","20","61","29.10.12"
"210689","69","Закарпатська область","ВАТ ""МЗЗВіК"", їдальня
вул.Духновича, 105, м.Мукачеве, Закарпатська обл., 89600","1376","788","1357","1","587","1","588","","0","587","1","588","21","567","171","39","24","54","42","107","5","26","99","30.10.12"
"210690","69","Закарпатська область","школа №6, актова зала
вул.Підгорянська, 76, м.Мукачеве, Закарпатська обл., 89600","2016","1074","1985","7","935","7","942","","0","935","7","942","42","900","343","38","14","67","81","253","7","15","82","29.10.12"
"210691","69","Закарпатська область","дошкільний навчальний заклад №18, зала фізичного виховання
вул.Індустріальна, 19, м.Мукачеве, Закарпатська обл., 89600","1952","1046","1919","5","903","3","906","","0","903","3","906","48","858","261","49","12","56","94","203","6","38","139","29.10.12"
"210692","69","Закарпатська область","гуртожиток ВАТ ""МТФ ""Мрія"", актова зала
вул.Індустріальна, 35А, м.Мукачеве, Закарпатська обл., 89600","2192","1217","2171","7","970","5","975","","0","970","5","975","40","935","382","29","16","73","100","226","5","29","75","29.10.12"
"210693","69","Закарпатська область","професійний ліцей сфери послуг, фойє
вул.Михайла Токаря, 71, м.Мукачеве, Закарпатська обл., 89600","1552","904","1529","4","644","4","648","","0","644","4","648","26","622","245","69","8","53","69","107","0","15","56","29.10.12"
"210694","69","Закарпатська область","вище професійне училище №3, бібліотека
вул.Кооперативна, 2, м.Мукачеве, Закарпатська обл., 89600","1520","908","1504","1","612","0","612","","0","612","0","612","20","592","242","31","13","58","50","112","5","17","64","28.10.12"
"210695","69","Закарпатська область","професійний ліцей, фойє
вул.Івана Франка-бічна, 18, м.Мукачеве, Закарпатська обл., 89600","1496","998","1483","0","498","0","498","","0","498","0","498","12","486","199","20","39","44","42","77","4","15","46","29.10.12"
"210696","69","Закарпатська область","дошкільний навчальний заклад №9, кімната середньої групи
вул.Івана Франка, 65, м.Мукачеве, Закарпатська обл., 89600","2104","1431","2084","2","671","2","673","","0","671","2","673","71","602","482","26","14","12","25","26","2","1","14","29.10.12"
"210697","69","Закарпатська область","школа №2, спортивна зала
вул.Академіка Павлова, 14, м.Мукачеве, Закарпатська обл., 89600","544","274","528","3","267","3","270","","0","267","3","270","7","263","112","54","5","11","27","18","2","11","23","29.10.12"
"210698","69","Закарпатська область","гімназія, актова зала
вул.Королеви Єлизавети, 22, м.Мукачеве, Закарпатська обл., 89600","1680","969","1652","2","709","2","711","","0","709","2","711","19","692","278","73","7","60","66","86","3","27","92","29.10.12"
"210699","69","Закарпатська область","будинок школярів, актова зала
вул.Івана Маргітича, 11, м.Мукачеве, Закарпатська обл., 89600","1528","826","1531","7","695","7","702","","0","695","7","702","17","685","234","66","12","48","73","95","4","41","112","29.10.12"
"210700","69","Закарпатська область","кооперативний торгово-економічний коледж, спортивна зала
вул.Ярослава Мудрого, 40, м.Мукачеве, Закарпатська обл., 89600","1160","573","1152","13","577","10","587","","0","577","10","587","6","581","240","75","4","58","54","76","4","16","54","29.10.12"
"210701","69","Закарпатська область","локомотивне депо станції Мукачеве, зала засідань
вул.Крилова, 1, м.Мукачеве, Закарпатська обл., 89600","2136","1396","2098","2","739","1","740","","0","739","1","740","32","708","285","87","9","65","72","105","5","14","66","29.10.12"
"210702","69","Закарпатська область","дошкільний навчальний заклад №28, музична зала
вул.Комунарів, 6, м.Мукачеве, Закарпатська обл., 89600","2360","1313","2350","11","1041","6","1047","","0","1041","6","1047","46","1001","322","80","15","87","79","145","7","52","214","29.10.12"
"210703","69","Закарпатська область","школа №16, спортивна зала
вул.Тараса Шевченка, 68, м.Мукачеве, Закарпатська обл., 89600","1872","932","1862","10","932","8","940","","0","932","8","940","33","907","239","73","10","112","78","99","6","89","201","29.10.12"
"210704","69","Закарпатська область","спеціалізована школа №4, спортивна зала
вул.Ілони Зріні, 34, м.Мукачеве, Закарпатська обл., 89600","1880","1051","1847","2","827","2","829","","0","827","2","829","26","803","253","85","4","68","70","91","8","56","168","29.10.12"
"210705","69","Закарпатська область","школа №10, фойє
вул.Драгоманова, 66, м.Мукачеве, Закарпатська обл., 89600","2168","1102","2138","8","1059","7","1066","","0","1059","7","1066","32","1034","317","91","17","101","90","122","6","59","231","29.10.12"
"210706","69","Закарпатська область","спеціальна школа-інтернат, актова зала
вул.Димитрова, 4, м.Мукачеве, Закарпатська обл., 89600","1624","812","1602","7","806","6","812","","0","806","6","812","26","786","269","69","19","59","73","124","2","29","142","29.10.12"
"210707","69","Закарпатська область","школа №8, актова зала
вул.Першотравнева Набережна, 9А, м.Мукачеве, Закарпатська обл., 89600","1552","829","1531","8","716","7","723","","0","715","7","722","36","686","226","63","11","60","54","126","6","18","122","30.10.12"
"210708","69","Закарпатська область","школа №7, фойє
вул.Комарова, 35, м.Мукачеве, Закарпатська обл., 89600","1640","971","1636","12","659","10","669","","0","659","10","669","19","650","256","45","2","59","84","102","4","16","82","29.10.12"
"210709","69","Закарпатська область","центр культури і відпочинку ""Паланок"", концертна зала
вул.Графа фон Шенборна, 4, м.Мукачеве, Закарпатська обл., 89600","1624","853","1603","7","770","1","771","","0","770","1","771","22","749","271","73","10","64","82","144","3","14","88","29.10.12"
"210710","69","Закарпатська область","дитяча школа мистецтв №1, хореографічна зала
вул.Горького, 2, м.Мукачеве, Закарпатська обл., 89600","1360","590","1357","5","766","4","770","","0","766","4","770","29","741","277","54","19","91","80","66","7","49","98","29.10.12"
"210711","69","Закарпатська область","навчально-виховний комплекс ""Первоцвіт"", фойє
вул.Космонавтів, 31, м.Мукачеве, Закарпатська обл., 89600","904","433","899","4","468","3","471","","0","468","3","471","10","461","169","5","1","28","66","26","0","23","143","29.10.12"
"210712","69","Закарпатська область","Мукачівська центральна районна лікарня, актова зала
вул.Пирогова, 8-13, м.Мукачеве, Закарпатська обл., 89600","808","221","595","150","443","144","587","","0","443","144","587","11","576","520","15","1","8","12","6","1","1","12","29.10.12"
