"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Балога
Іван
Іванович","Бушко
Іван
Іванович","Кінч
Габор
Йожефович","Ковач
Микола
Миколайович","Ленд’єл
Олександра
Олександрівна","Петрушка
Іштван
Шімонович","Пуканич
Едуард
Володимирович","Разгулов
Валерій
Михайлович","Сочка
Микола
Іванович","Дата підписання протоколу"
"210120","73","Закарпатська область","дитячий садок, музична зала
вул.Миру, 91, с.Холмовець, Виноградівський р-н, Закарпатська обл., 90363","528","213","521","15","301","14","315","","0","301","14","315","13","302","129","152","2","5","3","9","1","0","1","28.10.12"
"210121","73","Закарпатська область","будинок культури, концертна зала
вул.Миру, 99, с.Черна, Виноградівський р-н, Закарпатська обл., 90340","1644","889","1626","33","723","32","755","","0","723","32","755","26","729","241","332","1","10","46","94","1","3","1","28.10.12"
"210122","73","Закарпатська область","сільська рада, зала засідань
вул.Миру, 5, с.Шаланки, Виноградівський р-н, Закарпатська обл., 90311","2244","963","2219","63","1219","62","1281","","0","1219","62","1281","77","1204","401","554","7","215","14","9","1","2","1","29.10.12"
"210123","73","Закарпатська область","школа, спортивна зала
вул.Миру, 46, с.Широке, Виноградівський р-н, Закарпатська обл., 90314","1824","979","1818","43","803","42","845","","0","803","42","845","24","821","341","401","2","11","36","23","2","1","4","28.10.12"
"210124","73","Закарпатська область","селищна рада, зала урочистих подій
вул.Гагаріна, 8, смт Вилок, Виноградівський р-н, Закарпатська обл., 90351","1236","596","1224","14","628","12","640","","0","628","12","640","33","607","268","153","4","155","14","11","2","0","0","29.10.12"
"210125","73","Закарпатська область","селищна рада, бібліотека
вул.Гагаріна, 8, смт Вилок, Виноградівський р-н, Закарпатська обл., 90351","1320","580","1317","8","733","7","740","","0","733","7","740","50","690","221","319","11","110","16","9","4","0","0","29.10.12"
"210126","73","Закарпатська область","школа №1, актова зала
вул.Тисова, 4, смт Королево, Виноградівський р-н, Закарпатська обл., 90332","1830","819","1812","21","990","21","1011","","0","990","21","1011","20","991","397","348","1","95","87","53","1","7","2","29.10.12"
"210127","73","Закарпатська область","школа №2, фойє
вул.Б.Хмельницького, 3, смт Королево, Виноградівський р-н, Закарпатська обл., 90332","1848","938","1830","16","895","15","910","","0","895","15","910","20","890","278","422","1","49","77","57","2","0","4","28.10.12"
"210128","73","Закарпатська область","торгівельне приміщення
вул.Злагоди, 37, смт Королево, Виноградівський р-н, Закарпатська обл., 90332","2136","1498","2137","8","631","7","638","","0","631","7","638","33","605","222","306","2","26","28","17","1","0","3","29.10.12"
"210129","73","Закарпатська область","будинок культури, концертна зала
пл.Миру, 3, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","2436","1157","2405","27","1252","27","1279","","0","1252","27","1279","44","1235","228","624","3","123","124","119","4","8","2","28.10.12"
"210130","73","Закарпатська область","адмінбудинок відділу освіти, актова зала
вул.Копанська, 10, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","2412","1080","2411","230","1124","208","1332","","0","1124","208","1332","70","1262","235","641","10","129","109","112","10","5","11","29.10.12"
"210131","73","Закарпатська область","школа №2, спортивна зала
вул.Б.Бартока, 19, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","1458","666","1439","14","780","12","792","","0","780","12","792","31","761","93","488","2","63","54","55","3","0","3","29.10.12"
"210132","73","Закарпатська область","школа №7, актова зала
вул.Північна, 25, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","2142","1060","2129","29","1053","29","1082","","0","1053","29","1082","19","1063","184","669","3","56","73","59","7","5","7","29.10.12"
"210133","73","Закарпатська область","приміщення ПП Грабовчак, конференцзал
вул.Вакарова, 20, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","1362","670","1350","18","675","17","692","","0","675","17","692","21","671","117","292","4","142","49","64","2","1","0","29.10.12"
"210134","73","Закарпатська область","ВАТ ""Райавтодор"", зала засідань
вул.Комунальна, 4, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","1770","870","1739","24","882","18","900","","0","882","18","900","26","874","203","405","1","65","86","108","6","0","0","29.10.12"
"210135","73","Закарпатська область","коледж, спортивна зала
вул.Станційна, 28, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","1812","887","1765","15","910","15","925","","0","910","15","925","35","890","146","418","5","122","89","98","3","6","3","28.10.12"
"210136","73","Закарпатська область","школа №3, спортивна зала
вул.Миру, 54, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","1890","907","1869","11","977","6","983","","0","977","6","983","31","952","206","464","3","86","87","89","7","8","2","29.10.12"
"210137","73","Закарпатська область","школа №8, спортивна зала
вул.Корятовича, 8, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","2160","998","2126","11","1155","7","1162","","0","1155","7","1162","32","1130","225","513","3","149","122","100","6","7","5","29.10.12"
"210138","73","Закарпатська область","будівля колишнього кооперативного училища, спортивна зала
вул.Кооперативна, 11, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","2010","964","1974","4","1043","3","1046","","0","1043","3","1046","29","1017","156","476","4","102","131","122","7","12","7","29.10.12"
"210139","73","Закарпатська область","клуб, зала
вул.Першотравнева, 58, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","768","312","765","7","449","7","456","","0","449","7","456","12","444","95","308","1","3","13","21","1","2","0","28.10.12"
"210140","73","Закарпатська область","Виноградівська районна лікарня, клуб, зала
вул.Лікарняна, 13, м.Виноградів, Виноградівський р-н, Закарпатська обл., 90300","204","31","175","116","59","114","173","","0","59","114","173","4","169","33","111","0","12","4","8","0","0","1","28.10.12"
"210184","73","Закарпатська область","школа, спортивна зала
вул.Центральна, 26, с.Імстичово, Іршавський р-н, Закарпатська обл., 90134","1908","1036","1898","32","842","30","872","","0","842","30","872","44","828","402","267","10","15","50","69","2","6","7","29.10.12"
"210191","73","Закарпатська область","сільський клуб, танцювальна зала
32Б, с.Заболотне, Іршавський р-н, Закарпатська обл., 90143","594","277","584","18","299","18","317","","0","299","18","317","4","313","122","164","3","6","5","12","0","1","0","28.10.12"
"210196","73","Закарпатська область","школа, актова зала
вул.Шкільна, 1, с.Вільхівка, Іршавський р-н, Закарпатська обл., 90141","1410","862","1403","50","505","43","548","","0","505","43","548","18","530","343","98","3","5","25","31","4","1","20","29.10.12"
"210197","73","Закарпатська область","школа, спортивна зала
вул.Центральна, 32А, с.Нижнє Болотне, Іршавський р-н, Закарпатська обл., 90142","948","484","947","22","447","17","464","","0","447","17","464","14","450","315","48","8","12","22","33","0","2","10","28.10.12"
"210213","73","Закарпатська область","сільська рада, актова зала
вул.Центральна, 75, с.Брід, Іршавський р-н, Закарпатська обл., 90115","1776","901","1761","32","843","32","875","","0","843","32","875","38","837","409","342","6","5","41","21","2","3","8","29.10.12"
"210214","73","Закарпатська область","сільський клуб, зала
вул.Гагаріна, сільський клуб, с.Дешковиця, Іршавський р-н, Закарпатська обл., 90115","540","234","533","35","271","35","306","","0","271","35","306","10","296","192","69","1","4","9","16","0","2","3","28.10.12"
"210215","73","Закарпатська область","школа, їдальня
208А, с.Лоза, Іршавський р-н, Закарпатська обл., 90104","960","394","955","12","555","11","566","","0","555","11","566","23","543","311","126","0","6","27","35","1","2","35","28.10.12"
"210216","73","Закарпатська область","школа, актова зала
вул.60-річчя Жовтня, 110, с.Сільце, Іршавський р-н, Закарпатська обл., 90124","2352","1071","2332","108","1174","107","1281","","0","1174","107","1281","28","1253","1070","41","4","4","46","52","3","4","29","28.10.12"
"210217","73","Закарпатська область","школа, спортивна зала
вул.Комсомольська, 51, с.Заріччя, Іршавський р-н, Закарпатська обл., 90123","1500","682","1485","29","789","29","818","","0","789","29","818","31","787","401","33","7","10","133","180","2","0","21","29.10.12"
"210218","73","Закарпатська область","школа, актова зала
вул.Комсомольська, 51, с.Заріччя, Іршавський р-н, Закарпатська обл., 90123","1470","678","1459","21","771","21","792","","0","771","21","792","30","762","368","49","1","19","114","180","7","1","23","28.10.12"
"210219","73","Закарпатська область","сільська рада, зала засідань
вул.Колгоспна, 1, с.Кам’янське, Іршавський р-н, Закарпатська обл., 90125","1116","607","1103","12","503","6","509","","0","503","6","509","23","486","234","161","5","11","32","26","8","2","7","29.10.12"
"210220","73","Закарпатська область","сільський клуб, глядацька зала
58, с.Богаревиця, Іршавський р-н, Закарпатська обл., 90125","378","151","377","14","213","14","227","","0","213","14","227","11","216","78","98","0","8","5","22","0","4","1","28.10.12"
"210221","73","Закарпатська область","школа, актова зала
29, с.Воловиця, Іршавський р-н, Закарпатська обл., 90126","168","71","166","8","89","8","97","","0","89","8","97","6","91","36","37","1","2","7","7","1","0","0","28.10.12"
"210222","73","Закарпатська область","дитячий садок, ігрова кімната
99, с.Хмільник, Іршавський р-н, Закарпатська обл., 90126","636","270","629","20","348","18","366","","0","348","18","366","12","354","115","183","5","3","15","26","5","0","2","28.10.12"
"210664","73","Закарпатська область","школа №5, актова зала
вул.Есе Томаша, 1, м.Берегове, Закарпатська обл., 90202","1818","860","1716","25","938","20","958","","0","938","20","958","43","915","314","317","22","113","41","40","31","33","4","29.10.12"
"210665","73","Закарпатська область","школа-інтернат, актова зала
вул.Гагарина, 3, м.Берегове, Закарпатська обл., 90202","2310","985","2403","40","1291","34","1325","","0","1291","34","1325","29","1296","538","367","37","138","57","63","44","45","7","29.10.12"
"210666","73","Закарпатська область","школа №6, спортивна зала
вул.Шевченка, 25, м.Берегове, Закарпатська обл., 90202","1314","602","1305","10","706","6","712","","0","706","6","712","20","692","240","218","29","83","29","43","23","24","3","29.10.12"
"210667","73","Закарпатська область","школа №10, спортивна зала
вул.Еккел Дєрдя, 3, м.Берегове, Закарпатска обл., 90202","2358","1129","2389","34","1203","26","1229","","0","1203","26","1229","64","1165","288","499","47","193","42","46","28","19","3","29.10.12"
"210668","73","Закарпатська область","школа №4, актова зала
вул.Богдана Хмельницького, 18, м.Берегове, Закарпатська обл., 90202","1260","565","1270","16","686","9","695","","0","686","9","695","27","668","215","315","13","64","23","23","9","4","2","29.10.12"
"210669","73","Закарпатська область","будинок культури, фойє
пл.Кошута, 1, м.Берегове, Закарпатська обл., 90202","2322","1115","2347","43","1178","29","1207","","0","1178","29","1207","53","1154","359","446","40","144","37","61","31","33","3","29.10.12"
"210670","73","Закарпатська область","школа мистецтв, актова зала
вул.Мукачівська, 26, м.Берегове, Закарпатська обл., 90202","2112","1042","2090","25","1054","16","1070","","0","1054","16","1070","33","1037","346","412","34","89","40","57","32","24","3","29.10.12"
"210671","73","Закарпатська область","дитячий садок №10, актова зала
вул.Суворова, 10, м.Берегове, Закарпатська обл., 90202","1482","653","1486","10","822","7","829","","0","822","7","829","34","795","283","329","26","76","19","32","15","12","3","29.10.12"
"210672","73","Закарпатська область","школа №3, спортивна зала
пров.Шкільний, 1, м.Берегове, Закарпатска обл., 90202","2160","878","2163","15","1268","14","1282","","0","1268","14","1282","51","1231","562","411","21","84","35","68","24","22","4","29.10.12"
"210673","73","Закарпатська область","школа №9, їдальня
вул.Петефі, 30, м.Берегове, Закарпатска обл., 90202","1086","523","1097","4","560","3","563","","0","560","3","563","27","536","163","243","7","95","9","9","8","2","0","29.10.12"
"210674","73","Закарпатська область","школа-садок, кімната класна
вул.Чернишевського, 1, м.Берегове, Закарпатська обл., 90202","408","118","397","11","279","11","290","","0","279","11","290","7","283","128","119","3","7","5","10","4","5","2","28.10.12"
"210675","73","Закарпатська область","школа №7, їдальня
вул.Рожошкерт, 130, м.Берегове, Закарпатська обл., 90202","1038","565","1049","5","470","3","473","","0","470","3","473","116","357","137","176","10","13","3","5","3","6","4","29.10.12"
"210676","73","Закарпатська область","Берегівська центральна районна лікарня, актова зала
вул.Ліннера, 2, м.Берегове, Закарпатська обл., 90202","324","127","202","85","115","82","197","","0","115","82","197","19","178","63","59","5","35","3","9","1","2","1","28.10.12"
