"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Жеваго
Костянтин
Валентинович","Капустян
Ганна
Тимофіївна","Кафізов
Денис
Валерійович","Колісник
Юрій
Олексійович","Мітіна
Ірина
Валентинівна","Панасенко
Іван
Якимович","Савицька
Оксана
Анатоліївна","Сичевський
Анатолій
Павлович","Дата підписання протоколу"
"530089","150","Полтавська область","школа №5, фойє
вул.Г.Краснодону, 2А, м.Глобине, Глобинський р-н, Полтавська обл., 39000","1792","869","1790","30","897","26","923","","0","897","26","923","25","898","539","106","15","30","16","42","142","8","29.10.12"
"530090","150","Полтавська область","приміщення райспоживспілки, актовий зал
вул.К.Маркса, 186, м.Глобине, Глобинський р-н, Полтавська обл., 39000","1640","826","1638","69","753","61","814","","0","753","61","814","26","788","480","82","10","30","15","54","110","7","28.10.12"
"530091","150","Полтавська область","школа №4, фойє
вул.Леніна, 82, м.Глобине, Глобинський р-н, Полтавська обл., 39000","2008","860","2006","52","1101","47","1148","","0","1101","47","1148","21","1127","740","143","10","45","14","40","133","2","29.10.12"
"530092","150","Полтавська область","гімназія №1, хореографічний клас
вул.Леніна, 240, м.Глобине, Глобинський р-н, Полтавська обл., 39000","2336","983","2308","68","1289","64","1353","","0","1289","64","1353","16","1337","960","182","7","42","11","35","93","7","29.10.12"
"530093","150","Полтавська область","школа №3, фойє
вул.Гагаріна, 16, м.Глобине, Глобинський р-н, Полтавська обл., 39000","1888","881","1885","41","968","39","1007","","0","968","39","1007","32","975","661","93","25","50","21","32","92","1","28.10.12"
"530094","150","Полтавська область","школа, фойє
вул.Шкільна, 3, с.Шепелівка, Глобинський р-н, Полтавська обл., 39007","408","148","401","12","249","11","260","","0","249","11","260","6","254","142","27","6","11","10","13","43","2","28.10.12"
"530095","150","Полтавська область","школа, с.Новомосковське, фойє
пров.Шкільний, 4, с.Новомосковське, Глобинський р-н, Полтавська обл., 39008","488","238","483","5","246","4","250","","0","246","4","250","9","241","179","15","2","10","9","16","10","0","28.10.12"
"530096","150","Полтавська область","селищний будинок культури, фойє
вул.Комсомольська, 2/80, смт Градизьк, Глобинський р-н, Полтавська обл., 39070","1808","808","1802","70","936","64","1000","","0","936","64","1000","33","967","520","166","20","42","44","51","119","5","29.10.12"
"530097","150","Полтавська область","лікарня, актовий зал
вул.Гвардійська, 71А, смт Градизьк, Глобинський р-н, Полтавська обл., 39070","2224","1209","2197","87","938","77","1015","","0","938","77","1015","33","982","443","184","26","59","32","96","136","6","29.10.12"
"530098","150","Полтавська область","зональний будинок культури, фойє
вул.Київська, 48, смт Градизьк, Глобинський р-н, Полтавська обл., 39070","2432","1102","2430","89","1253","77","1330","","0","1253","77","1330","36","1294","629","236","19","62","39","111","188","10","29.10.12"
"530099","150","Полтавська область","школа, фойє
вул.Леніна, 41, с.Устимівка, Глобинський р-н, Полтавська обл., 39074","632","201","630","47","389","42","431","","0","389","42","431","10","421","165","73","3","31","4","92","48","5","28.10.12"
"530100","150","Полтавська область","школа, спортивний зал
вул.Леніна, 23, с.Бабичівка, Глобинський р-н, Полтавська обл., 39073","544","251","533","38","261","32","293","","0","261","32","293","8","285","148","64","4","18","5","22","21","3","28.10.12"
"530101","150","Полтавська область","сільський клуб, фойє
вул.Леніна, 13, с.Бориси, Глобинський р-н, Полтавська обл., 39046","392","121","385","27","246","25","271","","0","246","25","271","8","263","111","54","1","27","13","34","20","3","28.10.12"
"530102","150","Полтавська область","сільський будинок культури, фойє
вул.Гагаріна, 27, с.Броварки, Глобинський р-н, Полтавська обл., 39026","1224","385","1223","112","730","109","839","","0","730","109","839","33","806","507","49","17","57","17","36","110","13","29.10.12"
"530103","150","Полтавська область","сільський клуб, фойє
вул.Леніна, 35, с.Петрашівка, Глобинський р-н, Полтавська обл., 39026","256","77","254","16","163","16","179","","0","163","16","179","12","167","106","8","4","7","1","7","33","1","28.10.12"
"530104","150","Полтавська область","сільський клуб, актовий зал
вул.Жовтнева, 15, с.Кирияківка, Глобинський р-н, Полтавська обл., 39027","240","95","240","23","124","21","145","","0","124","21","145","0","145","77","6","2","5","5","9","40","1","28.10.12"
"530105","150","Полтавська область","сільський будинок культури, фойє
вул.Жовтнева, 28Б, с.Бугаївка, Глобинський р-н, Полтавська обл., 39023","1168","496","1165","62","624","48","672","","0","624","48","672","25","647","333","84","18","37","23","44","97","11","29.10.12"
"530106","150","Полтавська область","сільський будинок культури, фойє
вул.Б.Хмельницького, 1, с.Горби, Глобинський р-н, Полтавська обл., 39024","640","240","635","101","304","96","400","","0","304","96","400","9","391","270","49","5","15","8","18","23","3","28.10.12"
"530107","150","Полтавська область","сільський будинок культури, фойє
вул.Леніна, 39Б, с.Гриньки, Глобинський р-н, Полтавська обл., 39022","648","228","642","57","363","57","420","","0","363","57","420","10","410","288","27","4","10","6","39","32","4","28.10.12"
"530108","150","Полтавська область","контора товариства з обмеженою відповідальністю ""Лан-Агро"", актовий зал
вул.Пролетарська, 4, с.Жуки, Глобинський р-н, Полтавська обл., 39025","760","276","754","76","411","73","484","","0","411","73","484","14","470","314","47","10","14","9","22","51","3","29.10.12"
"530109","150","Полтавська область","адмінбудинок товариства з обмеженою відповідальністю ""Юнігрейн"", каб.1, 2
вул.Нагірна, 2, с.Заможне, Глобинський р-н, Полтавська обл., 39035","456","134","449","58","270","52","322","","0","270","52","322","11","311","175","47","4","24","7","32","17","5","28.10.12"
"530110","150","Полтавська область","сільський клуб, фойє
вул.Леніна, 45, с.Землянки, Глобинський р-н, Полтавська обл., 39013","424","144","415","28","252","28","280","","0","252","28","280","2","278","194","26","5","9","5","28","11","0","28.10.12"
"530111","150","Полтавська область","школа, каб.1
вул.Леніна, 9, с.Малинівка, Глобинський р-н, Полтавська обл., 39013","168","53","167","15","100","15","115","","0","100","15","115","4","111","66","9","2","9","4","16","3","2","28.10.12"
"530112","150","Полтавська область","сільський клуб, фойє
вул.Радянська, 22, с.Радалівка, Глобинський р-н, Полтавська обл., 39014","416","122","412","29","265","29","294","","0","265","29","294","2","292","195","26","6","21","5","18","20","1","28.10.12"
"530113","150","Полтавська область","Зубанівська школа, каб.1, 2
вул.Леніна, 28, с.Зубані, Глобинський р-н, Полтавська обл., 39010","368","104","359","31","234","30","264","","0","234","30","264","5","259","128","32","2","12","8","39","33","5","28.10.12"
"530114","150","Полтавська область","школа, каб.2
вул.Леніна, 36, с.Романівка, Глобинський р-н, Полтавська обл., 39011","280","67","276","27","186","27","213","","0","186","27","213","5","208","77","53","5","6","13","28","25","1","28.10.12"
"530115","150","Полтавська область","сільський будинок культури, фойє
вул.Леніна, 6, с.Іванове Селище, Глобинський р-н, Полтавська обл., 39012","552","166","545","46","340","46","386","","0","340","46","386","9","377","200","38","11","28","13","32","53","2","28.10.12"
"530116","150","Полтавська область","школа, спортивний зал
вул.Шкільна, 60, с.Весела Долина, Глобинський р-н, Полтавська обл., 39033","632","286","627","41","305","41","346","","0","305","41","346","12","334","185","43","11","14","6","35","37","3","28.10.12"
"530117","150","Полтавська область","зональний будинок культури, фойє
вул.Леніна, 22/141, с.Великі Кринки, Глобинський р-н, Полтавська обл., 39032","1416","593","1409","79","745","78","823","","0","745","78","823","17","806","420","134","7","30","22","126","59","8","29.10.12"
