"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бульба
Вячеслав
Свиридович","Ворона
Петро
Васильович","Домашенко
Тетяна
Михайлівна","Корнієнко
Сергій
Юрійович","Коряк
Василь
Васильович","Костюк
Віктор
Михайлович","Кравецький
Віктор
Миколайович","Пилипенко
Володимир
Пилипович","Сарана
Віктор
Володимирович","Сірик
Ігор
Володимирович","Чаповський
Олександр
Якович","Дата підписання протоколу"
"530846","148","Полтавська область","ТОВ ім.Шевченка, кімната засідань
вул.Леніна, 27, с.Дем’янівка, Семенівський р-н, Полтавська обл., 38223","342","120","339","16","208","14","222","","0","208","14","222","10","212","4","41","6","8","3","5","13","110","3","16","3","29.10.12"
"530847","148","Полтавська область","сільський будинок культури, зал
вул.Леніна, 40, с.Пузирі, Семенівський р-н, Полтавська обл., 38213","348","86","351","47","220","42","262","","0","220","42","262","6","256","0","60","2","3","6","1","25","141","1","15","2","29.10.12"
"530848","148","Полтавська область","сільський клуб, зал
вул.Перемоги, 1А, с.Бурбине, Семенівський р-н, Полтавська обл., 38213","138","35","134","8","95","8","103","","0","95","8","103","1","102","1","12","2","1","1","1","15","61","0","8","0","29.10.12"
"530849","148","Полтавська область","ПП ""Граніт-Агро"", кімната засідань
вул.Леніна, 48, с.Степанівка, Семенівський р-н, Полтавська обл., 38261","612","155","603","82","375","82","457","","0","375","82","457","6","451","4","102","8","10","11","7","85","208","2","13","1","29.10.12"
"530850","148","Полтавська область","школа, фойє
вул.Кравченка, 79, с.Товсте, Семенівський р-н, Полтавська обл., 38233","210","60","205","28","122","28","150","","0","122","28","150","5","145","1","22","2","2","1","3","6","93","2","10","3","29.10.12"
"530851","148","Полтавська область","фельдшерсько-акушерський пункт, оглядовий кабінет
вул.Братів Шестопал, 27, с.Греблі, Семенівський р-н, Полтавська обл., 38233","198","55","192","26","118","25","143","","0","118","25","143","1","142","0","20","6","2","0","0","7","98","0","9","0","29.10.12"
"530852","148","Полтавська область","сільський клуб, зал
вул.70-річчя Жовтня, 1, с.Новоселиця, Семенівський р-н, Полтавська обл., 38234","294","99","294","30","168","27","195","","0","168","27","195","0","195","3","23","3","1","2","3","40","102","5","11","2","29.10.12"
"530853","148","Полтавська область","сільська рада, кімната засідань
вул.Шевченка, 20, с.Устимівка, Семенівський р-н, Полтавська обл., 38271","504","183","493","36","289","32","321","","0","289","32","321","13","308","5","40","6","6","6","4","28","194","3","14","2","29.10.12"
"530854","148","Полтавська область","школа, фойє
вул.Жовтневої Революції, 6, с.Вербки, Семенівський р-н, Полтавська обл., 38272","372","131","367","17","224","17","241","","0","224","17","241","10","231","3","17","5","3","4","4","33","145","2","15","0","29.10.12"
"530855","148","Полтавська область","сільський клуб, зал
вул.Леніна, 18, с.Герасимівка, Семенівський р-н, Полтавська обл., 38271","168","52","165","17","99","17","116","","0","99","17","116","3","113","1","10","1","3","4","1","17","67","2","6","1","29.10.12"
"530856","148","Полтавська область","сільський клуб, зал
вул.Шевченка, 2Б, с.Єгорівка, Семенівський р-н, Полтавська обл., 38216","258","103","253","6","149","6","155","","0","149","6","155","5","150","1","16","1","2","0","1","25","98","1","5","0","29.10.12"
"530857","148","Полтавська область","сільський клуб, зал
вул.Шевченка, 1Г, с.Чапаєвка, Семенівський р-н, Полтавська обл., 38216","162","52","155","6","104","6","110","","0","104","6","110","4","106","1","11","3","2","3","0","20","62","0","3","1","28.10.12"
"530858","148","Полтавська область","школа, спортивний зал
вул.Чкалова, 19, с.Худоліївка, Семенівський р-н, Полтавська обл., 38210","330","92","324","35","203","35","238","","0","203","35","238","14","224","1","48","1","4","13","11","38","95","1","11","1","29.10.12"
"530859","148","Полтавська область","районний будинок культури, фойє
вул.Чапаєва, 124, смт Семенівка, Семенівський р-н, Полтавська обл., 38200","1536","635","1512","32","881","20","901","","0","881","20","901","31","870","16","206","16","21","27","12","59","439","6","63","5","29.10.12"
"530860","148","Полтавська область","музична школа, актовий зал
вул.Жовтнева, 15, смт Семенівка, Семенівський р-н, Полтавська обл., 38200","2328","1035","2264","65","1240","53","1293","","0","1240","53","1293","50","1243","10","371","28","14","30","14","84","588","9","87","8","29.10.12"
"530861","148","Полтавська область","клуб цукрозаводу, фойє
вул.Ніколаєва, 2, смт Семенівка, Семенівський р-н, Полтавська обл., 38201","1842","780","1830","68","1001","61","1062","","0","1001","61","1062","38","1024","10","219","26","18","53","15","74","540","13","48","8","29.10.12"
"530862","148","Полтавська область","лікарня, хол гінекологічного відділення
вул.Шевченка, 78, смт Семенівка, Семенівський р-н, Полтавська обл., 38200","132","96","41","6","31","5","36","","0","31","5","36","0","36","0","4","1","0","3","0","7","19","1","1","0","29.10.12"
"530863","148","Полтавська область","школа №1, їдальня
вул.Карла Маркса, 110/3, м.Хорол, Хорольський р-н, Полтавська обл., 37800","1740","630","1727","120","995","115","1110","","0","995","115","1110","58","1052","8","346","18","14","81","21","43","417","22","72","10","29.10.12"
"530864","148","Полтавська область","гімназія, хол
вул.Леніна, 33, м.Хорол, Хорольський р-н, Полтавська обл., 37800","1890","837","1878","35","1024","29","1053","","0","1024","29","1053","63","990","6","319","17","23","85","12","50","415","17","43","3","29.10.12"
"530865","148","Полтавська область","школа №3, їдальня
вул.Фрунзе, 70, м.Хорол, Хорольський р-н, Полтавська обл., 37800","1980","857","1959","53","1074","49","1123","","0","1074","49","1123","47","1076","6","339","11","26","81","20","26","500","19","41","7","29.10.12"
"530866","148","Полтавська область","школа №4, майстерня
вул.Молодіжна, 7А, м.Хорол, Хорольський р-н, Полтавська обл., 37800","1326","568","1317","29","731","27","758","","0","731","27","758","40","718","1","235","13","26","21","57","21","300","9","33","2","29.10.12"
"530867","148","Полтавська область","агропромисловий коледж, хол
вул.Леніна, 73, м.Хорол, Хорольський р-н, Полтавська обл., 37800","1938","866","1908","47","1031","41","1072","","0","1031","41","1072","35","1037","7","300","15","32","103","26","41","418","37","57","1","29.10.12"
"530868","148","Полтавська область","міжрегіональний центр, актовий зал
вул.Леніна, 38/1, м.Хорол, Хорольський р-н, Полтавська обл., 37800","1326","593","1308","11","722","11","733","","0","722","11","733","37","696","7","235","10","21","62","18","37","249","13","42","2","29.10.12"
"530869","148","Полтавська область","райсількомунгосп, кімната засідань
вул.Жовтнева, 55, м.Хорол, Хорольський р-н, Полтавська обл., 37800","1158","537","1156","22","602","19","621","","0","602","19","621","24","597","3","160","6","9","70","15","16","267","14","34","3","29.10.12"
"530870","148","Полтавська область","школа, хол
вул.Шевченка, 6, с.Андріївка, Хорольський р-н, Полтавська обл., 37850","618","253","607","58","314","51","365","","0","314","51","365","14","351","3","60","9","10","17","7","18","195","2","26","4","28.10.12"
"530871","148","Полтавська область","тракторна бригада, зал засідань
вул.Степова, 27, с.В’язівок, Хорольський р-н, Полтавська обл., 37851","234","62","228","32","140","32","172","","0","140","32","172","9","163","1","47","0","5","2","3","14","86","0","4","1","29.10.12"
"530872","148","Полтавська область","будинок культури, зал
вул.Леніна, 35, с.Козубівка, Хорольський р-н, Полтавська обл., 37852","348","94","343","29","225","29","254","","0","225","29","254","12","242","1","49","3","5","5","6","12","150","2","9","0","29.10.12"
"530873","148","Полтавська область","сільська рада, зал засідань
вул.Жовтнева, 46, с.Березняки, Хорольський р-н, Полтавська обл., 37811","576","172","565","62","345","59","404","","0","345","59","404","5","399","6","87","8","14","7","11","24","232","2","5","3","29.10.12"
"530874","148","Полтавська область","будинок культури, фойє
вул.Шевченка, 8, с.Вишняки, Хорольський р-н, Полтавська обл., 37860","1626","596","1616","221","841","189","1030","","0","841","189","1030","32","998","4","283","13","8","117","40","33","463","6","26","5","29.10.12"
"530875","148","Полтавська область","сільський клуб, зал
вул.Гагаріна, 10, с.Вербине, Хорольський р-н, Полтавська обл., 37863","102","26","98","5","71","5","76","","0","71","5","76","1","75","0","12","1","0","4","1","16","38","0","3","0","28.10.12"
"530876","148","Полтавська область","фельдшерсько-акушерський пункт, приймальна
вул.Садова, 3, с.Демина Балка, Хорольський р-н, Полтавська обл., 37860","102","20","107","8","74","8","82","","0","74","8","82","3","79","1","7","0","1","4","2","10","53","0","0","1","29.10.12"
"530877","148","Полтавська область","сільський клуб, зал
вул.Широка, 27, с.Костюки, Хорольський р-н, Полтавська обл., 37860","138","31","137","13","94","13","107","","0","94","13","107","2","105","1","18","1","1","4","22","8","41","5","3","1","28.10.12"
"530878","148","Полтавська область","школа, актовий зал
вул.Шевченка, 63, с.Грушине, Хорольський р-н, Полтавська обл., 37841","336","98","329","33","207","31","238","","0","207","31","238","2","236","2","24","1","5","1","0","13","176","5","9","0","29.10.12"
"530879","148","Полтавська область","сільська рада, зал засідань
вул.Перемоги, 8, с.Клепачі, Хорольський р-н, Полтавська обл., 37821","756","312","746","63","382","62","444","","0","382","62","444","13","431","2","107","6","2","29","15","18","233","7","10","2","29.10.12"
"530880","148","Полтавська область","школа, кабінет математики
вул.Жовтнева, 6, с.Вергуни, Хорольський р-н, Полтавська обл., 37873","408","146","398","55","207","55","262","","0","207","55","262","7","255","2","36","1","6","24","6","12","154","5","0","9","29.10.12"
"530881","148","Полтавська область","сільська рада, зал засідань
вул.Жовтнева, 68, с.Ковалі, Хорольський р-н, Полтавська обл., 37840","582","171","575","74","343","68","411","","0","343","68","411","18","393","5","99","7","7","6","9","38","207","2","12","1","28.10.12"
"530882","148","Полтавська область","школа, кл.2
вул.Боровиковського, 4, с.Мелюшки, Хорольський р-н, Полтавська обл., 37840","288","75","287","35","179","34","213","","0","179","34","213","8","205","1","35","3","5","2","7","12","122","0","17","1","29.10.12"
"530883","148","Полтавська область","будинок культури, зал
вул.Леніна, 76, с.Мусіївка, Хорольський р-н, Полтавська обл., 37830","792","285","778","107","415","92","507","","0","415","92","507","17","490","4","114","4","11","14","1","51","263","14","12","2","29.10.12"
"530884","148","Полтавська область","будинок культури, зал
вул.Кірова, 13, с.Новачиха, Хорольський р-н, Полтавська обл., 37820","480","148","479","73","261","71","332","","0","261","71","332","10","322","2","41","2","6","3","4","29","190","9","36","0","29.10.12"
"530885","148","Полтавська область","сільська рада, зал засідань
вул.Леніна, 1, с.Новоаврамівка, Хорольський р-н, Полтавська обл., 37842","798","266","790","62","473","59","532","","0","473","59","532","11","521","6","86","9","14","31","10","19","324","5","14","3","29.10.12"
"530886","148","Полтавська область","будинок культури, зал
вул.Першотравнева, 55, с.Попівка, Хорольський р-н, Полтавська обл., 37843","474","136","464","63","279","59","338","","0","279","59","338","3","335","0","78","7","4","11","1","13","205","2","14","0","28.10.12"
"530887","148","Полтавська область","навчально-виховний комплекс, фойє
вул.Нова, 3, с.Петракіївка, Хорольський р-н, Полтавська обл., 37805","306","69","304","26","212","25","237","","0","212","25","237","1","236","1","34","7","3","56","3","10","90","6","25","1","29.10.12"
"530888","148","Полтавська область","бібліотека, фойє
вул.Гагаріна, 29/2, с.Куторжиха, Хорольський р-н, Полтавська обл., 37805","180","45","175","25","111","24","135","","0","111","24","135","3","132","3","11","2","4","13","3","9","76","2","9","0","29.10.12"
"530889","148","Полтавська область","будинок культури, зал
вул.Комарова, 68, с.Хвощівка, Хорольський р-н, Полтавська обл., 37874","360","98","348","37","226","36","262","","0","226","36","262","9","253","3","76","2","3","24","4","7","123","4","7","0","29.10.12"
"530890","148","Полтавська область","навчально-виховний комплекс, актовий зал
вул.Вокзальна, 4, с.Петрівка, Хорольський р-н, Полтавська обл., 37853","456","164","444","20","272","20","292","","0","272","20","292","11","281","5","39","3","3","10","4","25","160","1","30","1","29.10.12"
"530891","148","Полтавська область","сільський клуб, зал
вул.Леніна, 43, с.Єньки, Хорольський р-н, Полтавська обл., 37853","390","119","388","40","233","38","271","","0","233","38","271","7","264","6","30","5","12","6","2","19","164","1","18","1","29.10.12"
"530892","148","Полтавська область","школа, зал
вул.Леніна, 19, с.Покровська-Багачка, Хорольський р-н, Полтавська обл., 37812","1080","376","1060","133","576","128","704","","0","576","128","704","16","688","3","93","7","6","42","5","27","469","8","25","3","28.10.12"
"530893","148","Полтавська область","фельдшерсько-акушерський пункт, приймальна
вул.Леніна, 14, с.Староаврамівка, Хорольський р-н, Полтавська обл., 37823","396","147","390","35","214","35","249","","0","214","35","249","5","244","3","71","7","3","5","4","7","138","1","4","1","29.10.12"
"530894","148","Полтавська область","сільський клуб, зал
вул.Гагаріна, 18, с.Бутівці, Хорольський р-н, Полтавська обл., 37823","366","116","357","27","224","26","250","","0","224","26","250","13","237","2","51","2","4","2","4","18","132","8","11","3","28.10.12"
"530895","148","Полтавська область","сільський клуб, фойє
вул.Радянська, 7, с.Стайки, Хорольський р-н, Полтавська обл., 37823","102","23","104","11","69","10","79","","0","69","10","79","2","77","0","11","3","1","1","1","10","49","0","1","0","29.10.12"
"530896","148","Полтавська область","школа, зал
вул.Незалежності, 3, с.Ульянівка, Хорольський р-н, Полтавська обл., 37823","234","69","228","31","135","30","165","","0","135","30","165","7","158","2","28","6","2","7","4","14","83","1","10","1","29.10.12"
"530897","148","Полтавська область","сільський клуб, фойє
вул.Шевченка, 20, с.Пристань, Хорольський р-н, Полтавська обл., 37800","288","123","277","39","129","36","165","","0","129","36","165","4","161","2","32","3","2","6","1","10","95","2","6","2","29.10.12"
"530898","148","Полтавська область","будинок культури, фойє
вул.Центральна, 37, с.Тарасівка, Хорольський р-н, Полтавська обл., 37810","450","142","443","36","273","35","308","","0","273","35","308","10","298","0","68","2","9","24","11","18","156","2","6","2","29.10.12"
"530899","148","Полтавська область","сільський клуб, зал
вул.Центральна, 34, с.Єрківці, Хорольський р-н, Полтавська обл., 37810","174","42","175","16","117","15","132","","0","117","15","132","6","126","0","16","2","5","8","3","7","73","2","9","1","29.10.12"
"530900","148","Полтавська область","школа, актовий зал
вул.Єршова, 77, с.Трубайці, Хорольський р-н, Полтавська обл., 37861","558","168","553","87","305","85","390","","0","305","85","390","6","384","0","95","3","3","29","5","15","228","2","4","0","28.10.12"
"530901","148","Полтавська область","сільський клуб, зал
вул.Шевченка, 21, с.Бовбасівка, Хорольський р-н, Полтавська обл., 37861","198","48","201","21","131","19","150","","0","131","19","150","6","144","0","20","4","3","0","4","15","92","0","4","2","28.10.12"
"530902","148","Полтавська область","будинок культури, фойє
вул.Шевченка, 47, с.Хильківка, Хорольський р-н, Полтавська обл., 37831","462","128","456","45","289","45","334","","0","289","45","334","8","326","2","62","6","9","28","17","25","147","4","25","1","29.10.12"
"530903","148","Полтавська область","будинок культури, зал
вул.Шевченка, 30, с.Шишаки, Хорольський р-н, Полтавська обл., 37822","630","192","626","100","340","98","438","","0","340","98","438","15","423","3","81","8","8","29","13","15","245","3","18","0","28.10.12"
"530904","148","Полтавська область","фельдшерсько-акушерський пункт, приймальна
вул.Першотравнева, 12, с.Павлівка, Хорольський р-н, Полтавська обл., 37822","204","32","196","26","146","26","172","","0","146","26","172","9","163","0","28","1","3","4","3","1","119","0","4","0","28.10.12"
"530905","148","Полтавська область","школа, хол
вул.Центральна, 38, с.Штомпелівка, Хорольський р-н, Полтавська обл., 37832","1026","422","1013","52","553","51","604","","0","553","51","604","19","585","5","193","6","26","24","18","53","221","5","30","4","28.10.12"
"530906","148","Полтавська область","сільський клуб, зал
вул.Центральна, 15Б, с.Ковтуни, Хорольський р-н, Полтавська обл., 37832","228","87","230","29","116","25","141","","0","116","25","141","4","137","0","27","2","4","5","3","12","75","2","6","1","28.10.12"
"530907","148","Полтавська область","сільський клуб, зал
вул.Молодіжна, 10А, с.Наталівка, Хорольський р-н, Полтавська обл., 37832","126","33","125","10","83","10","93","","0","83","10","93","7","86","0","11","1","3","3","2","25","38","2","1","0","28.10.12"
"530908","148","Полтавська область","школа, зал
вул.Центральна, 126, с.Ялосовецьке, Хорольський р-н, Полтавська обл., 37862","516","127","512","48","341","48","389","","0","341","48","389","15","374","0","51","2","4","113","1","15","180","2","5","1","29.10.12"
"530909","148","Полтавська область","сільський клуб, зал
вул.8 Березня, 14Г, с.Бригадирівка, Хорольський р-н, Полтавська обл., 37871","336","110","334","31","200","26","226","","0","200","26","226","3","223","1","8","2","4","126","1","4","74","0","3","0","28.10.12"
"530910","148","Полтавська область","тракторна бригада, зал засідань
вул.Гурова, 1, с.Кривці, Хорольський р-н, Полтавська обл., 37864","258","88","251","16","158","12","170","","0","158","12","170","5","165","3","29","2","6","35","0","13","69","2","4","2","29.10.12"
"530911","148","Полтавська область","сільський клуб, зал
вул.Молодіжна, 14А, с.Орликівщина, Хорольський р-н, Полтавська обл., 37863","174","72","172","17","87","15","102","","0","87","15","102","11","91","2","13","3","3","7","1","10","49","1","1","1","28.10.12"
"530912","148","Полтавська область","школа, актовий зал
вул.Фрунзе, 114, с.Новоіванівка, Хорольський р-н, Полтавська обл., 37863","450","145","445","80","235","70","305","","0","235","70","305","10","295","0","26","1","6","91","4","7","150","3","7","0","29.10.12"
"531002","148","Полтавська область","лісотехнічний коледж, мала актова зала
вул.Тернівська, 21, м.Лубни, Полтавська обл., 37500","2082","854","2083","32","1198","30","1228","","0","1198","30","1228","37","1191","6","304","23","93","118","44","105","425","7","62","4","29.10.12"
"531003","148","Полтавська область","школа №4, спортзал
вул.Льва Толстого, 72, м.Лубни, Полтавська обл., 37500","1956","749","1942","59","1151","56","1207","","0","1151","56","1207","33","1173","4","250","17","47","103","25","121","492","7","102","5","29.10.12"
"531004","148","Полтавська область","автотранспортне прідприємство №15355, зала засідань
вул.Драгоманова, 33, м.Лубни, Полтавська обл., 37500","2016","823","1997","21","1172","21","1193","","0","1172","21","1193","42","1151","4","296","13","42","118","20","92","467","7","89","3","29.10.12"
"531005","148","Полтавська область","школа №10, фойє
вул.Генерала Ляскіна, 2, м.Лубни, Полтавська обл., 37500","1986","813","1982","32","1148","25","1173","","0","1148","25","1173","41","1132","4","284","14","53","88","37","107","440","7","97","1","29.10.12"
"531006","148","Полтавська область","фінансово-економічний коледж, читальна зала
вул.Ярослава Мудрого, 23/1, м.Лубни, Полтавська обл., 37500","1944","760","1952","42","1149","35","1184","","0","1149","35","1184","38","1146","12","273","15","61","112","25","94","450","15","83","6","29.10.12"
"531007","148","Полтавська область","кінотеатр ""Київська Русь"", фойє
вул.Радянська, 16, м.Лубни, Полтавська обл., 37500","2004","894","1975","53","1067","43","1110","","0","1067","43","1110","40","1070","3","208","15","46","76","27","92","522","8","71","2","29.10.12"
"531008","148","Полтавська область","професійний ліцей, спортзал
вул.Монастирська, 3, м.Лубни, Полтавська обл., 37500","2100","908","2081","30","1163","29","1192","","0","1163","29","1192","34","1158","7","255","20","69","117","36","85","476","23","65","5","29.10.12"
"531009","148","Полтавська область","Лубенське комунальне підприємство фірма ""Житло"", фойє
вул.Радянська, 99, м.Лубни, Полтавська обл., 37500","1902","819","1884","26","1060","23","1083","","0","1060","23","1083","42","1041","2","218","15","122","32","76","26","445","13","87","5","29.10.12"
"531010","148","Полтавська область","Лубнитеплоенерго, зала прийому громадян
вул.Чкалова Валерія, 17, м.Лубни, Полтавська обл., 37500","1980","772","1969","28","1186","22","1208","","0","1186","22","1208","56","1152","3","297","25","45","103","45","117","413","10","87","7","29.10.12"
"531011","148","Полтавська область","школа №6, спортзал
вул.Монастирська, 36, м.Лубни, Полтавська обл., 37500","2022","826","2017","60","1144","52","1196","","0","1144","52","1196","49","1147","6","252","15","61","79","40","122","491","7","61","13","29.10.12"
"531012","148","Полтавська область","міський будинок культури, фойє
пров.Червоноармійської, 17, м.Лубни, Полтавська обл., 37500","1956","822","1936","36","1102","32","1134","","0","1102","32","1134","37","1097","4","195","9","48","68","28","153","474","10","93","15","29.10.12"
"531013","148","Полтавська область","школа №2, фойє
вул.Радянська, 62/1, м.Лубни, Полтавська обл., 37500","1992","827","1986","46","1126","39","1165","","0","1126","39","1165","30","1135","2","250","21","70","107","32","79","479","14","76","5","29.10.12"
"531014","148","Полтавська область","міжгалузеве підприємство промислового залізничного транспорту, актова зала
вул.Метеорологічна, 39, м.Лубни, Полтавська обл., 37500","1938","732","1922","71","1143","63","1206","","0","1143","63","1206","28","1178","4","242","16","47","203","37","59","491","10","63","6","28.10.12"
"531015","148","Полтавська область","ЗАТ Лубенський ремонтний завод, актова зала
вул.Радянська, 167, м.Лубни, Полтавська обл., 37500","1980","933","1967","31","1018","29","1047","","0","1018","29","1047","41","1006","5","266","9","36","128","38","51","428","13","29","3","29.10.12"
"531016","148","Полтавська область","міський комітет товариства сприяння оборони України, фойє
вул.Радянська, 159, м.Лубни, Полтавська обл., 37500","1926","860","1917","22","1048","18","1066","","0","1048","18","1066","34","1032","7","251","14","43","114","55","70","405","8","63","2","29.10.12"
"531017","148","Полтавська область","школа №8, актовий зал
вул.Радянська, 104/1, м.Лубни, Полтавська обл., 37500","2268","1090","2247","18","1161","17","1178","","0","1161","17","1178","22","1155","8","301","22","54","111","107","66","430","9","36","11","29.10.12"
"531018","148","Полтавська область","школа №7, спортзал
вул.Петра Слинька, 40, м.Лубни, Полтавська обл., 37500","2412","1086","2404","13","1313","13","1326","","0","1313","13","1326","52","1274","3","319","15","64","139","78","114","444","10","73","15","29.10.12"
"531019","148","Полтавська область","школа №3, фойє
вул.Петра Слинька, 8/2, м.Лубни, Полтавська обл., 37500","1926","773","1910","33","1126","27","1153","","0","1126","27","1153","43","1110","5","276","20","73","118","51","54","452","12","43","6","29.10.12"
"531020","148","Полтавська область","районний будинок культури, фойє
вул.Гомона Антона, 15, м.Лубни, Полтавська обл., 37500","2088","938","2102","73","1087","63","1150","","0","1087","63","1150","32","1118","6","238","14","47","131","36","69","510","13","47","7","29.10.12"
"531021","148","Полтавська область","навчально-виховний коплекс №9, фойє
вул.Автомобільна, 4, м.Лубни, Полтавська обл., 37500","1356","573","1350","26","759","24","783","","0","759","24","783","21","762","7","175","18","33","101","42","50","301","6","26","3","29.10.12"
