"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Боровик
Костянтин
Олексійович","Боярський
Юрій
Миколайович","Бублик
Юрій
Васильович","Георгієвський
Андрій
Вячеславович","Дербеньов
Олександр
Володимирович","Лозовський
Борис
Євгенович","Макар
Володимир
Романович","Романюк
Петро
Васильович","Русін
Олександр
Миколайович","Савченко
Сергій
Сергійович","Сердюк
Віктор
Анатолійович","Філенко
Леонід
Олександрович","Дата підписання протоколу"
"531155","145","Полтавська область","Полтавський професійний ліцей сфери послуг, к.8, 2-й поверх
вул.Маршала Бірюзова, 26/1, м.Полтава, 36007","2340","1286","2337","25","1031","23","1054","","0","1031","23","1054","24","1030","14","22","339","93","19","155","329","7","28","5","8","11","28.10.12"
"531156","145","Полтавська область","школа №25, хол, 1-й поверх
вул.Шевченка, 119, м.Полтава, 36038","2124","951","2127","23","1152","21","1173","","0","1152","21","1173","40","1133","16","13","352","82","32","168","393","10","37","7","17","6","28.10.12"
"531157","145","Полтавська область","КП ""Полтавський м’ясокомбінат"", хол актової зали
вул.Харчовиків, 6, м.Полтава, 36000","1410","683","1417","11","717","10","727","","0","717","10","727","28","699","10","8","236","44","12","106","231","5","25","9","8","5","29.10.12"
"531158","145","Полтавська область","спортивний комплекс ""Зеніт"" ВАТ ""Полтавамаш"", спортивна зала
вул.Маршала Бірюзова, 27, м.Полтава, 36007","2148","1186","2125","15","952","10","962","","0","952","10","962","37","925","16","15","312","55","16","128","318","9","21","9","16","10","29.10.12"
"531159","145","Полтавська область","школа №38, хол
вул.Пушкіна, 74, м.Полтава, 36014","2424","986","2438","35","1403","35","1438","","0","1403","35","1438","44","1394","24","13","554","114","30","211","377","12","37","9","11","2","29.10.12"
"531160","145","Полтавська область","школа №38, хол
вул.Пушкіна, 74, м.Полтава, 36014","2202","1057","2164","41","1108","37","1145","","0","1108","37","1145","38","1107","15","14","378","107","23","217","300","6","29","6","10","2","29.10.12"
"531161","145","Полтавська область","Полтавський технікум харчових технологій, вестибюль, 2-й поверх
вул.Пушкіна, 56, м.Полтава, 36000","2286","1104","2285","25","1160","22","1182","","0","1160","22","1182","33","1149","23","9","455","75","17","169","325","9","41","7","15","4","29.10.12"
"531162","145","Полтавська область","спеціальна школа №39, актова зала
вул.Сінна, 30/80, м.Полтава, 36039","1968","840","1960","23","1112","16","1128","","0","1112","16","1128","38","1090","17","13","381","88","8","163","348","8","29","7","24","4","29.10.12"
"531163","145","Полтавська область","Полтавська обласна бібліотека для юнацтва ім.Олеся Гончара, хол
вул.Енгельса, 25, м.Полтава, 36039","2310","906","2303","18","1390","14","1404","","0","1390","14","1404","39","1365","35","13","481","116","33","221","374","9","47","10","18","8","29.10.12"
"531164","145","Полтавська область","школа №18, коридор
вул.Горького, 56, м.Полтава, 36000","2076","999","2034","26","1051","26","1077","","0","1051","26","1077","48","1029","21","18","421","55","11","142","301","4","25","7","17","7","29.10.12"
"531165","145","Полтавська область","Полтавське вище професійне училище ім.А.О. Чепіги, фойє
вул.Курчатова, 15, м.Полтава, 36034","2370","1113","2337","16","1244","13","1257","","0","1244","13","1257","47","1210","30","16","400","95","17","208","350","9","46","5","21","13","28.10.12"
"531166","145","Полтавська область","гімназія №32, фойє
вул.Курчатова, 8/9, м.Полтава, 36000","2304","982","2296","26","1299","23","1322","","0","1299","23","1322","36","1286","17","11","501","105","31","182","380","10","24","8","14","3","29.10.12"
"531167","145","Полтавська область","школа №11, танцювальний клас
вул.Маршала Бірюзова, 64, м.Полтава, 36000","2376","1138","2349","27","1215","23","1238","","0","1215","23","1238","45","1193","23","13","295","219","20","117","400","36","41","8","9","12","28.10.12"
"531168","145","Полтавська область","професійно-технічне училище №23, спортивна зала
вул.Маршала Бірюзова, 64А, м.Полтава, 36000","2376","1173","2364","25","1183","20","1203","","0","1183","20","1203","38","1165","20","14","347","111","21","147","404","13","36","12","18","22","29.10.12"
"531169","145","Полтавська область","професійно-технічне училище №23, хол, 1-й поверх
вул.Маршала Бірюзова, 64А, м.Полтава, 36000","2286","1171","2267","24","1092","23","1115","","0","1092","23","1115","34","1081","10","11","245","131","29","134","389","52","50","4","12","14","29.10.12"
"531170","145","Полтавська область","Госпрозрахункова житлово-експлуатаційна дільниця №7, актова зала, 2-й поверх
вул.Петра Юрченка, 11/2, м.Полтава, 36000","1548","883","1528","6","661","4","665","","0","661","4","665","30","634","7","10","161","77","6","94","191","37","30","5","8","8","29.10.12"
"531171","145","Полтавська область","ДП ""Продмашжитло"", хол
вул.Курчатова, 18, Полтава, 36034","2082","984","2061","17","1081","17","1098","","0","1081","17","1098","36","1062","21","14","381","76","21","156","325","6","25","8","11","18","02.11.12"
"531172","145","Полтавська область","Полтавська гімназія №30, фойє, 1-й поверх
вул.Курчатова, 16/12, м.Полтава, 36034","2202","982","2199","24","1202","18","1220","","0","1202","18","1220","45","1175","17","12","431","99","21","144","390","6","25","4","17","9","29.10.12"
"531173","145","Полтавська область","Полтавське вище професійне училище ім.А.О. Чепіги, фойє
вул.Курчатова, 15, м.Полтава, 36034","2208","1070","2174","25","1115","23","1138","","0","1115","23","1138","34","1104","17","24","377","85","25","138","353","9","44","6","13","13","29.10.12"
"531174","145","Полтавська область","бібліотека-філія №7, читальна зала
пров.Хорольський, 3, м.Полтава, 36000","2304","992","2284","39","1287","25","1312","","0","1287","25","1312","31","1281","23","16","524","73","28","199","359","5","27","8","11","8","02.11.12"
"531175","145","Полтавська область","НАК ""Надра України"" ДП ""Український геологічний науково-виробничий центр"", фойє
вул.Маршала Бірюзова, 53, м.Полтава, 36019","2424","1245","2403","22","1160","19","1179","","0","1160","19","1179","33","1146","26","22","386","93","27","197","309","17","31","10","12","16","29.10.12"
"531176","145","Полтавська область","школа №13, хол
вул.Кучеренка, 1/16, м.Полтава, 36000","2394","1018","2396","14","1362","14","1376","","0","1362","14","1376","42","1334","17","19","482","93","22","168","377","8","65","15","14","54","28.10.12"
"531177","145","Полтавська область","професійно-технічне училище №4, вестибюль
вул.Маршала Бірюзова, 90/14, м.Полтава, 36000","2460","1333","2448","21","1113","14","1127","","0","1113","14","1127","30","1097","21","19","359","71","17","185","355","4","25","11","10","20","29.10.12"
"531178","145","Полтавська область","школа №36, спортивна зала
вул.Агітаційна, 2, м.Полтава, 36000","2112","1052","2120","49","1012","48","1060","","0","1012","48","1060","24","1036","5","13","397","56","7","143","336","5","39","8","12","15","29.10.12"
"531179","145","Полтавська область","Полтавська 5-а міська клінічна лікарня, конференц зал
вул.Духова, 6, м.Полтава, 36029","156","132","26","5","19","5","24","","0","19","5","24","1","23","1","0","4","2","0","1","11","1","2","0","0","1","28.10.12"
"531180","145","Полтавська область","Полтавська обласна клінічна психіатрична лікарня ім.О.Ф. Мальцева, хол
вул.Медична, 1, м.Полтава, 36000","306","13","310","140","160","133","293","","0","160","133","293","18","275","13","13","60","18","11","38","86","10","8","10","3","5","28.10.12"
"531181","145","Полтавська область","Полтавський обласний наркологічний диспансер, конференц зал
пров.Шевченка, 5, м.Полтава, 36000","126","59","82","0","67","0","67","","0","67","0","67","1","66","5","4","13","5","3","10","12","1","8","1","3","1","28.10.12"
"531182","145","Полтавська область","Полтавський обласний психоневрологічний диспансер, ординаторська
вул.Зигіна, 3, м.Полтава, 36014","54","9","47","0","45","0","45","","0","45","0","45","3","42","1","3","7","3","4","4","11","2","5","1","0","1","28.10.12"
"531183","145","Полтавська область","Полтавська 1-а міська клінічна лікарня, кабінет фізіотерапії
вул.Енгельса, 27А, м.Полтава, 36038","156","103","58","40","14","39","53","","0","14","39","53","3","50","1","0","10","5","4","5","21","0","1","1","1","1","28.10.12"
"531184","145","Полтавська область","міський клінічний пологовий будинок м.Полтави, конференц зал
вул.Енгельса, 27В, м.Полтава, 36038","186","156","32","2","28","2","30","","0","28","2","30","0","30","1","0","5","3","1","5","9","1","3","0","1","1","28.10.12"
"531185","145","Полтавська область","сектор медичного забезпечення УМВС України в Полтавській області, терапевтичне відділення, 3-й пов.
вул.Артема, 64, м.Полтава, 36038","36","9","27","0","27","0","27","","0","27","0","27","1","26","4","1","3","5","1","6","2","0","3","1","0","0","28.10.12"
"531186","145","Полтавська область","Полтавський обласний клінічний шкірно-венерологічний диспансер, актова зала, 4-й поверх
вул.Енгельса, 12, м.Полтава, 36038","42","16","26","0","26","0","26","","0","26","0","26","2","24","1","2","4","2","0","5","6","0","3","0","1","0","28.10.12"
"531187","145","Полтавська область","Полтавський обласний клінічний протитуберкульозний диспансер, терапевтичне відділення, 1-й поверх
вул.Покровська, 48А, м.Полтава, 36000","216","100","128","2","114","2","116","","0","114","2","116","8","108","6","7","16","12","3","22","17","1","9","4","5","6","28.10.12"
