"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бульба
Степан
Степанович","Дмитренко
Григорій
Миколайович","Жуковець
Сергій
Павлович","Крат
Ірма
Миколаївна","Кривошей
Михайло
Михайлович","Кутовий
Тарас
Вікторович","Овчаренко
Людмила
Миколаївна","Полупан
Володимир
Артемович","Свиридюк
Роман
Володимирович","Туник
Іван
Семенович","Дата підписання протоколу"
"530720","151","Полтавська область","учбово-курсовий комбінат, актова зала
вул.Червоноармійська, 100, м.Пирятин, Пирятинський р-н, Полтавська обл., 37000","1470","708","1455","27","737","25","762","","0","737","25","762","36","726","36","24","15","4","53","316","273","1","3","1","29.10.12"
"530721","151","Полтавська область","товариство з обмеженою відповідальністю ""Пирятинагроконсерв"", холл
вул.Червоноармійська, 163, м.Пирятин, Пирятинський р-н, Полтавська обл., 37000","1936","931","1908","20","988","17","1005","","0","988","17","1005","37","968","35","19","16","4","75","406","400","2","8","3","29.10.12"
"530722","151","Полтавська область","школа №6, фойє
вул.Гагаріна, 84, м.Пирятин, Пирятинський р-н, Полтавська обл., 37000","2142","956","2099","78","1118","68","1186","","0","1118","68","1186","65","1121","46","44","39","4","113","464","387","6","13","5","29.10.12"
"530723","151","Полтавська область","школа, спортивний зал
вул.Тімірязєва, 5, с.Калинів Міст, Пирятинський р-н, Полтавська обл., 37000","708","327","686","45","340","41","381","","0","340","41","381","18","363","20","8","11","4","35","171","112","1","1","0","29.10.12"
"530913","151","Полтавська область","сільська рада, кімната засідань
вул.Мележика, 15, с.Білоусівка, Чорнухинський р-н, Полтавська обл., 37110","336","106","333","31","200","30","230","","0","200","30","230","7","223","12","28","5","0","51","49","73","1","0","4","28.10.12"
"530914","151","Полтавська область","школа, хол
вул.Л.Українки, 1, с.Богодарівка, Чорнухинський р-н, Полтавська обл., 37111","324","96","316","38","193","35","228","","0","193","35","228","3","225","4","22","2","4","70","53","69","0","0","1","28.10.12"
"530915","151","Полтавська область","школа, приміщення для засідань
вул.Перелета, 1, с.Вороньки, Чорнухинський р-н, Полтавська обл., 37140","828","295","821","69","467","66","533","","0","467","66","533","15","518","15","90","6","3","54","154","186","3","4","3","28.10.12"
"530916","151","Полтавська область","сільський клуб, зал
вул.Перемоги, 8, с.Красне, Чорнухинський р-н, Полтавська обл., 37141","204","56","200","21","127","21","148","","0","127","21","148","5","143","3","14","5","5","18","67","27","2","0","2","28.10.12"
"530917","151","Полтавська область","школа, приміщення для засідань
вул.Тупікова, 25, с.Пізники, Чорнухинський р-н, Полтавська обл., 37141","294","75","293","35","184","35","219","","0","184","35","219","7","212","0","20","1","1","27","77","85","0","1","0","29.10.12"
"530918","151","Полтавська область","сільський клуб, зал
вул.Чорнухинська, 7, с.Гільці, Чорнухинський р-н, Полтавська обл., 37112","684","245","682","49","394","45","439","","0","394","45","439","14","425","5","55","7","4","54","116","180","1","1","2","28.10.12"
"530919","151","Полтавська область","школа, хол
вул.Центральна, 2, с.Галяве, Чорнухинський р-н, Полтавська обл., 37132","360","105","366","8","247","8","255","","0","247","8","255","7","248","7","49","4","2","21","93","71","0","1","0","29.10.12"
"530920","151","Полтавська область","школа, хол
пров.Шкільний, 1, с.Кізлівка, Чорнухинський р-н, Полтавська обл., 37130","612","226","608","8","378","8","386","","0","378","8","386","12","374","3","60","4","1","42","122","139","0","2","1","29.10.12"
"530921","151","Полтавська область","сільський клуб, зал
вул.Колядівка, 47, с.Ковалі, Чорнухинський р-н, Полтавська обл., 37131","636","244","617","51","341","51","392","","0","341","51","392","12","380","3","55","7","0","39","144","130","0","1","1","28.10.12"
"530922","151","Полтавська область","сільський клуб, зал
вул.Центральна, 112, с.Курінька, Чорнухинський р-н, Полтавська обл., 37124","348","91","345","34","225","32","257","","0","225","32","257","4","253","12","15","3","1","67","124","28","1","1","1","29.10.12"
"530923","151","Полтавська область","сільська рада, кімната засідань
вул.Золота, 43, с.Луговики, Чорнухинський р-н, Полтавська обл., 37122","426","157","418","47","226","43","269","","0","226","43","269","4","265","7","35","8","1","31","55","126","0","1","1","28.10.12"
"530924","151","Полтавська область","школа, хол
вул.Леніна, 15, с.Городище, Чорнухинський р-н, Полтавська обл., 37144","288","88","280","37","164","36","200","","0","164","36","200","13","187","11","32","5","3","25","51","59","0","1","0","28.10.12"
"530925","151","Полтавська область","навчально-виховний комплекс, спортзал
вул.Охріменка, 72, с.Мелехи, Чорнухинський р-н, Полтавська обл., 37142","522","157","518","57","308","57","365","","0","308","57","365","10","355","15","34","5","2","37","136","121","1","2","2","28.10.12"
"530926","151","Полтавська область","сільська школа, хол
вул.Леніна, 8, с.Мокіївка, Чорнухинський р-н, Полтавська обл., 37120","534","178","527","39","319","37","356","","0","319","37","356","12","344","12","41","6","1","41","161","78","0","3","1","29.10.12"
"530927","151","Полтавська область","сільський клуб, зал
вул.Підгірська, 21А, с.Постав-Мука, Чорнухинський р-н, Полтавська обл., 37133","318","80","316","69","173","65","238","","0","173","65","238","6","232","5","21","0","2","40","101","62","1","0","0","28.10.12"
"530928","151","Полтавська область","сільський клуб, зал
вул.Садова, 18А, с.Сухоносівка, Чорнухинський р-н, Полтавська обл., 37134","228","65","227","54","114","49","163","","0","114","49","163","3","160","3","14","4","1","16","58","63","1","0","0","28.10.12"
"530929","151","Полтавська область","школа, спортзал
вул.Сковороди, 58, с.Харсіки, Чорнухинський р-н, Полтавська обл., 37103","822","375","809","23","425","22","447","","0","425","22","447","8","439","8","104","4","1","54","138","129","1","0","0","29.10.12"
"530930","151","Полтавська область","школа, хол
вул.Галушки, 4, с.Хейлівщина, Чорнухинський р-н, Полтавська обл., 37113","378","99","377","41","241","38","279","","0","241","38","279","6","273","3","13","7","0","38","116","96","0","0","0","29.10.12"
"530931","151","Полтавська область","центр культури і дозвілля, зал
вул.Леніна, 32, смт Чорнухи, Чорнухинський р-н, Полтавська обл., 37100","1038","397","1027","28","614","27","641","","0","614","27","641","8","633","13","110","13","1","78","252","161","1","2","2","28.10.12"
"530932","151","Полтавська область","школа, хол
вул.Леніна, 47, смт Чорнухи, Чорнухинський р-н, Полтавська обл., 37100","1368","576","1363","15","778","14","792","","0","778","14","792","15","777","20","161","11","1","89","275","217","2","0","1","29.10.12"
