"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрєєв
Олександр
Вікторович","Бригинець
Олександр
Михайлович","Вільдман
Ігор
Лазаревич","Габер
Микола
Олександрович","Глуховський
Олексій
Станіславович","Годунов
Юрій
Борисович","Гуреєв
Василь
Миколайович","Дерпак
Віталій
Михайлович","Жадан
Володимир
Анатолійович","Забавський
Дмитро
Анатолійович","Ільницький
Сергій
Васильович","Карасьов
Вадим
Юрійович","Крикунов
Юрій
Володимирович","Лановий
Володимир
Тимофійович","Новіков
Олег
Володимирович","Похилевич
Валерій
Андрійович","Силантьєв
Денис
Олегович","Соболев
Максим
Олегович","Столар
Вадим
Михайлович","Товстий
Василь
Охрімович","Товтрівська
Олеся
Олександрівна","Фещук
Олег
Петрович","Дата підписання протоколу"
"800539","217","м.Київ","школа №194 ""Перспектива"", спортзал
вул.Героїв Дніпра, 10Б, м.Київ, 04212","2112","781","2086","8","1325","6","1331","","0","1325","6","1331","32","1299","5","379","23","19","36","36","19","6","6","0","5","26","215","35","2","1","84","15","365","6","10","6",""
"800540","217","м.Київ","школа №252, актова зала
вул.Гайдай Зої, 10В, м.Київ, 04209","2304","845","2280","23","1443","16","1459","","0","1443","16","1459","46","1413","1","464","38","15","28","37","18","4","9","2","5","34","230","35","1","3","41","11","410","6","16","5",""
"800541","217","м.Київ","школа №252, вестибюль
вул.Гайдай Зої, 10В, м.Київ, 04209","2204","797","2172","25","1392","15","1407","","0","1392","15","1407","37","1370","4","422","27","14","32","25","10","2","13","2","3","40","192","31","0","2","52","14","469","4","6","6",""
"800542","217","м.Київ","ЖЕК №507, актова зала
вул.Героїв Дніпра, 22Б, м.Київ, 04209","2152","728","2135","12","1412","12","1424","","0","1412","12","1424","29","1395","5","458","19","17","39","23","19","4","11","2","8","36","215","34","2","3","47","8","427","3","7","8",""
"800543","217","м.Київ","школа №194 ""Перспектива"", хол
вул.Героїв Дніпра 10Б, м.Київ, 04212","1928","641","1911","9","1281","6","1287","","0","1281","6","1287","34","1253","5","408","24","13","36","28","9","6","8","1","4","37","170","26","3","2","62","6","388","6","8","3",""
"800544","217","м.Київ","ЖЕК №508, актова зала
вул.Богатирська, 6А, м.Київ, 04209","2208","740","2184","20","1451","17","1468","","0","1451","17","1468","32","1436","5","455","44","14","41","33","14","0","6","1","17","34","226","30","1","2","102","13","382","6","4","6",""
"800545","217","м.Київ","школа №256, хол
вул.Озерна, 2А, м.Київ, 04209","2208","747","2203","28","1442","19","1461","","0","1442","19","1461","30","1429","10","442","39","13","36","27","27","1","7","4","19","24","209","42","2","6","52","8","441","6","9","5",""
"800546","217","м.Київ","школа №256, хол
вул.Озерна, 2А, м.Київ, 04209","2252","876","2239","18","1366","10","1376","","0","1366","10","1376","44","1332","4","410","42","17","32","27","9","4","1","1","35","26","164","25","1","3","57","14","443","5","7","5",""
"800547","217","м.Київ","школа №168, фойє
вул.Озерна, 2, м.Київ, 04209","2148","697","2135","14","1440","11","1451","","0","1440","11","1451","48","1403","11","390","44","16","48","25","18","3","8","3","14","27","192","34","1","4","65","18","467","6","6","3",""
"800577","217","м.Київ","Київський міський центр репродуктивної та перинатальної медицини, хол
просп.Героїв Сталінграда, 16, м.Київ, 04210","80","11","70","0","69","0","69","","0","69","0","69","4","65","1","12","6","3","4","2","0","0","0","3","1","1","7","2","0","1","7","0","12","0","2","1",""
"800578","217","м.Київ","Київська міська клінічна дерматовенерологічна лікарня, хол
вул.Богатирська, 32, м.Київ, 04209","80","0","106","0","80","0","80","","0","80","0","80","2","78","1","12","2","0","6","7","3","0","3","1","2","4","11","3","1","0","2","2","14","0","3","1",""
