"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Брицький
Руслан
Михайлович","Бузина
Олесь
Олексійович","Гайдук
Андрій
Валерійович","Гладчук
Вадим
Федорович","Глущенко
Артем
Ігорович","Голодняк
Микола
Володимирович","Колбун
Микола
Дмитрович","Куташев
Ігор
Вікторович","Лебедівський
Валерій
Анатолійович","Левченко
Юрій
Володимирович","Ліснича
Вікторія
Миколаївна","Олексюк
Федір
Юрійович","Осадчий
Євгеній
Сергійович","Панченко
Сергій
Федорович","Пархоменко
Ігор
Леонідович","Пилипишин
Віктор
Петрович","Розинська
Наталія
Миколаївна","Супрун
Юрій
Михайлович","Тарима
Сергій
Миколайович","Хмара
Степан
Ілліч","Шаповал
Ігор
Володимирович","Швидкін
Андрій
Олександрович","Шум
Олександр
Вікторович"
"801055","223","м.Київ","лікарня для вчених НАН України, хол, 1-й поверх
вул.Смирнова-Ласточкіна, 22, м.Київ, 04053","344","153","201","15","179","12","191","","0","0","0","191","8","183","34","26","0","1","3","0","4","9","3","54","4","1","3","1","3","17","1","2","0","10","7","0",""
"801056","223","м.Київ","Київська центральна басейнова клінічна лікарня МОЗ України, хол, 2-й поверх
вул.Коцюбинського Юрія, 9, м.Київ, 04053","204","136","78","3","65","3","68","","0","65","3","68","2","66","17","6","2","0","1","0","0","4","1","13","0","0","0","1","0","10","3","0","0","3","2","1",""
"801057","223","м.Київ","Інститут урології НАМН України, конференц зал, 1-й поверх
вул.Коцюбинського Юрія, 9А, м.Київ, 04053","232","136","103","18","78","18","96","","0","78","18","96","1","95","22","5","0","0","1","1","1","8","0","24","2","0","1","2","1","8","2","2","1","4","6","1",""
"801058","223","м.Київ","Інститут травматології та ортопедії НАМН України, конференц зал, 2-й поверх
вул.Воровського, 27, м.Київ, 01054","404","278","148","88","53","73","126","","0","53","73","126","3","123","29","6","2","1","2","0","2","15","1","20","3","0","0","3","1","21","5","0","0","3","5","0",""
"801059","223","м.Київ","Українська дитяча спеціалізована лікарня ""Охмадит"", хол, 1-й поверх
вул.Чорновола В’ячеслава, 28/1, м.Київ, 01135","312","256","92","5","51","5","56","","0","51","5","56","1","55","8","5","0","2","7","0","2","3","0","7","5","0","0","0","0","9","2","1","0","2","2","0",""
"801060","223","м.Київ","Інститут нейрохірургії імені А.П.Ромоданова НАМН України, хол, 1-й поверх
вул.Платона Майбороди (Мануїльського), 32, м.Київ, 04050","304","173","198","180","16","115","131","","0","16","115","131","15","116","38","5","0","2","3","1","1","18","0","12","5","2","0","1","0","16","4","3","0","0","4","0",""
"801061","223","м.Київ","Госпіталь ГУ МВС України в м.Києві, каб.113, 1-й поверх
вул.Платона Майбороди (Мануїльського), 11/19, м.Київ, 04050","428","253","215","23","158","17","175","","0","158","17","175","19","156","38","2","1","1","1","1","2","14","1","20","8","0","2","2","1","27","6","2","1","9","11","1",""
"801062","223","м.Київ","Інститут педіатрії, акушерства та гінекології НАМН України, хол, 4-й поверх
вул.Платона Майбороди (Мануїльського), 8, м.Київ, 04050","236","93","143","125","18","125","143","","0","18","125","143","11","132","36","5","0","0","4","0","0","10","0","19","9","0","2","1","1","20","10","3","0","5","2","1",""
"801063","223","м.Київ","Обласна клінічна лікарня №1, хол, 1-й поверх
вул.Багговутівська, 1, м.Київ, 04107","1336","989","625","253","200","147","347","","0","200","147","347","28","319","71","12","2","5","5","1","2","24","5","58","9","2","7","3","4","52","23","6","2","5","17","0",""
"801064","223","м.Київ","Інститут отоларингології імені О.С.Коломійченка НАМН України, хол, 1-й поверх
вул.Зоологічна, 3, м.Київ, 03057","224","140","85","1","83","1","84","","0","83","1","84","2","82","12","4","3","1","2","0","0","6","2","11","3","0","2","0","1","25","1","2","0","4","3","0",""
"801065","223","м.Київ","Центральний госпіталь МВС України, актова зала, 2-й поверх
вул.Бердичівська, 1, м.Київ, 04116","576","449","152","41","91","36","127","","0","91","36","127","8","119","13","6","1","1","1","0","2","15","2","25","1","0","0","1","1","19","6","1","0","7","15","0",""
"801066","223","м.Київ","Міська клінічна лікарня №9, хол, 2-й поверх
вул.Ризька, 1, м.Київ, 04112","648","470","186","18","162","16","178","","0","162","16","178","4","174","27","8","2","1","1","0","1","10","6","36","2","1","1","2","0","43","7","1","0","9","12","1",""
