"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Кіріца
Юрій
Іванович","Клімов
Леонід
Михайлович","Мадон
Ігор
Іванович","Мартинюк
Сергій
Яковлевич","Салтановський
Микола
Васильович","Сокерчак
В’ячеслав
Михайлович","Сорока
Віктор
Петрович","Дата підписання протоколу"
"510769","137","Одеська область","будинок культури, зал
вул.Леніна, 64, с.Кам’яне, Савранський р-н, Одеська обл., 66210","904","291","896","85","542","71","613","","0","542","71","613","18","595","31","172","9","9","168","30","176","29.10.12"
"510770","137","Одеська область","навчально-виховний комплекс, фойє
навчально-виховний комплекс, с.Капустянка, Савранський р-н, Одеська обл., 66233","384","176","381","18","194","14","208","","0","194","14","208","6","202","19","124","12","2","14","19","12","28.10.12"
"510771","137","Одеська область","ТОВ ""Відродження"", фойє
вул.Калініна, 100, с.Концеба, Савранський р-н, Одеська обл., 66211","800","305","795","86","419","76","495","","0","419","76","495","12","483","38","151","13","13","58","74","136","28.10.12"
"510772","137","Одеська область","сільський клуб, зал
вул.Леніна, 143А, с.Концеба, Савранський р-н, Одеська обл., 66211","688","264","691","95","336","88","424","","0","336","88","424","13","411","37","173","13","8","21","76","83","28.10.12"
"510773","137","Одеська область","школа, фойє
вул.Зарічна, 3, с.Неділкове, Савранський р-н, Одеська обл., 66232","464","174","456","61","235","55","290","","0","235","55","290","8","282","22","108","5","4","50","48","45","29.10.12"
"510774","137","Одеська область","будинок культури, зал
вул.13 років Жовтня, 23, с.Осички, Савранський р-н, Одеська обл., 66215","1736","898","1718","64","788","50","838","","0","788","50","838","24","814","117","322","18","17","77","62","201","29.10.12"
"510775","137","Одеська область","будинок культури, зал
вул.Леніна, 104, с.Полянецьке, Савранський р-н, Одеська обл., 66223","984","353","969","83","554","77","631","","0","554","77","631","26","605","179","214","23","10","15","43","121","28.10.12"
"510776","137","Одеська область","ДЮСШ ""Олімп"", спортивний зал
вул.Калініна, 7, смт Саврань, Савранський р-н, Одеська обл., 66200","1824","900","1803","38","890","34","924","","0","890","34","924","35","889","122","307","35","14","114","68","229","30.10.12"
"510777","137","Одеська область","будинок культури, зал
вул.Леніна, 32, смт Саврань, Савранський р-н, Одеська обл., 66200","1936","821","1936","45","1073","42","1115","","0","1073","42","1115","31","1084","151","462","42","18","91","85","235","29.10.12"
"510778","137","Одеська область","автошкола, фойє
вул.Калініна, 91, смт Саврань, Савранський р-н, Одеська обл., 66200","936","437","937","21","479","20","499","","0","479","20","499","26","473","81","208","14","17","39","35","79","28.10.12"
"510779","137","Одеська область","початкова школа, фойє
вул.Жовтневої революції, 48, смт Саврань, Савранський р-н, Одеська обл., 66200","744","342","720","16","393","9","402","","0","393","9","402","25","377","54","174","8","7","30","27","77","29.10.12"
"510780","137","Одеська область","школа, фойє
вул.Перемоги, 15, с.Слюсареве, Савранський р-н, Одеська обл., 66222","304","56","306","21","228","20","248","","0","228","20","248","14","234","21","109","13","5","29","12","45","29.10.12"
"511042","137","Одеська область","міський будинок культури, фойє
вул.Бочковича, 1, м.Котовськ, Одеська обл., 66300","1432","664","1400","31","739","29","768","","0","739","29","768","34","734","121","311","12","11","47","167","65","29.10.12"
"511043","137","Одеська область","КО ""Компанія Горсвет"", актова зала
вул.Ломоносова, 2, м.Котовськ, Одеська обл., 66300","2344","1248","2314","41","1057","39","1096","","0","1057","39","1096","40","1056","243","454","17","16","80","124","122","29.10.12"
"511044","137","Одеська область","гуртожиток медичного училища, актова зала
пр-т.Перемоги, 8, м.Котовськ, Одеська обл., 66300","2088","1017","2065","26","1048","23","1071","","0","1048","23","1071","61","1010","168","501","19","17","85","134","86","29.10.12"
"511045","137","Одеська область","школа №9, спортивна зала
пр-т.Перемоги, 9, м.Котовськ, Одеська обл., 66300","2208","1101","2186","56","1056","51","1107","","0","1056","51","1107","48","1059","231","441","26","22","84","129","126","29.10.12"
"511046","137","Одеська область","ВАТ ""Пасавтотранссервіс"", актова зала
вул.50 років Жовтня, 192, м.Котовськ, Одеська обл., 66300","1872","942","1856","99","832","98","930","","0","832","98","930","33","897","145","428","8","15","101","127","73","29.10.12"
"511047","137","Одеська область","школа №5, к.1
пров.Ст.Борисова, 2, м.Котовськ, Одеська обл., 66300","1384","807","1364","33","551","26","577","","0","551","26","577","25","552","67","260","15","11","61","93","45","30.10.12"
"511048","137","Одеська область","школа №1, актова зала
вул.Леніна, 4, м.Котовськ, Одеська обл., 66300","1112","541","1105","53","521","50","571","","0","521","50","571","23","548","67","288","10","12","60","64","47","29.10.12"
"511049","137","Одеська область","центр дитячої творчості, танцювальна зала
вул.Клари Цеткін, 2, м.Котовськ, Одеська обл., 66300","2032","1104","2011","40","892","36","928","","0","892","36","928","50","878","143","421","15","20","92","79","108","29.10.12"
"511050","137","Одеська область","школа №3, спортивна зала
вул.Луначарського, 63, м.Котовськ, Одеська обл., 66300","2496","1443","2478","54","1014","39","1053","","0","1014","39","1053","48","1005","189","491","22","18","62","108","115","29.10.12"
"511051","137","Одеська область","гімназія, спортивна зала
пр-т.Котовського, 39, м.Котовськ, Одеська обл., 66300","2472","1378","2437","53","1043","51","1094","","0","1043","51","1094","41","1053","167","494","17","14","71","153","137","28.10.12"
"511052","137","Одеська область","технічний ліцей, їдальня
вул.Короленка, 1, м.Котовськ, Одеська обл., 66300","1896","1113","1877","61","730","53","783","","0","730","53","783","41","742","132","339","10","15","56","108","82","29.10.12"
"511053","137","Одеська область","управління у справах сім’ї та молоді міської ради, актова зала
бульв.Заслонова, 6, м.Котовськ, Одеська обл., 66300","2416","1469","2352","49","901","46","947","","0","901","46","947","44","903","155","407","15","19","68","140","99","29.10.12"
"511054","137","Одеська область","школа №6, спортивна зала
бульв.Заслонова, 48, м.Котовськ, Одеська обл., 66300","1768","993","1757","38","740","35","775","","0","740","35","775","30","745","113","393","15","15","47","94","68","30.10.12"
"511055","137","Одеська область","вагонне депо, клуб
вул.Комсомольська, 123, м.Котовськ, Одеська обл., 66300","1744","1061","1720","76","615","68","683","","0","615","68","683","683","0","0","0","0","0","0","0","0","07.11.12"
"511056","137","Одеська область","Котовська технічна школа ТСОУ, фойє
вул.Комсомольська, 176А, м.Котовськ, Одеська обл., 66300","1960","1020","1944","101","849","91","940","","0","849","91","940","49","891","122","394","14","16","128","140","77","29.10.12"
"511057","137","Одеська область","Столова ПП ""Кушка""
вул.Самборського, 553, м.Котовськ, Одеська обл., 66300","2504","1224","2466","57","1230","50","1280","","0","1230","50","1280","41","1239","170","666","12","19","86","158","128","29.10.12"
"511058","137","Одеська область","Котовська міська лікарня, вестибюль
пр-т.Перемоги, 23, м.Котовськ, Одеська обл., 66300","56","18","38","30","8","30","38","","0","8","30","38","1","37","4","24","1","0","1","3","4","29.10.12"
"511059","137","Одеська область","Відділкова лікарня ст.Котовськ, конференційна зала
вул.Ткаченка, 76, м.Котовськ, Одеська обл., 66300","56","25","34","15","18","13","31","","0","18","13","31","0","31","2","14","3","0","1","6","5","29.10.12"
