"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барвіненко
Віталій
Дмитрович","Воробйова
Наталя
Олександрівна","Дубовий
Олександр
Іванович","Кесарчук
Вадим
Вікторович","Мойсейченко
Геннадій
Петрович","Сердцевич
Володимир
Дмитрович","Сидоренко
Пилип
Степанович","Степаненко
Андрій
Миколайович","Юшкевич
Микола
Сергійович","Ярошенко
Віталій
Веніамінович","Дата підписання протоколу"
"510958","141","Одеська область","міський центр ""Благоустрій"", актова зала, 1-й поверх
вул.Ізмаїльська, 178А, м.Білгород-Дністровський, Одеська обл., 67700","2028","1192","2020","41","798","38","836","","0","798","38","836","42","794","347","26","202","15","1","16","137","42","0","8","29.10.12"
"510959","141","Одеська область","школа №7, коридор
вул.Кишинівська, 245, м.Білгород-Дністровський, Одеська обл., 67700","2256","1439","2244","19","802","15","817","","0","802","15","817","57","760","330","17","225","39","7","14","79","35","1","13","28.10.12"
"510960","141","Одеська область","школа №4, вестибюль, 1-й поверх
вул.Ізмаїльська, 130, м.Білгород-Дністровський, Одеська обл., 67700","2430","1370","2398","26","1036","24","1060","","0","1036","24","1060","64","996","425","31","240","35","8","30","176","38","1","12","29.10.12"
"510961","141","Одеська область","Білгород-Дністровський начально-виховний комплекс, спортивна зала
вул.Театральна, 14, корпус 1, м.Білгород-Дністровський, Одеська обл., 67700","1392","820","1377","17","558","14","572","","0","558","14","572","33","539","270","19","112","9","3","7","71","40","2","6","29.10.12"
"510962","141","Одеська область","Білгород-Дністровський навчально-виховний комплекс, хореографічний клас
вул.Театральна, 14, корпус 2, м.Білгород-Дністровський, Одеська обл., 67700","1440","760","1414","18","669","11","680","","0","669","11","680","21","659","292","18","161","14","5","17","99","44","4","5","29.10.12"
"510963","141","Одеська область","Бібліотека ім. О.С. Пушкіна, читальна зала дорослого відділу
вул.Перемоги, 3А, м.Білгород-Дністровський, Одеська обл., 67700","1812","872","1817","28","921","19","940","","0","921","19","940","43","897","364","30","186","38","2","33","182","49","4","9","29.10.12"
"510964","141","Одеська область","вул.Перемоги, житловий будинок 11, червоний куточок, 1-й поверх
вул.Перемоги, 11, м.Білгород-Дністровський, Одеська обл., 67700","2292","1316","2274","9","968","8","976","","0","968","8","976","46","930","373","53","238","39","6","16","126","60","4","15","29.10.12"
"510965","141","Одеська область","Морський торгівельний порт, спортивна зала
вул.Шабська, 81, м.Білгород-Дністровський, Одеська обл., 67700","1992","1060","1973","12","923","9","932","","0","923","9","932","38","894","383","41","233","26","5","22","129","34","4","17","29.10.12"
"510966","141","Одеська область","Економіко-правовий коледж, вестибюль навчального корпусу
вул.Сонячна, 4, м.Білгород-Дністровський, Одеська обл., 67700","2436","1355","2407","28","1064","17","1081","","0","1064","17","1081","57","1024","504","42","225","32","4","27","128","40","4","18","29.10.12"
"510967","141","Одеська область","школа №11, вестиблюль корпусу початкових класів, 1-й поверх
вул.Південна, 25, м.Білгород-Дністровський, Одеська обл., 67700","1752","961","1720","16","779","12","791","","0","779","12","791","39","752","335","20","155","24","5","20","134","48","2","9","29.10.12"
"510968","141","Одеська область","школа №11, вестибюль гардеробу, 1-й поверх
вул.Південна, 25, м.Білгород-Дністровський, Одеська обл., 67700","2160","1268","2122","14","880","12","892","","0","880","12","892","41","851","381","31","222","19","6","18","132","25","1","16","29.10.12"
"510969","141","Одеська область","Затоківський навчально-виховний комплекс, фойє
вул.Зарипова, 2, смт Затока, м.Білгород-Дністровський, Одеська обл., 67772","1338","653","1333","46","656","29","685","","0","656","29","685","31","654","208","28","151","10","6","174","48","18","5","6","29.10.12"
"510970","141","Одеська область","селищна рада, сесійна зала, 1-й поверх
вул.Гагаріна, 3, смт Сергіївка, м.Білгород-Дністровський, Одеська обл., 67780","2460","1524","2435","49","895","41","936","","0","895","41","936","46","890","332","32","288","30","4","19","133","33","7","12","29.10.12"
"510971","141","Одеська область","школа №8, актова зала, 1-й поверх
вул.Шкільна, 2, смт Сергіївка, м.Білгород-Дністровський, Одеська обл., 67780","2394","1632","2370","11","753","9","762","","0","753","9","762","35","727","265","41","240","27","3","15","90","24","3","19","29.10.12"
"510972","141","Одеська область","стоматологічна поліклініка міської лікарні, актова зала, 1-й поверх
вул.Московська, 2, м.Білгород-Дністровський, Одеська обл., 67700","288","261","27","27","0","27","27","","0","0","27","27","0","27","16","0","7","0","0","2","1","1","0","0","28.10.12"
"510973","141","Одеська область","акушерсько-гінекологічне відділенння міської лікарні, буфет
вул.Калініна, 35, м.Білгород-Дністровський, Одеська обл., 67700","60","43","18","0","17","0","17","","0","17","0","17","0","17","7","0","8","0","0","0","2","0","0","0","28.10.12"
"510974","141","Одеська область","районна лікарня, зал інформаційно-аналітичного відділу
вул.Радянська, 4, м.Білгород-Дністровський, Одеська обл., 67700","240","210","34","18","16","14","30","","0","16","14","30","0","30","14","0","8","1","0","0","5","0","0","2","29.10.12"
"510975","141","Одеська область","шкірно-венерологічний диспансер, амбулаторно-консультаційне відділення, каб.2
вул.Енгельса, 6, м.Білгород-Дністровський, Одеська обл., 67700","30","29","1","0","1","0","1","","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","28.10.12"
"510976","141","Одеська область","психіатрична лікарня, конференційна зала адміністративного корпусу
вул.Шабська, 67, м.Білгород-Дністровський, Одеська обл., 67700","312","281","38","0","31","0","31","","0","31","0","31","5","26","14","2","7","1","0","0","0","1","1","0","28.10.12"
"510977","141","Одеська область","протитуберкульозний диспансер, червоний куточок
вул.Енгельса, 17, м.Білгород-Дністровський, Одеська обл., 67700","156","146","11","2","8","2","10","","0","8","2","10","0","10","5","0","4","0","1","0","0","0","0","0","28.10.12"
