"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Афанасьєв
Анатолій
Олександрович","Білалов
Алім
Елдарович","Борняков
Олександр
Сергійович","Іксар
Володимир
Леонтійович","Кіссе
Антон
Іванович","Марков
Олександр
Валентинович","Платонова
Тетяна
Борисівна","Плачков
Іван
Васильович","Плохой
Ігор
Іванович","Дата підписання протоколу"
"510033","142","Одеська область","готель ""Ювілейний"", хол
вул.Вокзальна, 4, м.Арциз, Арцизький р-н, Одеська обл., 68400","2136","1240","2086","67","847","49","896","","0","847","49","896","38","858","137","9","142","22","163","2","9","145","229","29.10.12"
"510034","142","Одеська область","будинок культури, хол
пров.Лікарняний, 2, м.Арциз, Арцизький р-н, Одеська обл., 68400","1768","998","1731","51","729","41","770","","0","729","41","770","30","740","94","12","145","21","175","2","8","88","195","03.11.12"
"510035","142","Одеська область","ВАТ ""Експеримент"", актова зала
вул.Орджонікідзе, 27Б, м.Арциз, Арцизький р-н, Одеська обл., 68400","1488","878","1449","23","596","14","610","","0","596","14","610","32","578","60","9","102","17","130","2","5","76","177","29.10.12"
"510036","142","Одеська область","школа-гімназія №1, спортивна зала
вул.Будівельників, 15, м.Арциз, Арцизький р-н, Одеська обл., 68400","1824","983","1806","21","827","14","841","","0","827","14","841","22","819","77","11","180","19","202","0","5","146","179","29.10.12"
"510037","142","Одеська область","школа №3, спортивна зала
вул.40 років Жовтня, 92, м.Арциз, Арцизький р-н, Одеська обл., 68400","688","387","673","20","290","11","301","","0","290","11","301","14","287","32","4","56","9","44","0","5","26","111","28.10.12"
"510038","142","Одеська область","будинок культури, актова зала, 2-й поверх
вул.Комсомольська, 11, м.Арциз, Арцизький р-н, Одеська обл., 68400","664","272","676","25","368","24","392","","0","368","24","392","7","385","17","1","60","5","68","1","6","36","191","28.10.12"
"510039","142","Одеська область","школа-ліцей №4, фойє
вул.Полковника Калмикова, 44, м.Арциз, Арцизький р-н, Одеська обл., 68400","2456","1372","2412","27","1066","18","1084","","0","1066","18","1084","43","1041","118","3","117","24","227","9","16","88","439","04.11.12"
"510040","142","Одеська область","ВАТ ""Арцизький ЗЗБВ"", актова зала
вул.Орджонікідзе, 56, м.Арциз, Арцизький р-н, Одеська обл., 68400","1368","732","1351","18","623","13","636","","0","623","13","636","23","613","87","6","94","19","126","3","13","100","165","29.10.12"
"510041","142","Одеська область","школа, спортивна зала
вул.Кутузова, 154, с.Веселий Кут, Арцизький р-н, Одеська обл., 68420","944","475","931","59","421","48","469","","0","421","48","469","20","449","21","1","22","5","186","0","8","68","138","28.10.12"
"510042","142","Одеська область","школа, каб.1
вул.Мічуріна, 62, с.Роща, Арцизький р-н, Одеська обл., 68420","200","99","199","0","101","0","101","","0","101","0","101","6","95","0","0","8","4","50","1","0","12","20","28.10.12"
"510043","142","Одеська область","будинок культури, фойє
вул.Леніна, 107, с.Виноградівка, Арцизький р-н, Одеська обл., 68452","1184","393","1174","82","714","77","791","","0","714","77","791","16","775","12","4","54","6","267","0","2","54","376","28.10.12"
"510044","142","Одеська область","школа, актова зала
вул.Кірова, 112, с.Виноградівка, Арцизький р-н, Одеська обл., 68452","1112","361","1100","68","687","64","751","","0","687","64","751","21","730","13","6","51","9","214","3","4","18","412","04.11.12"
"510045","142","Одеська область","будинок культури, актова зала
будинок культури, вул.Леніна, с.Плоцьк, Арцизький р-н, Одеська обл., 68453","328","121","324","6","201","6","207","","0","201","6","207","5","202","10","0","24","3","96","0","2","33","34","04.11.12"
"510046","142","Одеська область","будинок культури, актова зала
вул.28 Червня, 68, с.Вознесенка Перша, Арцизький р-н, Одеська обл., 68411","680","203","676","45","433","44","477","","0","433","44","477","13","464","27","2","27","3","182","1","8","27","187","28.10.12"
"510047","142","Одеська область","будинок культури, актова зала
вул.28 Червня, 3, с.Вишняки, Арцизький р-н, Одеська обл., 68412","392","147","390","13","234","11","245","","0","234","11","245","4","241","13","3","23","9","90","1","0","13","89","28.10.12"
"510048","142","Одеська область","будинок культури, бар
вул.Леніна, 37, с.Главані, Арцизький р-н, Одеська обл., 68434","904","415","897","35","455","34","489","","0","455","34","489","15","474","18","2","20","7","268","2","2","78","77","05.11.12"
"510049","142","Одеська область","будинок культури, фойє
вул.Леніна, 37, с.Главані, Арцизький р-н, Одеська обл., 68434","880","409","876","50","429","42","471","","0","429","42","471","10","461","17","4","20","6","257","2","1","75","79","28.10.12"
"510050","142","Одеська область","будинок культури, фойє
вул.Торгова, 3, с.Делень, Арцизький р-н, Одеська обл., 68431","960","400","958","51","514","46","560","","0","514","46","560","14","546","25","6","86","8","265","0","2","61","93","28.10.12"
"510051","142","Одеська область","школа, фойє
вул.Леніна, 56А, с.Делень, Арцизький р-н, Одеська обл., 68431","976","428","965","56","495","53","548","","0","495","53","548","11","537","24","2","89","7","306","3","2","41","63","28.10.12"
"510052","142","Одеська область","школа, кабінет математики
вул.Леніна, 59, с.Новоселівка, Арцизький р-н, Одеська обл., 68432","376","151","370","35","194","31","225","","0","194","31","225","10","215","20","3","34","2","68","1","2","24","61","28.10.12"
"510053","142","Одеська область","сільська рада, актова зала
вул.Комсомольська, 46, с.Долинівка, Арцизький р-н, Одеська обл., 68451","536","218","526","8","310","8","318","","0","310","8","318","7","311","25","4","27","3","57","2","4","29","160","28.10.12"
"510054","142","Одеська область","будинок культури, мала зала
вул.Леніна, 81Д, с.Задунаївка, Арцизький р-н, Одеська обл., 68433","1272","589","1260","87","610","73","683","","0","610","73","683","20","663","12","4","29","3","215","2","1","210","187","29.10.12"
"510055","142","Одеська область","будинок культури, мала зала
вул.Чапаєва, 2, с.Кам’янське, Арцизький р-н, Одеська обл., 68441","1000","390","990","89","521","89","610","","0","521","89","610","11","599","18","3","61","9","135","1","7","53","312","28.10.12"
"510056","142","Одеська область","будинок культури, фойє
вул.Чапаєва, 2, с.Кам’янське, Арцизький р-н, Одеська обл., 68441","848","332","837","68","452","64","516","","0","452","64","516","15","501","14","7","49","8","86","2","2","50","283","28.10.12"
"510057","142","Одеська область","будинок культури, 1-й поверх
вул.Радянська, 154, с.Мирнопілля, Арцизький р-н, Одеська обл., 68413","1528","740","1527","259","566","222","788","","0","566","222","788","47","741","36","9","60","12","214","5","12","196","197","28.10.12"
"510058","142","Одеська область","будинок культури, центральна зала
вул.Леніна, 73, с.Надеждівка, Арцизький р-н, Одеська обл., 68454","544","238","533","9","302","4","306","","0","302","4","306","13","293","17","3","52","4","68","2","3","36","108","29.10.12"
"510059","142","Одеська область","будинок культури, танцювальна зала
вул.Кооперативна, 25, с.Нова Іванівка, Арцизький р-н, Одеська обл., 68430","1480","599","1471","85","801","80","881","","0","801","80","881","14","867","45","2","47","11","484","4","4","69","201","29.10.12"
"510060","142","Одеська область","будинок культури, актова зала
вул.Леніна, 122, с.Нові Каплани, Арцизький р-н, Одеська обл., 68410","464","198","462","23","245","21","266","","0","245","21","266","8","258","14","1","28","7","59","2","2","35","110","28.10.12"
"510061","142","Одеська область","будинок культури, актова зала
вул.Радянська, 58, с.Василівка, Арцизький р-н, Одеська обл., 68415","328","131","329","19","185","12","197","","0","185","12","197","7","190","8","0","16","1","44","0","0","24","97","28.10.12"
"510062","142","Одеська область","будинок культури, актова зала
вул.Леніна, 189, с.Острівне, Арцизький р-н, Одеська обл., 68442","840","364","838","69","422","54","476","","0","422","54","476","14","462","23","1","24","3","212","0","3","103","93","29.10.12"
"510063","142","Одеська область","будинок культури, танцювальна зала
пров.Театральний, 2, с.Павлівка, Арцизький р-н, Одеська обл., 68450","1800","896","1783","82","837","67","904","","0","837","67","904","20","884","84","5","51","15","208","0","4","95","422","29.10.12"
"510064","142","Одеська область","будинок культури, глядацька зала
вул.Миру, 2А, с.Прямобалка, Арцизький р-н, Одеська обл., 68440","760","259","751","21","483","18","501","","0","483","18","501","7","494","43","6","54","6","169","1","9","111","95","29.10.12"
"510065","142","Одеська область","будинок культури, танцювальна зала
вул.Леніна, 137, с.Теплиця, Арцизький р-н, Одеська обл., 68421","1064","460","1049","57","547","57","604","","0","547","57","604","11","593","31","0","37","15","291","0","4","35","180","29.10.12"
"510066","142","Одеська область","будинок культури, актова зала
вул.Акімова, 65, с.Садове, Арцизький р-н, Одеська обл., 68422","792","391","777","39","368","33","401","","0","368","33","401","6","395","7","2","14","4","190","0","4","34","140","28.10.12"
"510067","142","Одеська область","школа, фойє
вул.Радянська, 55, с.Холмське, Арцизький р-н, Одеська обл., 68443","944","498","941","82","375","71","446","","0","375","71","446","12","434","11","4","18","1","163","1","4","165","67","05.11.12"
"510068","142","Одеська область","будинок культури, танцювальна зала
вул.Радянська, 61, с.Холмське, Арцизький р-н, Одеська обл., 68443","864","424","852","46","407","33","440","","0","407","33","440","11","429","7","3","27","6","146","1","6","136","97","29.10.12"
"510069","142","Одеська область","будинок культури, актова зала
вул.Зернова, 6, с-ще Новохолмське, Арцизький р-н, Одеська обл., 68414","80","25","80","5","50","5","55","","0","0","0","55","1","54","6","0","13","2","7","0","0","8","18","30.10.12"
"510283","142","Одеська область","міський спортзал, зала
вул.25 Чапаєвської дивізії, 74, м.Болград, Болградський р-н, Одеська обл., 68702","2168","1242","2138","22","912","14","926","","0","912","14","926","25","901","99","3","197","24","304","5","4","81","184","04.11.12"
