"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андріанов
Ігор
Юрійович","Бабіч
Олег
Іванович","Боделан
Володимир
Русланович","Болозович
Ярослав
Олегович","Георгієв
Іван
Васильович","Дубенко
Георгій
Миколайович","Загорюк
Сергій
Севастьянович","Келіогло
Василь
Григорійович","Крук
Юрій
Борисович","Онос
Юрій
Васильович","Пастух
Ігор
Миколайович","Руссу
Роман
Степанович","Страшилін
В’ячеслав
Михайлович","Чепой
Іван
Григорійович","Дата підписання протоколу"
"510716","143","Одеська область","школа №5, спортзал
вул.Анадольська, 25, м.Рені, Ренійський р-н, Одеська обл., 68800","1932","1120","1909","24","800","12","812","","0","800","12","812","48","764","6","117","105","4","2","2","3","79","263","107","39","18","10","9","29.10.12"
"510717","143","Одеська область","міський гуртожиток, актова зала
вул.28 Червня, 257, м.Рені, Ренійський р-н, Одеська обл., 68800","1596","999","1568","31","568","29","597","","0","568","29","597","39","558","7","84","83","3","5","2","1","66","125","113","44","10","8","7","29.10.12"
"510718","143","Одеська область","будинок культури, зал урочистих обрядів
вул.Леніна, 143, с.Долинське, Ренійський р-н, Одеська обл., 68810","1986","1112","1957","92","798","76","874","","0","798","76","874","38","836","9","56","292","9","2","5","2","92","245","60","26","16","4","18","29.10.12"
"510719","143","Одеська область","будинок культури, зала засідань
вул.Леніна, 61, с.Котловина, Ренійський р-н, Одеська обл., 68820","2112","1002","2090","92","1026","84","1110","","0","1026","84","1110","34","1076","3","43","150","3","4","3","6","467","279","88","17","7","5","1","29.10.12"
"510720","143","Одеська область","школа, фойє
вул.Комсомольська, 171, с.Лиманське, Ренійський р-н, Одеська обл., 68811","2442","1501","2405","102","857","84","941","","0","857","84","941","44","897","10","59","123","13","3","12","5","80","417","83","32","22","7","31","29.10.12"
"510721","143","Одеська область","школа, фойє
вул.Шевченко, 2, с.Нагірне, Ренійський р-н, Одеська обл., 68821","1956","947","1934","81","937","72","1009","","0","937","72","1009","34","975","4","126","215","1","1","5","2","53","417","81","37","21","6","6","29.10.12"
"510722","143","Одеська область","будинок культури, фойє
вул.Леніна, 52, с.Новосільське, Ренійський р-н, Одеська обл., 68830","2520","1520","2506","166","901","99","1000","","0","901","99","1000","40","960","7","64","112","3","9","5","2","132","512","37","17","30","8","22","28.10.12"
"510723","143","Одеська область","будинок культури, танцювальний зал
вул.Суворова, 59, с.Орлівка, Ренійський р-н, Одеська обл., 68831","2304","1372","2284","89","856","76","932","","0","856","76","932","42","890","3","48","246","6","3","9","2","44","337","143","12","17","7","13","29.10.12"
"510724","143","Одеська область","будинок культури, фойє
вул.Леніна, 97, с.Плавні, Ренійський р-н, Одеська обл., 68822","1470","749","1450","61","676","45","721","","0","676","45","721","21","700","2","63","93","2","5","4","3","68","276","141","13","15","4","11","29.10.12"
"510725","143","Одеська область","лікарня, актова зала
вул.Дунайська, 15, м.Рені, Ренійський р-н, Одеська обл., 68800","114","61","58","8","45","8","53","","0","45","8","53","2","51","0","8","2","1","0","0","0","4","26","6","4","0","0","0","29.10.12"
"510726","143","Одеська область","лікарня, їдальня
вул.Східна, 1А, м.Рені, Ренійський р-н, Одеська обл., 68800","114","80","39","11","25","9","34","","0","25","9","34","1","33","0","5","3","0","3","0","1","1","13","6","1","0","0","0","28.10.12"
"510978","143","Одеська область","школа №8, їдальня, ліве крило
вул.Нахімова, 411, м.Ізмаїл, Одеська обл., 68600","2382","1240","2323","27","1115","27","1142","","0","1115","27","1142","39","1103","22","182","195","8","3","39","5","90","176","93","200","15","60","15","29.10.12"
"510979","143","Одеська область","школа №8, вестибюль, праве крило, 1-й поверх
вул.Нахімова, 411, м.Ізмаїл, Одеська обл., 68600","2412","1417","2385","45","958","37","995","","0","958","37","995","45","950","7","158","124","8","6","28","2","60","164","77","208","20","68","20","29.10.12"
"510980","143","Одеська область","школа №14, їдальня, ліве крило
вул.Нижньосадова, 5А, м.Ізмаїл, Одеська обл., 68600","2370","1386","2330","22","963","21","984","","0","963","21","984","41","943","12","157","121","3","3","24","2","72","152","63","222","19","78","15","29.10.12"
"510981","143","Одеська область","школа №14, вестибюль, праве крило, 1-й поверх
вул.Нижньосадова, 5А, м.Ізмаїл, Одеська обл., 68600","2442","1402","2401","22","1019","21","1040","","0","1019","21","1040","46","994","13","154","110","5","3","40","0","76","170","67","263","24","48","21","29.10.12"
"510982","143","Одеська область","школа №5, їдальня
вул.Дзержинського, 105, м.Ізмаїл, Одеська обл., 68600","2244","1269","2229","15","964","11","975","","0","964","11","975","57","918","8","150","132","3","8","24","1","54","138","83","242","18","48","9","29.10.12"
"510983","143","Одеська область","школа №6, актова зала
вул.Жовтнева, 74, м.Ізмаїл, Одеська обл., 68600","2286","1275","2253","61","962","49","1011","","0","962","49","1011","33","978","24","130","115","3","7","16","3","57","137","66","330","23","50","17","29.10.12"
"510984","143","Одеська область","будинок вчителя, актова зала
вул.Кірова, 42, м.Ізмаїл, Одеська обл., 68600","2268","1266","2221","23","983","19","1002","","0","983","19","1002","34","968","15","153","108","6","4","20","2","69","158","91","239","25","70","8","29.10.12"
"510985","143","Одеська область","школа №3, актова зала
вул.Пушкіна, 123, м.Ізмаїл, Одеська обл., 68600","2292","1364","2274","10","921","7","928","","0","921","7","928","44","884","19","124","110","7","3","27","3","79","123","60","208","24","83","14","29.10.12"
"510986","143","Одеська область","школа №16, вестибюль
вул.28 Червня, 102, м.Ізмаїл, Одеська обл., 68600","2364","1365","2335","38","965","34","999","","0","965","34","999","43","956","11","124","145","2","8","34","4","64","137","70","237","19","83","18","29.10.12"
"510987","143","Одеська область","будинок культури, фойє
пр.Суворова, 44, м.Ізмаїл, Одеська обл., 68600","2088","1081","2037","40","971","36","1007","","0","971","36","1007","38","969","41","153","113","3","11","30","3","75","144","90","197","22","74","13","29.10.12"
"510988","143","Одеська область","медичне училище, актова зала
вул.Некрасова, 3А, м.Ізмаїл, Одеська обл., 68600","1998","1204","1980","18","782","12","794","","0","782","12","794","44","750","7","112","78","2","4","26","3","34","94","60","243","13","65","9","29.10.12"
"510989","143","Одеська область","ПАТ ""Ізмаїлавтотранс"", актова зала
вул.Чехова, 4, м.Ізмаїл, Одеська обл., 68600","2202","1308","2182","10","888","6","894","","0","888","6","894","41","853","15","119","87","3","7","22","2","71","111","44","280","20","60","12","29.10.12"
"510990","143","Одеська область","школа №11, спортивна зала, ліве крило
пр.Суворова, 186, м.Ізмаїл, Одеська обл., 68600","2328","1336","2293","17","977","15","992","","0","977","15","992","47","945","12","130","95","5","7","40","1","80","109","43","316","21","69","17","29.10.12"
"510991","143","Одеська область","школа №11, актова зала, праве крило
пр.Суворова, 186, м.Ізмаїл, Одеська обл., 68600","2394","1325","2343","40","1032","37","1069","","0","1032","37","1069","53","1016","15","110","122","3","7","38","2","80","160","71","260","16","104","28","29.10.12"
"510992","143","Одеська область","Управління водного господарства, актова зала
вул.Радянська, 87А, м.Ізмаїл, Одеська обл., 68600","2478","1326","2460","33","1121","31","1152","","0","1121","31","1152","45","1107","12","128","156","5","14","63","4","86","216","59","218","37","75","34","29.10.12"
"510993","143","Одеська область","професійно-технічне училище, їдальня
вул.Рєпіна, 14А, м.Ізмаїл, Одеська обл., 68600","1620","874","1587","21","727","19","746","","0","727","19","746","23","723","17","87","97","1","3","17","2","49","95","51","188","18","88","10","29.10.12"
"510994","143","Одеська область","Ізмаїльський державний гуманітарний університет, учбовий корпус №1, вестибюль
вул.Рєпіна, 12, м.Ізмаїл, Одеська обл., 68600","2382","1296","2371","20","1068","18","1086","","0","1068","18","1086","43","1043","38","134","119","5","9","34","3","111","155","81","206","31","101","16","29.10.12"
"510995","143","Одеська область","технікум механізації і електрофікації сільського господарства, вестибюль
пр.Суворова, 81, м.Ізмаїл, Одеська обл., 68600","2220","1169","2202","63","995","56","1051","","0","995","56","1051","45","1006","30","112","145","1","4","53","1","98","116","89","206","17","115","19","29.10.12"
"510996","143","Одеська область","школа №10, спортивна зала
вул.Івана Франка, 17, м.Ізмаїл, Одеська обл., 68600","2094","1003","2064","36","1061","30","1091","","0","1061","30","1091","34","1057","44","152","153","1","4","44","3","71","119","73","234","20","114","25","29.10.12"
"510997","143","Одеська область","Ізмаїльський державний гуманітарний університет, вестибюль
пр.Леніна, 9, м.Ізмаїл, Одеська обл., 68600","2400","1260","2356","29","1121","19","1140","","0","1121","19","1140","40","1100","72","109","129","4","17","35","6","91","171","103","206","25","113","19","29.10.12"
"510998","143","Одеська область","професійно-технічне училище сфери послуг, фойє
пр.Леніна, 15, м.Ізмаїл, Одеська обл., 68600","2466","1135","2453","32","1306","25","1331","","0","1306","25","1331","46","1285","43","135","143","5","9","42","6","103","156","139","308","19","157","20","05.11.12"
"510999","143","Одеська область","дитяча школа мистецтв, вестибюль
пр.Леніна, 17А, м.Ізмаїл, Одеська обл., 68600","2478","1195","2415","44","1245","38","1283","","0","1245","38","1283","42","1241","59","146","143","5","6","33","1","148","59","114","338","21","152","16","29.10.12"
"511000","143","Одеська область","школа №9, вестибюль старшої школи, праве крило
вул.Івана Франка, 8, м.Ізмаїл, Одеська обл., 68600","2154","1088","2115","23","1046","20","1066","","0","1046","20","1066","51","1015","46","124","126","5","5","24","2","70","121","122","194","10","135","31","29.10.12"
"511001","143","Одеська область","школа №9, вестибюль, ліве крило
вул.Івана Франка, 8, м.Ізмаїл, Одеська обл., 68600","2388","1199","2358","21","1172","17","1189","","0","1172","17","1189","36","1153","44","145","150","6","7","31","1","106","151","68","285","24","125","10","29.10.12"
"511002","143","Одеська область","Ізмаїльський державний гуманітарний університет, ауд.209, 2-й поверх
пр.Суворова, 75, м.Ізмаїл, Одеська обл., 68600","2334","1246","2283","51","1045","43","1088","","0","1045","43","1088","42","1046","43","125","162","1","10","34","3","64","152","80","215","25","122","10","29.10.12"
"511003","143","Одеська область","політехнічний ліцей, вестибюль навчального корпусу
пр.Суворова, 53, м.Ізмаїл, Одеська обл., 68600","2436","1263","2408","31","1145","28","1173","","0","1145","28","1173","32","1141","46","156","145","7","7","24","0","93","160","112","255","28","93","15","29.10.12"
"511004","143","Одеська область","школа №1, їдальня
вул.Жовтнева, 57, м.Ізмаїл, Одеська обл., 68600","2214","1147","2187","45","1024","43","1067","","0","1024","43","1067","37","1030","28","155","100","2","9","28","1","87","167","87","248","14","88","16","29.10.12"
"511005","143","Одеська область","Ізмаїльське вище професійне училище, фойє, 1-й поверх
вул.Фанагорійська, 7, м.Ізмаїл, Одеська обл., 68600","1932","1146","1938","18","771","15","786","","0","770","15","785","27","758","18","123","95","4","2","14","0","69","112","48","222","9","34","8","29.10.12"
"511006","143","Одеська область","центр здоров’я, актова зала
пр.Суворова, 68, м.Ізмаїл, Одеська обл., 68600","276","220","66","56","9","47","56","","0","9","47","56","2","54","1","4","13","1","1","2","0","1","12","6","2","3","6","2","28.10.12"
"511007","143","Одеська область","центральна района лікарня, актова зала
вул.Білгород-Дністровська, 31, м.Ізмаїл, Одеська обл., 68600","162","118","48","3","41","3","44","","0","41","3","44","4","40","0","7","5","0","0","0","0","1","16","3","3","1","3","1","29.10.12"
"511008","143","Одеська область","міська лікарня №3, кімната ""Червоний куток""
вул.Шевченка, 1, м.Ізмаїл, Одеська обл., 68600","60","45","15","0","15","0","15","","0","15","0","15","1","14","0","1","1","0","1","1","0","1","4","1","3","1","0","0","29.10.12"
"511009","143","Одеська область","Дунайська басейнова лікарня, конференц-зала цокольного поверху
вул.Железнякова, 182, м.Ізмаїл, Одеська обл., 68600","162","125","38","17","21","16","37","","0","21","16","37","2","35","0","7","9","0","0","0","0","1","5","6","4","1","2","0","28.10.12"
"511010","143","Одеська область","перинатальний центр, кабінет заступника головного лікаря
вул.Леніна, 111А, м.Ізмаїл, Одеська обл., 68600","102","84","44","0","18","0","18","","0","18","0","18","1","17","0","1","1","0","0","2","0","1","4","2","4","1","0","1","29.10.12"
"511011","143","Одеська область","інфекційна лікарня, актова зала
вул.Тельмана, 3, м.Ізмаїл, Одеська обл., 68600","72","56","20","1","15","1","16","","0","15","1","16","0","16","2","1","3","0","0","0","0","1","3","2","1","1","2","0","29.10.12"
"511012","143","Одеська область","міська лікарня №2, к.9
вул.Радянська, 75, м.Ізмаїл, Одеська обл., 68600","84","66","18","0","18","0","18","","0","18","0","18","0","18","0","1","4","0","0","0","0","2","6","1","2","1","1","0","28.10.12"
"511013","143","Одеська область","дермато-венерологічна лікарня, к.7
вул.Болградська, 76, м.Ізмаїл, Одеська обл., 68600","36","20","18","0","16","0","16","","0","16","0","16","0","16","0","0","4","0","1","0","0","0","5","3","2","1","0","0","28.10.12"
