"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Заботкін
Микола
Олександрович","Задорожнюк
Василь
Миколайович","Кісловський
Андрій
В’ячеславович","Ніколайчук
Юрій
Володимирович","Тімонін
Олександр
Олександрович","Фурсін
Іван
Геннадійович","Дата підписання протоколу"
"510928","138","Одеська область","будинок культури, дискотечна зала, 1-й поверх
вул.Центральна, 15, с.Новоандріївка, Ширяївський р-н, Одеська обл., 66831","536","167","526","25","346","23","369","","0","346","23","369","1","368","1","56","18","1","17","275","29.10.12"
"510929","138","Одеська область","будинок культури, фойє
вул.Куйбишева, 53, с.Новопетрівка Друга, Ширяївський р-н, Одеська обл., 66864","392","173","384","40","181","38","219","","0","181","38","219","7","212","6","29","22","3","13","139","28.10.12"
"510930","138","Одеська область","сільський клуб, актова зала
вул.Леніна, 115, с.Новосвітівка, Ширяївський р-н, Одеська обл., 66851","616","212","600","44","360","44","404","","0","360","44","404","2","402","7","65","14","5","11","300","29.10.12"
"510931","138","Одеська область","сільська рада, актова зала
вул.Чкалова, 51, с.Новоєлизаветівка, Ширяївський р-н, Одеська обл., 66863","672","293","664","38","345","34","379","","0","345","34","379","16","363","7","76","6","3","21","250","28.10.12"
"510932","138","Одеська область","школа, коридор, 1-й поверх
вул.Шкільна, 23, с.Олександрівка, Ширяївський р-н, Одеська обл., 66811","416","135","411","42","242","39","281","","0","242","39","281","4","277","2","32","10","3","6","224","28.10.12"
"510933","138","Одеська область","сільський клуб, зал
вул.Центральна, 3, с.Орджонікідзе, Ширяївський р-н, Одеська обл., 66850","432","184","420","36","215","33","248","","0","215","33","248","6","242","9","58","24","5","14","132","29.10.12"
"510934","138","Одеська область","будинок культури, обрядова зала
вул.Шкільна, 11А, с.Осинівка, Ширяївський р-н, Одеська обл., 66841","752","331","747","61","365","56","421","","0","365","56","421","26","395","9","60","26","5","21","274","29.10.12"
"510935","138","Одеська область","будинок культури, вестибюль
вул.Дорожна, 2, с.Преображенка, Ширяївський р-н, Одеська обл., 66832","496","190","496","26","282","24","306","","0","282","24","306","13","293","2","44","15","2","11","219","29.10.12"
"510936","138","Одеська область","школа, фойє
пров.Шкільний, 1А, с.Ревова, Ширяївський р-н, Одеська обл., 66860","208","51","215","19","139","18","157","","0","139","18","157","5","152","0","19","4","0","1","128","29.10.12"
"510937","138","Одеська область","сільська рада, актова зала, 2-й поверх
вул.Леніна, 65, с.Саханське, Ширяївський р-н, Одеська обл., 66842","384","164","373","42","183","37","220","","0","183","37","220","4","216","3","21","17","4","1","170","28.10.12"
"510938","138","Одеська область","школа, фойє
вул.Центральна, 1, с.Старі Маяки, Ширяївський р-н, Одеська обл., 66833","832","410","820","50","378","44","422","","0","378","44","422","24","398","10","57","101","5","14","211","29.10.12"
"510939","138","Одеська область","сільська рада, зала засідань
вул.Комсомольська, 1, с.Чогодарівка, Ширяївський р-н, Одеська обл., 66822","488","241","487","18","232","15","247","","0","232","15","247","8","239","3","83","25","3","14","111","28.10.12"
"510940","138","Одеська область","магазин ТОВ ""РИФ"", торгова зала
вул.Жовтнева, 78, смт Ширяєве, Ширяївський р-н, Одеська обл., 66800","960","511","950","10","442","7","449","","0","442","7","449","20","429","4","100","42","9","31","243","29.10.12"
"510941","138","Одеська область","НВК ""Олімп"", вестибюль
вул.Калініна, 72, смт Ширяєве, Ширяївський р-н, Одеська обл., 66800","1664","742","1642","16","906","16","922","","0","906","16","922","39","883","11","228","68","5","73","498","28.10.12"
"510942","138","Одеська область","будинок культури, зала урочистих подій
вул.Коробченка, 12, смт Ширяєве, Ширяївський р-н, Одеська обл., 66800","2368","1144","2324","62","1171","53","1224","","0","1171","53","1224","33","1191","13","318","105","14","135","606","29.10.12"
"510943","138","Одеська область","школа №3, спортивна зала
вул.Леніна, 401, смт Ширяєве, Ширяївський р-н, Одеська обл., 66800","760","318","705","43","399","43","442","","0","399","43","442","18","424","5","88","35","9","22","265","29.10.12"
"510944","138","Одеська область","вул.Леніна, 27, с.Орджонікідзе, Ширяївський р-н, Одеська обл., 66850
вул.Леніна, 27, с.Орджонікідзе, Ширяївський р-н, Одеська обл., 66850","312","30","292","0","282","0","282","","0","282","0","282","20","262","12","22","51","13","18","146","29.10.12"
"511435","138","Одеська область","адмін. корпус, фоє
вул.Чкалова, 50В, смт Миколаївка, Миколаївський р-н, Одеська обл., 67000","104","70","50","29","21","13","34","","0","21","13","34","0","34","0","8","2","0","4","20","29.10.12"
"511436","138","Одеська область","центральна районна лікарня, актова зала
вул.Леніна, 94, смт Ширяєве, Ширяївський р-н, Одеська обл., 66800","128","70","93","81","12","46","58","","0","12","46","58","0","58","0","4","2","3","1","48","28.10.12"
