"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бобрик
Олександр
Онуфрійович","Бурма
Віталій
Адамович","Кошин
Сергій
Мефодійович","Кушнір
Микола
Захарович","Сорока
Микола
Петрович","Яніцький
Василь
Петрович","Дата підписання протоколу"
"560768","155","Рівненська область","сільський клуб, актова зала
вул.Партизанська, 2, с.Лісове, Рокитнівський р-н, Рівненська обл., 34208","200","29","204","1","170","1","171","","0","170","1","171","5","166","0","7","18","23","98","20","29.10.12"
"560769","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 6А, с.Осницьк, Рокитнівський р-н, Рівненська обл., 34209","592","172","581","5","415","5","420","","0","415","5","420","14","406","7","7","30","195","134","33","29.10.12"
"560770","155","Рівненська область","сільська рада, зал засідань, 1-й поверх
вул.Гагаріна, 3А, с.Сновидовичі, Рокитнівський р-н, Рівненська обл., 34250","712","156","708","51","505","51","556","","0","505","51","556","13","543","3","9","115","76","262","78","29.10.12"
"560771","155","Рівненська область","сільський клуб, актова зала
вул.Антоніо Бланко, 10А, с.Будки-Сновидовицькі, Рокитнівський р-н, Рівненська обл., 34251","176","29","170","15","132","15","147","","0","132","15","147","3","144","3","6","29","6","84","16","28.10.12"
"560772","155","Рівненська область","сільський клуб, актова зала
вул.1 Травня, 21, с.Остки, Рокитнівський р-н, Рівненська обл., 34252","832","249","829","44","542","41","583","","0","542","41","583","10","573","7","31","114","61","269","91","03.11.12"
"560773","155","Рівненська область","сільський будинок культури, актова зала
вул.Богдана Хмельницького, 48А, с.Старе Село, Рокитнівський р-н, Рівненська обл., 34210","2024","804","2025","22","1198","22","1220","","0","1198","22","1220","37","1183","25","41","424","104","508","81","28.10.12"
"560774","155","Рівненська область","сільський будинок культури, актова зала
вул.Шевченка, 94, с.Дроздинь, Рокитнівський р-н, Рівненська обл., 34211","1232","347","1227","10","875","10","885","","0","875","10","885","34","851","12","14","135","51","530","109","29.10.12"
"560775","155","Рівненська область","сільська рада, актова зала, 1-й поверх
вул.Жовтнева, 4А, с.Томашгород, Рокитнівський р-н, Рівненська обл., 34244","1168","381","1160","29","758","29","787","","0","758","29","787","22","765","9","15","158","98","362","123","29.10.12"
"560776","155","Рівненська область","сільський клуб, актова зала
вул.Жовтнева, 35А, с.Єльне, Рокитнівський р-н, Рівненська обл., 34244","512","92","507","22","398","22","420","","0","398","22","420","4","416","4","3","57","38","256","58","29.10.12"
"560879","155","Рівненська область","палац культури, вестибюль 1
майдан Незалежності, 6, м.Кузнецовськ, Рівненська обл., 34400","1616","715","1612","12","892","9","901","","0","892","9","901","25","876","57","44","408","97","112","158","29.10.12"
"560880","155","Рівненська область","палац культури, ""Золота зала""
майдан Незалежності, 6, м.Кузнецовськ, Рівненська обл., 34400","1680","712","1673","19","953","15","968","","0","953","15","968","29","939","68","37","397","113","160","164","29.10.12"
"560881","155","Рівненська область","інформаційний центр ВП РАЕС, вестибюль
майдан Незалежності, 5, м.Кузнецовськ, Рівненська обл., 34400","1640","648","1621","10","985","7","992","","0","985","7","992","31","961","46","38","453","132","139","153","29.10.12"
"560882","155","Рівненська область","школа №1, вестибюль 1
мікрорайон Будівельників, 55, м.Кузнецовськ, Рівненська обл., 34400","1808","714","1796","6","1088","6","1094","","0","1088","6","1094","24","1070","55","42","488","129","206","150","29.10.12"
"560883","155","Рівненська область","школа №1, вестибюль 2
мікрорайон Будівельників, 55, м.Кузнецовськ, Рівненська обл., 34400","1784","710","1763","9","1069","5","1074","","0","1069","5","1074","30","1044","59","31","502","124","168","160","30.10.12"
"560884","155","Рівненська область","музична школа, вестибюль
мікрорайон Будівельників, 54, м.Кузнецовськ, Рівненська обл., 34400","1696","652","1676","11","1035","9","1044","","0","1035","9","1044","32","1012","47","36","528","104","142","155","29.10.12"
"560885","155","Рівненська область","школа №2, вестибюль
мікрорайон Будівельників, 56, м.Кузнецовськ, Рівненська обл., 34400","1680","656","1659","6","1018","6","1024","","0","1018","6","1024","36","988","62","36","481","119","155","135","29.10.12"
"560886","155","Рівненська область","школа №4, вестибюль 1
мікрорайон Вараш, 39, м.Кузнецовськ, Рівненська обл., 34400","2472","922","2447","7","1544","6","1550","","0","1544","6","1550","47","1503","75","54","762","199","199","214","29.10.12"
"560887","155","Рівненська область","школа №4, вестибюль 2
мікрорайон Вараш, 39, м.Кузнецовськ, Рівненська обл., 34400","2408","984","2368","7","1420","4","1424","","0","1420","4","1424","33","1391","85","30","756","145","179","196","29.10.12"
"560888","155","Рівненська область","школа №5, вестибюль 1
мікрорайон Вараш, 36, м.Кузнецовськ, Рівненська обл., 34400","2256","929","2220","8","1321","6","1327","","0","1321","6","1327","29","1298","68","40","657","150","162","221","28.10.12"
"560889","155","Рівненська область","школа №5, вестибюль 2
мікрорайон Вараш, 36, м.Кузнецовськ, Рівненська обл., 34400","2384","945","2342","6","1434","5","1439","","0","1434","5","1439","31","1408","71","44","696","198","177","222","29.10.12"
"560890","155","Рівненська область","школа №3, вестибюль 1
мікрорайон Перемоги, 8, м.Кузнецовськ, Рівненська обл., 34400","2184","802","2146","6","1377","5","1382","","0","1377","5","1382","37","1345","86","43","710","171","144","191","29.10.12"
"560891","155","Рівненська область","школа №3, вестибюль 2
мікрорайон Перемоги, 8, м.Кузнецовськ, Рівненська обл., 34400","2352","907","2332","13","1436","9","1445","","0","1436","9","1445","42","1403","53","41","743","170","196","200","29.10.12"
"560892","155","Рівненська область","ПТУ ВП РАЕС, вестибюль 2
мікрорайон Перемоги, 27, м.Кузнецовськ, Рівненська обл., 34400","2456","967","2441","5","1485","4","1489","","0","1485","4","1489","26","1463","81","34","821","178","152","197","28.10.12"
"560893","155","Рівненська область","ПТУ ВП РАЕС, вестибюль 3
мікрорайон Перемоги, 27, м.Кузнецовськ, Рівненська обл., 34400","2360","871","2352","3","1487","2","1489","","0","1487","2","1489","33","1456","76","46","748","199","193","194","29.10.12"
