"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бернацький
Павло
Васильович","Вознюк
Олександр
Михайлович","Корилкевич
Данило
Михайлович","Королюк
Валентин
Анатолійович","Костючко
Сергій
Степанович","Кравець
Дмитро
Володимирович","Кушнірук
Борис
Борисович","Пшеюк
Ігор
Леонідович","Семенюк
Роман
Володимирович","Тимощук
Василь
Олексійович","Дата підписання протоколу"
"560398","154","Рівненська область","клуб, актова зала
вул.Берегова, 28А, с.Йосипівка, Здолбунівський р-н, Рівненська обл., 35715","96","22","101","9","66","8","74","","0","66","8","74","2","72","0","1","33","13","12","1","1","1","0","10","28.10.12"
"560399","154","Рівненська область","клуб, актова зала
вул.Шкільна, 1А, с.Залісся, Здолбунівський р-н, Рівненська обл., 35715","198","53","195","9","136","9","145","","0","136","9","145","1","144","0","2","71","22","26","1","0","2","0","20","29.10.12"
"560400","154","Рівненська область","ЦРЛ, хірургічний корпус
вул.Степана Бандери, 1, м.Здолбунів, Здолбунівський р-н, Рівненська обл., 35701","228","111","121","27","91","26","117","","0","91","26","117","1","116","0","2","68","17","6","2","0","0","1","20","29.10.12"
"560401","154","Рівненська область","лікарня, фойє 2-й поверх
вул.Богдана Хмельницького, 1, смт Мізоч, Здолбунівський р-н, Рівненська обл., 35740","30","13","20","2","16","1","17","","0","16","1","17","1","16","0","0","2","6","2","1","3","0","0","2","29.10.12"
"560518","154","Рівненська область","школа №1, спортзал
вул.Народна, 14, смт Млинів, Млинівський р-н, Рівненська обл., 35100","2172","796","2062","86","1302","74","1376","","0","1302","74","1376","28","1348","4","39","270","519","392","24","2","5","6","87","29.10.12"
"560519","154","Рівненська область","гуманітарна гімназія, фойє
вул.17 Вересня, 27, смт Млинів, Млинівський р-н, Рівненська обл., 35100","2142","805","2122","59","1281","56","1337","","0","1281","56","1337","22","1315","7","38","175","548","400","25","14","9","7","92","29.10.12"
"560520","154","Рівненська область","школа №3, фойє
вул.Рівненська, 13, смт Млинів, Млинівський р-н, Рівненська обл., 35100","2442","867","2386","31","1546","29","1575","","0","1546","29","1575","20","1555","4","33","239","590","516","32","2","7","9","123","29.10.12"
"560521","154","Рівненська область","школа, к.1
вул.Шкільна, 2, с.Береги, Млинівський р-н, Рівненська обл., 35109","618","196","612","44","380","42","422","","0","380","42","422","10","412","0","3","73","162","136","8","2","0","3","25","29.10.12"
"560522","154","Рівненська область","ФАП, к.1
вул.Кленова, 1, с.Перевередів, Млинівський р-н, Рівненська обл., 35109","330","78","329","25","227","25","252","","0","227","25","252","7","245","1","8","47","115","56","1","0","1","4","12","29.10.12"
"560523","154","Рівненська область","школа, к.1
вул.Шкільна, 4, с.Бокійма, Млинівський р-н, Рівненська обл., 35162","1182","417","1167","93","675","90","765","","0","675","90","765","37","728","3","27","81","357","199","9","3","2","24","23","29.10.12"
"560524","154","Рівненська область","школа, к.1
вул.Шевченка, 24, с.Війниця, Млинівський р-н, Рівненська обл., 35137","576","134","568","63","379","63","442","","0","379","63","442","18","424","1","8","47","131","207","5","3","1","4","17","28.10.12"
"560525","154","Рівненська область","сільська рада, к.1
вул.Ювілейна, 9А, с.Владиславівка, Млинівський р-н, Рівненська обл., 35152","630","181","619","38","412","37","449","","0","412","37","449","12","437","2","5","79","202","111","4","1","11","4","18","28.10.12"
"560526","154","Рівненська область","будинок культури, к.1
вул.Радянська, 26, с.Новоселівка, Млинівський р-н, Рівненська обл., 35153","480","135","475","29","318","27","345","","0","318","27","345","8","337","1","20","109","114","72","1","3","0","3","14","28.10.12"
"560527","154","Рівненська область","сільська рада, к.1
вул.Соборна, 16, с.Вовничі, Млинівський р-н, Рівненська обл., 35135","516","173","509","59","287","56","343","","0","287","56","343","8","335","2","10","29","87","184","1","1","1","4","16","29.10.12"
"560528","154","Рівненська область","школа, к.1
вул.Шкільна, 1А, с.Красне, Млинівський р-н, Рівненська обл., 35135","222","70","220","17","140","12","152","","0","140","12","152","1","151","0","0","20","64","62","1","0","1","1","2","28.10.12"
"560529","154","Рівненська область","клуб, к.1
вул.Молодіжна, 5, с.Добрятин, Млинівський р-н, Рівненська обл., 35136","420","99","418","42","283","38","321","","0","283","38","321","4","317","1","2","25","137","138","1","1","1","3","8","29.10.12"
"560530","154","Рівненська область","школа, к.1
вул.Шкільна, 2, с.Остріїв, Млинівський р-н, Рівненська обл., 35136","228","42","228","26","161","25","186","","0","161","25","186","1","185","1","5","12","73","90","0","0","2","1","1","29.10.12"
"560531","154","Рівненська область","школа, к.1
вул.Радянська, 25, с.Довгошиї, Млинівський р-н, Рівненська обл., 35121","774","307","765","81","390","77","467","","0","390","77","467","13","454","5","15","50","212","115","8","4","5","12","28","29.10.12"
"560532","154","Рівненська область","клуб, к.1
вул.Центральна, 28, с.Кораблище, Млинівський р-н, Рівненська обл., 35150","408","134","397","36","239","35","274","","0","239","35","274","8","266","0","9","59","118","47","3","0","5","7","18","28.10.12"
"560533","154","Рівненська область","клуб, к.1
вул.Шкільна, 20, с.Малин, Млинівський р-н, Рівненська обл., 35114","306","91","302","26","189","26","215","","0","189","26","215","10","205","1","5","49","84","51","1","0","4","4","6","28.10.12"
"560534","154","Рівненська область","клуб, зал
вул.Шевченка, 19, с.Малі Дорогостаї, Млинівський р-н, Рівненська обл., 35108","660","244","651","29","387","29","416","","0","387","29","416","11","405","6","6","66","191","113","3","0","0","3","17","29.10.12"
"560535","154","Рівненська область","клуб, зал
вул.Правди, 38А, с.Брищі, Млинівський р-н, Рівненська обл., 35108","246","63","245","16","170","13","183","","0","170","13","183","5","178","1","3","48","72","42","3","0","0","1","8","28.10.12"
"560536","154","Рівненська область","школа, к.1
вул.Пугачівська, 8, с.Маслянка, Млинівський р-н, Рівненська обл., 35185","450","138","442","26","288","24","312","","0","288","24","312","3","309","0","9","41","153","78","1","3","2","5","17","29.10.12"
"560537","154","Рівненська область","школа, к.1
вул.Шевченка, 30, с.Мальоване, Млинівський р-н, Рівненська обл., 35131","144","41","145","17","94","9","103","","0","94","9","103","0","103","0","0","9","26","64","1","0","0","0","3","29.10.12"
"560538","154","Рівненська область","будинок культури, к.1
вул.Шевченка, 4, с.Миколаївка, Млинівський р-н, Рівненська обл., 35171","486","156","471","48","288","42","330","","0","288","42","330","15","315","0","12","87","114","79","1","1","3","4","14","29.10.12"
"560539","154","Рівненська область","клуб, к.1
вул.Яблунева, 6, с.Яблунівка, Млинівський р-н, Рівненська обл., 35171","150","40","149","24","88","22","110","","0","88","22","110","3","107","0","2","30","48","25","0","0","0","0","2","28.10.12"
"560540","154","Рівненська область","цегельний завод, їдальня
вул.Л.Українки, 12, с.Гнатівка, Млинівський р-н, Рівненська обл., 35171","138","44","136","15","79","15","94","","0","79","15","94","3","91","0","4","46","21","15","0","0","1","1","3","29.10.12"
"560541","154","Рівненська область","сільська рада, к.1
вул.1 Травня, 2В, с.Новосілки, Млинівський р-н, Рівненська обл., 35110","354","83","343","58","213","58","271","","0","213","58","271","18","253","3","2","44","104","75","4","2","0","5","14","28.10.12"
"560542","154","Рівненська область","сільська рада, к.1
вул.Молодіжна, 1, с.Новоукраїнка, Млинівський р-н, Рівненська обл., 35130","636","203","632","60","385","48","433","","0","385","48","433","4","429","4","7","16","131","254","2","1","0","4","10","28.10.12"
"560543","154","Рівненська область","клуб, к.1
вул.Незалежності, 21, с.Надчиці, Млинівський р-н, Рівненська обл., 35130","198","54","190","25","120","24","144","","0","120","24","144","2","142","0","8","10","30","87","0","0","2","1","4","28.10.12"
"560544","154","Рівненська область","будинок культури, к.1
вул.Незалежності, 21, с.Острожець, Млинівський р-н, Рівненська обл., 35113","1212","454","1211","57","702","56","758","","0","702","56","758","12","746","2","18","205","244","168","14","10","2","11","72","29.10.12"
"560545","154","Рівненська область","навчально-виховний комплекс, к.1
вул.Центральна, 91, с.Острожець, Млинівський р-н, Рівненська обл., 35113","1266","411","1255","48","807","48","855","","0","807","48","855","20","835","2","13","169","431","130","10","1","1","7","71","29.10.12"
"560546","154","Рівненська область","школа, к.1
вул.Радянська, 52, с.Певжа, Млинівський р-н, Рівненська обл., 35111","270","73","263","58","143","54","197","","0","143","54","197","4","193","0","7","31","88","55","2","0","1","1","8","29.10.12"
"560547","154","Рівненська область","клуб, к.1
вул.Центральна, 67, с.Мошків, Млинівський р-н, Рівненська обл., 35124","432","147","424","32","256","29","285","","0","256","29","285","5","280","2","8","64","95","83","1","4","7","4","12","28.10.12"
"560548","154","Рівненська область","сільська рада, к.1
вул.Народна, 34, с.Підгайці, Млинівський р-н, Рівненська обл., 35154","852","309","844","77","469","74","543","","0","469","74","543","15","528","1","3","119","221","135","17","1","1","5","25","28.10.12"
"560549","154","Рівненська область","клуб, зал
вул.Шевченка, 2, с.Ужинець, Млинівський р-н, Рівненська обл., 35187","336","78","332","24","235","23","258","","0","235","23","258","9","249","1","0","65","94","84","1","0","0","1","3","28.10.12"
"560550","154","Рівненська область","сільська рада, к.1
вул.Незалежності, 4, с.Підлозці, Млинівський р-н, Рівненська обл., 35132","1110","505","1098","91","521","84","605","","0","521","84","605","11","594","1","9","89","296","145","3","4","4","6","37","29.10.12"
"560551","154","Рівненська область","школа, к.1
вул.Шкільна, 29, с.Пітушків, Млинівський р-н, Рівненська обл., 35120","414","125","409","56","236","53","289","","0","236","53","289","11","278","0","11","28","110","117","2","0","1","1","8","29.10.12"
"560552","154","Рівненська область","школа, к.1
вул.Центральна, 16, с.Тушебин, Млинівський р-н, Рівненська обл., 35120","156","46","153","14","98","12","110","","0","98","12","110","3","107","2","2","52","25","21","1","1","0","0","3","29.10.12"
"560553","154","Рівненська область","сільська рада, к.1
вул.Центральна, 73А, с.Посників, Млинівський р-н, Рівненська обл., 35122","558","130","551","73","357","71","428","","0","357","71","428","17","411","1","14","73","233","56","6","1","3","7","17","29.10.12"
"560554","154","Рівненська область","клуб, к.1
вул.Шевченка, 16, с.Привітне, Млинівський р-н, Рівненська обл., 35123","432","139","421","40","255","38","293","","0","255","38","293","4","289","1","7","27","146","82","2","1","1","4","18","28.10.12"
"560555","154","Рівненська область","сільська рада, к.1
вул.Нова, 1, с.Пугачівка, Млинівський р-н, Рівненська обл., 35134","810","307","809","51","458","45","503","","0","458","45","503","13","490","6","4","68","266","102","6","1","1","10","26","28.10.12"
"560556","154","Рівненська область","школа, к.1
вул.Кузнецова, 58, с.Новини, Млинівський р-н, Рівненська обл., 35134","186","60","178","10","117","9","126","","0","117","9","126","5","121","0","2","13","47","50","1","1","0","4","3","29.10.12"
"560557","154","Рівненська область","школа, к.1
вул.Молодіжна, 3Б, с.Радянське, Млинівський р-н, Рівненська обл., 35186","366","118","359","53","203","45","248","","0","203","45","248","10","238","1","4","100","90","31","2","0","1","1","8","29.10.12"
"560558","154","Рівненська область","сільська рада, к.1
вул.Центральна, 3, с.Смордва, Млинівський р-н, Рівненська обл., 35162","900","343","889","57","506","51","557","","0","506","51","557","22","535","1","7","104","285","114","1","2","0","4","17","29.10.12"
"560559","154","Рівненська область","сільська рада, к.1
вул.Гур’янова, 2, с.Торговиця, Млинівський р-н, Рівненська обл., 35133","402","124","398","31","248","30","278","","0","248","30","278","9","269","1","5","14","102","127","2","0","1","5","12","29.10.12"
"560560","154","Рівненська область","школа, к.1
вул.Шевченка, 7, с.Уїздці, Млинівський р-н, Рівненська обл., 35115","480","132","479","40","309","39","348","","0","309","39","348","12","336","2","1","87","168","57","3","0","0","3","15","29.10.12"
"560561","154","Рівненська область","школа, к.1
вул.Шкільна, 11, с.Борбин, Млинівський р-н, Рівненська обл., 35182","552","212","548","37","308","32","340","","0","308","32","340","8","332","0","8","71","175","58","2","2","1","7","8","29.10.12"
"560562","154","Рівненська область","школа, к.1
вул.Шкільна, 30, с.Хорупань, Млинівський р-н, Рівненська обл., 35161","594","191","580","31","374","29","403","","0","374","29","403","13","390","0","3","114","150","95","3","1","2","3","19","29.10.12"
"560563","154","Рівненська область","школа, к.1
вул.Фермська, 12, с.Мятин, Млинівський р-н, Рівненська обл., 35161","228","79","225","35","118","31","149","","0","118","31","149","2","147","0","6","22","65","46","1","0","1","2","4","29.10.12"
"560564","154","Рівненська область","школа, к.1
вул.Шевченка, 23, с.Аршичин, Млинівський р-н, Рівненська обл., 35181","318","90","308","38","192","36","228","","0","192","36","228","6","222","1","2","33","105","65","0","2","0","0","14","29.10.12"
"560565","154","Рівненська область","школа, к.2
вул.Шкільна, 30, с.Ярославичі, Млинівський р-н, Рівненська обл., 35112","396","91","395","41","266","39","305","","0","266","39","305","7","298","0","3","22","101","160","0","0","0","5","7","28.10.12"
"560566","154","Рівненська область","клуб, зал
вул.Центральна, 30, с.Велика Городниця, Млинівський р-н, Рівненська обл., 35183","492","147","481","35","310","35","345","","0","310","35","345","10","335","2","2","30","146","129","2","0","0","0","24","29.10.12"
"560567","154","Рівненська область","клуб, зал
вул.Зарічна, 6, с.Яловичі, Млинівський р-н, Рівненська обл., 35112","216","64","212","28","125","27","152","","0","125","27","152","0","152","1","2","17","78","46","2","0","0","5","1","28.10.12"
"560568","154","Рівненська область","клуб, зал
вул.Молодіжна, 6, с.Боремець, Млинівський р-н, Рівненська обл., 35112","258","71","257","29","162","25","187","","0","162","25","187","4","183","0","0","21","74","71","3","0","0","6","8","29.10.12"
"560609","154","Рівненська область","будинок культури, фойє, 2-й поверх
вул.Кременецька, 1, м.Радивилів, Радивилівський р-н, Рівненська обл., 35500","2124","986","2108","15","1127","11","1138","","0","1127","11","1138","32","1106","85","37","273","381","171","52","9","7","8","83","28.10.12"
"560610","154","Рівненська область","школа №1- гімназія, столова, 1-й поверх
вул.Грушевського, 39, м.Радивилів, Радивилівський р-н, Рівненська обл., 35500","2094","928","2060","24","1146","20","1166","","0","1146","20","1166","29","1137","93","33","318","402","161","46","8","5","2","69","29.10.12"
"560611","154","Рівненська область","школа №2, актова зала, 2-й поверх
вул.Шкільна, 5, м.Радивилів, Радивилівський р-н, Рівненська обл., 35500","2238","981","2199","13","1247","10","1257","","0","1247","10","1257","29","1228","91","32","315","424","225","40","15","5","3","78","29.10.12"
"560612","154","Рівненська область","міський кінотеатр, глядацький зал
вул.Почаївська, 44, м.Радивилів, Радивилівський р-н, Рівненська обл., 35500","1632","678","1610","19","943","11","954","","0","943","11","954","26","928","57","31","253","356","136","28","3","5","5","54","29.10.12"
"560613","154","Рівненська область","клуб, глядацький зал
вул.Набережна, 107, с.Башарівка, Радивилівський р-н, Рівненська обл., 35550","546","213","538","21","316","17","333","","0","316","17","333","15","318","9","4","58","78","154","4","2","1","1","7","29.10.12"
"560614","154","Рівненська область","клуб, глядацький зал
вул.Почаївська, 33, с.Перенятин, Радивилівський р-н, Рівненська обл., 35551","408","96","405","17","295","17","312","","0","295","17","312","5","307","15","1","25","102","158","1","2","0","0","3","29.10.12"
"560615","154","Рівненська область","клуб, глядацький зал
вул.Центральна, 6, с.Березини, Радивилівський р-н, Рівненська обл., 35521","636","249","621","6","381","6","387","","0","381","6","387","7","380","12","4","112","151","62","13","1","0","5","20","29.10.12"
"560616","154","Рівненська область","сільська рада, зал засідань
вул.Шляхова, 28А, с.Боратин, Радивилівський р-н, Рівненська обл., 35522","282","85","268","9","189","8","197","","0","189","8","197","7","190","16","3","63","47","42","5","5","0","3","6","28.10.12"
"560617","154","Рівненська область","школа-садок, вестибюль
вул.Садова, 58, с.Гоноратка, Радивилівський р-н, Рівненська обл., 35524","192","59","187","15","121","12","133","","0","121","12","133","4","129","10","1","72","20","21","2","0","1","1","1","28.10.12"
"560618","154","Рівненська область","школа, їдальня
вул.Шкільна, 97, с.Довгалівка, Радивилівський р-н, Рівненська обл., 35522","246","75","241","8","164","7","171","","0","164","7","171","0","171","9","0","51","69","31","7","2","1","0","1","29.10.12"
"560619","154","Рівненська область","сільська рада, зал засідань
вул.Шевченка, 36, с.Бугаївка, Радивилівський р-н, Рівненська обл., 35561","1092","485","1082","33","576","31","607","","0","576","31","607","22","585","132","13","94","205","86","27","2","1","6","19","29.10.12"
"560620","154","Рівненська область","клуб, глядацький зал
вул.Стрижака, 30, с.Опарипси, Радивилівський р-н, Рівненська обл., 35564","1014","444","988","31","540","30","570","","0","540","30","570","23","547","68","12","109","194","95","21","8","1","6","33","28.10.12"
"560621","154","Рівненська область","клуб, глядацький зал
вул.Перемоги, 63А, с.Добривода, Радивилівський р-н, Рівненська обл., 35520","198","38","198","17","144","16","160","","0","144","16","160","2","158","4","6","36","63","39","5","0","0","0","5","28.10.12"
"560622","154","Рівненська область","клуб, глядацький зал
вул.Зелена, 27, с.Станіслави, Радивилівський р-н, Рівненська обл., 35521","204","58","200","10","141","5","146","","0","141","5","146","6","140","9","0","53","56","10","4","0","1","2","5","28.10.12"
"560623","154","Рівненська область","школа, вестибюль
вул.Шкільна, 1Б, с.Дружба, Радивилівський р-н, Рівненська обл., 35554","918","325","897","65","536","57","593","","0","536","57","593","12","581","15","23","82","95","308","7","26","6","3","16","29.10.12"
"560624","154","Рівненська область","школа, фойє
вул.Шкільна, 3Б, с.Іващуки, Радивилівський р-н, Рівненська обл., 35530","444","126","442","16","303","15","318","","0","303","15","318","8","310","22","1","104","122","41","4","1","0","3","12","28.10.12"
"560625","154","Рівненська область","клуб, глядацький зал
вул.Набережна, 65А, с.Бригадирівка, Радивилівський р-н, Рівненська обл., 35531","294","80","296","13","204","10","214","","0","204","10","214","0","214","1","2","87","80","34","2","0","0","0","8","28.10.12"
"560626","154","Рівненська область","дитячий садок, читальний зал
вул.40-річчя Перемоги, 112А, с.Зарічне, Радивилівський р-н, Рівненська обл., 35523","564","218","557","24","324","22","346","","0","324","22","346","15","331","12","1","78","152","45","15","1","0","8","19","28.10.12"
"560627","154","Рівненська область","сільська рада, зал засідань
вул.Першотравнева, 49, с.Жовтневе, Радивилівський р-н, Рівненська обл., 35534","552","176","549","24","353","23","376","","0","353","23","376","13","363","4","10","217","50","58","11","1","5","3","4","28.10.12"
"560628","154","Рівненська область","сільська рада, каб.1
вул.Берестецька, 145, с.Козин, Радивилівський р-н, Рівненська обл., 35523","1158","480","1131","17","662","16","678","","0","662","16","678","26","652","51","3","117","339","90","7","4","1","4","36","29.10.12"
"560629","154","Рівненська область","школа, вестибюль
вул.Шевченка, 18, с.Гранівка, Радивилівський р-н, Рівненська обл., 35562","348","125","342","2","221","2","223","","0","221","2","223","7","216","6","1","61","111","19","3","6","1","1","7","28.10.12"
"560630","154","Рівненська область","клуб, каб.1
вул.Миру, 31Б, с.Дубини, Радивилівський р-н, Рівненська обл., 35523","264","81","259","3","181","2","183","","0","181","2","183","4","179","8","3","41","106","17","1","0","0","1","2","28.10.12"
"560631","154","Рівненська область","клуб, вестибюль
вул.Миру, 26Б, с.Савчуки, Радивилівський р-н, Рівненська обл., 35523","252","74","251","0","178","0","178","","0","178","0","178","4","174","9","2","68","80","11","0","0","1","0","3","29.10.12"
"560632","154","Рівненська область","сільська рада, зал засідань
вул.Довга, 68, с.Крупець, Радивилівський р-н, Рівненська обл., 35541","1218","431","1209","48","742","45","787","","0","742","45","787","16","771","23","6","141","309","257","4","5","4","5","17","28.10.12"
"560633","154","Рівненська область","клуб, глядацький зал
вул.Л.Українки, 84А, с.Баранне, Радивилівський р-н, Рівненська обл., 35541","282","80","275","14","189","13","202","","0","189","13","202","4","198","2","5","97","55","31","0","1","0","4","3","28.10.12"
"560634","154","Рівненська область","школа, центральний коридор
вул.Шкільна, 59, с.Срібне, Радивилівський р-н, Рівненська обл., 35542","816","262","804","60","499","55","554","","0","499","55","554","17","537","25","8","193","135","137","4","6","0","3","26","29.10.12"
"560635","154","Рівненська область","сільська рада, актова зала
вул.Київська, 1, с.Михайлівка, Радивилівський р-н, Рівненська обл., 35544","528","191","526","8","330","7","337","","0","330","7","337","9","328","25","7","92","117","62","8","2","1","1","13","29.10.12"
"560636","154","Рівненська область","сільська рада, зал засідань
вул.Й.Петлюка, 52Б, с.Немирівка, Радивилівський р-н, Рівненська обл., 35563","510","194","500","8","309","7","316","","0","309","7","316","13","303","9","4","79","102","82","4","3","1","7","12","29.10.12"
"560637","154","Рівненська область","контора АВОП ""Батьківщина"", зал засідань
вул.Проста, 10, с.Батьків, Радивилівський р-н, Рівненська обл., 35509","456","135","446","24","297","24","321","","0","297","24","321","6","315","16","0","147","68","57","4","7","0","1","15","29.10.12"
"560638","154","Рівненська область","клуб, зал засідань
вул.Ів.Франка, 11, с.Гаї-Лев’ятинські, Радивилівський р-н, Рівненська обл., 35509","246","98","240","4","144","4","148","","0","140","4","144","0","144","10","3","35","47","21","2","6","2","1","17","29.10.12"
"560639","154","Рівненська область","сільська рада, актовий зал
вул.Почаївська, 1, с.Підзамче, Радивилівський р-н, Рівненська обл., 35552","1074","432","1065","51","593","49","642","","0","593","49","642","15","627","54","12","190","194","148","7","2","1","1","18","29.10.12"
"560640","154","Рівненська область","дитячий садок, кімната відпочинку
вул.Миру, 40, с.Копані, Радивилівський р-н, Рівненська обл., 35553","324","97","318","2","225","2","227","","0","225","2","227","4","223","21","2","32","42","120","1","0","0","2","3","29.10.12"
"560641","154","Рівненська область","клуб, глядацький зал
вул.Лесі Українки, 15, с.Пляшева, Радивилівський р-н, Рівненська обл., 35510","684","227","679","20","438","19","457","","0","438","19","457","12","445","7","3","59","201","121","37","2","1","0","14","29.10.12"
"560642","154","Рівненська область","будинок культури, фойє
вул.Богдана Хмельницького, 74, с.Острів, Радивилівський р-н, Рівненська обл., 35511","348","97","344","10","242","9","251","","0","242","9","251","7","244","7","4","56","72","76","8","9","2","3","7","29.10.12"
"560643","154","Рівненська область","будинок культури, фойє
вул.Першотравнева, 3, с.Пустоіванне, Радивилівський р-н, Рівненська обл., 35532","570","168","559","49","358","44","402","","0","358","44","402","14","388","27","4","142","110","65","9","7","1","6","17","28.10.12"
"560644","154","Рівненська область","клуб, фойє
вул.ім.Шевченка, 46, с.Іванівка, Радивилівський р-н, Рівненська обл., 35533","300","74","296","10","217","9","226","","0","217","9","226","5","221","1","8","86","49","62","2","1","1","3","8","29.10.12"
"560645","154","Рівненська область","клуб, глядацький зал
вул.Набережна, 5А, с.Рідків, Радивилівський р-н, Рівненська обл., 35565","354","120","350","21","216","18","234","","0","216","18","234","18","216","25","5","53","72","44","5","1","1","3","7","29.10.12"
"560646","154","Рівненська область","клуб, глядацький зал
вул.Шкільна, 13А, с.Митниця, Радивилівський р-н, Рівненська обл., 35514","348","78","340","26","247","23","270","","0","247","23","270","2","268","6","1","117","97","35","2","0","1","1","8","28.10.12"
"560647","154","Рівненська область","дошкільний навчальний заклад, зал культурно-дозвілевого комплексу
вул.Проста, 83, с.Сестрятин, Радивилівський р-н, Рівненська обл., 35540","618","212","607","78","330","76","406","","0","330","76","406","12","394","25","4","170","84","82","5","4","5","4","11","28.10.12"
"560648","154","Рівненська область","сільська рада, зал засідань
вул.Шкільна, 1, с.Ситне, Радивилівський р-н, Рівненська обл., 35543","432","140","424","2","290","2","292","","0","290","2","292","8","284","6","2","139","76","43","3","2","1","1","11","28.10.12"
"560649","154","Рівненська область","клуб, фойє
вул.Садова, 20, с.Гайки-Ситенські, Радивилівський р-н, Рівненська обл., 35543","336","96","331","1","239","1","240","","0","239","1","240","9","231","9","3","110","56","37","6","0","2","0","8","29.10.12"
"560650","154","Рівненська область","дитячий садок, музично-фізкультурний зал
вул.Грушевського, 68, с.Карпилівка, Радивилівський р-н, Рівненська обл., 35543","276","85","275","0","191","0","191","","0","191","0","191","7","184","5","1","97","42","27","4","3","0","1","4","29.10.12"
"560651","154","Рівненська область","сільська рада, зал засідань
вул.Т.Г.Шевченка, 56, с.Теслугів, Радивилівський р-н, Рівненська обл., 35512","744","255","733","36","457","32","489","","0","457","32","489","12","477","24","11","187","152","73","14","1","4","3","8","29.10.12"
"560652","154","Рівненська область","клуб, глядацький зал
вул.Берестецька, 25Б, с.Пляшівка, Радивилівський р-н, Рівненська обл., 35513","558","170","550","49","343","45","388","","0","343","45","388","9","379","8","8","83","117","132","7","9","1","2","12","29.10.12"
"560653","154","Рівненська область","школа, актова зала
вул.Шкільна, 100А, с.Хотин, Радивилівський р-н, Рівненська обл., 35524","714","275","704","58","385","54","439","","0","385","54","439","14","425","33","10","115","83","159","6","2","2","1","14","29.10.12"
"560654","154","Рівненська область","районна лікарня, хірургічний корпус, вестибюль, 1-й поверх,
вул.Садова, 4, м.Радивилів, Радивилівський р-н, Рівненська обл., 35500","204","163","52","14","31","10","41","","0","31","10","41","3","38","0","1","9","8","17","1","0","1","0","1","28.10.12"
"560857","154","Рівненська область","Дубенський коледж РДГУ, актова зала
вул.Свободи, 44, м.Дубно, Рівненська обл., 35603","1620","679","1604","19","928","13","941","","0","928","13","941","19","922","4","72","267","375","92","6","1","1","9","95","29.10.12"
"560858","154","Рівненська область","будинок дітей та молоді, фойє
площа м-н Незалежності, 1, м.Дубно, Рівненська обл., 35603","1584","636","1574","18","935","13","948","","0","935","13","948","22","926","1","48","261","413","109","9","1","0","5","79","28.10.12"
"560859","154","Рівненська область","районний будинок культури, фойє, 1-й поверх
вул.Д.Галицького, 24, м.Дубно, Рівненська обл., 35603","1548","577","1545","15","958","13","971","","0","958","13","971","33","938","5","35","240","438","106","19","2","1","2","90","29.10.12"
"560860","154","Рівненська область","філія ""Дубенська ДЕД"", актова зала
вул.Львівська, 59, м.Дубно, Рівненська обл., 35603","1644","585","1595","33","1033","26","1059","","0","1033","26","1059","30","1029","4","19","293","554","60","6","1","0","9","83","29.10.12"
"560861","154","Рівненська область","школа №3, спортзала
вул.Стара, 20, м.Дубно, Рівненська обл., 35603","1578","671","1581","18","891","16","907","","0","891","16","907","21","886","4","17","279","421","71","21","3","1","2","67","29.10.12"
"560862","154","Рівненська область","КП ""Дубнорембуд""
вул.Садова, 51А, м.Дубно, Рівненська обл., 35604","1932","690","1916","16","1233","9","1242","","0","1233","9","1242","31","1211","6","38","374","566","102","9","4","1","2","109","29.10.12"
"560863","154","Рівненська область","школа - сад, актовий зал
вул.Венецька, 11А, м.Дубно, Рівненська обл., 35604","1680","645","1648","19","1016","19","1035","","0","1015","19","1034","35","999","3","62","313","441","78","10","2","2","6","82","29.10.12"
"560864","154","Рівненська область","КП ""Дубноводоканал""
вул.Гірницька, 3А, м.Дубно, Рівненська обл., 35604","1800","732","1669","30","1044","24","1068","","0","1044","24","1068","27","1041","5","42","298","469","105","7","7","3","6","99","29.10.12"
"560865","154","Рівненська область","Дубенський міжшкільний навчально-виробничий комбінат
вул.М.Грушевського, 16, м.Дубно, Рівненська обл., 35604","1896","748","1865","8","1140","8","1148","","0","1140","8","1148","25","1123","5","92","311","400","117","12","7","3","7","169","29.10.12"
"560866","154","Рівненська область","гімназія №2, фойє
вул.Морозенка, 34, м.Дубно, Рівненська обл., 35604","1608","676","1582","16","916","16","932","","0","916","16","932","12","920","2","50","252","402","88","15","1","1","4","105","29.10.12"
"560867","154","Рівненська область","Дубенський професійний ліцей, кабінет №9
вул.М.Шашкевича, 3, м.Дубно, Рівненська обл., 35604","1536","590","1521","32","917","29","946","","0","917","29","946","31","915","4","24","249","433","102","6","5","0","2","90","29.10.12"
