"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вознюк
Юрій
Володимирович","Заєць
Іван
Олександрович","Лебедюк
Назарій
Віталійович","Музичко
Олександр
Іванович","Нікішин
Олександр
Олександрович","Хахльов
Олексій
Володимирович","Шавурський
Валентин
Броніславович","Юхименко
Анатолій
Олексійович","Дата підписання протоколу"
"560692","153","Рівненська область","сільський клуб, зал урочистих подій
вул.Свободи, 18Д, с.Колоденка, Рівненський р-н, Рівненська обл., 35306","1728","628","1700","30","1071","29","1100","","0","1071","29","1100","42","1058","600","68","15","8","6","119","16","226","29.10.12"
"560693","153","Рівненська область","школа, спортзал
вул.Свободи, 22, с.Колоденка, Рівненський р-н, Рівненська обл., 35306","1072","394","1066","17","662","16","678","","0","662","16","678","28","650","367","48","13","10","3","59","10","140","29.10.12"
"560694","153","Рівненська область","сільський клуб, зал урочистих подій
вул.Шевченка, 20А, с.Загороща, Рівненський р-н, Рівненська обл., 35305","400","137","396","11","252","11","263","","0","252","11","263","4","259","76","22","2","1","3","28","5","122","28.10.12"
"560695","153","Рівненська область","сільський клуб, зал урочистих подій
вул.Шевченка, 26, с.Кустин, Рівненський р-н, Рівненська обл., 35322","1088","380","1082","53","663","45","708","","0","663","45","708","22","686","391","62","5","8","5","76","12","127","29.10.12"
"560696","153","Рівненська область","будинок культури, танцювальний зал
вул.Шевченка, 1А, с.Малий Шпаків, Рівненський р-н, Рівненська обл., 35362","856","322","848","55","488","46","534","","0","488","46","534","18","516","215","22","1","9","1","132","12","124","29.10.12"
"560697","153","Рівненська область","сільський клуб, актовий зал
вул.Колгоспна, 61А, с.Заріцьк, Рівненський р-н, Рівненська обл., 35362","256","97","249","24","135","24","159","","0","135","24","159","2","157","52","8","1","0","1","66","2","27","29.10.12"
"560698","153","Рівненська область","навчально-виховний комплекс, кл.1
вул.Млинівська, 27, с.Іваничі, Рівненський р-н, Рівненська обл., 35363","456","157","445","50","257","42","299","","0","257","42","299","12","287","122","14","2","2","0","71","3","73","29.10.12"
"560699","153","Рівненська область","сільський клуб, актовий зал
вул.Л.Українки, 5А, с.Підгірці, Рівненський р-н, Рівненська обл., 35362","104","29","100","22","58","17","75","","0","58","17","75","6","69","26","0","1","0","0","20","0","22","29.10.12"
"560700","153","Рівненська область","будинок культури, бібліотека
вул.Приходька, 49, с.Нова Українка, Рівненський р-н, Рівненська обл., 35323","704","251","705","23","433","20","453","","0","433","20","453","18","435","217","15","4","12","2","46","7","132","29.10.12"
"560701","153","Рівненська область","сільський клуб, актовий зал
вул.Я.Федюри, 1, с.Козлин, Рівненський р-н, Рівненська обл., 35323","744","301","734","48","405","38","443","","0","405","38","443","17","426","121","30","7","15","2","120","8","123","29.10.12"
"560702","153","Рівненська область","школа, кл.1
вул.Шкільна, 13, с.Радиславка, Рівненський р-н, Рівненська обл., 35340","192","72","183","15","105","15","120","","0","105","15","120","8","112","49","2","0","2","0","11","0","48","29.10.12"
"560703","153","Рівненська область","будинок культури, актовий зал
вул.Хмільна, 34, с.Обарів, Рівненський р-н, Рівненська обл., 35307","2448","918","2387","34","1502","28","1530","","0","1502","28","1530","60","1470","831","89","24","17","6","131","15","357","29.10.12"
"560704","153","Рівненська область","сільський клуб, актовий зал
вул.Гагаріна, 11, с.Ставки, Рівненський р-н, Рівненська обл., 35307","440","127","436","20","296","17","313","","0","296","17","313","3","310","186","13","2","10","0","54","1","44","29.10.12"
"560705","153","Рівненська область","будинок культури, зал
вул.І.Франка, 1, с.Олександрія, Рівненський р-н, Рівненська обл., 35320","2176","797","2170","72","1313","66","1379","","0","1313","66","1379","52","1327","713","96","9","11","2","187","34","275","29.10.12"
"560706","153","Рівненська область","навчально-виховний комплекс ""школа-ліцей"", спортзал
вул.В.Стуса, 1, с.Нова Любомирка, Рівненський р-н, Рівненська обл., 35321","1240","539","1230","34","671","30","701","","0","671","30","701","31","670","314","27","13","11","8","122","31","144","29.10.12"
"560707","153","Рівненська область","школа, кл.1
вул.Зелена, 29А, с.Волошки, Рівненський р-н, Рівненська обл., 35320","272","92","264","23","158","22","180","","0","158","22","180","0","180","98","4","0","0","1","24","6","47","29.10.12"
"560708","153","Рівненська область","школа, кл.1
вул.Б.Хмельницького, 42, с.Сухівці, Рівненський р-н, Рівненська обл., 35335","360","130","359","23","211","19","230","","0","211","19","230","9","221","87","23","0","3","0","54","2","52","29.10.12"
"560709","153","Рівненська область","сільська рада, актовий зал
вул.Незалежності, 22, с.Радухівка, Рівненський р-н, Рівненська обл., 35333","256","79","257","22","158","19","177","","0","158","19","177","5","172","81","15","2","1","0","14","5","54","29.10.12"
"560710","153","Рівненська область","школа, спортзал
вул.Шкільна, 1, с.Іскра, Рівненський р-н, Рівненська обл., 35334","408","154","394","23","232","22","254","","0","232","22","254","5","249","98","19","0","4","1","35","1","91","29.10.12"
"560711","153","Рівненська область","ФАП, к.1
вул.Набережна, 17А, с.Новостав-Дальній, Рівненський р-н, Рівненська обл., 35334","112","37","105","15","60","15","75","","0","60","15","75","2","73","29","5","2","0","0","4","0","33","29.10.12"
"560712","153","Рівненська область","сільський клуб, зал урочистих подій
вул.Незалежності, 5А, с.Тайкури, Рівненський р-н, Рівненська обл., 35351","696","233","691","54","414","49","463","","0","414","49","463","20","443","146","25","4","7","2","47","5","207","29.10.12"
"560713","153","Рівненська область","школа, актовий зал
вул.Незалежності, 24, с.Шубків, Рівненський р-н, Рівненська обл., 35325","1448","575","1437","36","840","33","873","","0","840","33","873","29","844","382","112","9","14","3","96","16","212","29.10.12"
"560714","153","Рівненська область","школа, актовий зал
вул.Мирна, 84, с.Гориньград Перший, Рівненський р-н, Рівненська обл., 35326","392","155","388","12","225","12","237","","0","225","12","237","13","224","107","9","2","3","1","31","1","70","29.10.12"
"560715","153","Рівненська область","школа, спортзал
вул.Шкільна, 34, с.Рисв’янка, Рівненський р-н, Рівненська обл., 35326","224","51","219","24","151","22","173","","0","151","22","173","9","164","64","4","2","2","1","35","1","55","29.10.12"
"560716","153","Рівненська область","школа, кл.2
вул.Шкільна, 33, с.Гориньград Другий, Рівненський р-н, Рівненська обл., 35326","200","65","192","20","117","18","135","","0","117","18","135","2","133","59","9","2","2","0","17","0","44","29.10.12"
"560717","153","Рівненська область","школа, хол
вул.Новоселів, с.Котів, Рівненський р-н, Рівненська обл., 35375","528","195","528","15","324","9","333","","0","324","9","333","15","318","151","16","2","4","3","61","2","79","29.10.12"
"560718","153","Рівненська область","школа, їдальня
вул.Шевченка, 1, с.Великий Олексин, Рівненський р-н, Рівненська обл., 35302","2408","1060","2378","40","1311","37","1348","","0","1311","37","1348","76","1272","757","109","22","13","9","152","11","199","29.10.12"
"560719","153","Рівненська область","школа, рекреація
вул.Шкільна, 2А, с.Шпанів, Рівненський р-н, Рівненська обл., 35301","760","260","755","8","492","8","500","","0","492","8","500","25","475","286","57","8","2","4","28","6","84","29.10.12"
"560720","153","Рівненська область","будинок культури, актовий зал
вул.Шкільна, 3, с.Шпанів, Рівненський р-н, Рівненська обл., 35301","2024","881","2012","66","1083","60","1143","","0","1083","60","1143","57","1086","628","59","15","12","2","124","24","222","29.10.12"
"560721","153","Рівненська область","сільський клуб, фойє
вул.Робітнича, 15, с.Хотин, Рівненський р-н, Рівненська обл., 35303","712","253","708","34","429","30","459","","0","429","30","459","26","433","219","34","15","7","2","45","6","105","29.10.12"
"560722","153","Рівненська область","будинок культури, фойє
вул.Тиха, 16, смт Клевань, Рівненський р-н, Рівненська обл., 35312","2160","968","2125","35","1161","31","1192","","0","1161","31","1192","45","1147","560","103","28","19","7","96","46","288","29.10.12"
"560723","153","Рівненська область","ДП ""Клеванський держлісгосп"", фойє
вул.Лісова, 6, смт Клевань, Рівненський р-н, Рівненська обл., 35312","2256","886","2232","27","1347","23","1370","","0","1347","23","1370","60","1310","719","137","23","27","10","97","48","249","29.10.12"
"560724","153","Рівненська область","КЗ ""Клеванська школа інтернат"", спортзал
вул.Б.Хмельницького, 47, смт Клевань, Рівненський р-н, Рівненська обл., 35311","1704","712","1664","31","971","21","992","","0","971","21","992","65","927","539","58","17","13","6","78","17","199","29.10.12"
"560725","153","Рівненська область","Квасилівський професійний ліцей, фойє
вул.Молодіжна, 30, смт Квасилів, Рівненський р-н, Рівненська обл., 35350","2232","945","2206","7","1283","4","1287","","0","1283","4","1287","78","1209","630","64","33","23","12","123","31","293","29.10.12"
"560726","153","Рівненська область","навчально-виховний комплекс ""школа-ліцей"", фойє
вул.Молодіжна, 22, смт Квасилів, Рівненський р-н, Рівненська обл., 35350","1816","719","1794","10","1088","9","1097","","0","1088","9","1097","71","1026","584","70","23","13","7","89","22","218","29.10.12"
"560727","153","Рівненська область","будинок культури, кімната громадської приймальні
вул.Б.Хмельницького, 1А, смт Квасилів, Рівненський р-н, Рівненська обл., 35350","1888","628","1868","41","1219","41","1260","","0","1219","41","1260","49","1211","668","97","14","15","7","89","28","293","29.10.12"
"560728","153","Рівненська область","навчально-виховний комплекс ""школа-колегіум"", коридор
вул.Центральна, 1, смт Оржів, Рівненський р-н, Рівненська обл., 35313","1400","516","1366","37","849","35","884","","0","849","35","884","31","853","370","49","13","16","4","103","17","281","29.10.12"
"560729","153","Рівненська область","будинок культури, актовий зал
вул.Заводська, 3, смт Оржів, Рівненський р-н, Рівненська обл., 35313","1944","739","1923","29","1179","26","1205","","0","1179","26","1205","43","1162","500","65","22","9","10","156","24","376","29.10.12"
"560730","153","Рівненська область","КЗ ""РОГІВ"", хол кардіологічного відділення
вул.Дераженська, 39, смт Клевань, Рівненський р-н, Рівненська обл., 35311","248","83","165","14","151","14","165","","0","151","14","165","17","148","67","19","7","3","2","8","12","30","29.10.12"
"560731","153","Рівненська область","Рівненська ЦРЛ, актова зала
вул.Центральна, 1А, смт Клевань, Рівненський р-н, Рівненська обл., 35311","152","0","160","38","114","38","152","","0","114","38","152","5","147","40","5","0","0","0","9","0","93","29.10.12"
"560732","153","Рівненська область","Городищенська ВК №96, кабінет виховної роботи дільниці ПКТ
с.Городище, Рівненський р-н, Рівненська обл., 35341","688","39","649","0","649","0","649","","0","649","0","649","122","527","111","16","40","28","11","17","17","287","29.10.12"
"560733","153","Рівненська область","Городоцький ВЦ №131, клас службової підготовки, 1-й поверх
с.Городок, Рівненський р-н, Рівненська обл., 35331","328","40","288","0","288","0","288","","0","288","0","288","2","286","11","1","4","1","0","0","0","269","29.10.12"
"560894","153","Рівненська область","ЗНЗ №1, фойє
пл.Декабристів, 6А, м.Острог, Рівненська обл., 35800","1784","622","1753","29","1135","27","1162","","0","1135","27","1162","43","1119","443","41","6","2","6","352","70","199","29.10.12"
"560895","153","Рівненська область","НВК Гімназія, актовий зал
пл.Декабристів, 6, м.Острог, Рівненська обл., 35800","1680","676","1672","41","964","40","1004","","0","964","40","1004","35","969","379","55","5","8","3","258","41","220","29.10.12"
"560896","153","Рівненська область","ДПТНЗ ""ОВПУ"" училище, їдальня
вул.Татарська, 122А, м.Острог, Рівненська обл., 35800","1816","797","1794","32","992","27","1019","","0","992","27","1019","40","979","409","44","7","5","1","263","52","198","29.10.12"
"560897","153","Рівненська область","КМЦ Академії, танцювальний зал
просп.Незалежності, 54, м.Острог, Рівненська обл., 35800","1824","813","1822","23","993","18","1011","","0","993","18","1011","50","961","439","58","7","4","2","196","53","202","29.10.12"
"560898","153","Рівненська область","водоканал, актовий зал
вул.І.Федорова, 56, м.Острог, Рівненська обл., 35800","1408","530","1388","23","858","20","878","","0","858","20","878","32","846","446","50","8","5","1","162","33","141","29.10.12"
"560899","153","Рівненська область","ЗНЗ №3, спортивний зал
вул.І.Вишенського, 3, м.Острог, Рівненська обл., 35800","1776","708","1764","34","1035","33","1068","","0","1035","33","1068","64","1004","488","39","7","5","2","175","52","236","29.10.12"
"560900","153","Рівненська область","обласна психіатрична лікарня, актовий зал
просп.Незалежності, 40А, м.Острог, Рівненська обл., 35800","368","267","115","0","101","0","101","","0","101","0","101","20","81","29","6","5","2","1","3","1","34","29.10.12"
"560975","153","Рівненська область","міський палац культури, вестибюль
вул.Гагаріна, 6, м.Рівне, 33003","2400","819","2361","13","1568","13","1581","","0","1568","13","1581","112","1469","811","163","26","39","9","121","73","227","29.10.12"
"560976","153","Рівненська область","школа №13, спортивний зал
вул.Гагаріна, 53, м.Рівне, 33022","2200","771","2168","7","1424","5","1429","","0","1424","5","1429","78","1351","751","114","26","23","14","123","93","207","29.10.12"
"560977","153","Рівненська область","бібліотека-філія №10, читальний зал
вул.Гагаріна, 67, м.Рівне, 33022","1880","638","1855","9","1235","7","1242","","0","1235","7","1242","69","1173","599","120","31","33","14","104","59","213","29.10.12"
"560978","153","Рівненська область","дитячий садок №35, музичний зал
вул.Гагаріна, 73, м.Рівне, 33022","1768","643","1731","5","1120","5","1125","","0","1120","5","1125","54","1071","602","99","21","26","5","105","51","162","29.10.12"
"560979","153","Рівненська область","школа №22, фойє
проспект Князя Романа, 14А, м.Рівне, 33022","2272","847","2227","14","1411","14","1425","","0","1411","14","1425","83","1342","740","145","17","24","17","81","90","228","29.10.12"
"560980","153","Рівненська область","Рівненська гімназія ""Гармонія"", актовий зал
проспект Олеко Дундича, 26, м.Рівне, 33022","1672","669","1652","7","997","6","1003","","0","997","6","1003","46","957","545","78","21","16","9","63","44","181","29.10.12"
"560981","153","Рівненська область","гуртожиток ВАТ ""Рівненська фабрика нетканих матеріалів"", фойє
вул.Фабрична, 4А, м.Рівне, 33006","1808","692","1800","7","1112","4","1116","","0","1110","4","1114","75","1039","662","87","14","11","6","55","32","172","29.10.12"
"560982","153","Рівненська область","дитячий садок №43, музичний зал
вул.Фабрична, 3, м.Рівне, 33016","1984","831","1957","2","1151","2","1153","","0","1151","2","1153","79","1074","662","73","23","14","8","66","33","195","29.10.12"
"560983","153","Рівненська область","гуртожиток №9 ВАТ ""Рівнельон"", актовий зал
вул.Фабрична, 20, м.Рівне, 33006","1424","659","1393","3","763","2","765","","0","763","2","765","62","703","401","41","19","11","5","44","28","154","29.10.12"
