"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Алєксєєв
Ігор
Володимирович","Божидарнік
Тарас
Вікторович","Гайдучик
Петро
Данилович","Голєва
Олена
Василівна","Козюра
Андрій
Григорович","Кравчук
Петро
Костянтинович","Недужко
Юрій
Вікторович","Палиця
Ігор
Петрович","Пащук
Віктор
Михайлович","Плакса
Ярослав
Вікторович","Сітуха
Сергій
Дмитрович","Федосюк
Віталій
Євгенійович","Дата підписання протоколу"
"071053","22","Волинська область","гімназія №4 ім. М.Левицького, їдальня, 1-й поверх
просп.Волі, 25, м.Луцьк, 43025","2442","831","2418","21","1594","17","1611","","0","1594","17","1611","40","1571","191","22","35","73","22","445","84","562","53","7","7","70","29.10.12"
"071054","22","Волинська область","Луцький педагогічний коледж, каб.22, 1-й поверх
просп.Волі, 36, м.Луцьк, 43010","1998","588","1993","25","1388","22","1410","","0","1388","22","1410","33","1377","135","20","39","53","21","328","34","587","60","10","10","80","29.10.12"
"071055","22","Волинська область","Коледж технологій та бізнесу Волинського національного ун-ту ім. Лесі Українки, їдальня, 1-й поверх
просп.Волі, 51, м.Луцьк, 43010","2112","911","2092","17","1187","14","1201","","0","1187","14","1201","23","1178","131","21","30","96","25","298","48","457","9","8","7","48","29.10.12"
"071056","22","Волинська область","бібліотека-філія №10, читальний зал, 1-й поверх
пл.Київський майдан, 13, м.Луцьк, 43010","1968","633","1954","24","1314","21","1335","","0","1314","21","1335","44","1291","118","34","49","91","24","385","57","421","37","5","11","59","29.10.12"
"071057","22","Волинська область","природничий ліцей №7, каб.18, 1-й поверх
вул.Дубнівська, 14, м.Луцьк, 43010","1896","716","1878","20","1163","17","1180","","0","1163","17","1180","35","1145","116","30","23","73","31","322","55","399","33","3","10","50","30.10.12"
"071058","22","Волинська область","школа-інтернат, актовий зал, 1-й поверх
вул.Дубнівська, 32, м.Луцьк, 43010","1782","709","1754","22","1053","20","1073","","0","1053","20","1073","35","1038","102","15","16","51","19","266","30","470","15","13","8","33","29.10.12"
"071059","22","Волинська область","ЗАТ ""ЛуцькАвтоДор"", вестибюль, 1-й поверх
вул.Дубнівська, 66, м.Луцьк, 43010","1440","534","1444","6","901","5","906","","0","901","5","906","21","885","85","24","17","29","16","349","14","308","13","1","3","26","02.11.12"
"071060","22","Волинська область","ДП ""Волинський облавтодор"", актовий зал, 1-й поверх
вул.Рівненська, 52А, м.Луцьк, 43020","1896","635","1877","10","1252","9","1261","","0","1252","9","1261","26","1235","128","18","21","86","17","326","47","494","26","3","5","64","29.10.12"
"071061","22","Волинська область","Луцький біотехнічний інститут Міжнародного науково-технічного ун-ту, конференц-зал, 1-й поверх
вул.Гетьмана Сагайдачного, 6, м.Луцьк, 43020","2382","848","2348","11","1525","9","1534","","0","1525","9","1534","38","1496","125","20","43","93","25","370","51","677","36","6","9","41","29.10.12"
"071062","22","Волинська область","гімназія №18, спортивний зал, 1-й поверх
просп.Відродження, 20А, м.Луцьк, 43024","2214","762","2197","17","1436","16","1452","","0","1436","16","1452","35","1417","131","21","19","95","32","393","55","599","26","9","9","28","29.10.12"
"071063","22","Волинська область","школа №17, спортивний зал, 1-й поверх
вул.Щусева, 7, м.Луцьк, 43020","2166","833","2143","7","1328","5","1333","","0","1327","5","1332","36","1296","131","18","32","90","17","325","45","558","25","9","13","33","29.10.12"
"071064","22","Волинська область","музична школа №2, фойє, 1-й поверх
вул.Декабристів, 15, м.Луцьк, 43020","2502","867","2481","25","1613","22","1635","","0","1613","22","1635","46","1589","145","27","18","104","34","442","52","667","27","10","11","52","30.10.12"
"071065","22","Волинська область","спортивна школа №2, спортивний зал, 1-й поверх
вул.Гетьмана Мазепи, 49А, м.Луцьк, 43020","1656","539","1648","12","1105","12","1117","","0","1105","11","1116","36","1080","94","14","11","54","18","380","35","419","13","6","4","32","29.10.12"
"071066","22","Волинська область","школа №23, фойє, 1-й поверх
вул.Софії Ковалевської, 56, м.Луцьк, 43024","2496","961","2463","5","1530","5","1535","","0","1530","5","1535","29","1506","149","31","24","90","26","387","34","701","26","9","3","26","29.10.12"
"071067","22","Волинська область","комунальне підприємство ""Естет"", верхній зал
просп.Відродження, 22А, м.Луцьк, 43020","1476","567","1484","4","905","4","909","","0","905","4","909","33","876","70","43","13","36","11","215","15","412","21","5","3","32","29.10.12"
"071068","22","Волинська область","житлово-комунальне підприємство №7, актовий зал, 2-й поверх
вул.Січова, 20А, м.Луцьк, 43008","1428","536","1412","13","879","13","892","","0","879","13","892","16","876","85","15","25","55","15","234","17","390","6","5","4","25","29.10.12"
"071069","22","Волинська область","Теремнівський будинок культури, зал
вул.Теремнівська, 59, м.Луцьк, 43008","2388","937","2355","15","1437","14","1451","","0","1437","14","1451","43","1408","138","36","24","72","23","405","37","592","19","13","10","39","29.10.12"
"071070","22","Волинська область","Луцький геріатричний пансіонат, актовий зал, 2-й поверх
вул.Теремнівська, 70, м.Луцьк, 43008","186","15","188","45","131","40","171","","0","131","40","171","3","168","6","3","8","10","2","27","2","109","0","0","1","0","29.10.12"
"071071","22","Волинська область","бібліотека-філія №5, читальний зал, 1-й поверх
просп.Відродження, 26Б, м.Луцьк, 43020","2430","810","2417","7","1616","4","1620","","0","1616","4","1620","46","1574","196","21","23","88","39","470","59","579","23","5","15","56","29.10.12"
"071072","22","Волинська область","школа-ліцей №22, спортивний зал, 1-й поверх
просп.Відродження, 32, м.Луцьк, 43024","2268","768","2255","24","1476","24","1500","","0","1476","24","1500","29","1471","142","29","44","84","34","432","37","549","48","8","12","52","29.10.12"
"071073","22","Волинська область","обласна профспілкова бібліотека, читальний зал
просп.Молоді, 4, м.Луцьк, 43024","2226","842","2202","8","1377","7","1384","","0","1377","7","1384","48","1336","137","24","28","72","46","391","59","507","20","10","7","35","29.10.12"
"071074","22","Волинська область","гуртожиток Волинського національного університету імені Лесі Українки, ауд.110, 1-й поверх
просп.Молоді, 8А, м.Луцьк, 43024","2478","839","2449","2","1637","2","1639","","0","1637","2","1639","42","1597","165","30","23","73","44","389","52","702","17","5","9","88","29.10.12"
"071075","22","Волинська область","гуртожиток Волинського національного університету імені Лесі Українки, актовий зал, 1-й поверх
просп.Соборності, 7, м.Луцьк, 43024","2010","656","2084","4","1353","1","1354","","0","1353","1","1354","28","1326","153","14","26","51","22","237","25","716","30","4","7","41","29.10.12"
"071076","22","Волинська область","дитяча художня школа, виставковий зал, 1-й поверх
вул.Ветеранів, 4, м.Луцьк, 43024","2268","786","2233","15","1467","15","1482","","0","1467","15","1482","43","1439","154","31","35","85","26","426","50","538","31","6","12","45","29.10.12"
"071077","22","Волинська область","школа №19, спортивний зал, 1-й поверх
вул.Ветеранів, 5А, м.Луцьк, 43024","2520","867","2491","10","1644","9","1653","","0","1644","9","1653","34","1619","175","40","57","92","32","449","60","595","34","10","7","68","29.10.12"
"071078","22","Волинська область","школа №10, вестибюль, 1-й поверх
вул.Ветеранів, 5, м.Луцьк, 43024","2376","849","2347","16","1513","14","1527","","0","1513","14","1527","43","1484","116","31","46","83","36","443","77","563","19","4","8","58","29.10.12"
"071079","22","Волинська область","центр науково-технічної творчості, вестибюль
вул.В’ячеслава Чорновола, 3, м.Луцьк, 43024","2292","775","2278","8","1510","7","1517","","0","1510","7","1517","41","1476","177","45","38","76","32","415","49","544","14","5","8","73","29.10.12"
"071080","22","Волинська область","школа №26, основний корпус, фойє, 1-й поверх
вул.Кравчука, 30, м.Луцьк, 43026","2478","887","2444","14","1579","12","1591","","0","1579","12","1591","44","1547","176","34","39","78","33","423","60","596","34","6","11","57","29.10.12"
"071081","22","Волинська область","гуртожиток Волинського національного університету імені Лесі Українки, актовий зал
вул.Кравчука, 36, м.Луцьк, 43026","2520","824","2535","3","1693","3","1696","","0","1693","3","1696","57","1639","176","38","44","92","41","399","57","667","33","10","13","69","29.10.12"
"071082","22","Волинська область","спортивний клуб ""Білий м’яч"", спортивний зал
вул.Конякіна, 35, м.Луцьк, 43026","2508","972","2483","4","1534","2","1536","","0","1534","2","1536","56","1480","184","23","71","61","36","385","47","553","45","5","16","54","29.10.12"
"071083","22","Волинська область","школа №26, новий корпус, фойє, 1-й поверх
вул.Кравчука, 30, м.Луцьк, 43026","2460","848","2440","5","1608","4","1612","","0","1608","4","1612","50","1562","198","35","37","84","40","443","59","572","18","8","11","57","29.10.12"
"071084","22","Волинська область","експертно-технічний центр, конференц-зал
вул.Кравчука, 22В, м.Луцьк, 43026","2388","845","2365","7","1536","7","1543","","0","1536","7","1543","37","1506","156","34","33","91","45","425","69","553","25","16","9","50","29.10.12"
"071085","22","Волинська область","гімназія №21 імені М.Кравчука, спортивний зал
вул.Кравчука, 14, м.Луцьк, 43026","2406","868","2406","0","1538","0","1538","","0","1538","0","1538","34","1504","198","28","28","85","41","455","72","514","21","7","9","46","29.10.12"
"071086","22","Волинська область","палац урочистих подій, лекційний зал, 1-й поверх
пр-т Соборності, 18, м.Луцьк, 43026","2256","758","2229","2","1497","1","1498","","0","1497","1","1498","35","1463","202","25","30","81","26","386","57","538","22","9","12","75","29.10.12"
"071087","22","Волинська область","спілка ветеранів Афганістану, спортивний зал, 2-й поверх
просп.Молоді, 14А, м.Луцьк, 43024","2478","872","2459","8","1598","8","1606","","0","1597","8","1605","33","1572","130","30","31","74","75","442","82","603","40","8","6","51","31.10.12"
"071088","22","Волинська область","гімназія №21 імені М.Кравчука, вестибюль, 1-й поверх
вул.Кравчука, 14, м.Луцьк, 43026","2448","887","2426","3","1559","2","1561","","0","1559","2","1561","37","1524","137","30","23","83","45","464","74","563","31","11","10","53","29.10.12"
"071089","22","Волинська область","житлово-комунальне підприємство №11, актовий зал
вул.Федорова, 9, м.Луцьк, 43026","2430","834","2410","9","1587","9","1596","","0","1587","9","1596","39","1557","173","30","47","70","57","421","93","548","35","8","8","67","29.10.12"
"071090","22","Волинська область","школа №25, актовий зал, 1-й поверх
вул.Федорова, 7, м.Луцьк, 43026","2460","922","2428","8","1531","7","1538","","0","1531","7","1538","44","1494","177","38","24","84","39","393","56","601","24","10","16","32","29.10.12"
"071091","22","Волинська область","Луцький інститут розвитку людини Університету ""Україна"", корп.2, бібліотека
вул.Карбишева, 2, м.Луцьк, 43023","2466","1002","2437","10","1455","9","1464","","0","1454","9","1463","28","1435","136","18","38","105","44","397","77","538","27","10","6","39","29.10.12"
"071092","22","Волинська область","Технічний коледж Луцького національного технічного університету, фойє, 1- поверх
вул.Конякіна, 5, м.Луцьк, 43023","2514","923","2497","7","1584","7","1591","","0","1584","7","1591","35","1556","165","29","23","82","28","456","46","624","32","14","7","50","28.10.12"
"071093","22","Волинська область","школа-колегіум №11, спортивний зал, 1-поверх
вул.Наливайка, 10Б, м.Луцьк, 43023","2460","773","2433","20","1669","18","1687","","0","1669","18","1687","41","1646","163","33","57","102","27","400","63","691","47","7","12","44","29.10.12"
"071094","22","Волинська область","Мостобудівельний загін №60 ПАТ ""Мостобуд"", актовий зал
вул.Ківерцівська, 7А, м.Луцьк, 43006","2022","908","1995","16","1098","16","1114","","0","1098","16","1114","21","1093","117","30","27","60","29","324","40","412","14","6","7","27","29.10.12"
"071095","22","Волинська область","школа №12, спортивний зал, 1-й поверх
вул.Салтикова-Щедріна, 1, м.Луцьк, 43006","2448","833","2398","16","1600","15","1615","","0","1600","15","1615","36","1579","114","22","21","77","27","455","23","762","9","8","5","56","29.10.12"
"071096","22","Волинська область","Волинський обласний онкологічний диспансер, актовий зал, 1-й поверх
вул.Тимірязєва, 1, м.Луцьк, 43018","186","56","151","32","103","27","130","","0","103","27","130","3","127","16","5","5","10","7","30","0","34","12","3","0","5","29.10.12"
"071097","22","Волинська область","обласне територіальне медичне протитуберкульозне об’єднання, каб.25, 1-й поверх
вул.Львівська, 50, м.Луцьк, 43018","354","333","84","29","17","4","21","","0","17","4","21","1","20","0","0","0","2","0","4","1","12","0","1","0","0","30.10.12"
"071098","22","Волинська область","Волинський обласний госпіталь для інвалідів війни, актовий зал, 2-й поверх
вул.Стефаника, 3А, м.Луцьк, 43001","204","49","162","17","138","17","155","","0","138","17","155","2","153","5","4","7","16","1","54","1","53","6","1","1","4","29.10.12"
"071099","22","Волинська область","Волинська обласна інфекційна лікарня, ""Червоний куточок""
вул.Шевченка, 30, м.Луцьк, 43001","42","15","58","0","27","0","27","","0","27","0","27","0","27","3","0","2","1","0","4","0","15","1","1","0","0","29.10.12"
"071100","22","Волинська область","Луцький клінічний пологовий будинок, каб.24
вул.Гулака-Артемовського, 18, м.Луцьк, 43005","204","109","105","4","91","4","95","","0","91","4","95","4","91","7","4","3","5","2","13","3","50","1","1","0","2","29.10.12"
"071101","22","Волинська область","Волинська обласна клінічна лікарня, хол радіологічного центру, 1-й поверх
просп.Президента Грушевського, 21, м.Луцьк, 43005","456","129","381","101","240","87","327","","0","240","87","327","15","312","34","9","19","19","8","68","8","123","8","3","1","12","29.10.12"
"071102","22","Волинська область","Волинська обласна психіатрична лікарня, відділення №7, 1-й поверх
вул.Теремнівська, 98, м.Луцьк, 43008","156","97","170","0","59","0","59","","0","59","0","59","7","52","6","4","1","7","4","5","4","16","1","1","0","3","29.10.12"
"071103","22","Волинська область","Луцька міська клінічна лікарня, актовий зал, 2-й поверх
пр-т Відродження, 13, м.Луцьк, 43024","708","406","426","145","200","102","302","","0","200","102","302","9","293","27","5","3","21","9","76","4","125","5","2","5","11","29.10.12"
"071104","22","Волинська область","Волинський обласний наркологічний диспансер, хол поліклінічного відділення, 1-й поверх
вул.Карбишева, 2, 1, м.Луцьк, 43023","120","72","50","0","48","0","48","","0","48","0","48","4","44","6","1","1","1","0","9","1","18","3","1","2","1","29.10.12"
