"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Войтович
Віталій
Володимирович","Загрева
Борис
Юхимович","Іванченко
Олександр
Анатолійович","Карпюк
Роман
Петрович","Красуля
Володимир
Анатолійович","Мартиняк
Сергій
Васильович","Маткобожик
Анатолій
Андрійович","Українець
Михайло
Григорович","Дата підписання протоколу"
"070893","20","Волинська область","сільський клуб, фойє
вул.Центральна, 49Б, с.Ягідне, Турійський р-н, Волинська обл., 44836","176","53","171","6","117","6","123","","0","117","6","123","0","123","5","28","6","22","15","40","4","3","29.10.12"
"070894","20","Волинська область","школа, хол
вул.Шевченка, 3, с.Дольск, Турійський р-н, Волинська обл., 44814","368","78","359","31","262","28","290","","0","262","28","290","3","287","0","75","4","46","95","60","6","1","29.10.12"
"070895","20","Волинська область","сільський клуб, фойє
вул.Центральна, 17, с.Растів, Турійський р-н, Волинська обл., 44814","184","43","177","18","127","14","141","","0","127","14","141","3","138","2","26","5","17","69","19","0","0","29.10.12"
"070896","20","Волинська область","школа, фойє
вул.Центральна, 12, с.Дуліби, Турійський р-н, Волинська обл., 44832","360","79","360","15","268","13","281","","0","268","13","281","10","271","18","46","18","44","73","63","7","2","29.10.12"
"070897","20","Волинська область","сільський клуб, фойє
вул.Гайківська, 2, с.Туричани, Турійський р-н, Волинська обл., 44832","144","51","138","7","90","3","93","","0","90","3","93","0","93","2","18","2","21","16","31","1","2","29.10.12"
"070898","20","Волинська область","сільський клуб, актова зала
вул.Центральна, 74, с.Клюськ, Турійський р-н, Волинська обл., 44803","216","62","208","6","149","5","154","","0","149","5","154","3","151","1","36","3","15","38","53","3","2","29.10.12"
"070899","20","Волинська область","школа, столова
вул.Шкільна, 36, с.Гаруша, Турійський р-н, Волинська обл., 44803","192","52","190","7","133","7","140","","0","133","7","140","4","136","2","19","4","38","14","57","1","1","03.11.12"
"070900","20","Волинська область","сільський клуб, фойє
вул.Заліська, 54, с.Тагачин, Турійський р-н, Волинська обл., 44803","216","43","208","5","168","5","173","","0","168","5","173","2","171","4","34","2","45","42","37","6","1","29.10.12"
"070901","20","Волинська область","сільський клуб, фойє
вул.Миру, 41, с.Кульчин, Турійський р-н, Волинська обл., 44813","568","154","551","32","383","31","414","","0","383","31","414","4","410","2","34","14","49","213","87","3","8","29.10.12"
"070902","20","Волинська область","школа, фойє
вул.Шкільна, 1, с.Купичів, Турійський р-н, Волинська обл., 44852","664","237","658","50","380","47","427","","0","380","47","427","9","418","11","61","14","50","118","147","12","5","29.10.12"
"070903","20","Волинська область","сільський клуб, фойє
вул.Незалежності, 17А, с.Свинарин, Турійський р-н, Волинська обл., 44853","264","64","258","10","190","10","200","","0","190","10","200","2","198","6","41","8","47","30","59","3","4","29.10.12"
"070904","20","Волинська область","сільський клуб, фойє
вул.Незалежності, 49, с.Чорніїв, Турійський р-н, Волинська обл., 44853","184","57","179","9","120","7","127","","0","120","7","127","4","123","1","40","3","14","14","49","2","0","29.10.12"
"070905","20","Волинська область","сільський клуб, актова зала
вул.Перемоги, 8, с.Маковичі, Турійський р-н, Волинська обл., 44863","456","96","454","37","324","36","360","","0","324","36","360","1","359","1","86","5","75","97","90","2","3","29.10.12"
"070906","20","Волинська область","сільський клуб, актова зала
вул.Мирослави, 10, с.Мочалки, Турійський р-н, Волинська обл., 44863","128","24","120","12","94","10","104","","0","94","10","104","1","103","2","12","3","38","21","25","1","1","29.10.12"
"070907","20","Волинська область","сільська рада, кабінет голови
вул.Центральна, 18, с.Миляновичі, Турійський р-н, Волинська обл., 44820","224","62","217","18","144","18","162","","0","144","18","162","5","157","7","34","13","21","15","60","7","0","29.10.12"
"070908","20","Волинська область","фельдшерсько-акушерський пункт, каб.1
вул.Миру, 80, с.Годовичі, Турійський р-н, Волинська обл., 44820","184","50","178","15","121","13","134","","0","121","13","134","4","130","11","41","4","14","8","41","8","3","29.10.12"
"070909","20","Волинська область","школа, фойє
вул.Шкільна, 48, с.Тупали, Турійський р-н, Волинська обл., 44821","256","92","222","25","142","22","164","","0","142","22","164","8","156","8","30","3","35","6","61","11","2","29.10.12"
"070910","20","Волинська область","сільський клуб, фойє
вул.Перемоги, 48, с.Туровичі, Турійський р-н, Волинська обл., 44820","136","52","131","15","70","14","84","","0","70","14","84","3","81","6","3","2","23","3","39","5","0","29.10.12"
"070911","20","Волинська область","школа, актова зала
вул.О.С.Васильчука, 55, с.Мокрець, Турійський р-н, Волинська обл., 44840","584","209","573","45","334","41","375","","0","334","41","375","10","365","9","44","8","62","156","82","2","2","29.10.12"
"070912","20","Волинська область","школа, зала відпочинку
вул.Ковпака, 6, с.Блаженик, Турійський р-н, Волинська обл., 44840","104","22","105","10","72","10","82","","0","72","10","82","0","82","0","17","3","18","12","30","1","1","29.10.12"
"070913","20","Волинська область","школа, зала відпочинку
вул.Центральна, 31, с.Турія, Турійський р-н, Волинська обл., 44841","104","24","97","13","69","11","80","","0","69","11","80","3","77","2","18","1","23","6","25","1","1","29.10.12"
"070914","20","Волинська область","школа, фойє
вул.Центральна, 37, с.Туропин, Турійський р-н, Волинська обл., 44841","360","98","352","28","240","22","262","","0","240","22","262","5","257","7","69","15","49","34","70","11","2","29.10.12"
"070915","20","Волинська область","школа, фойє
вул.Центральна, 65, с.Новий Двір, Турійський р-н, Волинська обл., 44861","400","150","389","30","225","25","250","","0","225","25","250","5","245","3","49","4","15","30","141","3","0","29.10.12"
"070916","20","Волинська область","фельдшерсько-акушерський пункт, каб.1
вул.Ю.Панасюка, 16А, с.Дожва, Турійський р-н, Волинська обл., 44861","80","17","83","8","55","8","63","","0","55","8","63","2","61","1","6","0","1","17","35","1","0","29.10.12"
"070917","20","Волинська область","фельдшерсько-акушерський пункт, каб.2
вул.Старе село, 4, с.Ловища, Турійський р-н, Волинська обл., 44861","128","32","126","12","85","11","96","","0","85","11","96","0","96","1","11","2","21","8","52","1","0","29.10.12"
"070918","20","Волинська область","школа, фойє
вул.Центральна, 63, с.Осьмиговичі, Турійський р-н, Волинська обл., 44862","456","134","449","35","292","30","322","","0","292","30","322","7","315","4","28","5","50","166","62","0","0","29.10.12"
"070919","20","Волинська область","школа, фойє
вул.17-го Вересня, 25, с.Новосілки, Турійський р-н, Волинська обл., 44811","240","82","235","13","146","12","158","","0","146","12","158","4","154","7","28","4","22","21","59","13","0","29.10.12"
"070920","20","Волинська область","сільський клуб, фойє
вул.Бєлиха, 49А, с.Комарів, Турійський р-н, Волинська обл., 44841","232","67","222","19","147","18","165","","0","147","18","165","7","158","11","31","6","33","18","48","9","2","29.10.12"
"070921","20","Волинська область","сільський клуб, фойє
вул.Озерна, 40, с.Окунин, Турійський р-н, Волинська обл., 44811","112","26","104","7","79","7","86","","0","79","7","86","1","85","4","3","10","20","12","11","25","0","29.10.12"
"070922","20","Волинська область","школа, кабінет початкових класів
вул.Незалежності, 37А, с.Овлочин, Турійський р-н, Волинська обл., 44830","376","111","369","50","215","50","265","","0","215","50","265","3","262","10","62","12","46","76","45","10","1","29.10.12"
"070923","20","Волинська область","школа, каб.1
вул.Перемоги, 14А, с.Крать, Турійський р-н, Волинська обл., 44831","168","40","165","9","119","9","128","","0","119","9","128","1","127","6","32","8","30","17","22","10","2","29.10.12"
"070924","20","Волинська область","школа, гімнастична зала
вул.Зацерковна, 14Б, с.Ставки, Турійський р-н, Волинська обл., 44831","296","106","289","28","164","26","190","","0","164","26","190","4","186","6","46","14","31","26","47","14","2","29.10.12"
"070925","20","Волинська область","будинок культури, фойє
вул.Центральна, 60, с.Озеряни, Турійський р-н, Волинська обл., 44860","448","156","437","32","260","32","292","","0","260","32","292","7","285","3","47","6","55","48","120","2","4","29.10.12"
"070926","20","Волинська область","школа, столова
вул.Центральна, 10, с.Перевали, Турійський р-н, Волинська обл., 44812","280","95","269","11","176","9","185","","0","176","9","185","2","183","1","46","4","16","45","62","8","1","29.10.12"
"070927","20","Волинська область","сільський клуб, фойє
вул.Центральна, 37, с.Осереби, Турійський р-н, Волинська обл., 44812","176","55","165","11","110","11","121","","0","110","11","121","5","116","3","17","4","15","11","61","1","4","29.10.12"
"070928","20","Волинська область","сільський клуб, фойє
вул.Шевченка, 16, с.Торговище, Турійський р-н, Волинська обл., 44812","128","41","123","9","78","9","87","","0","78","9","87","0","87","2","26","2","17","10","22","6","2","29.10.12"
"070929","20","Волинська область","будинок культури, актова зала
вул.Центральна, 85, с.Ружин, Турійський р-н, Волинська обл., 44822","312","78","304","34","202","32","234","","0","202","32","234","3","231","4","13","17","51","57","79","5","5","29.10.12"
"070930","20","Волинська область","сільський клуб, фойє
вул.Ковельська, 37Г, с.Городилець, Турійський р-н, Волинська обл., 44804","280","96","275","7","177","7","184","","0","177","7","184","5","179","12","39","15","55","32","19","3","4","29.10.12"
"070931","20","Волинська область","школа, кабінет початкових класів
вул.Шкільна, 3, с.Селець, Турійський р-н, Волинська обл., 44804","384","103","382","24","258","23","281","","0","258","23","281","11","270","2","79","16","34","49","71","14","5","29.10.12"
"070932","20","Волинська область","школа, к.1
вул.Запрутська, 3, с.Задиби, Турійський р-н, Волинська обл., 44804","152","55","146","10","87","10","97","","0","87","10","97","1","96","2","18","4","17","16","33","5","1","29.10.12"
"070933","20","Волинська область","будинок культури, фойє
вул.Шкільна, 3, с.Соловичі, Турійський р-н, Волинська обл., 44833","456","94","452","14","351","11","362","","0","351","11","362","4","358","5","75","5","70","101","96","4","2","29.10.12"
"070934","20","Волинська область","школа, фойє
вул.Перемоги, 30, с.Кустичі, Турійський р-н, Волинська обл., 44833","176","49","174","7","120","7","127","","0","120","7","127","3","124","1","8","0","13","22","77","1","2","29.10.12"
"070935","20","Волинська область","школа, фойє
вул.Тишика, 58, с.Обенижі, Турійський р-н, Волинська обл., 44835","440","128","438","22","295","17","312","","0","295","17","312","8","304","5","92","2","59","104","39","0","3","29.10.12"
"070936","20","Волинська область","сільський клуб, фойє
вул.Миру, 21, с.Сомин, Турійський р-н, Волинська обл., 44810","184","30","183","4","150","4","154","","0","150","4","154","3","151","3","18","3","25","57","28","17","0","29.10.12"
"070937","20","Волинська область","фельдшерсько-акушерський пункт, каб.1
вул.Дружби, 4, с.Відути, Турійський р-н, Волинська обл., 44810","104","33","102","5","67","4","71","","0","67","4","71","2","69","2","7","3","16","16","23","2","0","29.10.12"
"070938","20","Волинська область","сільський клуб, фойє
вул.Центральна, 11, с.Туличів, Турійський р-н, Волинська обл., 44850","272","75","267","30","168","29","197","","0","168","29","197","10","187","7","48","3","33","23","70","1","2","29.10.12"
"070939","20","Волинська область","школа, фойє
вул.Шкільна, 1, с.Вербичне, Турійський р-н, Волинська обл., 44850","152","46","146","15","93","13","106","","0","93","13","106","6","100","2","37","1","14","12","27","7","0","29.10.12"
"070940","20","Волинська область","сільський клуб, фойє
вул.Шкільна, 26, с.Літин, Турійський р-н, Волинська обл., 44852","184","58","178","21","107","19","126","","0","107","19","126","4","122","7","14","2","20","46","30","1","2","29.10.12"
"070941","20","Волинська область","сільський клуб, фойє
вул.Луцька, 3, с.Радовичі, Турійський р-н, Волинська обл., 44850","264","58","255","14","193","13","206","","0","193","13","206","6","200","4","39","4","28","41","78","2","4","29.10.12"
