"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бущик
Петро
Григорович","Грицюк
Анатолій
Петрович","Грицюк
Андрій
Іванович","Єремеєв
Ігор
Миронович","Козік
Ігор
Петрович","Кононенко
Дмитро
Євгенович","Лондар
Олексій
Сергійович","Олешко
Петро
Степанович","Прохоренко
Володимир
Анатолійович","Розтока
Андрій
Вячеславович","Дата підписання протоколу"
"070575","23","Волинська область","фельдшерсько-акушерський пункт, коридор
вул.Шкільна, 2А, с.Бучин, Любешівський р-н, Волинська обл., 44215","162","33","162","26","103","26","129","","0","103","26","129","4","125","14","23","5","73","0","4","1","0","0","5","29.10.12"
"070576","23","Волинська область","сільський клуб, глядацька зала
вул.Шевченка, 49, с.Любешівська Воля, Любешівський р-н, Волинська обл., 44212","402","106","390","13","283","13","296","","0","283","13","296","8","288","39","54","10","173","0","5","4","1","0","2","29.10.12"
"070577","23","Волинська область","сільський клуб, глядацька зала
вул.Шевченка, 42, с.В’язівне, Любешівський р-н, Волинська обл., 44211","324","83","318","2","239","2","241","","0","239","2","241","4","237","23","27","5","173","2","2","3","1","0","1","29.10.12"
"070578","23","Волинська область","сільський клуб, глядацька зала
вул.Перемоги, 12, с.Люб’язь, Любешівський р-н, Волинська обл., 44235","804","190","790","26","588","26","614","","0","588","26","614","9","605","148","104","20","257","5","8","38","6","3","16","29.10.12"
"070579","23","Волинська область","сільський клуб, глядацька зала
вул.Лесі Українки, 29, с.Мала Глуша, Любешівський р-н, Волинська обл., 44224","972","263","947","88","627","82","709","","0","627","82","709","14","695","111","110","17","370","7","12","50","2","3","13","29.10.12"
"070580","23","Волинська область","сільський будинок культури, глядацька зала
вул.Радянська, 56, с.Седлище, Любешівський р-н, Волинська обл., 44255","888","234","878","46","611","43","654","","0","611","43","654","14","640","41","258","20","269","1","6","25","1","1","18","29.10.12"
"070581","23","Волинська область","сільський клуб, глядацька зала
вул.Старе Грабово, 15, с.Угриничі, Любешівський р-н, Волинська обл., 44256","408","101","407","41","269","38","307","","0","269","38","307","3","304","34","51","2","196","6","3","2","3","0","7","29.10.12"
"070582","23","Волинська область","сільський будинок культури
вул.Григорія Ланевича, 15А, с.Судче, Любешівський р-н, Волинська обл., 44250","756","272","738","16","468","16","484","","0","468","16","484","18","466","89","77","22","245","1","7","9","3","3","10","29.10.12"
"070583","23","Волинська область","сільський клуб, глядацька зала
вул.Лесі Українки, 40, с.Березна Воля, Любешівський р-н, Волинська обл., 44251","228","50","223","2","176","2","178","","0","176","2","178","4","174","72","22","2","64","0","8","3","0","0","3","29.10.12"
"070584","23","Волинська область","сільський клуб, глядацька зала
вул.Радянська, 11, с.Хоцунь, Любешівський р-н, Волинська обл., 44234","288","58","277","13","217","13","230","","0","217","13","230","7","223","25","69","13","98","1","5","3","3","0","6","29.10.12"
"070585","23","Волинська область","фельдшерсько-акушерський пункт, коридор
вул.Центральна, 3, с.Сваловичі, Любешівський р-н, Волинська обл., 44234","36","3","36","3","30","3","33","","0","30","3","33","1","32","2","4","2","24","0","0","0","0","0","0","29.10.12"
"070586","23","Волинська область","сільський будинок культури, глядацька зала
вул.Перемоги, 5, с.Цир, Любешівський р-н, Волинська обл., 44241","822","310","820","16","497","15","512","","0","497","15","512","10","502","56","95","19","316","3","3","3","1","1","5","29.10.12"
"070587","23","Волинська область","сільський клуб, глядацька зала
вул.Торгова, 3, с.Лахвичі, Любешівський р-н, Волинська обл., 44241","366","122","360","3","242","2","244","","0","242","2","244","7","237","25","43","5","158","1","2","1","0","0","2","29.10.12"
"070588","23","Волинська область","культурно-просвітницький заклад, глядацька зала
вул.Жовтнева, 24А, с.Щитинь, Любешівський р-н, Волинська обл., 44225","486","132","484","20","334","20","354","","0","334","20","354","3","351","103","83","6","140","3","1","8","1","1","5","29.10.12"
"070654","23","Волинська область","будинок культури, фойє, 1-й поверх
вул.Некрасова, 5, смт Маневичі, Маневицький р-н, Волинська обл., 44600","1560","569","1547","7","984","7","991","","0","984","7","991","14","977","42","297","28","529","2","6","20","6","3","44","29.10.12"
"070655","23","Волинська область","державне підприємство ""Маневицьке лісове господарство"", актовий зал
вул.Карла Маркса, 31, смт Маневичі, Маневицький р-н, Волинська обл., 44600","1518","648","1493","11","859","11","870","","0","859","11","870","8","862","16","262","27","484","5","5","26","6","1","30","29.10.12"
"070656","23","Волинська область","Маневицьке виробниче управління житлово-комунального господарства, актовий зал
вул.Ринкова, 22, смт Маневичі, Маневицький р-н, Волинська обл., 44600","1446","573","1423","7","866","7","873","","0","866","7","873","11","862","22","289","32","421","4","9","36","7","0","42","29.10.12"
"070657","23","Волинська область","школа №1, актовий зал, 2-й поверх
вул.Комарова, 6, смт Маневичі, Маневицький р-н, Волинська обл., 44600","1524","650","1505","12","864","10","874","","0","864","10","874","23","851","19","293","30","432","8","4","25","5","2","33","29.10.12"
"070658","23","Волинська область","гімназія №2, фойє, 1-й поверх
вул.100-річчя Маневич, 59, смт Маневичі, Маневицький р-н, Волинська обл., 44600","1692","656","1673","13","1026","10","1036","","0","1026","10","1036","17","1019","33","331","26","538","5","3","31","11","0","41","29.10.12"
"070659","23","Волинська область","будинок культури, фойє
вул.Грушевського, 9, смт Колки, Маневицький р-н, Волинська обл., 44661","1314","513","1302","13","788","13","801","","0","788","13","801","10","791","25","254","23","434","2","7","6","6","3","31","29.10.12"
"070660","23","Волинська область","Колківське вище професійне училище, фойє
вул.Грушевського, 43, смт Колки, Маневицький р-н, Волинська обл., 44661","1488","514","1473","37","940","34","974","","0","940","34","974","14","960","13","309","35","536","3","7","15","2","0","40","29.10.12"
"070661","23","Волинська область","будинок культури, фойє
вул.Незалежності, 21, с.Боровичі, Маневицький р-н, Волинська обл., 44666","732","197","722","46","489","46","535","","0","489","46","535","15","520","7","79","14","396","1","1","10","2","0","10","29.10.12"
"070662","23","Волинська область","клуб, фойє
вул.Михайла Мандзюка, 34, с.Грузятин, Маневицький р-н, Волинська обл., 44667","474","90","466","24","360","24","384","","0","360","24","384","7","377","6","106","22","235","2","1","1","1","0","3","29.10.12"
"070663","23","Волинська область","будинок культури, фойє
вул.Центральна, 5, с.Будки, Маневицький р-н, Волинська обл., 44641","468","173","462","3","292","3","295","","0","292","3","295","6","289","6","80","17","170","2","4","4","1","0","5","29.10.12"
"070664","23","Волинська область","клуб, фойє
вул.Центральна, 7, с.Кам’януха, Маневицький р-н, Волинська обл., 44641","228","63","225","9","156","9","165","","0","156","9","165","0","165","6","44","7","101","0","2","1","0","0","4","29.10.12"
"070665","23","Волинська область","будинок культури, актовий зал
вул.Лесі Українки, 14, с.Велика Ведмежка, Маневицький р-н, 44631","192","41","189","7","144","7","151","","0","144","7","151","3","148","6","46","7","75","1","3","6","3","0","1","29.10.12"
"070666","23","Волинська область","клуб, актовий зал
вул.Миру, 45А, с.Нові Підцаревичі, Маневицький р-н, Волинська обл., 44631","252","62","248","2","188","2","190","","0","188","2","190","3","187","5","78","10","85","1","1","3","2","1","1","29.10.12"
"070667","23","Волинська область","школа, актовий зал
вул.Центральна, 59, с.Велика Осниця, Маневицький р-н, Волинська обл., 44650","450","170","442","33","247","33","280","","0","247","33","280","8","272","6","56","27","162","2","6","5","2","0","6","29.10.12"
"070668","23","Волинська область","школа, класна кімната
вул.Шкільна, с.Заріччя, 14, Маневицький р-н, Волинська обл., 44641","258","61","251","28","169","28","197","","0","169","28","197","2","195","4","37","6","134","0","4","6","1","0","3","29.10.12"
"070669","23","Волинська область","будинок культури, актовий зал
вул.Центральна, 37, с.Мала Осниця, Маневицький р-н, Волинська обл., 44650","252","82","247","15","156","14","170","","0","156","14","170","7","163","2","45","2","99","0","5","3","2","2","3","29.10.12"
"070670","23","Волинська область","школа, актовий зал
вул.Шкільна, 2, с.Галузія, Маневицький р-н, Волинська обл., 44613","498","116","493","35","348","34","382","","0","348","34","382","2","380","3","60","11","285","3","5","5","0","0","8","29.10.12"
"070671","23","Волинська область","будинок культури, актовий зал
вул.Шкільна 8, с.Годомичі, Маневицький р-н, Волинська обл., 44671","600","182","597","17","401","17","418","","0","401","17","418","6","412","12","112","20","235","9","4","5","0","2","13","29.10.12"
"070672","23","Волинська область","будинок культури, актовий зал
вул.Київська, 10, с.Гораймівка, Маневицький р-н, Волинська обл., 44681","882","312","857","14","556","14","570","","0","556","14","570","15","555","1","173","15","328","3","4","16","1","2","12","29.10.12"
"070673","23","Волинська область","школа, ігрова кімната
вул.Шевченка, 10, с.Майдан-Липненський, Маневицький р-н, Волинська обл., 44681","252","71","249","2","180","1","181","","0","180","1","181","3","178","4","46","10","108","1","1","0","1","1","6","29.10.12"
"070674","23","Волинська область","клуб, актовий зал
вул.Шкільна, 10, с.Городок, Маневицький р-н, Волинська обл., 44615","810","236","799","32","542","32","574","","0","542","32","574","5","569","12","185","32","303","5","5","14","7","0","6","29.10.12"
"070675","23","Волинська область","клуб, актовий зал
вул.Луцька, 16, с.Довжиця, Маневицький р-н, Волинська обл., 44643","264","61","256","3","200","3","203","","0","200","3","203","3","200","8","47","5","128","1","1","3","0","0","7","29.10.12"
"070676","23","Волинська область","будинок культури, актовий зал
вул.Перемоги, 20, с.Велика Яблунька, Маневицький р-н, Волинська обл., 44643","570","108","572","13","449","13","462","","0","449","13","462","7","455","16","107","14","281","2","3","9","5","2","16","29.10.12"
"070677","23","Волинська область","школа, фойє
вул.Шкільна, 12, с.Граддя, Маневицький р-н, Волинська обл., 44644","420","147","412","1","272","1","273","","0","272","1","273","3","270","5","61","6","179","1","3","3","3","0","9","29.10.12"
"070678","23","Волинська область","фельдшерсько-акушерський пункт, каб.2
вул.Шевченка, 4А, с.Загорівка, Маневицький р-н, Волинська обл., 44644","78","13","79","0","65","0","65","","0","65","0","65","1","64","2","16","1","41","1","2","0","0","1","0","29.10.12"
"070679","23","Волинська область","клуб, актовий зал
вул.Лесі Українки, 30А, с.Мала Яблунька, Маневицький р-н, Волинська обл., 44643","102","26","101","2","74","2","76","","0","74","2","76","1","75","3","25","2","36","0","1","2","2","0","4","29.10.12"
"070680","23","Волинська область","клуб, актовий зал
вул.Смоливиця, 7А, с.Карасин, Маневицький р-н, Волинська обл., 44612","450","147","450","3","300","3","303","","0","300","3","303","11","292","9","105","13","113","4","10","24","3","1","10","29.10.12"
"070681","23","Волинська область","клуб, актовий зал
вул.Центральна, 21А, с.Замостя, Маневицький р-н, Волинська обл., 44662","204","33","204","3","168","3","171","","0","168","3","171","2","169","7","75","12","49","0","7","8","5","0","6","29.10.12"
"070682","23","Волинська область","школа, спортивний зал
вул.Лесі Українки, 7, с.Комарове, Маневицький р-н, Волинська обл., 44651","636","229","628","14","393","14","407","","0","393","14","407","9","398","4","146","21","204","1","4","3","6","0","9","29.10.12"
"070683","23","Волинська область","школа, фойє
вул.Центральна, 23А, с.Новосілки, Маневицький р-н, Волинська обл., 44651","312","122","310","9","182","8","190","","0","182","8","190","7","183","3","45","12","112","1","2","1","2","1","4","29.10.12"
"070684","23","Волинська область","будинок культури, фойє
вул.Радянська, 41, с.Копилля, Маневицький р-н, Волинська обл., 44660","624","127","618","40","457","40","497","","0","457","40","497","10","487","11","105","28","320","1","6","7","4","0","5","29.10.12"
"070685","23","Волинська область","школа, фойє
вул.Молодіжна, 10, с.Костюхнівка, Маневицький р-н, Волинська обл., 44630","384","85","383","6","293","6","299","","0","293","6","299","1","298","2","56","11","221","0","1","4","0","0","3","29.10.12"
"070686","23","Волинська область","клуб, актовий зал
вул.Центральна, 19, с.Вовчицьк, Маневицький р-н, Волинська обл., 44641","258","52","255","1","205","1","206","","0","205","1","206","3","203","3","50","16","116","1","7","5","0","2","3","29.10.12"
"070687","23","Волинська область","клуб, актовий зал
вул.Центральна, 29, с.Колодії, Маневицький р-н, Волинська обл., 44630","288","80","286","10","198","10","208","","0","198","10","208","16","192","3","26","17","131","1","5","5","0","0","4","29.10.12"
"070688","23","Волинська область","будинок культури, актовий зал
вул.Радянська, 42А, с.Красноволя, Маневицький р-н, Волинська обл., 44654","552","209","544","11","332","11","343","","0","332","11","343","8","335","5","120","13","157","1","4","9","6","2","18","29.10.12"
"070689","23","Волинська область","клуб, актовий зал
вул.Молодіжна, 8А, с.Матейки, Маневицький р-н, Волинська обл., 44656","390","105","383","0","285","0","285","","0","285","0","285","6","279","10","56","14","165","4","4","7","7","1","11","28.10.12"
"070690","23","Волинська область","клуб, актовий зал
вул.Космонавтів, 26, с.Нічогівка, Маневицький р-н, Волинська обл., 44657","330","105","329","8","217","8","225","","0","217","8","225","8","217","2","57","17","124","0","5","2","2","0","8","29.10.12"
"070691","23","Волинська область","фельдшерсько-акушерський пункт, каб.2
вул.Перемоги, 22, с.Погулянка, Маневицький р-н, Волинська обл., 44657","204","51","204","0","153","0","153","","0","153","0","153","1","152","2","52","9","69","1","4","4","3","2","6","29.10.12"
"070692","23","Волинська область","клуб, актовий зал
вул.Молодіжна, 7, с.Тельчі, Маневицький р-н, Волинська обл., 44656","390","123","383","0","267","0","267","","0","267","0","267","1","266","11","62","8","167","2","6","1","2","1","6","29.10.12"
"070693","23","Волинська область","школа, актовий зал
вул.Шкільна, 8, с.Кукли, Маневицький р-н, Волинська обл., 44640","576","155","565","7","414","7","421","","0","414","7","421","6","415","8","122","11","261","1","3","2","1","2","4","29.10.12"
"070694","23","Волинська область","клуб, актовий зал
вул.Центральна, 20, с.Северинівка, Маневицький р-н, Волинська обл., 44640","138","24","140","0","114","0","114","","0","114","0","114","2","112","4","31","4","52","1","16","2","1","0","1","29.10.12"
"070695","23","Волинська область","будинок культури, актовий зал
вул.Богдана Хмельницького, 2, с.Куликовичі, Маневицький р-н, Волинська обл., 44653","534","171","533","8","355","8","363","","0","355","8","363","7","356","6","131","30","165","2","1","5","2","0","14","29.10.12"
"070696","23","Волинська область","клуб, актовий зал
вул.Марії Вовк, 2А, с.Лишнівка, Маневицький р-н, Волинська обл., 44635","372","105","366","1","266","1","267","","0","266","1","267","13","254","3","95","11","126","1","2","9","3","1","3","29.10.12"
"070697","23","Волинська область","клуб, актовий зал
вул.Центральна, 61, с.Лісове, Маневицький р-н, Волинська обл., 44635","366","88","364","18","260","18","278","","0","260","18","278","8","270","3","101","21","96","4","6","24","2","1","12","29.10.12"
"070698","23","Волинська область","школа, методичний кабінет
вул.Ю.Суліковського, 32, с.Гута-Лісівська, Маневицький р-н, Волинська обл., 44635","246","62","239","5","179","5","184","","0","179","5","184","4","180","3","38","10","114","1","5","7","0","0","2","29.10.12"
"070699","23","Волинська область","клуб, актовий зал
вул.Центральна, 24, с.Нова Руда, Маневицький р-н, Волинська обл., 44620","348","70","343","7","272","6","278","","0","272","6","278","7","271","11","119","13","114","2","4","2","0","0","6","29.10.12"
"070700","23","Волинська область","клуб, актовий зал
вул.Центральна, 10, с.Градиськ, Маневицький р-н, Волинська обл., 44621","222","56","230","2","164","2","166","","0","164","2","166","6","160","6","48","6","80","2","2","13","0","0","3","29.10.12"
"070701","23","Волинська область","клуб, актовий зал
вул.Обзирська, 7А, с.Набруска, Маневицький р-н, Волинська обл., 44620","114","28","110","2","84","2","86","","0","84","2","86","0","86","7","12","4","51","0","2","6","1","0","3","29.10.12"
"070702","23","Волинська область","клуб, актовий зал
вул.Шевченка, 39, с.Оконськ, Маневицький р-н, Волинська обл., 44603","912","232","912","9","671","9","680","","0","671","9","680","9","671","17","100","16","505","7","3","10","3","1","9","29.10.12"
"070703","23","Волинська область","будинок культури, актовий зал
вул.Сойне, 2А, с.Прилісне, Маневицький р-н, Волинська обл., 44614","1938","691","1924","34","1214","33","1247","","0","1214","33","1247","31","1216","39","223","40","812","8","7","43","7","2","35","29.10.12"
"070704","23","Волинська область","будинок культури, актовий зал
вул.Центральна, 44, с.Рудники, Маневицький р-н, Волинська обл., 44682","966","268","956","37","662","36","698","","0","662","36","698","11","687","8","307","44","298","1","9","5","0","2","13","29.10.12"
"070705","23","Волинська область","школа, класна кімната
вул.Топольна, 8, с.Калинівка, Маневицький р-н, Волинська обл., 44682","114","28","114","3","83","3","86","","0","83","3","86","1","85","0","18","7","54","1","2","0","0","0","3","29.10.12"
"070706","23","Волинська область","фельдшерсько-акушерський пункт, каб.2
вул.Лесі Українки, 18, с.Мар’янівка, Маневицький р-н, Волинська обл., 44682","48","13","48","0","35","0","35","","0","35","0","35","1","34","1","4","0","29","0","0","0","0","0","0","29.10.12"
"070707","23","Волинська область","клуб, актовий зал
вул.Козацька, 37, с.Новоукраїнка, Маневицький р-н, Волинська обл., 44682","138","32","137","0","106","0","106","","0","106","0","106","1","105","2","35","2","62","3","1","0","0","0","0","29.10.12"
"070708","23","Волинська область","клуб, актовий зал
вул.Волі, 16, с.Островки, Маневицький р-н, Волинська обл., 44682","168","51","162","14","103","14","117","","0","103","14","117","2","115","2","30","5","67","1","4","1","3","0","2","29.10.12"
"070709","23","Волинська область","школа, спортивний зал
вул.Шкільна, 1, с.Серхів, Маневицький р-н, Волинська обл., 44611","360","117","358","26","217","26","243","","0","217","26","243","7","236","4","68","15","137","2","0","1","2","0","7","29.10.12"
"070710","23","Волинська область","будинок культури, фойє
вул.Сокола, 101, с.Старий Чорторийськ, Маневицький р-н, Волинська обл., 44636","1236","409","1224","88","742","85","827","","0","742","85","827","10","817","31","131","33","557","6","9","25","4","1","20","29.10.12"
"070711","23","Волинська область","будинок культури, фойє
вул.Свердлова, 4, с.Старосілля, Маневицький р-н, Волинська обл., 44663","1098","484","1095","9","605","9","614","","0","605","9","614","24","590","13","202","20","293","7","4","20","3","2","26","29.10.12"
"070712","23","Волинська область","школа, шкільна їдальня
вул.Шкільна, 17, с.Розничі, Маневицький р-н, Волинська обл., 44664","564","260","554","3","301","3","304","","0","301","3","304","10","294","5","102","22","142","1","7","7","1","0","7","29.10.12"
"070713","23","Волинська область","клуб, актовий зал
вул.Центральна, 2, с.Семки, Маневицький р-н, Волинська обл., 44664","132","42","130","4","86","4","90","","0","86","4","90","4","86","2","20","4","58","1","0","1","0","0","0","29.10.12"
"070714","23","Волинська область","школа, актовий зал
вул.Шкільна, 33, с.Ситниця, Маневицький р-н, Волинська обл., 44665","432","139","428","5","288","5","293","","0","288","5","293","9","284","1","102","21","147","1","3","4","1","0","4","29.10.12"
"070715","23","Волинська область","будинок культури, актовий зал
вул.Лугова, 52А, с.Троянівка, Маневицький р-н, Волинська обл., 44622","588","158","579","0","430","0","430","","0","430","0","430","7","423","8","129","15","236","4","4","11","2","2","12","29.10.12"
"070716","23","Волинська область","клуб, актовий зал
вул.Село, 31, с.Бережниця, Маневицький р-н, Волинська обл., 44622","258","63","257","1","194","1","195","","0","194","1","195","4","191","2","85","11","86","0","0","4","0","0","3","29.10.12"
"070717","23","Волинська область","школа, класна кімната
вул.Чернявська, 16, с.Майдан, Маневицький р-н, Волинська обл., 44622","114","25","115","0","89","0","89","","0","89","0","89","1","88","6","19","0","50","0","1","2","1","3","6","29.10.12"
"070718","23","Волинська область","клуб, актовий зал
вул.Леніна, 24А, с.Черськ, Маневицький р-н, Волинська обл., 44623","342","106","339","1","235","1","236","","0","235","1","236","0","236","6","62","13","136","2","3","4","0","1","9","29.10.12"
"070719","23","Волинська область","сільська рада, зал засідань
вул.Радянська, 55, с.Цміни, Маневицький р-н, Волинська обл., 44623","636","191","628","30","415","30","445","","0","415","30","445","5","440","14","145","23","223","0","6","12","3","1","13","29.10.12"
"070720","23","Волинська область","клуб, актовий зал
вул.В.Швеця, 52А, с.Козлиничі, Маневицький р-н, Волинська обл., 44633","306","76","303","24","206","24","230","","0","206","24","230","6","224","23","75","19","92","2","6","3","1","0","3","29.10.12"
"070721","23","Волинська область","клуб, актовий зал
вул.Будьонного, 23, с.Мала Ведмежка, Маневицький р-н, Волинська обл., 44632","102","18","101","4","80","4","84","","0","80","4","84","1","83","4","23","3","51","0","0","0","2","0","0","29.10.12"
"070722","23","Волинська область","клуб, актовий зал
вул.Українська, 2, с.Підгаття, Маневицький р-н, Волинська обл., 44632","102","28","98","2","72","2","74","","0","72","2","74","1","73","2","18","1","46","0","1","2","1","0","2","29.10.12"
"070723","23","Волинська область","школа, кл.4
вул.Димитрова, 97, с.Хряськ, Маневицький р-н, Волинська обл., 44634","510","163","509","22","325","22","347","","0","325","22","347","0","347","6","101","11","215","0","3","4","1","1","5","29.10.12"
"070724","23","Волинська область","клуб, актовий зал
вул.Радянська, 37, с.Череваха, Маневицький р-н, Волинська обл., 44624","606","139","602","4","463","4","467","","0","463","4","467","12","455","8","99","18","318","2","3","1","2","0","4","29.10.12"
"070725","23","Волинська область","фельдшерсько-акушерський пункт, каб.3
вул.Т.Шевченка, 3, с.Софіянівка, Маневицький р-н, Волинська обл., 44624","54","7","56","2","45","2","47","","0","45","2","47","0","47","0","9","1","36","0","0","0","0","0","1","29.10.12"
"070726","23","Волинська область","будинок культури, фойє
вул.Радянська, 49, с.Четвертня, Маневицький р-н, Волинська обл., 44670","912","190","903","61","661","61","722","","0","661","61","722","13","709","17","258","46","330","2","2","25","6","0","23","29.10.12"
"070727","23","Волинська область","клуб, актовий зал
вул.Дружби Народів, 1, с.Криничне, Маневицький р-н, Волинська обл., 44672","330","87","328","11","232","11","243","","0","232","11","243","3","240","17","62","15","130","3","3","1","2","0","7","29.10.12"
"070728","23","Волинська область","клуб, актовий зал
вул.Леніна, 54, с.Чорниж, Маневицький р-н, Волинська обл., 44680","1110","329","1093","43","738","43","781","","0","738","43","781","35","746","13","249","36","397","4","3","17","15","2","10","29.10.12"
"070729","23","Волинська область","центральна районна лікарня, зал засідань, 2-й поверх
вул.Незалежності, 1, смт Маневичі, Маневицький р-н, Волинська обл., 44600","54","13","58","15","29","12","41","","0","29","12","41","0","41","3","13","3","20","0","0","0","0","0","2","29.10.12"
"070730","23","Волинська область","Колківська районна лікарня №2, зал засідань
вул.Грушевського, 36, смт Колки, Маневицький р-н, Волинська обл., 44661","30","23","10","6","1","6","7","","0","1","6","7","0","7","0","4","0","3","0","0","0","0","0","0","29.10.12"
"070731","23","Волинська область","виправна колонія №42, приміщення вечірньої школи
вул.Карла Маркса, 25, смт Маневичі, Маневицький р-н, Волинська обл., 44600","612","2","616","0","610","0","610","","0","610","0","610","57","553","38","155","56","143","25","36","13","26","19","42","29.10.12"
