"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бачинський
Віктор
Теодосович","Бордіян
Іван
Порфирович","Довганич
Віктор
Михайлович","Казимирчук
Олександр
Михайлович","Кедь
Володимир
Євгенович","Кузнєцов
Георгій
Васильович","Марараш
Галина
Григорівна","Михайлішин
Віталій
Михайлович","Нейландт
Геннадій
Робертович","Струк
Юлія
Іванівна","Федорук
Микола
Трохимович","Шевчук
Андрій
Георгійович","Дата підписання протоколу"
"730507","201","Чернівецька область","гуртожиток ЧНУ №3, лекційний зал
вул.Стасюка Івана, 4, м.Чернівці, 58005","1266","412","1256","13","845","9","854","","0","845","9","854","20","834","9","9","3","6","3","0","41","478","0","9","273","3","29.10.12"
"730508","201","Чернівецька область","гімназія №1, актовий зал
просп.Незалежності, 68, м.Чернівці, 58005","2286","903","2260","45","1344","39","1383","","0","1344","39","1383","28","1355","37","61","11","11","6","2","82","559","3","6","572","5","29.10.12"
"730509","201","Чернівецька область","школа №24, спортивний зал
вул.Стеф’юка Євгена, 5, м.Чернівці, 58018","2304","871","2288","26","1411","22","1433","","0","1411","22","1433","28","1405","43","43","6","8","3","4","94","509","10","8","673","4","29.10.12"
"730510","201","Чернівецька область","школа №24, актовий зал
вул.Стеф’юка Євгена, 5, м.Чернівці, 58018","2094","981","2072","9","1105","8","1113","","0","1105","8","1113","15","1098","32","24","8","6","2","0","76","301","1","8","637","3","29.10.12"
"730511","201","Чернівецька область","КЖРЕП №4, клуб
вул.Полетаєва Федора, 10, м.Чернівці, 58018","2250","880","2239","22","1353","17","1370","","0","1353","17","1370","17","1353","30","34","11","7","3","3","83","557","3","7","606","9","29.10.12"
"730512","201","Чернівецька область","ліцей №4, спортивний зал
вул.Стасюка Івана, 18А, м.Чернівці, 58029","2394","864","2379","23","1509","21","1530","","0","1509","21","1530","40","1490","34","40","4","4","6","1","100","526","9","9","746","11","29.10.12"
"730513","201","Чернівецька область","ліцей №4, вестибюль
вул.Стасюка Івана, 18А, м.Чернівці, 58029","1950","880","1932","12","1062","8","1070","","0","1062","8","1070","28","1042","20","19","6","5","5","3","61","305","1","7","605","5","29.10.12"
"730514","201","Чернівецька область","""Облспоживспілка"", фойє
просп.Незалежності, 96, м.Чернівці, 58029","2166","826","2148","11","1331","9","1340","","0","1331","9","1340","29","1311","43","36","10","9","4","7","85","371","5","9","726","6","29.10.12"
"730515","201","Чернівецька область","школа №33, ідальня
вул.Червоноармійська, 152А, м.Чернівці, 58029","2310","902","2293","23","1390","18","1408","","0","1390","18","1408","26","1382","52","45","11","2","8","4","86","435","2","10","720","7","29.10.12"
"730516","201","Чернівецька область","політехнічний коледж, фойє
вул.Каспрука Павла, 2, м.Чернівці, 58029","2088","893","2075","10","1190","5","1195","","0","1190","5","1195","21","1174","29","14","7","2","2","1","95","332","4","11","672","5","29.10.12"
"730517","201","Чернівецька область","управління водних ресурсів, фойє
вул.Червоноармійська, 194Б, м.Чернівці, 58013","2262","995","2240","11","1256","11","1267","","0","1256","11","1267","34","1233","26","25","6","4","0","3","105","397","4","4","656","3","29.10.12"
"730518","201","Чернівецька область","дитяча бібліотека, великий зал
вул.Комарова Володимира, 28А, м.Чернівці, 58013","2454","890","2447","15","1552","12","1564","","0","1552","12","1564","25","1539","27","40","13","13","4","4","111","529","10","7","774","7","29.10.12"
"730519","201","Чернівецька область","школа №6, спортивний зал
вул.Комарова Володимира, 26В, м.Чернівці, 58013","2358","789","2326","14","1557","12","1569","","0","1557","12","1569","26","1543","30","28","6","7","3","1","98","578","4","8","767","13","29.10.12"
"730520","201","Чернівецька область","школа №6, вестибюль
вул.Комарова Володимира, 26В, м.Чернівці, 58013","2286","816","2250","13","1459","11","1470","","0","1459","11","1470","43","1427","46","30","4","4","4","5","99","460","5","8","756","6","29.10.12"
"730521","201","Чернівецька область","приміщення будинку, кімната
вул.Комарова Володимира, 9А/А, м.Чернівці, 58018","1866","675","1856","6","1186","5","1191","","0","1186","5","1191","17","1174","19","18","3","4","2","1","73","516","1","8","525","4","29.10.12"
"730522","201","Чернівецька область","школа №11, фойє
вул.Південно-Кільцева, 7Б, м.Чернівці, 58013","1962","773","1956","12","1177","12","1189","","0","1176","12","1188","24","1164","28","27","6","7","2","0","62","399","2","7","618","6","29.10.12"
"730523","201","Чернівецька область","школа №11, спортивний зал
вул.Південно-Кільцева, 7Б, м.Чернівці, 58013","2352","938","2339","12","1404","10","1414","","0","1404","10","1414","31","1383","29","25","6","6","1","0","81","579","1","15","637","3","29.10.12"
"730524","201","Чернівецька область","гуртожиток педколеджу, фойє
вул.Івасюка Володимира, 3, м.Чернівці, 58018","990","378","979","8","608","4","612","","0","608","4","612","2","610","11","8","6","2","4","0","40","233","1","5","297","3","29.10.12"
"730525","201","Чернівецька область","КЖРЕП №17, актовий зал
вул.Південно-Кільцева, 5, м.Чернівці, 58013","978","336","984","7","636","6","642","","0","636","6","642","11","631","16","9","2","0","2","1","44","223","1","4","325","4","29.10.12"
"730526","201","Чернівецька область","міська бібліотека, вестибюль
вул.Головна, 162, м.Чернівці, 58018","2238","787","2233","19","1438","13","1451","","0","1438","13","1451","29","1422","21","29","6","5","4","0","69","572","8","9","692","7","29.10.12"
"730527","201","Чернівецька область","гуртожиток ВПУ радіоелектроніки, актовий зал
вул.Південно-Кільцева, 4, м.Чернівці, 58032","2358","990","2335","13","1359","9","1368","","0","1359","9","1368","33","1335","37","17","11","9","5","3","81","519","7","7","634","5","29.10.12"
"730528","201","Чернівецька область","школа №22, вестибюль
вул.Південно-Кільцева, 17, м.Чернівці, 58032","2190","790","2176","20","1389","11","1400","","0","1389","11","1400","20","1380","40","29","7","6","5","5","92","429","1","22","739","5","29.10.12"
"730529","201","Чернівецька область","школа №22, актовий зал
вул.Південно-Кільцева, 17, м.Чернівці, 58032","1416","576","1404","8","832","8","840","","0","832","8","840","18","822","24","9","2","4","2","1","62","341","2","2","371","2","29.10.12"
"730530","201","Чернівецька область","ДЮСШ управління по фізкультурі та спорту, спортивний зал
бульв.Героїв Сталінграду, 4А, м.Чернівці, 58032","2370","936","2348","13","1426","8","1434","","0","1426","8","1434","45","1389","23","37","5","7","2","0","101","433","3","13","761","4","01.11.12"
"730531","201","Чернівецька область","школа №27, фойє
вул.Воробкевича Сидора, 19, м.Чернівці, 58032","2400","960","2380","7","1433","7","1440","","0","1433","7","1440","29","1411","22","18","4","5","5","1","97","450","7","11","787","4","29.10.12"
"730532","201","Чернівецька область","школа №27, фойє
вул.Воробкевича Сидора, 19, м.Чернівці, 58032","2040","777","2024","9","1254","9","1263","","0","1254","9","1263","26","1237","24","16","6","1","5","1","84","362","3","9","723","3","29.10.12"
"730533","201","Чернівецька область","центр дитячої та юнацької творчості, зал
вул.Головна, 224, м.Чернівці, 58032","2442","962","2435","19","1464","16","1480","","0","0","0","1480","26","1454","36","38","8","3","4","1","96","472","3","4","785","4","31.10.12"
"730534","201","Чернівецька область","ПП ""РЖС"", клуб
вул.Ентузіастів, 7, м.Чернівці, 58032","2220","851","2184","10","1360","9","1369","","0","1360","9","1369","23","1346","25","20","9","4","0","1","102","539","6","6","627","7","29.10.12"
"730535","201","Чернівецька область","школа №12, хол
вул.Бережанська, 25А, м.Чернівці, 58008","2010","978","1992","10","1027","5","1032","","0","1027","5","1032","23","1009","18","15","7","10","1","2","50","292","4","6","598","6","29.10.12"
"730536","201","Чернівецька область","школа №12, спортивний зал
вул.Бережанська, 25А, м.Чернівці, 58008","1404","658","1385","11","735","11","746","","0","735","11","746","12","734","13","10","2","3","1","1","43","238","1","4","410","8","29.10.12"
"730537","201","Чернівецька область","ліцей залізничного транспорту, спортивний зал
вул.Нікітіна Павла старшого лейтенанта, 27, м.Чернівці, 58008","1254","561","1257","7","687","6","693","","0","687","6","693","13","680","7","15","8","3","2","2","60","205","0","4","367","7","29.10.12"
"730538","201","Чернівецька область","школа №25, коридор, 2-й поверх
вул.Благоєва Димитра, 8А, м.Чернівці, 58004","2130","951","2099","9","1172","7","1179","","0","1172","7","1179","38","1141","34","11","10","5","1","1","77","270","1","7","721","3","29.10.12"
"730539","201","Чернівецька область","школа №10, їдальня
вул.Горіхівська, 31, м.Чернівці, 58004","1488","735","1489","7","748","5","753","","0","748","5","753","18","735","17","11","5","1","3","0","44","170","0","4","474","6","29.10.12"
"730540","201","Чернівецька область","школа №10, хол
вул.Горіхівська, 31, м.Чернівці, 58004","1302","598","1278","10","697","7","704","","0","697","7","704","19","685","16","11","2","1","3","5","42","192","1","6","404","2","30.10.12"
"730541","201","Чернівецька область","клуб мікрорайону ""Цецино"", актовий зал
вул.Цецинська, 36, м.Чернівці, 58004","906","520","907","6","381","5","386","","0","381","5","386","14","372","5","11","5","1","1","0","20","138","0","4","187","0","29.10.12"
"730542","201","Чернівецька область","школа №8, коридор
вул.Дзержика Корнелія, 22, м.Чернівці, 58004","2490","975","2478","34","1487","28","1515","","0","1487","28","1515","28","1487","47","17","15","6","9","1","116","412","3","7","842","12","29.10.12"
"730543","201","Чернівецька область","БК мікрорайону ""Роша"", концертний зал
вул.Горіхівська, 1, м.Чернівці, 58004","1926","840","1909","15","1076","10","1086","","0","1076","10","1086","30","1056","36","15","6","4","4","2","84","248","3","3","644","7","29.10.12"
"730544","201","Чернівецька область","школа №17, клас математики
вул.Сокирянська, 18, м.Чернівці, 58004","1644","888","1623","11","746","10","756","","0","746","10","756","24","732","11","6","4","1","1","6","47","207","0","2","442","5","29.10.12"
"730545","201","Чернівецька область","""Кіновідеопрокат"", кінозал
вул.Паризької Комуни, 1, м.Чернівці, 58004","1332","536","1325","11","787","9","796","","0","787","9","796","16","780","38","10","8","0","3","1","50","160","1","8","498","3","29.10.12"
"730546","201","Чернівецька область","обласна психіатрична лікарня, клуб
вул.Мусоргського Модеста, 2, м.Чернівці, 58005","576","504","153","2","71","1","72","","0","71","1","72","7","65","4","5","2","1","1","1","2","20","0","1","25","3","29.10.12"
"730547","201","Чернівецька область","обласний клінічний онкологічний диспансер, кабінет 1
вул.Червоноармійська, 242, м.Чернівці, 58013","222","183","53","18","23","16","39","","0","23","16","39","0","39","1","1","1","0","1","0","4","21","1","0","8","1","29.10.12"
"730548","201","Чернівецька область","обласний кардіологічний диспансер, актовий зал
вул.Червоноармійська, 230, м.Чернівці, 58013","186","117","72","28","42","27","69","","0","42","27","69","0","69","3","3","0","1","0","0","7","25","0","1","26","3","29.10.12"
"730549","201","Чернівецька область","обласний ендокринологічний диспансер, приймальня головного лікаря
вул.Федьковича Юрія, 50, м.Чернівці, 58022","54","50","4","0","4","0","4","","0","4","0","4","0","4","0","1","0","0","0","0","2","0","0","0","1","0","29.10.12"
"730550","201","Чернівецька область","обласний протитуберкульозний диспансер, їдальня
вул.Богуна Івана, 18, м.Чернівці, 58008","282","246","50","6","33","3","36","","0","33","3","36","4","32","0","0","1","1","0","1","1","19","0","0","9","0","28.10.12"
"730551","201","Чернівецька область","міський протитуберкульозний диспансер, їдальня
вул.Максимовича Євгена, 6, м.Чернівці, 58018","60","49","12","2","9","2","11","","0","9","2","11","0","11","1","2","0","0","0","0","1","5","0","0","1","1","29.10.12"
"730552","201","Чернівецька область","клінічна лікарня №2, палата 2
вул.Південно-Кільцева, 1А, м.Чернівці, 58013","102","76","26","0","26","0","26","","0","26","0","26","0","26","0","0","0","0","0","0","2","15","0","0","9","0","28.10.12"
"730553","201","Чернівецька область","клінічна лікарня №3, кабінет 2
вул.Головна, 100, м.Чернівці, 58022","252","203","50","28","22","27","49","","0","22","27","49","1","48","1","2","0","0","0","1","3","23","0","1","17","0","28.10.12"
"730554","201","Чернівецька область","залізнична лікарня, приймальний покій
вул.Червоноармійська, 226, м.Чернівці, 58013","126","99","30","16","11","16","27","","0","11","16","27","0","27","2","0","1","1","0","0","5","8","0","0","9","1","30.10.12"
"730555","201","Чернівецька область","лікарня УМВС, актовий зал
вул.Червоноармійська, 228, м.Чернівці, 58013","60","51","9","0","9","0","9","","0","9","0","9","0","9","0","0","0","0","0","1","0","4","0","1","3","0","28.10.12"
"730556","201","Чернівецька область","пологовий будинок №2, хол
вул.Рівненська, 8, м.Чернівці, 58013","156","67","89","1","88","1","89","","0","88","1","89","4","85","3","1","0","0","0","0","7","23","0","0","49","2","29.10.12"
"730557","201","Чернівецька область","гуртожиток політехнічного коледжу, хол
вул.Каспрука Павла, 8, м.Чернівці, 58029","1404","548","1408","6","851","5","856","","0","851","5","856","19","837","26","16","2","5","3","1","68","248","1","6","454","7","29.10.12"
"730558","201","Чернівецька область","УВО УТОС, клуб
пров.Ентузіастів, 5, м.Чернівці, 58018","1500","583","1472","5","912","5","917","","0","912","5","917","24","893","19","11","1","1","3","0","0","84","262","6","504","2","29.10.12"
