"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баскевич
Ігор
Володимирович","Бауер
Михайло
Йозефович","Лисюк
Олександр
Михайлович","Любимський
Василь
Олексійович","Манчуленко
Георгій
Манолійович","Назаренко
Клавдія
Дмитрівна","Рибак
Іван
Петрович","Серецький
Михайло
Миколайович","Токарюк
Володимир
Семенович","Фищук
Олександр
Георгійович","Швигар
Леонід
Володимирович","Дата підписання протоколу"
"730381","202","Чернівецька область","сільський клуб, зала
вул.Шевченка, 62, с.Старі Бросківці, Сторожинецький р-н, Чернівецька обл., 59048","726","349","716","72","312","65","377","","0","312","65","377","20","357","9","97","6","14","2","12","38","5","13","158","3","29.10.12"
"730382","202","Чернівецька область","сільський клуб, зала
вул.І.Миколайчука, 138, с.Старі Бросківці, Сторожинецький р-н, Чернівецька обл., 59048","444","216","448","55","179","49","228","","0","179","49","228","5","223","6","66","1","10","3","11","15","18","5","85","3","29.10.12"
"730383","202","Чернівецька область","школа, фойє
вул.Івасюка, 3, с.Глибочок, Сторожинецький р-н, Чернівецька обл., 59051","648","325","640","28","297","26","323","","0","297","26","323","12","311","14","104","2","10","5","13","21","14","6","122","0","29.10.12"
"730384","202","Чернівецька область","народний дім, фойє
вул.Головна, 20Г, с.Стара Жадова, Сторожинецький р-н, Чернівецька обл., 59017","1698","795","1686","66","837","66","903","","0","837","66","903","30","873","15","136","7","21","9","47","150","125","6","347","10","29.10.12"
"730385","202","Чернівецька область","клуб №1, глядацька зала
вул.Майданівська, 11Б, с.Стара Жадова, Сторожинецький р-н, Чернівецька обл., 59017","744","323","737","34","387","34","421","","0","387","34","421","12","409","2","68","6","3","3","17","110","54","4","140","2","29.10.12"
"730386","202","Чернівецька область","клуб №2, глядацька зала
вул.Головна, 41В, с.Дібрівка, Сторожинецький р-н, Чернівецька обл., 59018","582","211","577","34","337","34","371","","0","337","34","371","11","360","3","78","0","2","4","8","7","177","2","76","3","29.10.12"
"730387","202","Чернівецька область","сільський клуб, актова зала
вул.Міцкевича, 32, с.Стара Красношора, Сторожинецький р-н, Чернівецька обл., 59023","600","225","591","29","346","29","375","","0","346","29","375","11","364","6","132","3","54","3","11","54","3","4","91","3","30.10.12"
"730390","202","Чернівецька область","сільський клуб, велика зала
вул.Центральна, 32, с.Череш, Сторожинецький р-н, Чернівецька обл., 59031","972","381","965","49","545","46","591","","0","545","46","591","23","568","18","219","10","130","7","15","55","6","5","95","8","29.10.12"
"730391","202","Чернівецька область","будинок національних культур, фойє
вул.М.Емінеску, 68А, с.Чудей, Сторожинецького р-н, Чернівецька обл., 59024","2340","1220","2230","57","1067","53","1120","","0","1067","53","1120","49","1071","9","247","2","481","6","17","25","4","5","263","12","30.10.12"
"730392","202","Чернівецька область","школа №3, спортивна зала
вул.Горіхова, 2, с.Чудей, Сторожинецький р-н, Чернівецька обл., 59024","1518","832","1504","14","672","14","686","","0","672","14","686","42","644","5","163","9","302","4","10","14","3","2","130","2","30.10.12"
"730393","202","Чернівецька область","школа №3, спортивна зала
вул.Святого Петра, 35, с.Нова Красношора, Сторожинецький р-н, Чернівецька обл., 59024","126","49","120","5","72","5","77","","0","72","5","77","3","74","0","25","2","35","0","0","3","0","1","8","0","29.10.12"
"730394","202","Чернівецька область","клуб медичних працівників
вул.П.Видинівського, 20, м.Сторожинець, Сторожинецький р-н, Чернівецька обл., 59000","102","49","78","41","12","41","53","","0","12","41","53","1","52","2","19","1","4","2","4","5","2","1","11","1","29.10.12"
