"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вікнянський
Олег
Іванович","Говорнян
Семен
Володимирович","Данчук
Валерій
Георгійович","Кучерявий
Валерій
Сергійович","Левчик
Юрій
Серафимович","Мельник
Руслан
Васильович","Паламар
Іван
Савич","Панчук
Петро
Володимирович","Спіжавка
Степан
Георгійович","Тіміш
Григорій
Іванович","Федоряк
Геннадій
Дмитрович","Дата підписання протоколу"
"730252","203","Чернівецька область","клуб, великий зал
вул.Колгоспна, 3, с.Остриця, Новоселицький р-н, Чернівецька обл., 60313","1758","881","1732","19","859","18","877","","0","859","18","877","41","836","28","21","1","23","48","13","4","4","6","40","648","29.10.12"
"730253","203","Чернівецька область","будинок культури, зал
вул.Центральна, 63, с.Малинівка, Новоселицький р-н, Чернівецька обл., 60322","1026","463","1020","43","531","32","563","","0","531","32","563","30","533","6","17","5","5","4","6","100","8","3","37","342","29.10.12"
"730254","203","Чернівецька область","будинок культури, фойє
вул.Леніна, 79, с.Мамалига, Новоселицький р-н, Чернівецька обл., 60364","1914","818","1856","46","1056","40","1096","","0","1056","40","1096","55","1041","20","81","3","25","52","9","29","9","43","90","680","29.10.12"
"730255","203","Чернівецька область","ДВЗ №2, ігровий зал
вул.Суворова, 9, с.Кошуляни, Новоселицький р-н, Чернівецька обл., 60364","888","369","886","6","514","5","519","","0","514","5","519","22","497","5","45","2","11","18","6","24","4","14","76","292","28.10.12"
"730256","203","Чернівецька область","школа, спортзал
вул.Котовського, 12, с.Маршинці, Новоселицький р-н, Чернівецька обл., 60309","2340","1137","2377","29","1175","28","1203","","0","1175","28","1203","38","1165","20","90","10","22","28","14","31","3","34","107","806","29.10.12"
"730257","203","Чернівецька область","Клуб, зал
вул.Леніна, 96, с.Маршинці, Новоселицький р-н, Чернівецька обл., 60309","1764","712","1775","47","1012","40","1052","","0","1012","40","1052","53","999","12","58","10","20","10","11","23","1","22","89","743","29.10.12"
"730258","203","Чернівецька область","школа, спортзал
вул.Центральна, 28, с.Несвоя, Новоселицький р-н, Чернівецька обл., 60361","1014","310","1013","51","653","51","704","","0","653","51","704","20","684","5","13","9","193","2","1","22","1","4","26","408","29.10.12"
"730259","203","Чернівецька область","будинок культури, великий зал
вул.Леніна, 31, с.Подвірне, Новоселицький р-н, Чернівецька обл., 60363","1746","581","1731","90","1080","85","1165","","0","1080","85","1165","35","1130","45","69","10","24","13","19","202","41","78","128","501","29.10.12"
"730260","203","Чернівецька область","школа, фойє
вул.Центральна, 94А, с.Припруття, Новоселицький р-н, Чернівецька обл., 60321","1926","954","1917","19","953","19","972","","0","953","19","972","45","927","24","34","9","8","28","16","49","3","15","60","681","29.10.12"
"730261","203","Чернівецька область","сільська рада, зал засідань
вул.Садова, 1, с.Рингач, Новоселицький р-н, Чернівецька обл., 60330","834","226","823","61","550","58","608","","0","550","58","608","8","600","0","8","8","3","2","12","506","3","5","4","49","28.10.12"
"730262","203","Чернівецька область","будинок культури, зал
вул.І.Миколайчука, 15А, с.Шишківці, Новоселицький р-н, Чернівецька обл., 60330","270","81","263","21","170","19","189","","0","170","19","189","7","182","1","1","2","0","0","2","142","4","1","6","23","28.10.12"
"730263","203","Чернівецька область","будинок культури, фойє
вул.Ярошинська, 4, с.Рідківці, Новоселицький р-н, Чернівецької обл., 60312","2094","1015","2078","8","1071","8","1079","","0","1071","8","1079","54","1025","60","14","10","7","26","22","33","18","372","157","306","29.10.12"
"730264","203","Чернівецька область","будинок культури, зал
вул.Головна, 10, с.Рокитне, Новоселицький р-н, Чернівецька обл., 60320","1908","876","1899","43","989","43","1032","","0","989","43","1032","41","991","25","25","16","28","6","8","178","3","14","40","648","29.10.12"
"730265","203","Чернівецька область","будинок культури, зал
вул.О. Кобилянської, 4, с.Слобода, Новоселицький р-н, Чернівецька обл., 60323","1038","417","1033","13","608","13","621","","1","608","13","621","25","596","23","13","3","3","6","6","139","4","33","46","320","29.10.12"
"730266","203","Чернівецька область","будинок культури, великий зал
вул.Шкільна, 1, с.Стальнівці, Новоселицький р-н, Чернівецька обл., 60362","1482","523","1477","57","907","52","959","","0","907","52","959","43","916","31","68","24","76","11","20","42","10","26","63","545","28.10.12"
"730267","203","Чернівецька область","будинок культури, фойє
вул.Леніна, 63Д, с.Строїнці, Новоселицький р-н, Чернівецька обл., 60308","1260","395","1251","69","796","69","865","","0","796","69","865","30","835","5","15","2","5","8","3","22","0","14","30","731","29.10.12"
"730268","203","Чернівецька область","сільська рада, бібліотека
вул.Леніна, 150, с.Тарасівці, Новоселицький р-н, Чернівецька обл., 60350","1962","1010","1949","60","893","59","952","","0","893","59","952","37","915","14","100","14","29","19","13","53","8","20","51","594","28.10.12"
"730269","203","Чернівецька область","школа, їдальня
вул.Шкільна, 1, с.Тарасівці, Новоселицький р-н, Чернівецької обл., 60350","2106","1048","2097","42","1017","41","1058","","0","1017","41","1058","32","1026","22","85","4","42","21","21","42","12","25","77","675","28.10.12"
"730270","203","Чернівецька область","будинок культури, зал
вул.Топорівська, 136, с.Топорівці, Новоселицький р-н, Чернівецька обл., 60311","1788","792","1779","18","978","18","996","","0","978","18","996","36","960","76","37","13","19","24","16","104","18","418","77","158","29.10.12"
"730271","203","Чернівецька область","школа, актовий зал
вул.Шевченка, 6, с.Топорівці, Новоселицький р-н, Чернівецька обл., 60311","1566","727","1551","21","820","19","839","","0","820","19","839","43","796","55","16","8","4","22","21","55","9","267","117","222","29.10.12"
"730272","203","Чернівецька область","будинок культури, фойє
вул.Центральна, 27, с.Форосна, Новоселицький р-н, Чернівецька обл., 60341","672","259","664","37","379","34","413","","0","379","34","413","7","406","4","15","4","6","1","4","13","3","11","17","328","28.10.12"
"730273","203","Чернівецька область","будинок культури, фойє
вул.Головна, 43С, с.Черленівка, Новоселицький р-н, Чернівецька обл., 60345","1644","840","1643","68","742","62","804","","0","742","62","804","21","783","1","19","5","3","3","7","14","2","4","29","696","28.10.12"
"730274","203","Чернівецька область","сільський клуб, великий зал
вул.Федьковича, 16, с.Чорнівка, Новоселицький р-н, Чернівецька обл., 60310","1818","899","1813","31","888","31","919","","0","888","31","919","46","873","48","14","28","10","16","21","31","14","255","74","362","29.10.12"
"730275","203","Чернівецька область","клуб, фойє
вул.Центральна, 18, с.Щербинці, Новоселицький р-н, Чернівецька обл., 60344","594","212","588","34","350","32","382","","0","350","32","382","8","374","8","9","3","4","3","4","17","3","24","23","276","29.10.12"
"730276","203","Чернівецька область","школа, їдальня
вул.Центральна, 84, с.Костичани, Новоселицький р-н, Чернівецька обл., 60352","1158","572","1152","33","560","26","586","","0","560","26","586","22","564","4","184","7","8","26","4","27","5","3","27","269","29.10.12"
"730277","203","Чернівецька область","школа, кабінет початкових класів
вул.Леніна, 1, с.Магала, Новоселицький р-н, Чернівецька обл., 60313","1176","607","1163","9","560","9","569","","0","560","9","569","36","533","31","17","4","8","69","12","9","4","18","42","319","29.10.12"
"730278","203","Чернівецька область","школа, фойє
вул.Леніна, 9, с.Рідківці, Новоселицький р-н, Чернівецька обл., 60312","1116","492","1109","16","608","16","624","","0","608","16","624","33","591","28","14","3","8","13","23","36","5","149","71","241","29.10.12"
"730352","203","Чернівецька область","школа, фойє
вул.Головна, 20Б, с.Великий Кучурів, Сторожинецький р-н, Чернівецька обл., 59052","2076","1030","2055","41","1012","34","1046","","0","1012","34","1046","34","1012","16","6","4","6","1","756","7","6","64","42","104","29.10.12"
"730353","203","Чернівецька область","будинок культури, концертна зала
вул.Головна, 20, с.Великий Кучурів, Сторожинецький р-н, Чернівецька обл., 59052","1866","853","1851","29","987","26","1013","","0","987","26","1013","47","966","13","4","5","11","7","692","14","10","60","80","70","29.10.12"
"730354","203","Чернівецька область","школа, спортивна зала
вул.Центральна, 64, с.Годилів, Сторожинецького р-н, Чернівецької обл., 59053","2370","1099","2365","37","1237","34","1271","","0","1237","34","1271","42","1229","19","5","8","11","14","664","22","19","180","108","179","29.10.12"
"730362","203","Чернівецька область","школа, актова зала
вул.Шкільна, 1, с.Кам’яна, Сторожинецький р-н, Чернівецька обл., 59050","1356","689","1346","25","645","22","667","","0","645","22","667","30","637","28","1","12","6","10","100","109","28","90","94","159","29.10.12"
"730363","203","Чернівецька область","будинок культури, мала зала
вул.Головна, 1, с.Кам’яна, Сторожинецького р-н, Чернівецька обл., 59050","1266","571","1255","18","678","17","695","","0","678","17","695","32","663","30","9","9","9","14","145","99","23","104","98","123","29.10.12"
"730367","203","Чернівецька область","школа, фойє
вул.Головна, 22, с.Михальча, Сторожинецького р-н, Чернівецької обл., 59040","1812","757","1798","46","1015","40","1055","","0","1015","40","1055","51","1004","45","11","16","15","18","231","46","28","143","156","295","29.10.12"
"730376","203","Чернівецька область","будинок культури, глядацька зала
вул.М.Емінеску, 1, с.Ропча, Сторожинецький р-н, Чернівецька обл., 59032","1506","829","1488","39","644","33","677","","0","644","33","677","44","633","26","20","21","22","21","47","13","35","23","179","226","29.10.12"
"730377","203","Чернівецька область","школа, кл.2
вул.Б.Хашдеу, 124, с.Ропча, Сторожинецький р-н, Чернівецька обл., 59032","1032","556","1025","24","452","24","476","","0","452","24","476","45","431","32","24","14","26","26","29","14","21","16","74","155","29.10.12"
"730379","203","Чернівецька область","будинок національної творчості, мала зала
вул.Головна, 12, с.Снячів, Сторожинецький р-н, Чернівецька обл., 59005","1284","569","1276","68","659","56","715","","0","659","56","715","30","685","10","3","24","22","12","249","9","8","55","84","209","29.10.12"
"730380","203","Чернівецька область","клуб, зала
вул.Головна, 5А, с.Глибочок, Сторожинецький р-н, Чернівецька обл., 59051","192","63","189","11","118","11","129","","0","118","11","129","4","125","5","0","4","0","1","8","10","10","3","19","65","29.10.12"
"730388","203","Чернівецька область","будинок культури, актова зала
вул.Пантівська, 5, с.Тисовець, Сторожинецький р-н, Чернівецька обл., 59054","1428","666","1418","27","735","27","762","","0","735","27","762","26","736","6","3","3","0","1","571","6","11","26","58","51","29.10.12"
"730389","203","Чернівецька область","торгівельно-розважальний комплекс ""Зарінок"", зала
вул.Привокзальна, 2Д, с.Тисовець, Сторожинецький р-н, Чернівецька обл., 59054","1272","597","1262","35","643","32","675","","0","643","32","675","31","644","9","2","0","1","7","485","6","7","36","43","48","29.10.12"
"730481","203","Чернівецька область","ВАТ ""Чернівецький олійно-жировий комбінат"", зал для зборів
вул.Тореза Моріса, 17, м.Чернівці, 58007","2472","1156","2453","46","1283","33","1316","","0","1283","33","1316","51","1265","84","27","12","37","24","27","75","26","423","319","211","29.10.12"
"730482","203","Чернівецька область","школа №19, актовий зал
вул.Хотинська, 23, м.Чернівці, 58007","1488","642","1475","29","824","22","846","","0","824","22","846","37","809","120","28","8","24","18","16","34","23","227","130","181","29.10.12"
"730483","203","Чернівецька область","Чернівецький машинобудівний ліцей, актовий зал
вул.Хотинська, 47, м.Чернівці, 58020","2226","990","2192","7","1232","4","1236","","0","1232","4","1236","73","1163","187","25","6","19","12","30","51","63","366","193","211","29.10.12"
"730484","203","Чернівецька область","школа №31, актовий зал
вул.Дібровецька, 5А, м.Чернівці, 58025","1668","828","1657","25","825","15","840","","0","825","15","840","31","809","300","8","6","7","12","16","29","22","215","68","126","29.10.12"
"730485","203","Чернівецька область","школа №31, фойє
вул.Дібровецька, 5А, м.Чернівці, 58025","1386","641","1388","11","734","11","745","","0","734","11","745","28","717","247","6","6","12","9","8","54","8","177","90","100","29.10.12"
"730486","203","Чернівецька область","музична школа №3, клас піаніно
вул.Юнацька, 1, м.Чернівці, 58025","2424","1179","2413","30","1221","24","1245","","0","1221","24","1245","53","1192","178","32","8","41","11","18","89","20","303","166","326","29.10.12"
