"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бичковський
Юрій
Олегович","Вандрашек
Вячеслав
Павлович","Лахнеко
Олег
Іванович","Лебедєв
Олександр
Павлович","Мусійко
Вадим
Юрійович","Назарян
Євген
Григорович","Поддубченко
Ігор
Іванович","Попутько
Юрій
Анатолійович","Путілов
Андрій
Станіславович","Романченко
Борис
Володимирович","Тишкевич
Олексій
Володимирович","Федін
Василь
Вікторович","Дата підписання протоколу"
"650698","183","Херсонська область","ліцей журналістики, хол, 1-й поверх
вул.Рози Люксембург, 17, м.Херсон, 73027","2154","1152","2141","22","989","13","1002","","0","989","13","1002","56","946","15","10","93","8","9","24","63","12","354","13","17","328","29.10.12"
"650699","183","Херсонська область","школа №5, їдальня, 1-й поверх
вул.Сухарна, 4, м.Херсон, 73011","2298","1410","2281","20","873","15","888","","0","873","15","888","61","827","14","5","87","20","12","26","19","12","363","8","16","245","28.10.12"
"650700","183","Херсонська область","школа №8, хол, праве крило, 1-й поверх
вул.П.Морозова, 7, м.Херсон, 73009","1350","732","1308","15","604","14","618","","0","604","14","618","38","580","14","4","114","7","3","11","33","8","209","9","9","159","29.10.12"
"650701","183","Херсонська область","школа №8, хол, ліве крило, 1-й поверх
вул.П.Морозова, 7, м.Херсон, 73009","1518","843","1508","10","668","7","675","","0","668","7","675","35","640","22","6","101","4","8","12","16","8","227","11","8","217","29.10.12"
"650702","183","Херсонська область","житлово-експлуатаційне підприємство №11, хол, 1-й поверх
вул.Лавреньова, 7, м.Херсон, 73020","1110","521","1109","4","588","1","589","","0","588","1","589","28","561","8","7","59","11","5","13","24","9","218","7","13","187","29.10.12"
"650703","183","Херсонська область","школа №11, хол, 1-й поверх
вул.Робоча, 205, м.Херсон, 73000","2466","1301","2451","23","1147","18","1165","","0","1147","18","1165","73","1092","14","8","153","19","7","29","43","18","425","13","15","348","29.10.12"
"650704","183","Херсонська область","школа №11, спортивна зала, 1-й поверх
вул.Робоча, 205, м.Херсон, 73000","2502","1240","2502","10","1252","10","1262","","0","1252","10","1262","100","1162","20","8","144","29","17","32","55","6","412","18","18","403","30.10.12"
"650705","183","Херсонська область","школа №51, спортивна зала, 1-й поверх
просп.Будівельників, 9, м.Херсон, 73033","1920","1079","1905","13","831","10","841","","0","831","10","841","40","801","19","11","84","15","5","15","25","7","307","12","14","287","29.10.12"
"650706","183","Херсонська область","школа №51, спортивна зала, 1-й поверх
просп.Будівельників, 9, м.Херсон, 73033","1944","958","1936","8","979","7","986","","0","979","7","986","73","913","11","10","84","11","7","18","43","12","339","15","12","351","29.10.12"
"650707","183","Херсонська область","школа №51, актова зала, 1-й поверх
просп.Будівельників, 9, м.Херсон, 73033","1224","608","1209","4","612","4","616","","0","612","4","616","31","585","12","7","57","13","4","14","37","6","211","11","11","202","29.10.12"
"650708","183","Херсонська область","школа №55, їдальня, 1-й поверх
вул.Лавреньова, 9Б, м.Херсон, 73020","2004","959","1980","18","1028","17","1045","","0","1028","17","1045","52","993","23","8","99","13","11","20","53","17","350","18","23","358","29.10.12"
"650709","183","Херсонська область","школа №55, хол, 1-й поверх
вул.Лавреньова, 9Б, м.Херсон, 73020","2298","1163","2262","19","1121","14","1135","","0","1121","14","1135","106","1029","19","9","127","19","8","35","47","15","336","24","14","376","29.10.12"
"650710","183","Херсонська область","школа №1, хол, 2-й поверх
просп.Георгія Димитрова, 17Б, м.Херсон, 73020","1770","895","1762","19","859","16","875","","0","859","16","875","44","831","20","6","87","6","9","22","25","10","306","22","16","302","29.10.12"
"650711","183","Херсонська область","школа №1, хол, 1-й поверх
просп.Георгія Димитрова, 17Б, м.Херсон, 73020","1824","930","1812","8","886","8","894","","0","886","8","894","49","845","15","7","90","19","6","20","38","7","319","16","10","298","29.10.12"
"650712","183","Херсонська область","школа №1, хол, 1-й поверх
просп.Георгія Димитрова, 17Б, м.Херсон, 73020","1440","836","1416","6","600","4","604","","0","600","4","604","36","568","7","5","69","10","4","15","30","6","236","9","2","175","29.10.12"
"650713","183","Херсонська область","школа №54, спортивна зала, 1-й поверх
вул.Д.Благоєва, 6А, м.Херсон, 73020","2298","1204","2291","12","1084","10","1094","","0","1084","10","1094","80","1014","19","10","122","25","9","24","46","22","366","13","11","347","29.10.12"
"650714","183","Херсонська область","школа №54, актова зала, 1-й поверх
вул.Д.Благоєва, 6А, м.Херсон, 73020","1458","698","1444","2","758","2","760","","0","758","2","760","67","693","11","3","78","10","3","16","44","8","265","8","10","237","29.10.12"
"650715","183","Херсонська область","школа №54, спортивна зала, 1-й поверх
вул.Д.Благоєва, 6А, м.Херсон, 73020","1692","881","1678","7","809","2","811","","0","809","2","811","58","753","11","11","91","15","1","18","35","1","241","18","9","302","31.10.12"
"650716","183","Херсонська область","Херсонський обласний ліцей, хол, 1-й поверх
вул.Полтавська, 89, м.Херсон, 73011","2046","1132","2013","22","899","15","914","","0","899","15","914","62","852","17","7","91","25","4","19","57","11","324","13","15","269","30.10.12"
"650717","183","Херсонська область","школа №26, їдальня, 1-й поверх
вул.Радянська, 60, смт Комишани, м.Херсон, 73490","1698","1088","1687","16","597","13","610","","0","597","13","610","30","580","10","4","61","18","4","13","28","11","229","6","2","194","29.10.12"
"650718","183","Херсонська область","школа №26, спортивна зала, 1-й поверх
вул.Радянська, 60, смт Комишани, м.Херсон, 73490","1896","1153","1889","9","735","8","743","","0","735","8","743","50","693","8","5","63","11","8","11","31","9","314","5","15","213","29.10.12"
"650719","183","Херсонська область","Комишанська селищна рада, хол, 1-й поверх
вул.Радянська, 81А, смт Комишани, м.Херсон, 73490","2250","1453","2239","20","780","17","797","","0","780","17","797","65","732","12","7","80","11","4","28","41","7","300","9","12","221","29.10.12"
"650720","183","Херсонська область","дитячий садок №70, хол, 1-й поверх
вул.Білозерська, 7, с-ще Приозерне, м.Херсон, 73489","1506","778","1500","13","718","10","728","","0","718","10","728","59","669","2","5","66","9","2","11","47","10","310","10","8","189","30.10.12"
"650721","183","Херсонська область","ПП Мєшков К.О., адміністративна будівля, хол, 1-й поверх
вул.Нафтовиків, 131К, м.Херсон, 73009","1092","582","1088","12","498","12","510","","0","498","12","510","30","480","8","2","33","10","6","13","11","2","212","8","4","171","29.10.12"
"650722","183","Херсонська область","Комишанський психоневрологічний будинок-інтернат, хол, 1-й поверх
пров.Робочий, 12, смт Комишани, м.Херсон, 73490","360","154","350","3","203","3","206","","0","203","3","206","16","190","6","5","12","3","8","4","5","7","59","5","0","76","29.10.12"
"650723","183","Херсонська область","Херсонська міська клінічна лікарня ім.А. і О.Тропіних, конференційна зала
вул.Комарова, 2, м.Херсон, 73000","126","34","92","30","62","30","92","","0","62","30","92","2","90","2","3","3","10","2","2","0","1","26","2","1","38","29.10.12"
"650724","183","Херсонська область","кардіологічний диспансер, лікувальний корпус, ординаторська, 4-й поверх
вул.Суворова, 35, м.Херсон, 73025","84","43","41","0","41","0","41","","0","41","0","41","1","40","1","0","4","1","0","0","1","1","11","1","1","19","29.10.12"
"650725","183","Херсонська область","венерологічний диспансер, актова зала, 2-й поверх
вул.Горького, 39, м.Херсон, 73025","78","62","19","0","16","0","16","","0","16","0","16","0","16","0","0","1","1","0","0","0","0","11","0","0","3","29.10.12"
"650769","183","Херсонська область","школа №17, хол, 1-й поверх
вул.Джона Говарда, 63, с.Степанівка, м.Херсон, 73488","1542","857","1541","11","678","7","685","","0","675","7","682","74","608","12","4","59","15","13","23","31","7","234","8","11","191","29.10.12"
"650770","183","Херсонська область","школа №17, хол, 1-й поверх
вул.Джона Говарда, 63, с.Степанівка, м.Херсон, 73488","1380","778","1383","15","590","12","602","","0","590","12","602","35","567","15","6","44","11","4","24","53","11","214","10","12","163","30.10.12"
"650771","183","Херсонська область","психіатрична лікарня, корпус А, фойє
вул.Джона Говарда, 65, с.Степанівка, м.Херсон, 73488","906","605","353","353","0","301","301","","0","0","301","301","43","258","17","8","40","19","6","16","14","9","48","8","8","65","29.10.12"
"650772","183","Херсонська область","геріатрична лікарня, кімната масажу, 1-й поверх
вул.Джона Говарда, 63, с.Степанівка, м.Херсон, 73488","30","0","30","0","30","0","30","","0","30","0","30","1","29","0","0","6","0","0","0","1","0","3","1","1","17","29.10.12"
