"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вінник
Іван
Юлійович","Воличенко
Роман
Миколайович","Діденко
Сергій
Володимирович","Дмитрук
Микола
Ілліч","Литвин
Ігор
Йосипович","Севрюков
Георгій
Іванович","Сіленков
Борис
Віталійович","Стретович
Володимир
Миколайович","Терлецький
Юрій
Сергійович","Дата підписання протоколу"
"650612","184","Херсонська область","школа №6, хол
просп.Дніпровський, 263А, м.Нова Каховка, Херсонська обл., 74900","936","481","936","14","441","14","455","","0","441","14","455","16","439","113","4","8","60","44","96","37","52","25","28.10.12"
"650613","184","Херсонська область","будинок культури, фойє
просп.Дніпровський, 166, м.Нова Каховка, Херсонська обл., 74900","1878","866","1868","24","993","19","1012","","0","993","19","1012","53","959","194","9","12","165","75","206","74","166","58","28.10.12"
"650614","184","Херсонська область","будинок культури, хол
вул.1 Травня, 2, смт Дніпряни, м.Нова Каховка, Херсонська обл., 74987","2058","1058","2046","53","963","37","1000","","0","963","37","1000","50","950","329","8","12","154","51","152","64","109","71","28.10.12"
"650615","184","Херсонська область","школа, актова зала
вул.Корсунська, 3, смт Дніпряни, м.Нова Каховка, Херсонська обл., 74987","1410","680","1397","19","716","14","730","","0","716","14","730","23","707","182","8","6","86","52","136","65","99","73","28.10.12"
"650616","184","Херсонська область","школа, фойє
вул.Суворова, 86, с.Корсунка, м.Нова Каховка, Херсонська обл., 74986","1056","561","1055","13","489","6","495","","0","489","6","495","15","480","198","2","7","54","36","95","32","25","31","29.10.12"
"650617","184","Херсонська область","клуб, глядацька зала
вул.Кооперативна, 5, с.Нові Лагері, м.Нова Каховка, Херсонська обл., 74990","528","240","518","20","272","16","288","","0","272","16","288","12","276","66","2","5","41","14","72","36","28","12","28.10.12"
"650618","184","Херсонська область","клуб, фойє
вул.Пушкіна, 1, с.Маслівка, м.Нова Каховка, Херсонська обл., 74994","588","261","582","29","298","29","327","","0","298","29","327","29","298","54","3","18","41","17","60","51","43","11","28.10.12"
"650619","184","Херсонська область","будинок культури, фойє
вул.Виноградна, 1, с-ще Тополівка, м.Нова Каховка, Херсонська обл., 74993","732","242","728","22","469","21","490","","0","469","21","490","23","467","128","6","8","73","42","63","45","82","20","29.10.12"
"650620","184","Херсонська область","школа, класна кімната
вул.Леніна, 5, с-ще Райське, м.Нова Каховка, Херсонська обл., 74991","1032","449","1040","8","577","6","583","","0","577","6","583","28","555","160","3","8","73","31","74","38","147","21","28.10.12"
"650621","184","Херсонська область","Центральна міська лікарня, актова зала
вул.Маркса Карла, 33А, м.Нова Каховка, Херсонська обл., 74900","372","333","64","39","0","39","39","","0","0","39","39","0","39","14","0","1","5","3","10","2","1","3","28.10.12"
