"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гончарський
Іван
Львович","Журавко
Олексій
Валерійович","Негой
Федір
Федорович","Реуцький
Іван
Васильович","Самойлик
Катерина
Семенівна","Сергеєв
Сергій
Олександрович","Твердовський
Олександр
Миколайович","Фролов
Олексій
Володимирович","Халупенко
Денис
Миколайович","Дата підписання протоколу"
"650542","186","Херсонська область","школа, актова зала
вул.Миру, 10А, с.Долинське, Чаплинський р-н, Херсонська обл., 75224","744","354","732","10","382","8","390","","0","382","8","390","16","374","30","159","39","5","84","7","21","10","19","28.10.12"
"650543","186","Херсонська область","сільський будинок культури, фойє
вул.Центральна, 9, с.Іванівка, Чаплинський р-н, Херсонська обл., 75244","744","350","742","12","386","8","394","","0","386","8","394","12","382","18","49","120","1","169","2","9","12","2","28.10.12"
"650547","186","Херсонська область","сільська рада, актова зала
вул.Гагаріна, 24, с.Надеждівка, Чаплинський р-н, Херсонська обл., 75226","1072","553","1054","24","500","19","519","","0","500","19","519","13","506","21","218","39","1","182","2","12","17","14","28.10.12"
"650549","186","Херсонська область","сільський будинок культури, фойє
вул.Леніна, 6, с.Павлівка, Чаплинський р-н, Херсонська обл., 75241","952","460","941","19","474","18","492","","0","474","18","492","21","471","42","119","66","3","208","2","15","9","7","01.11.12"
"650550","186","Херсонська область","сільський будинок культури, фойє
вул.Тимошенко, 32А, с.Першокостянтинівка, Чаплинський р-н, Херсонська обл., 75242","960","523","950","8","429","8","437","","0","429","8","437","28","409","46","82","115","6","109","2","19","6","24","29.10.12"
"650551","186","Херсонська область","сільський будинок культури, концертна зала
вул.Кірова, 23, с.Преображенка, Чаплинський р-н, Херсонська обл., 75213","1320","675","1304","20","626","19","645","","0","626","19","645","36","609","77","147","132","2","185","3","30","2","31","31.10.12"
"650552","186","Херсонська область","адмінбудівля СТОВ ""Нива"", зала засідань
вул.Леніна, 39, с.Скадовка, Чаплинський р-н, Херсонська обл., 75211","664","353","649","1","310","1","311","","0","310","1","311","22","289","16","46","86","2","116","1","3","0","19","28.10.12"
"650553","186","Херсонська область","сільський будинок культури, танцювальна зала
вул.Фрунзе, 17, с.Строганівка, Чаплинський р-н, Херсонська обл., 75243","784","401","774","15","369","14","383","","0","369","14","383","15","368","38","62","101","5","116","4","17","5","20","28.10.12"
"650554","186","Херсонська область","сільський будинок культури, фойє
вул.Кудрі, 7, с.Хлібодарівка, Чаплинський р-н, Херсонська обл., 75234","856","453","854","5","398","5","403","","0","398","5","403","22","381","32","94","80","0","129","8","20","5","13","08.11.12"
"650555","186","Херсонська область","сільський будинок культури, фойє
вул.Леніна, 39, с.Хрестівка, Чаплинський р-н, Херсонська обл., 75225","1224","558","1213","31","635","31","666","","0","635","31","666","24","642","48","201","130","8","220","2","15","7","11","08.11.12"
"650556","186","Херсонська область","Аграрний ліцей, учбовий корпус, фойє
вул.Леніна, 21, смт Чаплинка, Чаплинський р-н, Херсонська обл., 75200","1704","860","1686","14","831","13","844","","0","831","13","844","34","810","82","135","100","9","381","5","39","25","34","29.10.12"
"650557","186","Херсонська область","районний будинок культури, малий зал, 2-й поверх
вул.Леніна, 38, смт Чаплинка, Чаплинський р-н, Херсонська обл., 75200","1760","804","1742","24","934","22","956","","0","934","22","956","31","925","104","150","97","3","467","8","31","21","44","29.10.12"
"650558","186","Херсонська область","школа №3, фойє
вул.Леніна, 56, смт Чаплинка, Чаплинський р-н, Херсонська обл., 75200","1560","867","1554","17","676","17","693","","0","676","17","693","26","667","72","157","76","7","274","5","36","18","22","29.10.12"
"650559","186","Херсонська область","спеціалізована школа №1, спортзала
вул.Декабристів, 16, смт Чаплинка, Чаплинський р-н, Херсонська обл., 75200","1536","876","1530","5","656","4","660","","0","656","4","660","12","648","54","100","88","4","338","9","25","11","19","28.10.12"
"650560","186","Херсонська область","будинок дитячої творчості, спортзала
вул.Калініна, 18, смт Чаплинка, Чаплинський р-н, Херсонська обл., 75200","1472","735","1466","36","701","36","737","","0","701","36","737","28","709","83","120","76","5","349","4","26","14","32","28.10.12"
"650561","186","Херсонська область","школа, фойє
вул.Комсомольська, 15, с.Нове, Чаплинський р-н, Херсонська обл., 75200","192","79","194","7","106","7","113","","0","106","7","113","3","110","10","50","8","0","30","0","3","9","0","29.10.12"
