"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Амельченко
Василь
Васильович","Журман
Сергій
Миколайович","Зінов’єв
Артур
Петрович","Куніцин
Володимир
Миколайович","Лещенко
Володимир
Олексійович","Матюха
Валерія
Валеріївна","Неживий
Леонід
Михайлович","Петров
Олег
Борисович","Петров
Олег
Володимирович","Рибаков
Ігор
Олександрович","Шаповал
Петро
Дмитрович","Юхименко
Сергій
Володимирович","Дата підписання протоколу"
"000001","207","Чернігівська область","кімната медичної частини
вул.Коротченка, 31, м.Новгород-Сіверський, Чернігвська обл., 16000","132","28","104","0","104","0","104","","0","104","0","104","9","95","10","9","7","3","12","9","9","5","5","17","5","4","29.10.12"
"740153","207","Чернігівська область","будинок культури, фойє
вул.Леніна, 8А, м.Городня, Городнянський р-н, Чернігівська обл., 15100","2130","1156","2113","42","938","36","974","","0","938","36","974","29","945","47","208","8","7","131","7","64","7","13","176","271","6","29.10.12"
"740154","207","Чернігівська область","спортивна школа, фойє
вул.1 Травня, 20, м.Городня, Городнянський р-н, Чернігівська обл., 15100","2064","976","2039","32","1068","20","1088","","0","1068","20","1088","45","1043","47","237","8","6","109","13","79","9","13","187","331","4","29.10.12"
"740155","207","Чернігівська область","клуб механічного заводу, глядацька зала
вул.Радянська, 110, м.Городня, Городнянський р-н, Чернігівська обл., 15100","2280","1186","2245","41","1067","27","1094","","0","1067","27","1094","42","1052","59","201","10","7","151","8","82","10","21","187","307","9","29.10.12"
"740156","207","Чернігівська область","районна гімназія, спортивна зала
вул.Чорноуса, 29, м.Городня, Городнянський р-н, Чернігівська обл., 15100","2100","1045","2046","36","1023","32","1055","","0","1023","32","1055","41","1014","63","184","11","4","162","4","56","9","19","167","330","5","02.11.12"
"740157","207","Чернігівська область","школа №2, спортивна зала
вул.Леніна, 4, м.Городня, Городнянський р-н, Чернігівська обл., 15100","2232","1247","2185","27","964","21","985","","0","964","21","985","27","958","43","197","9","10","136","9","64","8","15","188","276","3","29.10.12"
"740158","207","Чернігівська область","хлібоприймальне підприємство, зала засідань
вул.Вокзальна, 18, с.Вокзал-Городня, Городнянський р-н, Чернігівська обл., 15100","870","511","871","22","338","21","359","","0","338","21","359","8","351","15","78","3","4","52","5","36","0","8","80","67","3","03.11.12"
"740159","207","Чернігівська область","сільська рада, зала засідань
вул.Набережна, 7, с.Андріївка, Городнянський р-н, Чернігівська обл., 15124","120","49","113","13","61","10","71","","0","61","10","71","2","69","4","11","0","0","19","1","2","1","5","24","2","0","28.10.12"
"740160","207","Чернігівська область","школа, кабінет історії
вул.Червоноармійська, 40, с.Автуничі, Городнянський р-н, Чернігівська обл., 15124","240","61","235","25","157","22","179","","0","157","22","179","10","169","13","17","3","2","28","0","9","1","4","78","14","0","28.10.12"
"740161","207","Чернігівська область","сільський клуб, глядацька зала
вул.Леніна, 70, с.Старосілля, Городнянський р-н, Чернігівська обл., 15124","180","61","174","26","97","22","119","","0","97","22","119","5","114","6","17","3","1","21","2","9","1","7","33","9","5","28.10.12"
"740162","207","Чернігівська область","будинок культури, глядацька зала
вул.Центральна, 27, с.Бурівка, Городнянський р-н, Чернігівська обл., 15143","432","154","424","56","224","54","278","","0","224","54","278","46","232","14","23","1","1","36","1","6","8","18","83","39","2","28.10.12"
"740163","207","Чернігівська область","будинок культури, глядацька зала
вул.Димитрова, 56, с.Бутівка, Городнянський р-н, Чернігівська обл., 15135","204","72","192","14","120","12","132","","0","120","12","132","7","125","8","5","1","0","25","1","5","2","4","55","18","1","28.10.12"
"740164","207","Чернігівська область","сільський клуб, глядацька зала
вул.Гагаріна, 2, с.Здрягівка, Городнянський р-н, Чернігівська обл., 15135","138","32","135","32","74","32","106","","0","74","32","106","2","104","3","17","0","1","8","1","7","0","3","50","14","0","28.10.12"
"740165","207","Чернігівська область","сільська рада, зала засідань
вул.Леніна, 1, с.Ваганичі, Городнянський р-н, Чернігівська обл., 15130","276","93","276","31","152","31","183","","0","152","31","183","9","174","16","8","1","1","65","3","1","2","3","60","13","1","28.10.12"
"740166","207","Чернігівська область","сільський клуб, глядацька зала
пров.Набережний, 2, с.Великий Дирчин, Городнянський р-н, Чернігівська обл., 15171","348","118","296","51","189","41","230","","0","189","41","230","6","224","8","63","1","0","19","2","6","10","9","71","35","0","28.10.12"
"740167","207","Чернігівська область","будинок культури, глядацька зала
вул.1 Травня, 58, с Великий Листвен, Городнянський р-н, Чернігівська обл., 15160","474","125","470","60","295","54","349","","0","295","54","349","10","339","24","64","3","1","69","4","12","2","5","108","46","1","28.10.12"
"740168","207","Чернігівська область","будинок культури, танцювальна зала
вул.Леніна, 96, с.Вихвостів, Городнянський р-н, Чернігівська обл., 15151","684","375","679","39","278","31","309","","0","278","31","309","5","304","14","21","1","2","36","2","6","4","8","194","12","4","28.10.12"
"740169","207","Чернігівська область","будинок культури, фойє
вул.Леніна, 184, с.Володимирівка, Городнянський р-н, Чернігівська обл., 15115","330","93","320","67","174","63","237","","0","174","63","237","13","224","11","31","3","1","56","1","9","4","7","85","14","2","02.11.12"
"740170","207","Чернігівська область","сільська рада, зала засідань
вул.Перемоги, 9, с.Гніздище, Городнянський р-н, Чернігівська обл., 15100","180","52","178","22","109","19","128","","0","109","19","128","3","125","9","57","1","1","14","1","3","0","3","30","6","0","03.11.12"
"740171","207","Чернігівська область","школа, коридор
вул.Леніна, 101, с.Деревини, Городнянський р-н, Чернігівська обл., 15110","852","589","417","59","205","58","263","","0","205","58","263","10","253","7","24","2","3","41","2","13","2","5","134","19","1","02.11.12"
"740172","207","Чернігівська область","сільська рада, зала засідань
вул.Перемоги, 4, с.Дроздовиця, Городнянський р-н, Чернігівська обл., 15132","306","107","296","64","138","61","199","","0","138","61","199","3","196","4","40","4","1","35","0","6","7","2","76","17","4","28.10.12"
"740173","207","Чернігівська область","сільський клуб, глядацька зала
вул.Леніна, 72, с.Ільмівка, Городнянський р-н, Чернігівська обл., 15113","324","137","308","50","144","43","187","","0","144","43","187","5","182","12","22","3","0","52","1","3","1","7","48","30","3","28.10.12"
"740174","207","Чернігівська область","сільська рада, зала засідань
вул.Капшука, 1, с.Івашківка, Городнянський р-н, Чернігівська обл., 15152","522","231","510","66","237","54","291","","0","237","54","291","16","275","22","36","2","2","31","3","15","8","9","124","23","0","28.10.12"
"740175","207","Чернігівська область","будинок культури, глядацька зала
вул.Щорса, 73, с.Конотоп, Городнянський р-н, Чернігівська обл., 15170","390","117","378","33","242","31","273","","0","242","31","273","3","270","10","105","1","0","22","1","5","2","6","94","24","0","28.10.12"
"740176","207","Чернігівська область","КП ""Кузничі"", зала засідань
вул.60 років Жовтня, 6, с.Кузничі, Городнянський р-н, Чернігівська обл., 15134","198","76","194","23","101","21","122","","0","101","21","122","0","122","3","12","6","1","21","1","9","1","6","43","19","0","28.10.12"
"740177","207","Чернігівська область","школа, кабінет початкових класів
вул.Леніна, 74, с.Куликівка, Городнянський р-н, Чернігівська обл., 15153","342","90","335","41","211","41","252","","0","211","41","252","9","243","23","46","3","2","27","3","15","3","5","93","17","6","29.10.12"
"740178","207","Чернігівська область","будинок культури, глядацька зала
вул.Попудренка, 45, с.Лемешівка, Городнянський р-н, Чернігівська обл., 15121","360","130","354","48","195","35","230","","0","195","35","230","10","220","10","43","4","3","52","2","10","2","6","67","21","0","29.10.12"
"740179","207","Чернігівська область","будинок культури, кабінет завідувача
вул.Леніна, 54, с.Макишин, Городнянський р-н, Чернігівська обл., 15172","672","230","656","120","328","114","442","","0","328","114","442","19","423","45","70","6","6","41","4","41","3","10","147","44","6","03.11.12"
"740180","207","Чернігівська область","сільський клуб, глядацька зала
вул.Горького, 30, с.Моложава, Городнянський р-н, Чернігівська обл., 15140","210","67","204","28","116","27","143","","0","116","27","143","14","129","3","34","2","1","13","2","6","7","1","55","5","0","29.10.12"
"740181","207","Чернігівська область","сільський клуб, глядацька зала
вул.Леніна, 23, с.Невкля, Городнянський р-н, Чернігівська обл., 15140","222","41","216","21","161","20","181","","0","161","20","181","7","174","7","39","1","0","14","1","5","4","10","79","12","2","28.10.12"
"740182","207","Чернігівська область","будинок культури, глядацька зала
вул.Лугова, 17, с.Мощенка, Городнянський р-н, Чернігівська обл., 15125","414","141","406","52","229","44","273","","0","229","44","273","16","257","14","42","10","2","92","2","8","1","3","59","24","0","28.10.12"
"740183","207","Чернігівська область","будинок культури, глядацька зала
вул.Гагаріна, 19, с.Пекурівка, Городнянський р-н, Чернігівська обл., 15162","378","108","371","38","233","37","270","","0","233","37","270","10","260","14","113","3","1","24","1","1","1","9","67","26","0","28.10.12"
"740184","207","Чернігівська область","школа, кабінет географії
вул.Піонерська, 2, с.Перепис, Городнянський р-н, Чернігівська обл., 15111","300","116","286","44","147","37","184","","0","147","37","184","6","178","10","23","2","0","42","0","10","4","9","59","19","0","29.10.12"
"740185","207","Чернігівська область","бібліотека, читальна зала
вул.Леніна, 4, с.Кусії, Городнянський р-н, Чернігівська обл., 15111","84","30","82","22","38","16","54","","0","38","16","54","1","53","2","11","3","0","4","2","2","3","1","21","3","1","28.10.12"
"740186","207","Чернігівська область","сільський клуб, глядацька зала
вул.Садова, 7, с.Полісся, Городнянський р-н, Чернігівська обл., 15135","216","60","211","21","140","16","156","","0","140","16","156","6","150","18","26","2","1","25","1","3","1","4","54","14","1","28.10.12"
"740187","207","Чернігівська область","будинок культури, гостинна
вул.Шевченка, 1, с.Сеньківка, Городнянський р-н, Чернігівська обл., 15125","168","58","166","25","87","23","110","","0","87","23","110","3","107","5","9","0","1","24","1","5","1","5","44","12","0","28.10.12"
"740188","207","Чернігівська область","сільський клуб, глядацька зала
вул.Чернігівська, 16, с.Смичин, Городнянський р-н, Чернігівська обл., 15163","438","149","429","47","244","45","289","","0","244","45","289","10","279","25","54","1","2","38","2","21","1","5","102","28","0","28.10.12"
"740189","207","Чернігівська область","будинок культури, фойє
вул.Маркова, 104, с.Дібрівне, Городнянський р-н, Чернігівська обл., 15163","498","196","491","42","266","36","302","","0","266","36","302","12","290","33","34","5","3","51","4","16","2","6","94","39","3","29.10.12"
"740190","207","Чернігівська область","сільський клуб, глядацька зала
вул.Святомиколаївська, 71, с.Солонівка, Городнянський р-н, Чернігівська обл., 15124","300","113","300","24","170","17","187","","0","170","17","187","8","179","9","16","3","1","38","3","5","0","7","75","21","1","29.10.12"
"740191","207","Чернігівська область","контора СТОВ ""Тупичівське"", зала засідань
вул.Чернігівська, 8, с.Тупичів, Городнянський р-н, Чернігівська обл., 15150","1596","820","1560","89","705","71","776","","0","705","71","776","26","750","79","110","8","5","112","9","63","7","15","260","74","8","29.10.12"
"740192","207","Чернігівська область","будинок культури, глядацька зала
вул.Леніна, 53, с.Хоробичі, Городнянський р-н, Чернігівська обл., 15122","390","148","370","38","207","35","242","","0","207","35","242","9","233","9","15","4","3","41","1","12","0","2","133","13","0","28.10.12"
"740193","207","Чернігівська область","сільська рада, зала засідань
вул.Попудренка, 46, с.Хотівля, Городнянський р-н, Чернігівська обл., 15133","336","127","330","55","164","45","209","","0","164","45","209","5","204","11","43","0","3","20","2","7","1","7","60","49","1","29.10.12"
"740194","207","Чернігівська область","сільський клуб, глядацька зала
вул.Леніна, 11, с.Хрипівка, Городнянський р-н, Чернігівська обл., 15100","486","215","481","49","230","41","271","","0","230","41","271","8","263","13","30","5","0","58","2","15","3","4","87","41","5","28.10.12"
"740195","207","Чернігівська область","фельдшерський пункт, фізкабінет
вул.Лісова, 2, с.Півнівщина, Городнянський р-н, Чернігівська обл., 15100","276","122","266","36","120","34","154","","0","120","34","154","8","146","17","14","3","1","27","3","6","3","7","33","26","6","28.10.12"
"740196","207","Чернігівська область","Городнянська центральна районна лікарня, фойє
вул.Лісова, 2, м.Городня, Городнянський р-н, Чернігівська обл., 15100","204","162","51","20","23","19","42","","0","23","19","42","0","42","0","7","0","0","6","0","4","0","1","16","7","1","28.10.12"
"740326","207","Чернігівська область","селищна рада, актова зала, 2-й поверх
вул.Горького, 9, смт Короп, Коропський р-н, Чернігівська обл., 16200","2106","844","2063","34","1237","25","1262","","0","1237","25","1262","33","1229","51","143","21","231","66","16","88","10","75","380","144","4","31.10.12"
"740327","207","Чернігівська область","будинок культури, коридор
вул.Горького, 4, смт Короп, Коропський р-н, Чернігівська обл., 16200","2262","887","2240","53","1333","42","1375","","0","1333","42","1375","37","1338","43","169","11","269","64","12","77","17","74","452","146","4","29.10.12"
"740328","207","Чернігівська область","будинок культури, коридор
вул.Московська, 6, смт Понорниця, Коропський р-н, Чернігівська обл., 16220","1098","387","1085","45","667","44","711","","0","667","44","711","29","682","67","61","0","59","40","4","72","20","32","296","31","0","29.10.12"
"740329","207","Чернігівська область","будівля торгового центру, актова зала, 2-й поверх
вул.Московська, 31, смт Понорниця, Коропський р-н, Чернігівська обл., 16220","906","375","888","50","486","45","531","","0","486","45","531","19","512","51","40","3","40","59","2","52","17","24","200","12","12","29.10.12"
"740330","207","Чернігівська область","будинок культури, актова зала
вул.Чкалова, 2, с.Атюша, Коропський р-н, Чернігівська обл., 16261","1134","456","1113","95","593","85","678","","0","593","85","678","24","654","45","39","1","22","132","11","20","3","16","264","98","3","28.10.12"
"740331","207","Чернігівська область","сільський клуб, коридор
вул.Маліновського, 61, с.Пуста Гребля, Коропський р-н, Чернігівська обл., 16261","198","50","193","31","119","29","148","","0","119","29","148","5","143","12","9","2","11","32","0","5","2","0","62","8","0","28.10.12"
"740332","207","Чернігівська область","будинок культури, коридор
вул.ім. Кудрата Суюнова, 98, с.Будище, Коропський р-н, Чернігівська обл., 16224","216","67","213","27","126","23","149","","0","126","23","149","6","143","18","10","2","3","21","2","11","3","8","59","4","2","29.10.12"
"740333","207","Чернігівська область","будинок культури, актова зала
вул.ім. Шевченка, 53, с.Верба, Коропський р-н, Чернігівська обл., 16222","564","162","552","74","333","69","402","","0","333","69","402","13","389","27","36","7","8","48","6","19","7","11","191","23","6","29.10.12"
"740334","207","Чернігівська область","сільський клуб, коридор
вул.ім. Івана Кулика, 59, с.Осьмаки, Коропський р-н, Чернігівська обл., 16222","150","43","148","30","78","29","107","","0","78","29","107","1","106","5","1","1","0","13","1","1","2","4","70","5","3","28.10.12"
"740335","207","Чернігівська область","сільська рада, коридор
вул.Гагаріна, 48, с.Вільне, Коропський р-н, Чернігівська обл., 16234","414","121","402","46","251","42","293","","0","251","42","293","1","292","5","15","2","40","14","3","12","5","12","169","15","0","28.10.12"
"740336","207","Чернігівська область","школа, коридор
вул.Центральна, 43А, с.Вишеньки, Коропський р-н, Чернігівська обл., 16231","468","130","459","46","298","40","338","","0","298","40","338","5","333","5","12","1","146","29","1","5","3","29","82","17","3","28.10.12"
"740337","207","Чернігівська область","сільська рада, актова зала
вул.Гагаріна, 2, с.Городище, Коропський р-н, Чернігівська обл., 16225","246","66","235","18","167","13","180","","0","167","13","180","9","171","6","17","10","21","30","3","20","2","6","42","8","6","28.10.12"
"740338","207","Чернігівська область","сільський клуб, коридор
вул.Космонавтів, 9, с.Придеснянське, Коропський р-н, Чернігівська обл., 16225","126","40","121","21","67","19","86","","0","67","19","86","5","81","4","10","1","19","9","0","2","2","4","27","3","0","28.10.12"
"740339","207","Чернігівська область","школа, коридор
вул.Першотравнева, 2, с.Жовтневе, Коропський р-н, Чернігівська обл., 16260","1092","405","1065","102","602","85","687","","0","602","85","687","16","671","12","19","0","8","27","4","7","1","11","72","508","2","29.10.12"
"740340","207","Чернігівська область","школа, спортивний зал
вул.Центральна, 16А, с.Карильське, Коропський р-н, Чернігівська обл., 16251","624","182","611","97","345","97","442","","0","345","97","442","18","424","17","59","2","21","47","2","25","7","10","192","42","0","03.11.12"
"740341","207","Чернігівська область","будинок культури, актова зала
вул.Центральна, 52, с.Краснопілля, Коропський р-н, Чернігівська обл., 16250","396","97","385","71","234","65","299","","0","234","65","299","9","290","7","15","6","23","40","6","14","7","12","136","23","1","29.10.12"
"740342","207","Чернігівська область","будинок культури, коридор
вул.Шкільна, 4, с.Криски, Коропський р-н, Чернігівська обл., 16213","660","295","648","34","337","28","365","","0","337","28","365","15","350","31","43","10","29","45","0","30","5","14","50","92","1","03.11.12"
"740343","207","Чернігівська область","будинок культури, коридор
вул.Леніна, 1, с.Іваньків, Коропський р-н, Чернігівська обл., 16214","420","144","410","59","221","55","276","","0","221","55","276","5","271","4","10","5","18","32","1","8","1","3","51","137","1","29.10.12"
"740344","207","Чернігівська область","школа, коридор
вул.Миру, 39, с.Лукнове, Коропський р-н, Чернігівська обл., 16233","396","122","389","22","257","17","274","","0","257","17","274","5","269","4","13","5","30","32","2","12","5","9","152","5","0","28.10.12"
"740345","207","Чернігівська область","школа, кл.1
вул.Кибальчича, 10, с.Мезин, Коропський р-н, Чернігівська обл., 16210","282","75","278","29","179","28","207","","0","179","28","207","4","203","12","15","5","9","21","1","22","3","2","97","14","2","29.10.12"
"740346","207","Чернігівська область","будинок культури, актова зала
вул.Центральна, 34, с.Нехаївка, Коропський р-н, Чернігівська обл., 16243","1194","422","1178","143","641","131","772","","0","641","131","772","25","747","126","69","8","63","115","8","9","9","14","249","70","7","28.10.12"
"740347","207","Чернігівська область","школа, коридор
вул.Зудихіна, 1, с.Оболоння, Коропський р-н, Чернігівська обл., 16223","588","187","570","84","325","76","401","","0","325","76","401","20","381","30","23","3","34","49","10","50","6","8","143","20","5","29.10.12"
"740348","207","Чернігівська область","будинок культури, актова зала
вул.Перемоги, 93, с.Покошичі, Коропський р-н, Чернігівська обл., 16211","600","146","583","54","403","51","454","","0","403","51","454","3","451","17","26","0","6","45","6","25","7","15","286","15","3","29.10.12"
"740349","207","Чернігівська область","будинок культури, коридор
вул.Леніна, 18, с.Пролетарське, Коропський р-н, Чернігівська обл., 16262","360","103","355","38","225","32","257","","0","225","32","257","6","251","25","18","2","10","19","3","15","8","4","136","10","1","29.10.12"
"740350","207","Чернігівська область","сільський клуб, коридор
вул.Братів Кот, 29, с.Горохове, Коропський р-н, Чернігівська обл., 16262","168","58","160","32","79","31","110","","0","79","31","110","5","105","10","12","3","1","13","1","3","1","7","47","6","1","29.10.12"
"740351","207","Чернігівська область","сільська рада, актова зала
вул.Корди, 82, с.Радичів, Коропський р-н, Чернігівська обл., 16215","498","144","494","37","318","36","354","","0","318","36","354","13","341","15","66","3","3","35","4","53","9","8","123","18","4","28.10.12"
"740352","207","Чернігівська область","школа, коридор
вул.Нахімова, 1, с.Райгородок, Коропський р-н, Чернігівська обл., 16232","222","58","221","26","138","26","164","","0","138","26","164","4","160","5","16","1","8","36","2","4","1","4","72","8","3","28.10.12"
"740353","207","Чернігівська область","сільський клуб, актова зала
вул.Незалежності, 3, с.Жернівка, Коропський р-н, Чернігівська обл., 16232","102","24","99","11","68","10","78","","0","68","10","78","3","75","1","13","0","4","16","1","2","0","6","28","4","0","28.10.12"
"740354","207","Чернігівська область","будинок культури, актова зала
вул.Зої Космодем’янської, 13, с.Риботин, Коропський р-н, Чернігівська обл., 16240","756","233","742","50","475","48","523","","0","475","48","523","26","497","26","42","3","131","38","3","17","4","6","190","35","2","28.10.12"
"740355","207","Чернігівська область","будинок культури, коридор
вул.Центральна, 21, с.Рижки, Коропський р-н, Чернігівська обл., 16244","216","62","209","32","125","29","154","","0","125","29","154","2","152","7","21","3","0","22","1","0","3","6","78","10","1","28.10.12"
"740356","207","Чернігівська область","сільська рада, актова зала
вул.Перемоги, 47А, с.Розльоти, Коропський р-н, Чернігівська обл., 16230","174","33","166","21","120","21","141","","0","120","21","141","11","130","12","8","3","2","22","1","4","1","16","55","1","5","28.10.12"
"740357","207","Чернігівська область","будинок культури, коридор
вул.Свердлова, 60, с.Свердловка, Коропський р-н, Чернігівська обл., 16212","480","124","468","32","326","30","356","","0","326","30","356","13","343","43","30","3","15","33","2","40","5","7","156","7","2","29.10.12"
"740358","207","Чернігівська область","школа, кл.3
вул.Шкільна, 2, с.Сохачі, Коропський р-н, Чернігівська обл., 16241","456","131","452","48","282","43","325","","0","282","43","325","9","316","14","34","2","47","51","5","32","3","14","93","17","4","29.10.12"
"740359","207","Чернігівська область","будинок культури, актова зала
вул.Молодіжна, 7, с.Червоне, Коропський р-н, Чернігівська обл., 16252","576","129","556","68","381","66","447","","0","381","66","447","16","431","12","18","4","11","52","2","8","5","12","250","56","1","28.10.12"
"740360","207","Чернігівська область","будинок культури, коридор
вул.Леніна, 158, с.Шабалинів, Коропський р-н, Чернігівська обл., 16242","1080","378","1059","116","601","101","702","","0","601","101","702","18","684","84","70","3","41","74","6","19","8","8","325","41","5","29.10.12"
"740361","207","Чернігівська область","центральна районна лікарня, коридор, 1-й поверх
вул.Чернігівська, 56, смт Короп, Коропський р-н, Чернігівська обл., 16200","186","174","17","8","4","8","12","","0","4","8","12","0","12","0","1","0","1","0","0","0","0","0","6","4","0","28.10.12"
"740362","207","Чернігівська область","Громадська організація ""Будинок культури"", коридор
вул.Шевченка, 73А, м.Корюківка, Корюківський р-н, Чернігівська обл., 15300","1374","534","1345","24","818","22","840","","0","818","22","840","18","822","13","56","5","6","77","23","296","6","21","302","10","7","29.10.12"
"740363","207","Чернігівська область","школа №1, коридор початкових класів, 1-й поверх
вул.Шевченка, 54, м.Корюківка, Корюківський р-н, Чернігівська обл., 15300","1344","494","1322","21","830","20","850","","0","830","20","850","20","830","19","59","4","1","69","16","309","4","29","306","10","4","29.10.12"
"740364","207","Чернігівська область","школа мистецтв, фойє, 2-й поверх
вул.Карла Маркса, 8, м.Корюківка, Корюківський р-н, Чернігівська обл., 15300","1578","682","1558","51","845","51","896","","0","845","51","896","14","882","22","56","5","1","68","29","290","8","26","363","8","6","29.10.12"
"740365","207","Чернігівська область","школа №4, фойє
вул.Шевченка, 116А, м.Корюківка, Корюківський р-н, Чернігівська обл., 15300","1866","845","1837","18","1005","16","1021","","0","1005","16","1021","15","1006","20","71","6","2","77","30","411","11","30","332","11","5","29.10.12"
"740366","207","Чернігівська область","ПАТ ""ЧЕРНІГІВОБЛЕНЕРГО"" відокремлений підрозділ Корюківський РЕМ , зала засідань, 2-й поверх
вул.Галини Костюк, 41, м.Корюківка, Корюківський р-н, Чернігівська обл., 15300","1374","639","1340","20","715","20","735","","0","715","20","735","27","708","34","40","6","2","54","29","256","5","12","261","4","5","29.10.12"
"740367","207","Чернігівська область","райавтодор, зала засідань
вул.Куйбишева, 1, м.Корюківка, Корюківський р-н, Чернігівська обл., 15300","1554","639","1546","25","891","24","915","","0","891","24","915","23","892","28","53","8","5","75","22","326","6","19","341","7","2","29.10.12"
"740368","207","Чернігівська область","школа №3, коридор
вул.Дудка, 66, м.Корюківка, Корюківський р-н, Чернігівська обл., 15300","1596","726","1573","27","844","26","870","","0","844","26","870","21","849","19","38","7","3","71","17","377","5","27","277","7","1","29.10.12"
"740369","207","Чернігівська область","селищна рада, зала засідань
вул.Островського, 1, смт Холми, Корюківський р-н, Чернігівська обл., 15331","1092","380","1079","102","621","91","712","","0","621","91","712","33","679","48","88","10","3","111","17","83","17","36","251","9","6","29.10.12"
"740370","207","Чернігівська область","будинок культури, фойє
вул.Леніна, 105, смт Холми, Корюківський р-н, Чернігівська обл., 15331","1134","416","1116","34","684","34","718","","0","684","34","718","26","692","55","89","5","5","121","7","135","16","26","215","11","7","29.10.12"
"740371","207","Чернігівська область","будинок культури, актова зала
вул.Шевченка, 22, с.Білошицька Слобода, Корюківський р-н, Чернігівська обл., 15320","438","123","421","23","297","18","315","","0","297","18","315","10","305","18","31","4","2","42","6","22","11","11","148","6","4","29.10.12"
"740372","207","Чернігівська область","школа, коридор
вул.Шкільна, 20, с.Соснівка, Корюківський р-н, Чернігівська обл., 15341","402","156","400","41","205","41","246","","0","205","41","246","5","241","15","21","2","0","41","3","32","2","9","113","2","1","29.10.12"
"740373","207","Чернігівська область","сільський клуб, актова зала
вул.Шкільна, 7, с.Бреч, Корюківський р-н, Чернігівська обл., 15361","318","131","311","16","175","12","187","","0","175","12","187","4","183","4","10","3","1","47","3","23","5","3","78","4","2","29.10.12"
"740374","207","Чернігівська область","сільський клуб, актова зала
вул.Центральна, 8, с.Домашлин, Корюківський р-н, Чернігівська обл., 15362","318","79","312","37","206","33","239","","0","206","33","239","3","236","3","11","1","0","33","1","28","0","7","151","0","1","29.10.12"
"740375","207","Чернігівська область","сільський клуб, актова зала
вул.Центральна, 23А, с.Жукля, Корюківський р-н, Чернігівська обл., 15334","300","89","295","19","196","15","211","","0","196","15","211","7","204","8","20","2","1","31","4","29","6","16","78","5","4","29.10.12"
"740376","207","Чернігівська область","сільська рада, зала засідань
вул.Незалежності, 28, с.Козилівка, Корюківський р-н, Чернігівська обл., 15332","984","494","961","91","431","59","490","","0","431","59","490","11","479","48","74","11","3","84","12","80","22","27","104","8","6","29.10.12"
"740377","207","Чернігівська область","будинок культури, танцювальна зала
вул.Шевченка, 66А, с.Наумівка, Корюківський р-н, Чернігівська обл., 15314","1212","500","1185","81","642","70","712","","0","642","70","712","28","684","33","64","12","6","119","8","123","13","21","270","12","3","29.10.12"
"740378","207","Чернігівська область","сільська рада, зала засідань
вул.Гагаріна, 29, с.Забарівка, Корюківський р-н, Чернігівська обл., 15342","468","172","464","42","259","37","296","","0","259","37","296","3","293","10","29","2","2","80","3","34","2","11","116","3","1","29.10.12"
"740379","207","Чернігівська область","сільський клуб, актова зала
вул.Центральна, 5, с.Камка, Корюківський р-н, Чернігівська обл., 15331","174","53","164","16","107","14","121","","0","107","14","121","4","117","1","23","3","1","18","1","17","4","11","34","3","1","28.10.12"
"740380","207","Чернігівська область","будинок культури, фойє
вул.Центральна, 120, с.Олександрівка, Корюківський р-н, Чернігівська обл., 15352","636","223","616","71","353","60","413","","0","353","60","413","14","399","11","32","8","3","83","6","38","7","13","190","3","5","29.10.12"
"740381","207","Чернігівська область","будинок культури, фойє
вул.Шевченка, 71, с.Охрамієвичі, Корюківський р-н, Чернігівська обл., 15313","636","258","621","25","353","25","378","","0","353","25","378","9","369","20","17","3","2","60","3","48","9","9","93","4","101","29.10.12"
"740382","207","Чернігівська область","будинок культури, актова зала
вул.Шевченко, 5, с.Перелюб, Корюківський р-н, Чернігівська обл., 15312","642","170","637","54","420","52","472","","0","420","52","472","18","454","27","43","10","0","94","11","54","4","14","188","4","5","29.10.12"
"740383","207","Чернігівська область","будинок культури, фойє
вул.Центральна, 2, с.Прибинь, Корюківський р-н, Чернігівська обл., 15311","396","90","390","41","271","35","306","","0","271","35","306","14","292","5","20","2","0","61","1","26","2","4","159","3","9","29.10.12"
"740384","207","Чернігівська область","сільська рада, зала засідань
вул.Шевченка, 6, с.Рейментарівка, Корюківський р-н, Чернігівська обл., 15335","270","77","257","22","173","20","193","","0","173","20","193","10","183","6","8","1","0","55","3","14","3","9","79","5","0","29.10.12"
"740385","207","Чернігівська область","сільська рада, кабінет голови
вул.Зелена, 37, с.Рибинськ, Корюківський р-н, Чернігівська обл., 15321","456","205","453","21","230","21","251","","0","230","21","251","9","242","9","16","9","2","76","3","35","7","14","67","1","3","29.10.12"
