"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Атрошенко
Владислав
Анатолійович","Атрощенко
Андрій
Петрович","Ерістова
Ірина
Леонідівна","Кириченко
Олександр
Володимирович","Купрієнко
Олег
Васильович","Михеєвський
Сергій
Андрійович","Поліщук
Володимир
Андрійович","Попова
Олена
Михайлівна","Прокопенко
Станіслав
Миколайович","Прохорський
Олександр
Леонідович","Рябченко
Валерій
Миколайович","Свириденко
Віталій
Анатолійович","Сураєва
Валентина
Миколаївна","Шевцов
Олег
Олександрович","Ясочко
Раїса
Костянтинівна","Дата підписання протоколу"
"000001","206","Чернігівська область","адміністративна будівля слідчого ізолятора, кабінет медичної частини (1 поверх)
вул.Комсомольська, 2, м.Чернігів, 14000","484","104","387","5","375","5","380","","0","375","5","380","43","337","59","23","12","9","11","2","29","28","129","8","1","7","5","5","9","29.10.12"
"740641","206","Чернігівська область","музична школа, актова зала
вул.Леніна, 143, смт Добрянка, Ріпкинський р-н, Чернігівська обл., 15011","1220","524","1190","82","634","62","696","","0","634","62","696","22","674","319","17","7","2","4","0","12","12","222","3","0","0","4","1","71","28.10.12"
"740642","206","Чернігівська область","школа, фойє
вул.Дзержинського, 7, смт Добрянка, Ріпкинський р-н, Чернігівська обл., 15011","1116","488","1116","73","577","51","628","","0","577","51","628","18","610","232","15","4","2","5","0","38","6","254","3","1","1","2","1","46","29.10.12"
"740643","206","Чернігівська область","сільський клуб, фойє
вул.Кірова, 105, с.Вербівка, Ріпкинський р-н, Чернігівська обл., 15011","212","60","204","49","112","40","152","","0","112","40","152","5","147","67","3","1","0","2","0","10","0","59","1","1","0","0","0","3","29.10.12"
"740644","206","Чернігівська область","школа, спортивна зала
вул.Леніна, 3, смт Замглай, Ріпкинський р-н, Чернігівська обл., 15005","1380","510","1354","56","831","39","870","","0","831","39","870","26","844","346","19","4","0","11","0","233","32","134","6","4","0","1","0","54","29.10.12"
"740645","206","Чернігівська область","школа, спортивна зала
вул.Радянська, 31, смт Любеч, Ріпкинський р-н, Чернігівська обл., 15041","1900","769","1876","176","973","157","1130","","0","972","157","1129","21","1108","475","28","7","1","12","1","254","18","212","1","2","3","0","1","93","29.10.12"
"740646","206","Чернігівська область","школа, спортивна зала
вул.Червона площа, 30, смт Радуль, Ріпкинський р-н, Чернігівська обл., 15021","508","178","504","58","289","41","330","","0","289","41","330","8","322","128","14","3","0","1","0","29","3","110","2","0","1","1","0","30","30.10.12"
"740647","206","Чернігівська область","сільський клуб, актова зала
вул.Миру, 31, с.Лопатні, Ріпкинський р-н, Чернігівська обл., 15021","180","49","183","27","106","25","131","","0","106","25","131","3","128","68","0","0","0","3","0","13","1","38","0","0","0","0","0","5","28.10.12"
"740648","206","Чернігівська область","гімназія, спортивна зала
вул.Святомиколаївська, 43, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000","2040","702","1994","85","1263","75","1338","","0","1263","75","1338","24","1314","606","25","7","2","31","0","189","41","317","4","2","1","1","1","87","29.10.12"
"740649","206","Чернігівська область","школа №2, фойє
вул.Пирогова, 5, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000","2056","824","2032","57","1185","47","1232","","0","1185","47","1232","24","1208","544","21","6","2","19","1","172","35","322","4","0","1","1","2","78","29.10.12"
"740650","206","Чернігівська область","будинок творчості дітей, актова зала
вул.Васильєва, 41, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000","1964","880","1924","68","1023","61","1084","","0","1023","61","1084","26","1058","510","23","9","2","6","0","145","35","243","5","3","2","2","0","73","29.10.12"
"740651","206","Чернігівська область","селищний клуб, фойє
вул.Вокзальна, 16, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000","448","168","440","35","251","29","280","","0","251","29","280","5","275","107","13","3","0","2","0","29","4","99","0","3","0","0","0","15","29.10.12"
"740652","206","Чернігівська область","сільський клуб, фойє
вул.1 Травня, 6А, с.Велика Вісь, Ріпкинський р-н, Чернігівська обл., 15073","232","52","231","44","136","44","180","","0","136","44","180","5","175","101","3","0","0","1","0","17","7","34","0","2","0","0","0","10","29.10.12"
"740653","206","Чернігівська область","сільський клуб, фойє
вул.1 Травня, 100, с.Звеничів, Ріпкинський р-н, Чернігівська обл., 15073","96","24","92","26","48","24","72","","0","48","24","72","1","71","30","4","0","0","3","0","8","0","26","0","0","0","0","0","0","29.10.12"
"740654","206","Чернігівська область","сільський клуб, актова зала
вул.Центральна, 93, с.Вороб’їв, Ріпкинський р-н, Чернігівська обл., 15051","736","293","726","63","387","56","443","","0","387","56","443","13","430","182","17","6","2","7","1","118","2","64","0","0","0","1","2","28","29.10.12"
"740655","206","Чернігівська область","школа, фойє
вул.Перемоги, 23, с.Вербичі, Ріпкинський р-н, Чернігівська обл., 15015","364","118","356","40","208","38","246","","0","208","38","246","6","240","120","6","3","1","3","0","39","2","54","0","1","0","0","0","11","28.10.12"
"740656","206","Чернігівська область","школа, спортивна зала
вул.Пушкіна, 1, с.Вишневе, Ріпкинський р-н, Чернігівська обл., 15070","380","130","378","44","212","38","250","","0","212","38","250","4","246","144","3","1","0","3","0","38","5","35","0","1","2","0","0","14","29.10.12"
"740657","206","Чернігівська область","сільський клуб, фойє
вул.Центральна, 53Б, с.Буянки, Ріпкинський р-н, Чернігівська обл., 15070","196","60","195","15","122","14","136","","0","122","14","136","7","129","70","2","0","0","1","1","21","2","25","1","0","1","0","0","5","29.10.12"
"740658","206","Чернігівська область","будинок культури, актова зала
вул.Чернігівська, 6, с.Голубичі, Ріпкинський р-н, Чернігівська обл., 15072","436","136","426","79","231","69","300","","0","231","69","300","5","295","101","10","3","2","6","1","48","10","86","1","0","0","1","0","26","29.10.12"
"740659","206","Чернігівська область","сільський клуб, актова зала
вул.Першотравнева, 79, с.Горностаївка, Ріпкинський р-н, Чернігівська обл., 15010","368","131","365","109","151","86","237","","0","151","86","237","10","227","94","11","0","0","1","0","21","6","62","1","0","1","0","1","29","29.10.12"
"740660","206","Чернігівська область","контора лісництва, зала засідань
вул.М.Заньковецької, 15, с.Гута-Ткачова, Ріпкинський р-н, Чернігівська обл., 15011","80","24","76","12","46","10","56","","0","46","10","56","2","54","15","2","2","2","0","0","7","0","22","1","0","0","0","0","3","28.10.12"
"740661","206","Чернігівська область","адмінприміщення (колишня школа), фойє
вул.Шкільна, 26, с.Грабів, Ріпкинський р-н, Чернігівська обл., 15023","268","81","268","50","143","44","187","","0","143","44","187","2","185","131","9","2","0","0","0","9","6","18","0","0","0","0","1","9","29.10.12"
"740662","206","Чернігівська область","адмінприміщення (колишня контора КСП), фойє
вул.Любецька, 14, с.Губичі, Ріпкинський р-н, Чернігівська обл., 15081","228","79","223","50","100","49","149","","0","100","49","149","4","145","75","1","1","0","3","0","16","0","23","1","0","0","0","0","25","28.10.12"
"740663","206","Чернігівська область","фельдшерський пункт, фойє
вул.Курманова, 56, с.Миси, Ріпкинський р-н, Чернігівська обл., 15081","96","13","103","23","61","22","83","","0","61","22","83","3","80","26","2","4","2","1","0","11","3","25","1","0","0","0","0","5","29.10.12"
"740664","206","Чернігівська область","контора ТОВ ""Україна"", зала засідань
вул.Радянська, 26, с.Гучин, Ріпкинський р-н, Чернігівська обл., 15064","364","74","367","77","222","68","290","","0","222","68","290","6","284","128","9","1","1","13","0","16","16","81","2","0","0","1","0","16","29.10.12"
"740665","206","Чернігівська область","адмінприміщення (колишня школа), фойє
вул.Перемоги, 23, с.Даничі, Ріпкинський р-н, Чернігівська обл., 15060","432","116","427","84","247","69","316","","0","247","69","316","7","309","144","10","3","0","6","0","48","9","72","3","0","0","0","0","14","28.10.12"
"740666","206","Чернігівська область","сільський клуб, актова зала
вул.Петренка, 4, с.Задеріївка, Ріпкинський р-н, Чернігівська обл., 15020","328","114","316","56","170","44","214","","0","170","44","214","7","207","92","6","3","1","3","1","19","5","58","3","0","1","1","0","14","29.10.12"
"740667","206","Чернігівська область","сільська рада, актова зала
вул.Нова, 2А, с.Клубівка, Ріпкинський р-н, Чернігівська обл., 15014","168","49","165","65","66","53","119","","0","66","53","119","3","116","60","6","0","1","3","0","12","1","18","1","1","0","0","1","12","28.10.12"
"740668","206","Чернігівська область","сільська рада, зала засідань
вул.Шевченка, 16, с.Красківське, Ріпкинський р-н, Чернігівська обл., 15061","164","20","167","42","107","37","144","","0","107","37","144","2","142","54","5","1","0","3","1","23","1","42","0","0","0","0","0","12","28.10.12"
"740669","206","Чернігівська область","будинок культури, актова зала
вул.Жовтнева, 9, с.Убіжичі, Ріпкинський р-н, Чернігівська обл., 15062","216","34","214","25","161","21","182","","0","161","21","182","4","178","74","1","1","2","10","0","32","2","35","0","1","2","1","0","17","29.10.12"
"740670","206","Чернігівська область","школа, каб.3
вул.Промислова, 29А, с.Ловинь, Ріпкинський р-н, Чернігівська обл., 15031","288","90","285","43","160","38","198","","0","160","38","198","4","194","85","3","4","1","2","0","13","5","57","2","0","1","0","1","20","28.10.12"
"740671","206","Чернігівська область","школа, актова зала
вул.Центральна, 24, с.Малинівка, Ріпкинський р-н, Чернігівська обл., 15043","396","108","393","90","214","74","288","","0","214","74","288","2","286","143","6","1","1","1","1","69","2","56","0","0","0","0","0","6","29.10.12"
"740672","206","Чернігівська область","сільський клуб, актова зала
вул.Центральна, 8, с.Малий Листвен, Ріпкинський р-н, Чернігівська обл., 15063","256","54","254","68","141","61","202","","0","141","61","202","2","200","130","4","0","0","0","0","7","3","51","0","0","1","0","0","4","28.10.12"
"740673","206","Чернігівська область","сільський клуб, актова зала
вул.Дружби, 3, с.Суличівка, Ріпкинський р-н, Чернігівська обл., 15063","180","51","180","23","109","20","129","","0","109","20","129","8","121","48","9","0","1","2","0","27","1","29","1","0","0","0","0","3","28.10.12"
"740674","206","Чернігівська область","сільський клуб, фойє
вул.Радянська, 6, с.Мохначі, Ріпкинський р-н, Чернігівська обл., 15040","420","198","414","58","170","52","222","","0","170","52","222","4","218","68","4","2","0","9","1","82","4","31","2","1","0","0","0","14","29.10.12"
"740675","206","Чернігівська область","адмінприміщення (колишня школа), фойє
вул.Центральна, 29, с.Галків, Ріпкинський р-н, Чернігівська обл., 15040","216","67","213","40","114","35","149","","0","114","35","149","5","144","74","5","2","0","4","0","27","2","27","0","0","0","0","2","1","29.10.12"
"740676","206","Чернігівська область","школа, каб.3
вул.Тітова, 84, с.Неданчичі, Ріпкинський р-н, Чернігівська обл., 15046","488","183","475","92","219","86","305","","0","219","86","305","8","297","135","9","4","1","4","1","27","4","81","2","3","2","0","0","24","30.10.12"
"740677","206","Чернігівська область","фельдшерський пункт, фойє
вул.Чернігівська, 16А, с.Мекшунівка, Ріпкинський р-н, Чернігівська обл., 15046","80","18","88","9","54","8","62","","0","54","8","62","3","59","25","0","1","2","0","0","12","1","10","0","1","0","0","0","7","29.10.12"
"740678","206","Чернігівська область","сільська рада, зала засідань
вул.Шевченка, 2, с.Новоукраїнське, Ріпкинський р-н, Чернігівська обл., 15071","212","78","210","28","109","25","134","","0","109","25","134","4","130","53","2","0","0","5","0","13","4","45","0","1","0","0","0","7","29.10.12"
"740679","206","Чернігівська область","сільський клуб, актова зала
вул.30 років Перемоги, 51, с.Нові Яриловичі, Ріпкинський р-н, Чернігівська обл., 15013","524","196","501","40","293","35","328","","0","293","35","328","6","322","139","7","0","1","5","0","57","2","99","0","0","1","0","1","10","29.10.12"
"740680","206","Чернігівська область","сільський клуб, актова зала
вул.Комсомольська, 2А, с.Старі Яриловичі, Ріпкинський р-н, Чернігівська обл., 15013","92","7","104","33","55","30","85","","0","55","30","85","2","83","37","4","1","0","0","0","6","4","24","0","0","0","0","0","7","28.10.12"
"740681","206","Чернігівська область","школа, спортивна зала
вул.Шкільна, 4, с.Олешня, Ріпкинський р-н, Чернігівська обл., 15030","656","249","648","89","326","81","407","","0","326","81","407","8","399","139","22","3","1","4","1","20","15","156","3","0","1","0","1","33","29.10.12"
"740682","206","Чернігівська область","сільський клуб, актова зала
вул.Шевченка, 150, с.Олександрівка, Ріпкинський р-н, Чернігівська обл., 15030","260","56","264","60","151","53","204","","0","151","53","204","3","201","73","13","1","0","0","0","28","2","67","2","0","0","0","0","15","28.10.12"
"740683","206","Чернігівська область","сільський клуб, актова зала
вул.Партизанська, 124А, с.Грибова Рудня, Ріпкинський р-н, Чернігівська обл., 15030","180","41","178","36","109","30","139","","0","109","30","139","7","132","44","4","1","0","4","1","26","9","35","0","0","1","0","0","7","29.10.12"
"740684","206","Чернігівська область","сільський клуб, актова зала
вул.Шкільна, 11, с.Павлівка, Ріпкинський р-н, Чернігівська обл., 15053","376","116","372","47","227","33","260","","0","227","33","260","7","253","61","6","1","1","8","0","70","3","89","2","0","1","0","0","11","28.10.12"
"740685","206","Чернігівська область","сільський клуб, фойє
вул.Любецька, 2, с.Петруші, Ріпкинський р-н, Чернігівська обл., 15050","440","140","419","79","226","74","300","","0","226","74","300","7","293","121","13","3","1","4","2","61","6","61","0","0","2","1","0","18","29.10.12"
"740686","206","Чернігівська область","адмінприміщення (колишня школа), класна кімната
вул.Братська, 3, с.Кратинь, Ріпкинський р-н, Чернігівська обл., 15050","100","26","97","25","53","21","74","","0","53","21","74","1","73","45","2","0","0","1","0","11","0","11","0","0","0","0","0","3","29.10.12"
"740687","206","Чернігівська область","сільський клуб, актова зала
вул.Лісова, 3, с.Зубахи, Ріпкинський р-н, Чернігівська обл., 15050","68","18","66","6","44","6","50","","0","44","6","50","0","50","31","0","0","0","0","0","11","0","7","0","0","0","0","0","1","29.10.12"
"740688","206","Чернігівська область","сільський клуб, актова зала
вул.Річкова, 13, с.Пушкарі, Ріпкинський р-н, Чернігівська обл., 15052","248","75","244","61","127","46","173","","0","127","46","173","4","169","79","4","0","0","1","0","48","2","29","0","0","0","0","0","6","03.11.12"
"740689","206","Чернігівська область","будинок культури, актова зала
вул.Перемоги, 30, с.Сибереж, Ріпкинський р-н, Чернігівська обл., 15074","328","102","325","34","196","30","226","","0","196","30","226","5","221","114","9","1","0","13","0","14","14","48","0","0","0","0","0","8","29.10.12"
"740690","206","Чернігівська область","сільський клуб, актова зала
вул.Перемоги, 9, с.Великі Осняки, Ріпкинський р-н, Чернігівська обл., 15074","132","17","135","32","84","31","115","","0","84","31","115","1","114","59","2","0","0","5","1","8","4","23","0","0","1","0","0","11","29.10.12"
"740691","206","Чернігівська область","сільська рада, зала засідань
вул.Чернігівська, 15, с.Смолигівка, Ріпкинський р-н, Чернігівська обл., 15044","272","68","269","68","145","59","204","","0","145","59","204","3","201","92","3","0","1","2","0","22","5","61","0","0","0","0","0","15","29.10.12"
"740692","206","Чернігівська область","сільська рада, зала засідань
вул.Шевченка, 2А, с.Тараса Шевченка, Ріпкинський р-н, Чернігівська обл., 15054","276","59","273","52","168","49","217","","0","168","49","217","2","215","63","6","4","0","10","1","28","8","65","0","1","1","0","1","27","29.10.12"
"740693","206","Чернігівська область","контора лісництва, зала засідань
вул.Молодіжна, 19, с.Мокрі Велички, Ріпкинський р-н, Чернігівська обл., 15054","200","83","196","44","84","33","117","","0","84","33","117","4","113","42","7","0","2","3","1","16","7","23","0","1","1","0","0","10","29.10.12"
"740694","206","Чернігівська область","центральна районна лікарня, зала засідань
вул.Колгоспна, 9, смт Ріпки, Ріпкинський р-н, Чернігівська обл., 15000","208","136","183","24","63","9","72","","0","63","9","72","0","72","34","1","0","0","1","0","9","0","23","0","0","0","0","0","4","29.10.12"
"740811","206","Чернігівська область","сільська рада, обрядова зала
вул.Радянська, 131, с.Андріївка, Чернігівський р-н, Чернігівська обл., 15554","596","174","596","33","393","29","422","","0","393","29","422","17","405","77","9","1","2","11","0","109","14","162","1","3","0","0","1","15","29.10.12"
"740812","206","Чернігівська область","школа, спортивна зала
вул.Герасименка, 21, с.Анисів, Чернігівський р-н, Чернігівська обл., 15560","1064","367","1053","94","615","82","697","","0","615","82","697","14","683","307","20","1","1","6","0","101","28","183","4","1","4","1","1","25","29.10.12"
"740813","206","Чернігівська область","школа, клас народознавства
вул.Шкільна, 10, с.Лукашівка, Чернігівський р-н, Чернігівська обл., 15560","332","102","326","11","220","10","230","","0","220","10","230","6","224","101","6","2","1","0","0","30","7","68","1","0","0","1","0","7","29.10.12"
"740814","206","Чернігівська область","сільська рада, к.3
вул.Радянська, 6, с.Боровики, Чернігівський р-н, Чернігівська обл., 15546","300","81","298","71","150","69","219","","0","150","69","219","5","214","148","5","1","0","4","0","11","4","40","0","0","1","0","0","0","29.10.12"
"740815","206","Чернігівська область","будинок культури, кабінет директора
вул.Механізаторів, 2, с.Боромики, Чернігівський р-н, Чернігівська обл., 15532","432","135","430","15","283","14","297","","0","283","14","297","11","286","86","13","4","1","4","0","87","9","61","3","0","1","0","0","17","28.10.12"
"740816","206","Чернігівська область","школа, спортивна зала
вул.Лісова, 1В, с.Снов’янка, Чернігівський р-н, Чернігівська обл., 15534","640","225","636","22","395","20","415","","0","395","20","415","9","406","177","16","1","2","18","0","55","22","92","2","0","0","1","0","20","29.10.12"
"740817","206","Чернігівська область","сільська рада, к.2
вул.Щорса, 24, с.Буди, Чернігівський р-н, Чернігівська обл., 15564","136","28","130","29","81","27","108","","0","81","27","108","3","105","52","2","0","1","3","0","6","0","33","0","1","0","0","0","7","28.10.12"
"740818","206","Чернігівська область","сільська рада, актова зала
вул.Центральна, 26А, с.Ведильці, Чернігівський р-н, Чернігівська обл., 15542","696","243","688","42","412","41","453","","0","412","41","453","12","441","209","18","3","7","14","0","63","22","92","0","0","1","1","4","7","29.10.12"
"740819","206","Чернігівська область","фельдшерсько-акушерський пункт, к.3
вул.Дружби, 2А, с.Малійки, Чернігівський р-н, Чернігівська обл., 15542","136","36","134","23","79","21","100","","0","79","21","100","5","95","65","3","0","0","1","0","11","1","7","1","0","2","0","1","3","29.10.12"
"740820","206","Чернігівська область","будинок офіцерів, танцювальна зала, 1-й поверх
вул.Танкістів, 12, смт Гончарівське, Чернігівський р-н, Чернігівська обл., 15558","888","329","853","4","558","1","559","","0","558","1","559","17","542","172","22","13","15","7","15","45","48","146","5","2","10","3","9","30","29.10.12"
"740821","206","Чернігівська область","будинок офіцерів, фойє, 2-й поверх
вул.Танкістів, 12, смт Гончарівське, Чернігівський р-н, Чернігівська обл., 15558","628","323","626","2","304","1","305","","0","304","1","305","10","295","148","17","6","2","2","3","16","21","63","0","1","1","1","1","13","29.10.12"
"740822","206","Чернігівська область","гімназія, фойє
вул.Танкістів, 82А, смт Гончарівське, Чернігівський р-н, Чернігівська обл., 15558","1116","458","1104","9","650","8","658","","0","650","8","658","12","646","297","22","3","2","7","10","72","24","132","0","2","0","1","2","72","29.10.12"
"740823","206","Чернігівська область","будинок культури, фойє
вул.Радянська, 67, с.Дніпровське, Чернігівський р-н, Чернігівська обл., 15545","492","176","483","47","270","46","316","","0","270","46","316","17","299","154","9","1","2","12","0","18","10","84","0","0","0","1","0","8","29.10.12"
"740824","206","Чернігівська область","школа, к.3
вул.Щорса, 17, с.Повідов, Чернігівський р-н, Чернігівська обл., 15545","216","49","217","20","147","20","167","","0","147","20","167","7","160","76","6","0","0","2","0","11","2","56","0","0","1","1","1","4","29.10.12"
"740825","206","Чернігівська область","сільська рада, к.3
вул.Любецька, 2, с.Довжик, Чернігівський р-н, Чернігівська обл., 15511","496","191","491","32","281","24","305","","0","281","24","305","11","294","163","8","0","2","10","0","48","7","49","0","0","0","1","1","5","29.10.12"
"740826","206","Чернігівська область","сільський клуб, фойє
вул.Молодіжна, 1, с.Табаївка, Чернігівський р-н, Чернігівська обл., 15511","172","58","169","20","98","16","114","","0","98","16","114","1","113","58","4","1","0","2","0","20","2","22","0","1","0","0","0","3","28.10.12"
"740827","206","Чернігівська область","сільська рада, к.4
вул.Садова, 1А, с.Жеведь, Чернігівський р-н, Чернігівська обл., 15556","240","79","235","32","130","31","161","","0","130","31","161","11","150","46","9","4","1","4","0","23","7","50","0","0","0","0","1","5","28.10.12"
"740828","206","Чернігівська область","будинок культури, фойє
вул.Незалежності, 28, с.Жукотки, Чернігівський р-н, Чернігівська обл., 15517","548","213","538","49","290","45","335","","0","290","45","335","15","320","172","6","3","6","1","0","55","9","52","0","0","2","2","1","11","29.10.12"
"740829","206","Чернігівська область","будинок культури, танцювальна зала
вул.Дружби, 33, с.Іванівка, Чернігівський р-н, Чернігівська обл., 15562","1340","557","1334","74","715","68","783","","0","715","68","783","21","762","332","24","4","3","24","1","120","29","191","1","3","3","0","3","24","29.10.12"
"740830","206","Чернігівська область","школа, спортивна зала
вул.Шкільна, 32, с.Количівка, Чернігівський р-н, Чернігівська обл., 15563","1136","499","1132","48","595","42","637","","0","595","42","637","36","601","316","18","2","2","16","1","103","30","76","1","3","2","5","2","24","29.10.12"
"740831","206","Чернігівська область","школа, фойє
вул.Лісова, 1, с.Ягідне, Чернігівський р-н, Чернігівська обл., 15562","316","93","312","8","217","6","223","","0","217","6","223","10","213","84","6","2","3","6","0","34","7","61","0","2","0","1","0","7","29.10.12"
"740832","206","Чернігівська область","сільська рада, к.3
вул.Тракторна, 10, с.Кархівка, Чернігівський р-н, Чернігівська обл., 15551","684","255","679","26","403","26","429","","0","403","26","429","9","420","300","3","1","2","9","0","46","5","44","0","1","1","1","0","7","29.10.12"
"740833","206","Чернігівська область","будинок культури, фойє
вул.Грачова, 1, с.Ковпита, Чернігівський р-н, Чернігівська обл., 15544","1024","297","1005","126","614","113","727","","0","614","113","727","28","699","328","28","5","3","5","0","89","12","203","2","0","3","5","0","16","29.10.12"
"740834","206","Чернігівська область","сільський клуб, фойє
вул.Соснова, 8, с.Червоне, Чернігівський р-н, Чернігівська обл., 15544","180","52","185","20","112","16","128","","0","112","16","128","3","125","39","8","0","1","2","2","29","5","26","2","0","0","0","2","9","29.10.12"
"740835","206","Чернігівська область","школа, актова зала
вул.Перемоги, 11, с.Киїнка, Чернігівський р-н, Чернігівська обл., 15505","2100","877","2100","51","1177","46","1223","","0","1177","46","1223","49","1174","425","43","13","3","22","3","224","100","275","7","9","7","2","2","39","29.10.12"
"740836","206","Чернігівська область","школа, актова зала
вул.1 Травня, 41, с.Жавинка, Чернігівський р-н, Чернігівська обл., 15583","524","187","519","34","306","31","337","","0","306","31","337","10","327","186","15","2","1","6","1","64","16","26","1","0","1","0","0","8","28.10.12"
"740837","206","Чернігівська область","навчально-виховний комплекс, спортивна зала
вул.Нова, 1А, с.Киселівка, Чернігівський р-н, Чернігівська обл., 15530","1020","468","1009","14","539","13","552","","0","539","13","552","15","537","209","23","4","0","17","1","99","35","124","1","5","0","0","1","18","29.10.12"
"740838","206","Чернігівська область","школа, спортивна зала
вул.Шевченка, 50, с.Брусилів, Чернігівський р-н, Чернігівська обл., 15531","860","305","860","48","511","44","555","","0","511","44","555","16","539","280","10","3","1","38","0","71","28","87","2","2","1","0","1","15","29.10.12"
