"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Аннушак
Сергій
Васильович","Гладких
Валентин
Валерійович","Дунаєв
Сергій
Володимирович","Єфіменко
Євгеній
Олегович","Кримцев
Віктор
Олексійович","Крисанов
Леонід
Дмитрович","Слєсарєв
Ігор
Едуардович","Теросипов
Вячеслав
Михайлович","Філь
Сергій
Олександрович","Шахов
Сергій
Володимирович","Шведов
Віталій
Миколайович","Дата підписання протоколу"
"440948","107","Луганська область","Державний вищий навчальний заклад ""Лисичанський нафтохімічний технікум"", фойє
вул.Ген. Потапенка, 98, м.Лисичанськ, Луганська обл., 93101","2316","1180","2268","34","1107","29","1136","","0","1107","29","1136","30","1106","11","9","565","7","79","69","1","49","0","297","19","29.10.12"
"440949","107","Луганська область","школа №9, їдальня
вул.Докучаєва, 7, м.Лисичанськ, Луганська обл., 93100","2436","1222","2406","60","1177","37","1214","","0","1177","37","1214","46","1168","9","6","651","4","75","39","2","59","3","305","15","29.10.12"
"440950","107","Луганська область","школа №14, фойє
вул.Гарибальді, 13, м.Лисичанськ, Луганська обл., 93120","1824","758","1795","17","1053","13","1066","","0","1053","13","1066","17","1049","9","4","618","3","73","48","3","57","2","200","32","29.10.12"
"440951","107","Луганська область","школа №14, їдальня
вул.Гарибальді, 13, м.Лисичанськ, Луганська обл., 93120","1746","772","1709","12","966","8","974","","0","966","8","974","32","942","12","4","515","5","76","55","2","63","2","180","28","31.10.12"
"440952","107","Луганська область","інформаційно-обчислювальний центр ВАТ ""Лисичанськвугілля"", червоний куток
вул.Р.Малиновського 1, м.Лисичанськ, Луганська обл., 93100","2370","1052","2337","39","1286","32","1318","","0","1286","32","1318","45","1273","19","2","705","2","75","66","3","72","2","290","37","29.10.12"
"440953","107","Луганська область","Лисичанський професійний торгово-кулінарний ліцей, каб.12
вул.Леніна, 47, м.Лисичанськ, Луганська обл., 93100","2382","1039","2341","58","1300","43","1343","","0","1300","43","1343","33","1310","17","2","743","4","112","74","2","69","3","254","30","29.10.12"
"440954","107","Луганська область","школа №8, диско-зала
вул.Чекістів, 5, м.Лисичанськ, Луганська обл., 93100","2352","916","2311","44","1401","35","1436","","0","1401","35","1436","37","1399","18","9","770","0","112","62","2","64","3","336","23","29.10.12"
"440955","107","Луганська область","багатопрофільний ліцей, коридор
вул.Свердлова, 277, м.Лисичанськ, Луганська обл., 93120","2310","878","2266","41","1401","31","1432","","0","1401","31","1432","32","1400","19","4","796","4","102","67","6","88","2","275","37","29.10.12"
"440956","107","Луганська область","гірничий технікум, каб.225
просп.Леніна, 84, м.Лисичанськ, Луганська обл., 93120","2346","980","2311","40","1333","33","1366","","0","1333","33","1366","26","1340","14","6","680","1","89","88","1","57","3","373","28","29.10.12"
"440957","107","Луганська область","школа №28, їдальня
вул.Московська, 282, м.Лисичанськ, Луганська обл., 93120","2304","1064","2254","47","1207","33","1240","","0","1207","33","1240","31","1209","6","5","627","7","73","42","3","55","1","364","26","29.10.12"
"440958","107","Луганська область","гірничо-промисловий ліцей, фойє
просп.Леніна, 136, м.Лисичанськ, Луганська обл., 93113","2304","1081","2238","29","1200","23","1223","","0","1200","23","1223","29","1194","9","3","572","5","66","37","1","63","4","417","17","29.10.12"
"440959","107","Луганська область","банно-оздоровчий комплекс ""Волна"", фойє
вул.Баумана, 18, м.Лисичанськ, Луганська обл., 91113","2322","1036","2293","75","1231","55","1286","","0","1231","55","1286","31","1255","12","4","714","5","116","50","1","50","4","275","24","29.10.12"
"440960","107","Луганська область","школа №28, коридор
вул.Московська, 282, м.Лисичанськ, Луганська обл., 93120","1980","787","1947","86","1116","77","1193","","0","1116","77","1193","48","1145","9","4","578","3","46","71","3","39","2","372","18","29.10.12"
"440961","107","Луганська область","клуб шахти ім.Д.Ф.Мельникова, актова зала
вул.І.Кожедуба, 34А, м.Лисичанськ, Луганська обл., 93111","1716","783","1691","23","915","18","933","","0","915","18","933","25","908","2","2","484","3","36","23","3","33","1","310","11","29.10.12"
"440962","107","Луганська область","КП ""Лисичанський завод ЗБВ"", каб.96
вул.Ген. Потапенка, 256, м.Лисичанськ, Луганська обл., 93111","1638","874","1627","32","736","28","764","","0","736","28","764","20","744","2","3","390","1","77","32","3","33","3","191","9","29.10.12"
"440963","107","Луганська область","школа №24, коридор
вул.Філатова, 21, м.Лисичанськ, Луганська обл., 93110","2472","1028","2431","94","1376","68","1444","","0","1376","68","1444","45","1399","9","7","749","2","72","57","3","44","3","431","22","29.10.12"
"440964","107","Луганська область","будинок культури ім.Н.К.Крупської, фойє
вул.Первомайська, 30, м.Лисичанськ, Луганська обл., 93110","2304","862","2261","66","1388","54","1442","","0","1388","54","1442","57","1385","10","9","759","10","85","28","2","38","4","418","22","29.10.12"
"440965","107","Луганська область","школа №5, коридор
вул.Мічуріна, 16А, м.Лисичанськ, Луганська обл., 93112","1950","808","1933","79","1087","55","1142","","0","1087","55","1142","39","1103","11","3","620","5","80","25","2","36","2","307","12","29.10.12"
"440966","107","Луганська область","школа №25, коридор
вул.Шевченка, 1А, м.Новодружеськ, м.Лисичанськ, Луганська обл., 93193","2267","1031","2224","22","1216","20","1236","","0","1216","20","1236","30","1206","14","6","578","4","103","18","4","33","3","421","22","29.10.12"
"440967","107","Луганська область","школа №6, фойє
вул.Миру, 45, м.Новодружеськ, м.Лисичанськ, Луганська обл., 93193","2070","803","2045","82","1205","62","1267","","0","1205","62","1267","42","1225","10","2","528","5","108","15","2","30","0","507","18","30.10.12"
"440968","107","Луганська область","адміністративно-побутова будівля шахти ""Новодружеська"", актова зала
вул.Леніна, 9, м.Новодружеськ, м.Лисичанськ, Луганська обл., 93193","2148","981","2101","85","1104","63","1167","","0","1104","63","1167","40","1127","7","4","552","4","75","19","3","28","4","420","11","29.10.12"
"440969","107","Луганська область","школа №29, коридор
вул.Шкільна, 1, м.Привілля, м.Лисичанськ, Луганська обл., 93191","2400","907","2345","97","1409","84","1493","","0","1409","84","1493","43","1450","16","4","779","8","146","32","2","59","0","388","16","29.10.12"
"440970","107","Луганська область","школа №7, коридор
вул.Шахтарська, 1, м.Привілля, м.Лисичанськ, Луганська обл., 93191","2406","907","2356","91","1419","80","1499","","0","1419","80","1499","52","1447","12","5","825","15","144","23","5","69","1","336","12","29.10.12"
"440971","107","Луганська область","школа №32, коридор
вул.Донецька, 122А, м.Привілля, м.Лисичанськ, Луганська обл., 93191","1608","628","1577","115","909","71","980","","0","909","71","980","30","950","8","3","497","6","85","8","0","47","3","282","11","29.10.12"
"440972","107","Луганська область","Лисичанська обласна психіатрична лікарня, актова зала
вул.Ломоносова, 2В, м.Привілля, м.Лисичанськ, Луганська обл., 93191","204","74","130","18","112","18","130","","0","112","18","130","3","127","3","4","70","2","7","6","2","6","1","25","1","29.10.12"
"440973","107","Луганська область","Лисичанський обласний протитуберкульозний диспансер, фізкабінет
вул.Красна, 285, м.Лисичанськ, Луганська обл., 93105","156","102","55","0","54","0","54","","0","54","0","54","1","53","1","0","35","0","0","1","1","2","0","13","0","31.10.12"
"440974","107","Луганська область","Лікувально-профілактична установа центральна міська лікарня імені Титова, актова зала
просп.Леніна, 134, м.Лисичанськ, Луганська обл., 93113","546","389","173","75","98","59","157","","0","0","0","157","3","154","1","0","92","1","7","4","0","7","1","38","3","29.10.12"
"440975","107","Луганська область","Первомайський професійний ліцей, фойє, 1-й поверх
вул.Куйбишева, 21, м.Первомайськ, Луганська обл., 93200","2046","832","2011","29","1187","27","1214","","0","1187","27","1214","23","1191","12","5","440","7","76","25","6","34","1","578","7","29.10.12"
"440976","107","Луганська область","Первомайська багатопрофільна гімназія, коридор, 1-й поверх
вул.Куйбишева, 30, м.Первомайськ, Луганська обл., 93200","2364","960","2320","37","1371","33","1404","","0","1371","33","1404","39","1365","7","4","530","10","98","25","2","36","5","637","11","29.10.12"
"440977","107","Луганська область","ДП ""Первомайськвугілля"", фойє, 1-й поверх
вул.Куйбишева, 18А, м.Первомайськ, Луганська обл., 93200","2196","908","2162","42","1251","37","1288","","0","1251","37","1288","38","1250","3","4","457","8","87","26","7","39","1","603","15","29.10.12"
"440978","107","Луганська область","Міський центр культури, фойє
вул.Макушкіна, 1Б, м.Первомайськ, Луганська обл., 93200","1836","690","1826","43","1114","32","1146","","0","1114","32","1146","38","1108","3","8","482","8","55","21","5","30","4","487","5","29.10.12"
"440979","107","Луганська область","Центр позашкільної освіти, актовий зал, 2-й поверх
вул.Харківська, 6, м.Первомайськ, Луганська обл., 93200","2172","953","2141","37","1185","34","1219","","0","1185","34","1219","42","1177","13","8","446","5","73","12","5","26","9","572","8","29.10.12"
"440980","107","Луганська область","школа №30, фойє, 1-й поверх
вул.Писарєва, 18, м.Первомайськ, Луганська обл., 93200","2286","913","2263","61","1323","50","1373","","0","1323","50","1373","51","1322","3","5","496","5","85","24","11","35","2","643","13","29.10.12"
"440987","107","Луганська область","школа №1, вестибюль, 1-й поверх
вул.Леніна, 55, м.Первомайськ, Луганська обл., 93200","2016","1007","1952","45","970","39","1009","","0","970","39","1009","42","967","4","6","406","3","80","29","4","34","3","393","5","29.10.12"
"440988","107","Луганська область","будівля їдальні школи №1, їдальня
вул.Леніна, 55, м.Первомайськ, Луганська обл., 93200","1236","552","1211","17","672","12","684","","0","672","12","684","17","667","4","7","255","5","43","20","3","15","3","306","6","29.10.12"
"441233","107","Луганська область","станція швидкої медичної допомоги, хол
вул.Полярна, 73, м.Стаханов, Луганська обл., 94016","2436","1184","2377","73","1196","56","1252","","0","1196","56","1252","58","1194","14","19","287","8","155","15","8","17","6","649","16","29.10.12"
"441234","107","Луганська область","КП ""Благоустрій"", зала засідань
вул.Б.Хмельницького, 83, м.Стаханов, Луганська обл., 94005","1308","691","1283","59","567","50","617","","0","567","50","617","24","593","4","15","173","3","77","11","4","10","1","293","2","29.10.12"
"441235","107","Луганська область","школа-інтернат №1, спортивна зала, 2-й поверх
вул.Матросова, 1, м.Стаханов, Луганська обл., 94016","1434","651","1424","40","745","38","783","","0","745","38","783","28","755","9","13","144","4","90","10","6","18","0","457","4","29.10.12"
"441236","107","Луганська область","Стахановське обласне медичне училище, хол
просп.50 років Жовтня, 2, м.Стаханов, Луганська обл., 94016","1944","894","1925","35","1019","31","1050","","0","1019","31","1050","36","1014","3","17","144","1","85","12","8","10","3","722","9","29.10.12"
"441237","107","Луганська область","Стахановський учбовий комплекс (коледж-факультет) ЛНУ імені Т.Шевченка, вестибюль
вул.Пономарчука, 25, м.Стаханов, Луганська обл., 94016","1530","719","1506","31","788","23","811","","0","788","23","811","19","792","4","15","112","2","84","3","9","11","3","547","2","29.10.12"
"441238","107","Луганська область","гуртожиток Стахановського педагогічного коледжу, вестибюль
вул.Пономарчука, 25, м.Стаханов, Луганська обл., 94016","2004","948","1965","43","1018","38","1056","","0","1018","38","1056","36","1020","6","20","170","2","120","10","8","21","0","658","5","28.10.12"
"441239","107","Луганська область","школа №18, хол, 1-й поверх
вул.Макерова, 8, м.Стаханов, Луганська обл., 94016","1602","778","1584","20","807","17","824","","0","807","17","824","22","802","8","7","183","5","98","7","6","15","2","463","8","29.10.12"
"441240","107","Луганська область","школа №18, спортивна зала, 1-й поверх
вул.Макерова, 8, м.Стаханов, Луганська обл., 94016","1944","897","1916","35","1015","32","1047","","0","1015","32","1047","30","1017","5","14","170","4","120","18","9","15","3","654","5","29.10.12"
"441241","107","Луганська область","спеціалізована школа №9 імені О.Стаханова, хол, 1-й поверх
вул.Макерова, 8А, м.Стаханов, Луганська обл., 94016","1578","695","1561","22","864","19","883","","0","0","0","883","20","863","4","6","167","2","77","9","5","15","1","572","5","30.10.12"
"441242","107","Луганська область","спеціалізована школа №9 імені О.Стаханова, хол, 2-й поверх
вул.Макерова, 8А, м.Стаханов, Луганська обл., 94016","2040","1051","2014","40","955","34","989","","0","955","34","989","27","962","2","19","178","4","116","18","4","16","1","595","9","29.10.12"
"441243","107","Луганська область","дитяча школа мистецтв №4, клас хореографії
вул.Н.Курченко, 23А, м.Стаханов, Луганська обл., 94016","2472","1195","2427","48","1238","39","1277","","0","1238","39","1277","44","1233","6","13","182","3","133","23","4","22","3","830","14","29.10.12"
"441244","107","Луганська область","дільничий пункт міліції, хол
вул.Широка, 5, м.Стаханов, Луганська обл., 94003","1116","595","1098","37","490","31","521","","0","490","31","521","16","505","4","6","146","6","86","11","3","12","2","225","4","29.10.12"
"441245","107","Луганська область","ПП ""Трансбудсервіс"", хол
вул.Водопровідна, 21, м.Стаханов, Луганська обл., 94001","1572","818","1540","51","714","40","754","","0","714","40","754","25","729","2","11","185","9","59","12","6","16","4","411","14","29.10.12"
"441246","107","Луганська область","навчально-виховний комплекс №29, хол, 1-й поверх
вул.Дніпровська, 13, м.Стаханов, Луганська обл., 94007","1800","990","1775","57","760","50","810","","0","760","50","810","19","791","2","91","200","2","101","15","4","14","0","354","8","29.10.12"
"441247","107","Луганська область","навчально-виховний комплекс №29, хол, 2-й поверх
вул.Дніпровська, 13, м.Стаханов, Луганська обл., 94007","1806","930","1794","38","843","33","876","","0","843","33","876","32","844","6","96","207","7","130","24","6","37","0","322","9","29.10.12"
"441248","107","Луганська область","ДВАТ ""Стахановпромтранс"", хол
вул.Тепловозна, 5, м.Стаханов, Луганська обл., 94002","1584","928","1561","35","625","31","656","","0","625","31","656","23","633","5","32","175","2","75","8","3","14","4","311","4","28.10.12"
"441252","107","Луганська область","школа №13, хол, 1-й поверх
вул.2-а Липнева, 2, м.Ірміно, Луганська обл., 94091","1254","663","1249","17","576","15","591","","0","576","15","591","18","573","1","3","123","3","26","3","5","2","3","398","6","28.10.12"
"441253","107","Луганська область","школа №12, спортивна зала, 1-й поверх
вул.ім. Костянтина Петрова, 4, м.Ірміно, Луганська обл., 94091","1974","1018","1943","32","930","26","956","","0","930","26","956","22","934","3","8","199","2","102","6","7","15","3","580","9","29.10.12"
"441254","107","Луганська область","Ірмінська школа-інтернат, хол
вул.Міжпланетна, 11, м.Ірміно, Луганська обл., 94092","1656","793","1622","48","824","39","863","","0","824","39","863","26","837","5","9","228","4","84","9","3","7","4","481","3","28.10.12"
"441255","107","Луганська область","дитяча школа мистецтв №2, клас хореографії
вул.Олексія Стаханова, 3, м.Ірміно, Луганська обл., 94092","2016","1087","1985","29","905","24","929","","0","905","24","929","17","912","2","12","231","7","90","10","3","14","2","538","3","29.10.12"
"441256","107","Луганська область","школа №32, каб.7, 1-й поверх
вул.Багата, 19, м.Ірміно, Луганська обл., 94092","1686","850","1635","21","817","19","836","","0","817","19","836","31","805","7","8","258","6","70","3","2","10","1","434","6","29.10.12"
"441257","107","Луганська область","міська лікарня №2, хол
вул.Профспілкова, 1, м.Ірміно, Луганська обл., 94092","678","310","677","37","332","36","368","","0","332","36","368","14","354","1","2","127","5","38","4","2","2","1","169","3","29.10.12"
