"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Барвіна
Наталія
Олександрівна","Вікторов
Андрій
Сергійович","Горохов
Сергій
Олександрович","Жданова
Валентина
Олександрівна","Кривобоков
Владислав
Анатолійович","Мошенський
Сергій
Захарович","Попов
Володимир
Євгенович","Скіріч
Андрій
Степанович","Тамашев
Геннадій
Анатолійович","Чаленко
Максим
Михайлович","Дата підписання протоколу"
"441411","105","Луганська область","СМЗ Головне Управління міністерства внутрішніх справ України, конференцзала
вул.Дьоміна, 3А, м.Луганськ, 91000","156","132","24","1","23","1","24","","0","23","1","24","1","23","0","0","18","1","0","0","1","1","2","0","28.10.12"
"441412","105","Луганська область","міський пологовий будинок, конференцзала
кв-л Якіра, 8Б, м.Луганськ, 91000","102","41","71","0","61","0","61","","0","61","0","61","2","59","3","1","40","1","2","0","1","2","5","4","28.10.12"
"441413","105","Луганська область","Щастинська міська лікарня, червоний куток
вул.Донєцкая, 99, м.Щастя, м.Луганськ, 91480","102","11","93","4","87","4","91","","0","87","4","91","9","82","2","1","59","1","4","2","4","0","3","6","28.10.12"
"441419","105","Луганська область","школа №22, хол, 1-й поверх
вул.21-го МЮДа, 2А, м.Луганськ, 91014","1788","761","1769","71","966","61","1027","","0","966","61","1027","69","958","26","8","651","21","47","4","14","14","57","116","29.10.12"
"441420","105","Луганська область","школа №22, спортивна зала
вул.21-го МЮДа, 2А, м.Луганськ, 91014","2076","947","2049","83","1050","79","1129","","0","1050","79","1129","56","1073","36","8","650","24","63","5","26","11","88","162","29.10.12"
"441421","105","Луганська область","дитячий садок №55, група, 1-й поверх
вул.21-го МЮДа, 54, м.Луганськ, 91014","1830","781","1819","63","989","60","1049","","0","989","60","1049","51","998","20","4","682","17","56","6","20","18","56","119","29.10.12"
"441422","105","Луганська область","обласний ліцей, хол, 1-й поверх
вул.Лєванєвского, 105, м.Луганськ, 91014","1356","603","1333","42","714","39","753","","0","714","39","753","45","708","13","3","424","22","34","6","19","13","58","116","28.10.12"
"441423","105","Луганська область","обласний ліцей, хол, 2-й поверх
вул.Лєванєвского, 105, м.Луганськ, 91014","1776","830","1758","75","881","65","946","","0","881","65","946","61","885","21","6","567","17","44","5","17","26","65","117","29.10.12"
"441424","105","Луганська область","школа №21, хол, 1-й поверх
пл.Лєніна, 3, м.Луганськ, 91012","1980","956","1969","40","986","38","1024","","0","986","38","1024","60","964","31","7","634","15","47","6","26","22","48","128","28.10.12"
"441425","105","Луганська область","школа №16, хол, 1-й поверх
пл.Лєніна, 1, м.Луганськ, 91012","1686","896","1676","54","741","49","790","","0","741","49","790","49","741","16","4","495","9","27","1","10","23","39","117","28.10.12"
"441426","105","Луганська область","школа №16, спортивна зала, 1-й поверх
пл.Лєніна, 1, м.Луганськ, 91012","1152","494","1128","23","638","20","658","","0","638","20","658","37","621","16","3","412","8","29","2","18","7","47","79","29.10.12"
"441427","105","Луганська область","школа №28, хол, 1-й поверх
вул.Артьома, 111, м.Луганськ, 91002","2484","1198","2453","74","1223","63","1286","","0","1223","63","1286","73","1213","31","7","754","14","61","6","29","24","94","193","29.10.12"
"441428","105","Луганська область","школа №28, їдальня, 1-й поверх
вул.Артьома, 111, м.Луганськ, 91002","1704","727","1687","63","916","61","977","","0","916","61","977","57","920","32","4","513","24","42","2","15","21","82","185","29.10.12"
"441429","105","Луганська область","школа №3, спортивна зала
вул.Карла Лібкнехта, 7А, м.Луганськ, 91002","1866","983","1849","39","852","31","883","","0","852","31","883","60","823","29","2","488","17","43","6","23","11","66","138","29.10.12"
"441430","105","Луганська область","школа №3, актова зала, 2-й поверх
вул.Карла Лібкнехта, 7А, м.Луганськ, 91002","1458","672","1445","34","752","34","786","","0","752","34","786","50","736","29","4","439","19","56","5","11","12","66","95","29.10.12"
"441431","105","Луганська область","Будинок дитячої та юнацької творчості, хол, 2-й поверх
вул.Рабочая, 25, м.Луганськ, 91002","1716","897","1652","33","789","31","820","","0","787","31","818","54","764","29","5","424","19","51","3","6","18","75","134","28.10.12"
"441432","105","Луганська область","міська багатопрофільна лікарня №4, зала для засідань, 1-й поверх
вул.Ляпіна З.Ф., 2, м.Луганськ, 91002","204","0","204","3","201","3","204","","0","201","3","204","15","189","8","2","110","3","26","2","6","6","7","19","28.10.12"
