"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Ковшов
Михайло
Геннадійович","Мілейко
Володимир
Володимирович","Слєпцов
Микола
Миколайович","Тихонов
Віктор
Миколайович","Холопов
Олександр
Володимирович","Шакун
Сергій
Вікторович","Юник
Володимир
Йосипович","Дата підписання протоколу"
"440592","113","Луганська область","сільська рада, актова зала
вул.Повітрянофлотська, 52А, с.Чмирівка, Старобільський р-н, Луганська обл., 92740","2040","1141","1993","84","827","72","899","","0","827","72","899","77","822","26","10","52","376","10","45","303","30.10.12"
"440593","113","Луганська область","школа-гімназія, хол
вул.Запорізька, 15А, с.Чмирівка, Старобільський р-н, Луганська обл., 92740","1720","810","1687","78","841","69","910","","0","841","69","910","55","855","39","5","58","440","8","37","268","28.10.12"
"440594","113","Луганська область","школа, коридор, 1-й поверх
вул.Леніна, 103, с.Шпотине, Старобільський р-н, Луганська обл., 92744","448","138","438","36","274","36","310","","0","274","36","310","21","289","5","0","24","129","2","19","110","29.10.12"
"440595","113","Луганська область","будинок культури, хол
вул.Леніна, 12Н, с.Шульгинка, Старобільський р-н, Луганська обл., 92764","1760","699","1732","160","918","143","1061","","0","918","143","1061","43","1018","30","5","44","478","7","31","423","29.10.12"
"440596","113","Луганська область","КУ Старобільське районне територіальне медичне об’єднання, актова зала
вул.Кірова, 67, м.Старобільськ, Старобільський р-н, Луганська обл., 92700","216","166","53","28","23","27","50","","0","23","27","50","2","48","3","0","6","23","1","2","13","29.10.12"
"440597","113","Луганська область","будинок культури ім.Кірова, танцювальна зала
просп.Перемоги, 10, смт Троїцьке, Троїцький р-н, Луганська обл., 92100","2168","697","2157","93","1390","81","1471","","0","1390","81","1471","65","1406","60","14","79","937","15","72","229","29.10.12"
"440598","113","Луганська область","будинок школяра, актова зала
вул.Радянська, 17, смт Троїцьке, Троїцький р-н, Луганська обл., 92100","1312","419","1316","103","804","89","893","","0","804","89","893","30","863","31","2","55","567","13","51","144","29.10.12"
"440599","113","Луганська область","школа, актова зала
пров.Шкільний, 13, смт Троїцьке, Троїцький р-н, Луганська обл., 92100","1424","603","1411","120","721","100","821","","0","721","100","821","42","779","26","18","43","522","12","48","110","28.10.12"
"440600","113","Луганська область","селищний будинок культури, глядацька зала
вул.Пушкіна, 105, смт Троїцьке, Троїцький р-н, Луганська обл., 92100","816","263","798","107","450","103","553","","0","450","103","553","32","521","8","8","19","392","7","28","59","29.10.12"
"440601","113","Луганська область","школа, фойє
вул.Центральна, 5, с.Арапівка, Троїцький р-н, Луганська обл., 92136","296","95","286","16","188","13","201","","0","188","13","201","6","195","10","10","19","111","6","18","21","28.10.12"
"440602","113","Луганська область","будинок культури, фойє
вул.Шкільна, 35, с.Багачка, Троїцький р-н, Луганська обл., 92112","376","99","365","41","238","39","277","","0","238","39","277","21","256","6","3","10","188","1","19","29","29.10.12"
"440603","113","Луганська область","сільський клуб, к.3
вул.Центральна, 28А, с.Максимівка, Троїцький р-н, Луганська обл., 92113","88","6","89","16","66","16","82","","0","66","16","82","1","81","2","1","9","59","3","4","3","28.10.12"
"440604","113","Луганська область","сільський клуб, глядацька зала
вул.Д.Р.Овчаренка, 10, с.Вівчарове, Троїцький р-н, Луганська обл., 92124","360","116","351","38","210","34","244","","0","210","34","244","8","236","4","5","13","146","1","24","43","29.10.12"
"440605","113","Луганська область","школа, фойє
вул.Шевченка, 6А, с.Воєводське, Троїцький р-н, Луганська обл., 92121","360","57","350","29","275","28","303","","0","275","28","303","27","276","4","10","17","193","5","8","39","29.10.12"
"440606","113","Луганська область","сільський будинок культури, к.16
вул.Центральна, 7, с.Іллічівка, Троїцький р-н, Луганська обл., 92122","176","42","176","21","114","20","134","","0","114","20","134","4","130","8","2","8","84","3","6","19","28.10.12"
"440607","113","Луганська область","школа, спортзал
пров.Річковий, 16, с.Демино-Олександрівка, Троїцький р-н, Луганська обл., 92110","504","161","500","61","282","61","343","","0","282","61","343","17","326","10","14","15","160","5","32","90","28.10.12"
"440608","113","Луганська область","школа, фойє
вул.Садова, 1, с.Сиротине, Троїцький р-н, Луганська обл., 92111","352","75","345","53","227","50","277","","0","227","50","277","33","244","3","8","11","174","7","11","30","29.10.12"
"440609","113","Луганська область","школа, фойє
вул.Піонерська, 2, с.Лантратівка, Троїцький р-н, Луганська обл., 92114","824","293","811","55","482","49","531","","0","482","49","531","51","480","14","7","22","341","7","21","68","28.10.12"
"440610","113","Луганська область","школа, класна кімната, 2-й поверх
вул.Колгоспна, 3А, с.Бабичеве, Троїцький р-н, Луганська обл., 92115","480","157","461","47","278","45","323","","0","278","45","323","21","302","7","3","13","192","6","18","63","29.10.12"
"440611","113","Луганська область","будинок культури, глядацька зала
вул.70 років Жовтня, 9, с.Новоолександрівка, Троїцький р-н, Луганська обл., 92134","288","82","282","12","194","12","206","","0","194","12","206","10","196","8","5","13","135","3","16","16","29.10.12"
"440612","113","Луганська область","школа, фойє
вул.30 років Перемоги, 28, с.Новочервоне, Троїцький р-н, Луганська обл., 92145","704","168","688","94","444","92","536","","0","444","92","536","29","507","19","9","51","356","6","13","53","29.10.12"
"440613","113","Луганська область","сільський клуб, глядацька зала
вул.Шкільна, 14, с.Новознам’янка, Троїцький р-н, Луганська обл., 92131","272","52","265","15","205","15","220","","0","205","15","220","6","214","3","1","6","194","0","6","4","29.10.12"
"440614","113","Луганська область","сільський клуб, глядацька зала
вул.Центральна, 13, с.Солонці, Троїцький р-н, Луганська обл., 92131","136","18","134","6","112","6","118","","0","112","6","118","8","110","1","1","2","97","3","6","0","29.10.12"
"440615","113","Луганська область","школа, коридор, 1-й поверх
вул.Спортивна, 2, с-ще Привілля, Троїцький р-н, Луганська обл., 92123","864","312","846","58","500","52","552","","0","500","52","552","26","526","14","6","20","370","6","35","75","29.10.12"
"440616","113","Луганська область","будинок культури, малий зал
вул.Радянська, 64, с.Покровське, Троїцький р-н, Луганська обл., 92135","1120","412","1093","101","616","92","708","","0","616","92","708","56","652","11","19","44","421","10","12","135","29.10.12"
"440617","113","Луганська область","сільський будинок культури, глядацька зала
вул.Радянська, 7, с.Розпасіївка, Троїцький р-н, Луганська обл., 92140","488","143","479","48","302","43","345","","0","302","43","345","20","325","3","2","13","257","2","20","28","29.10.12"
"440618","113","Луганська область","дитячий садок, актова зала
вул.ім.О.Г.Попугаєва, 2, с.Розсипне, Троїцький р-н, Луганська обл., 92120","280","53","273","28","199","28","227","","0","199","28","227","20","207","1","3","14","172","1","1","15","28.10.12"
"440619","113","Луганська область","школа, коридор
вул.Леніна, 72, с.Тарасівка, Троїцький р-н, Луганська обл., 92144","480","120","468","62","303","57","360","","0","303","57","360","27","333","11","7","23","196","3","33","60","29.10.12"
"440620","113","Луганська область","школа, спортзал
вул.Леніна, 7А, с.Тимонове, Троїцький р-н, Луганська обл., 92142","368","80","357","50","242","46","288","","0","242","46","288","22","266","7","11","10","164","3","15","56","29.10.12"
"440621","113","Луганська область","сільський клуб, глядацька зала
пров.Центральний, 3, с.Малоолександрівка, Троїцький р-н, Луганська обл., 92143","320","101","310","25","195","24","219","","0","195","24","219","13","206","6","4","20","105","2","18","51","29.10.12"
"440622","113","Луганська область","школа, фойє
вул.Радянська, 18, с.Тополі, Троїцький р-н, Луганська обл., 92130","432","148","428","40","249","35","284","","0","249","35","284","18","266","3","6","8","195","2","8","44","29.10.12"
"440623","113","Луганська область","сільський клуб, глядацька зала
вул.Матросова, 10, с.Аношкине, Троїцький р-н, Луганська обл., 92133","304","106","290","29","170","28","198","","0","170","28","198","5","193","6","5","16","109","2","9","46","29.10.12"
"440624","113","Луганська область","школа, спортзал
вул.Центральна, 31, с.Ями, Троїцький р-н, Луганська обл., 92141","176","45","169","15","116","15","131","","0","116","15","131","8","123","0","3","9","75","2","10","24","28.10.12"
"440625","113","Луганська область","сільський клуб, глядацька зала
вул.Молодіжна, 18, с.Коченове, Троїцький р-н, Луганська обл., 92141","176","28","168","9","139","9","148","","0","139","9","148","14","134","0","0","3","108","0","9","14","01.11.12"
"440626","113","Луганська область","сільський клуб, глядацька зала
вул.Лісова, 34, с.Караїчне, Троїцький р-н, Луганська обл., 92141","112","5","114","9","98","9","107","","0","98","9","107","8","99","1","0","5","82","2","2","7","29.10.12"
