"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андріянов
Олександр
Олександрович","Гуславський
Володимир
Станіславович","Заіка
Артем
Миколайович","Кириченко
Людмила
Федорівна","Колесніков
Володимир
Анатолійович","Мошенський
Валерій
Захарович","Підгорний
Володимир
Миколайович","Ржавський
Олександр
Миколайович","Сафонова
Дар’я
Євгеніївна","Терніков
Юрій
Миколайович","Федоров
Василь
Васильович","Фролов
Володимир
Миколайович","Чередник
Геннадій
Олександрович","Дата підписання протоколу"
"440316","108","Луганська область","палац культури ім.Леніна, фойє
вул.Серго, 8, м.Артемівськ, Перевальський р-н, Луганська обл., 94313","1830","829","1800","34","973","28","1001","","0","973","28","1001","27","974","39","65","16","20","12","539","1","18","4","253","4","1","2","29.10.12"
"440317","108","Луганська область","школа №8, спортивна зала
вул.Горчака, 15, м.Артемівськ, Перевальський р-н, Луганська обл., 94313","1668","660","1652","42","968","40","1008","","0","968","40","1008","25","983","47","43","5","30","7","512","1","12","3","312","4","3","4","28.10.12"
"440318","108","Луганська область","гімназія №7, їдальня
вул.Комсомольська, 1, м.Артемівськ, Перевальський р-н, Луганська обл., 94313","1350","608","1336","28","720","22","742","","0","720","22","742","14","728","61","58","5","16","10","345","2","11","4","208","2","4","2","29.10.12"
"440319","108","Луганська область","станція ""Кипуча"", зала очікування
вул.Акименка, 37А, м.Артемівськ, Перевальський р-н, Луганська обл., 94313","594","252","583","33","313","29","342","","0","313","29","342","3","339","21","5","4","20","2","207","2","1","0","73","1","1","2","28.10.12"
"440320","108","Луганська область","палац культури р-ну Комсомольський, фойє
вул.Будівельників, 1, м.Артемівськ, Перевальський р-н, Луганська обл., 94313","894","344","883","42","509","41","550","","0","509","41","550","5","545","19","7","1","9","2","406","0","2","0","97","0","1","1","29.10.12"
"440321","108","Луганська область","контора ВВП ""Шахта ""Ніканор-Нова"", актова зала
вул.Кірова, 1, м.Зоринськ, Перевальський р-н, Луганська обл., 94323","1176","460","1166","54","675","41","716","","0","675","41","716","22","694","49","59","5","18","6","341","0","7","6","193","5","2","3","29.10.12"
"440322","108","Луганська область","будинок культури ""Шахтар"", хол
вул.Театральна, 6А, м.Зоринськ, Перевальський р-н, Луганська обл., 94323","1296","467","1296","40","801","28","829","","0","801","28","829","23","806","75","82","3","18","9","325","0","16","5","260","5","6","2","28.10.12"
"440323","108","Луганська область","школа №10, хол
вул.Маяковського, 1, м.Зоринськ, Перевальський р-н, Луганська обл., 94323","1176","488","1173","22","669","19","688","","0","669","19","688","17","671","30","94","11","17","4","328","0","9","6","167","2","2","1","30.10.12"
"440324","108","Луганська область","станція ""Мануїлівка"" ДП ""Донецька залізниця"", зала очікування
вул.Вокзальна, 7А, м.Зоринськ, Перевальський р-н, Луганська обл., 94323","882","321","872","46","519","42","561","","0","0","0","561","24","537","36","45","4","26","5","219","0","8","8","185","0","1","0","02.11.12"
"440325","108","Луганська область","школа №30, хол
вул.Театральна, 2, смт Байрачки, Перевальський р-н, Луганська обл., 94309","702","217","691","29","459","26","485","","0","459","26","485","16","469","85","49","8","10","4","200","0","4","2","106","0","1","0","29.10.12"
"440326","108","Луганська область","профліцей, велика актова зала
вул.Побєди, 51, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","756","333","755","27","399","24","423","","0","399","24","423","15","408","43","11","4","20","4","145","0","9","1","171","0","0","0","29.10.12"
"440327","108","Луганська область","школа-інтернат, хол, 1-й поверх
вул.Побєди, 45, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","1212","578","1203","31","609","25","634","","0","609","25","634","19","615","67","26","8","16","6","248","3","18","3","213","4","1","2","29.10.12"
"440328","108","Луганська область","школа №12, танцювальна зала
вул.Горняцька, 21, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","1686","769","1659","28","895","22","917","","0","895","22","917","30","887","118","123","9","25","8","243","1","14","1","332","2","8","3","29.10.12"
"440329","108","Луганська область","школа №12, кабінет лідерів
вул.Горняцька, 21, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","1452","705","1432","30","723","24","747","","0","723","24","747","23","724","85","78","13","29","10","223","1","4","3","264","3","9","2","29.10.12"
"440330","108","Луганська область","школа-ліцей №1, хол
пл.Леніна, 3, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","978","421","974","63","504","53","557","","0","504","53","557","22","535","70","51","6","14","4","145","0","14","1","225","2","1","2","29.10.12"
"440331","108","Луганська область","база управління по постачанню та збуту продукції ДП ""Луганськвугілля"", актова зала
вул.Миру, 5, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","1656","671","1652","48","945","40","985","","0","945","40","985","20","965","67","142","5","21","7","259","1","23","4","432","0","4","0","29.10.12"
"440332","108","Луганська область","управління ""Погрузтранс"", червоний куток
вул.Боголюбова, 9, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","1038","429","1034","34","580","29","609","","0","0","0","609","8","601","45","81","4","10","6","149","0","11","0","284","1","8","2","01.11.12"
"440333","108","Луганська область","дитячо-юнацький центр, танцювальна зала
вул.Леніна, 17, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","924","342","910","24","564","18","582","","0","564","18","582","13","569","47","60","8","14","2","198","0","8","3","226","2","0","1","28.10.12"
"440334","108","Луганська область","будинок культури ""Горняк"", зала урочистих засідань
вул.Леніна, 19, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","1926","764","1916","59","1119","43","1162","","0","1119","43","1162","21","1141","80","166","10","19","7","303","0","18","4","529","1","3","1","29.10.12"
"440335","108","Луганська область","КП ""ПЖКУ"" дільниці ""Еколог"", каб.1
вул.Охранна, 12, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","1122","435","1122","58","631","56","687","","0","631","56","687","10","677","63","136","6","9","4","154","0","12","1","286","4","1","1","29.10.12"
"440336","108","Луганська область","технікум ДонГТУ, хол, 1-й поверх
вул.Леніна, 47А, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","1860","797","1818","37","1031","32","1063","","0","1031","32","1063","31","1032","92","118","9","28","12","275","2","21","7","457","2","6","3","29.10.12"
"440337","108","Луганська область","профліцей №95, актова зала
вул.Кійкової Ж., 2а, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","594","231","635","22","341","22","363","","0","341","22","363","18","345","22","20","1","7","1","97","0","2","0","190","1","3","1","28.10.12"
"440338","108","Луганська область","школа №3, хол
вул.Кійкової Ж., 2, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","1044","413","1027","27","605","26","631","","0","605","26","631","13","618","35","89","4","17","2","136","1","7","2","315","3","7","0","29.10.12"
"440339","108","Луганська область","палац культури ім.Паркомуни, хол, 1-й поверх
вул.Іркутська, 1, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","1416","613","1395","35","775","28","803","","0","775","28","803","21","782","51","164","6","18","1","188","0","18","1","332","1","1","1","29.10.12"
"440340","108","Луганська область","клуб 2-Біс, хол, 1-й поверх
вул.Ольховська, 5, м.Перевальськ, Перевальський р-н, Луганська обл., 94300","672","287","667","51","338","47","385","","0","338","47","385","7","378","40","13","7","11","5","163","0","4","1","129","1","2","2","29.10.12"
"440341","108","Луганська область","школа №28, актова зала
вул.Леніна, 3А, с.Малоіванівка, Перевальський р-н, Луганська обл., 94332","582","166","574","55","366","50","416","","0","366","50","416","9","407","27","13","0","18","2","202","0","1","1","142","0","1","0","30.10.12"
"440342","108","Луганська область","школа №35, фойє
вул.Дівізіонна, 104, смт Чорнухине, Перевальський р-н, Луганська обл., 94340","1116","474","1111","62","587","55","642","","0","587","55","642","16","626","112","14","5","18","7","191","2","43","4","224","2","2","2","29.10.12"
"440343","108","Луганська область","селищна рада, зала засідань
вул.Леніна, 285, смт Чорнухине, Перевальський р-н, Луганська обл., 94340","1374","630","1369","55","694","50","744","","0","694","50","744","21","723","135","21","6","25","4","232","1","40","2","256","0","0","1","29.10.12"
"440344","108","Луганська область","школа №22, фойє, 1-й поверх
пров.Студенчеський, 1, смт Чорнухине, Перевальський р-н, Луганська обл., 94340","912","352","902","44","518","42","560","","0","518","42","560","11","549","82","85","6","12","4","171","0","24","1","162","1","1","0","29.10.12"
"440345","108","Луганська область","палац культури, вестибюль
пров.Клубний, 1, смт Чорнухине, Перевальський р-н, Луганська обл., 94340","1146","479","1135","33","637","30","667","","0","637","30","667","19","648","98","53","3","19","1","213","0","43","0","212","4","1","1","29.10.12"
"440346","108","Луганська область","будинок культури, фойє
вул.Кірова, 2, смт Ящикове, Перевальський р-н, Луганська обл., 94330","480","143","474","45","299","38","337","","0","299","38","337","2","335","13","2","1","1","0","280","0","1","0","36","0","1","0","02.11.12"
"440347","108","Луганська область","школа №15, спортивна зала
вул.Пушкіна, 2, смт Ящикове, Перевальський р-н, Луганська обл., 94330","972","380","967","52","541","51","592","","0","541","51","592","16","576","98","23","5","8","1","285","1","5","0","149","1","0","0","29.10.12"
"440348","108","Луганська область","сільська рада, зала засідань
вул.Совєтська, 8, с.Адріанопіль, Перевальський р-н, Луганська обл., 94333","264","59","268","44","169","36","205","","0","169","36","205","3","202","14","4","0","14","2","70","0","2","1","94","0","0","1","30.10.12"
"440349","108","Луганська область","школа №16, коридор рекреації
квартал Шкільний, 1, с-ще Карпати, Перевальський р-н, Луганська обл., 94312","528","162","522","6","362","4","366","","0","362","4","366","10","356","24","9","2","9","2","36","0","2","0","271","1","0","0","28.10.12"
"440350","108","Луганська область","Олексіївська гімназія ім. Б.Д.Грінченка, 2-й корпус, спортивна зала
вул.Шкільна, 1, смт Михайлівка, Перевальський р-н, Луганська обл., 94311","876","265","869","31","581","30","611","","0","581","30","611","16","595","87","39","6","39","6","75","2","18","1","308","5","5","4","29.10.12"
"440351","108","Луганська область","Олексіївська гімназія ім. Б.Д.Грінченка, 1-й корпус, їдальня
вул.Грінченка, 8А, смт Михайлівка, Перевалський р-н, Луганська обл., 94311","936","360","929","45","541","35","576","","0","541","35","576","28","548","43","155","7","22","4","119","3","1","2","188","2","1","1","29.10.12"
"440352","108","Луганська область","фельдшерсько-акушерський пункт, приймальня
вул.Лісогарівка, 1А, смт Михайлівка, Перевальський р-н, Луганська обл., 94311","288","71","291","28","190","27","217","","0","190","27","217","7","210","26","53","2","6","2","35","1","0","3","80","1","0","1","29.10.12"
"440353","108","Луганська область","будинок культури Україна, фойє, 1-й поверх
вул.50 лєт Октября, 1Д, с-ще Червоний Прапор, Перевальський р-н, Луганська обл., 94320","642","167","635","28","452","23","475","","0","452","23","475","5","470","20","3","2","13","1","303","1","6","1","117","0","3","0","28.10.12"
"440354","108","Луганська область","сільський клуб, глядацька зала
вул.Степна, 1, с.Оленівка, Перевальський р-н, Луганська обл., 94321","186","70","183","22","100","16","116","","0","100","16","116","2","114","14","2","1","18","1","25","0","1","1","46","0","0","5","29.10.12"
"440355","108","Луганська область","ПАТ Птахогосподарство ""Червоний Прапор"", кабінет бухгалтера
вул.Широка, 16, ПАТ Птахогосподарство ""Червоний Прапор"", с-ще Новий, Перевальський р-н, Луганська обл., 94320","144","22","147","3","119","3","122","","0","119","3","122","2","120","8","3","0","14","3","19","1","0","1","70","0","0","1","29.10.12"
