"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бебешко
Олександр
Миколайович","Горулько
Юлія
Олександрівна","Жученко
Олександр
Вікторович","Іванов
Дмитро
Валерійович","Кириченко
Микола
Єгорович","Лисянський
Павло
Леонідович","Саліхов
Артем
Романович","Чуб
Володимир
Євгенович","Дата підписання протоколу"
"440678","110","Луганська область","виправна колонія №13, кабінет начальника
вул.Матросова, 23, м.Алчевськ, Луганська обл., 94203","564","79","493","216","270","215","485","","0","270","215","485","16","469","5","1","9","3","3","6","4","438","28.10.12"
"440679","110","Луганська область","адміністративний корпус ДХК ""Луганськвуглеремонт"", актова зала
вул.Ростовська, 42Б, м.Антрацит, Луганська обл., 94601","1032","417","1025","74","554","61","615","","0","554","61","615","45","570","92","11","62","14","13","44","6","328","29.10.12"
"440680","110","Луганська область","школа №4, їдальня
вул.Молодіжна, 18, м.Антрацит, Луганська обл., 94601","984","466","978","42","478","40","518","","0","478","40","518","16","502","93","10","42","15","5","36","5","296","28.10.12"
"440681","110","Луганська область","КТ ""Мирян і Компанія"", авто-транспортне підприємство, фойє
вул.Пархоменка, 21, м.Антрацит, Луганська обл., 94601","930","423","916","47","468","39","507","","0","468","39","507","29","478","73","12","38","29","6","43","4","273","30.10.12"
"440682","110","Луганська область","ДП ""Антрацит"", фойє
вул.Ростовська, 38, м.Антрацит, Луганська обл., 94613","978","415","974","55","516","47","563","","0","516","47","563","39","524","97","9","68","22","9","35","5","279","29.10.12"
"440683","110","Луганська область","школа №2, актова зала, 2-й поверх
вул.Петровського, 41, м.Антрацит, Луганська обл., 94613","1194","503","1178","55","643","48","691","","0","643","48","691","55","636","125","7","79","14","8","41","12","350","29.10.12"
"440684","110","Луганська область","кінотеатр ім.Шевченка, фойє
вул.Петровського, 51А, м.Антрацит, Луганська обл., 94613","1224","518","1220","31","684","22","706","","0","684","22","706","69","637","114","6","151","24","7","33","9","293","29.10.12"
"440685","110","Луганська область","плавальний басейн, фойє
вул.Ілліча, 34, м.Антрацит, Луганська обл., 94613","1290","498","1268","41","756","36","792","","0","756","36","792","38","754","131","10","220","12","10","34","5","332","29.10.12"
"440686","110","Луганська область","ліцей №1, фойє
вул.Ілліча, ліцей №1, м.Антрацит, Луганська обл., 94613","1104","497","1089","20","590","17","607","","0","590","17","607","46","561","100","7","143","10","10","39","7","245","29.10.12"
"440687","110","Луганська область","школа №3, фойє
вул.Петровського, 142А, м.Антрацит, Луганська обл., 94613","1164","477","1127","36","661","26","687","","0","661","26","687","51","636","89","3","173","11","6","33","5","316","29.10.12"
"440688","110","Луганська область","будинок побуту, фойє, 2-й поверх
вул.Петровського, 34, м.Антрацит, Луганська обл., 94613","1050","496","1028","38","523","31","554","","0","523","31","554","41","513","91","8","45","19","15","36","7","292","29.10.12"
"440689","110","Луганська область","палац культури ім.Леніна, фойє
вул.Леніна, 12, м.Антрацит, Луганська обл., 94613","1494","742","1480","32","721","31","752","","0","721","31","752","51","701","140","12","83","23","16","57","7","363","29.10.12"
"440690","110","Луганська область","школа №1, їдальня
вул.Леніна, 10, м.Антрацит, Луганська обл., 94613","1464","660","1440","35","774","30","804","","0","774","30","804","33","771","106","4","212","39","10","48","10","342","29.10.12"
"440691","110","Луганська область","технікум, фойє
вул.Леніна, 26, м.Антрацит, Луганська обл., 94613","1440","615","1425","34","802","23","825","","0","802","23","825","50","775","146","9","131","55","16","23","13","382","29.10.12"
"440692","110","Луганська область","будівельний ліцей, актова зала
вул.Паркова, 15, м.Антрацит, Луганська обл., 94613","1188","530","1164","27","635","23","658","","0","635","23","658","48","610","90","11","66","16","12","48","9","358","29.10.12"
"440693","110","Луганська область","школа №5, вестибюль
вул.Паркова, 1, м.Антрацит, Луганська обл., 94613","1236","562","1218","17","662","12","674","","0","662","12","674","40","634","84","13","120","19","11","63","12","312","30.10.12"
"440694","110","Луганська область","дитячий дошкільний заклад №9, спальна кімната
вул.Молодогвардійська, 9, м.Антрацит, Луганська обл., 94611","1296","603","1288","28","669","24","693","","0","669","24","693","33","660","90","8","167","22","6","35","12","320","29.10.12"
"440695","110","Луганська область","палац культури ім.Леніна, фойє нової будівлі
вул.Леніна, 12, м.Антрацит, Луганська обл., 94613","1188","608","1164","27","554","26","580","","0","554","26","580","35","545","82","12","85","15","8","66","9","268","29.10.12"
"440696","110","Луганська область","приватний клуб ""Плутон"", фойє
вул.Калініна, 10А, м.Антрацит, Луганська обл., 94611","1080","511","1069","26","550","19","569","","0","550","19","569","29","540","52","3","163","13","1","52","8","248","29.10.12"
"440697","110","Луганська область","школа №19, каб.16
вул.Калініна, 6, м.Антрацит, Луганська обл., 94612","1146","602","1121","19","529","15","544","","0","529","15","544","29","515","80","5","76","17","8","41","3","285","28.10.12"
"440698","110","Луганська область","дошкільний дитячий заклад №13, медичний кабінет
вул.Калініна, 16, м.Антрацит, Луганська обл., 94612","1254","636","1225","19","600","18","618","","0","600","18","618","47","571","117","9","87","19","15","68","10","246","29.10.12"
"440699","110","Луганська область","дитячий дошкільний заклад №12, кабінет екології
вул.Калініна, 8А, м.Антрацит, Луганська обл., 94612","1176","514","1154","23","641","21","662","","0","641","21","662","22","640","95","4","222","14","8","37","1","259","29.10.12"
"440700","110","Луганська область","ДП ""Злагода"", актова зала
вул.Кальницької, ДП ""Злагода"", м.Антрацит, Луганська обл., 94612","1356","681","1337","25","655","20","675","","0","655","20","675","38","637","106","10","79","16","16","49","9","352","29.10.12"
"440701","110","Луганська область","гімназія №1, фойє, 1-й поверх
вул.Ткаленка, гімназія №1, м.Антрацит, Луганська обл., 94612","1380","605","1358","12","764","11","775","","0","764","11","775","33","742","82","8","291","19","5","53","8","276","29.10.12"
"440702","110","Луганська область","прибудова гімназії №1, танцювальний зал, 2-й поверх
вул.Ткаленка, прибудова гімназії №1, м.Антрацит, Луганська обл., 94612","1404","739","1370","11","658","7","665","","0","658","7","665","38","627","102","7","149","23","13","29","10","294","29.10.12"
"440703","110","Луганська область","КП ""Сільгосптехніка"", каб.2, 2-й поверх
вул.Комунальна, 57, м.Антрацит, Луганська обл., 94611","954","465","941","33","459","30","489","","0","459","30","489","31","458","75","14","54","20","7","33","6","249","29.10.12"
"440704","110","Луганська область","дільниця ""Теплокомуненерго"", фойє
вул.Тургенєва, 1, м.Антрацит, Луганська обл., 94611","792","462","765","24","311","19","330","","0","311","19","330","27","303","55","4","35","11","3","25","2","168","29.10.12"
"440705","110","Луганська область","Антрацитміжрайгаз, токарний цех
вул.Толстого, Антрацитміжрайгаз, м.Антрацит, Луганська обл., 94611","966","540","973","24","405","21","426","","0","405","21","426","33","393","93","3","24","18","7","28","4","216","29.10.12"
"440706","110","Луганська область","Вуглеавтоматика, актова зала
вул.Івана Франка, 56, м.Антрацит, Луганська обл., 94610","1494","655","1475","106","769","70","839","","0","769","70","839","52","787","169","8","84","29","15","38","9","435","29.10.12"
"440707","110","Луганська область","школа №15, кл.1
вул.Фадєєва, школа №15, м.Антрацит, Луганська обл., 94608","1386","610","1354","42","738","38","776","","0","738","38","776","30","746","135","13","64","16","12","26","6","474","29.10.12"
"440708","110","Луганська область","гірничий ліцей, фойє
вул.Говорова, 5, м.Антрацит, Луганська обл., 94605","1176","484","1167","77","620","72","692","","0","620","72","692","28","664","93","5","149","15","8","37","2","355","29.10.12"
"440709","110","Луганська область","школа №6, вестибюль
вул.Говорова, 1, м.Антрацит, Луганська обл., 94605","996","474","982","49","476","46","522","","0","476","46","522","33","489","73","6","118","14","12","19","3","244","29.10.12"
"440710","110","Луганська область","професійний ліцей, актова зала
вул.Урожайна, 1, м.Антрацит, Луганська обл., 94604","1272","470","1260","64","740","62","802","","0","740","62","802","56","746","99","19","148","23","12","36","11","398","29.10.12"
"440711","110","Луганська область","школа №8, фойє, 2-й поверх
вул.Стаханова, 1, м.Антрацит, Луганська обл., 94606","1590","601","1560","94","904","85","989","","0","904","85","989","67","922","186","10","59","26","13","47","16","565","29.10.12"
"440712","110","Луганська область","навчально-виховний комплекс №1, фойє, 2-й поверх
вул.Миру, 20А, м.Антрацит, Луганська обл., 94607","1278","527","1265","62","701","50","751","","0","701","50","751","40","711","121","11","55","20","13","21","7","463","29.10.12"
"440713","110","Луганська область","палац культури, фойє
вул.Миру, 22А, м.Антрацит, Луганська обл., 94607","1188","505","1176","50","643","40","683","","0","643","40","683","47","636","134","11","47","15","4","20","8","397","29.10.12"
"440714","110","Луганська область","школа №21, актова зала
вул.Папаніна, 1, м.Антрацит, Луганська обл., 94601","840","416","839","44","382","42","424","","0","382","42","424","27","397","70","3","18","24","4","20","5","253","29.10.12"
"440715","110","Луганська область","школа №14, к.6
вул.Тімошенка, школа №14, м.Антрацит, Луганська обл., 94609","648","243","641","29","380","25","405","","0","380","25","405","16","389","56","7","27","8","3","20","1","267","28.10.12"
"440716","110","Луганська область","будинок культури, зала для глядачів
вул.Переверзєва, 6, смт Боково-Платове, м.Антрацит, Луганська обл., 94625","1392","399","1382","92","907","86","993","","0","907","86","993","65","928","129","1","386","9","12","22","5","364","29.10.12"
"440717","110","Луганська область","школа №13, фойє
вул.Шевченка, 26, смт Боково-Платове, м.Антрацит, Луганська обл., 94625","870","382","859","64","431","57","488","","0","431","57","488","22","466","73","7","188","14","7","18","4","155","29.10.12"
"440718","110","Луганська область","школа №20, фойє, 1-й поверх
вул.Лісна, 1, с-ще Христофорівка Боково-Платівської селищної ради, м.Антрацит, Луганська обл., 94628","462","159","460","58","248","55","303","","0","248","55","303","9","294","54","2","17","8","7","6","1","199","28.10.12"
"440719","110","Луганська область","Щотівська селищна рада, фойє
вул.Леніна, 5, смт Щотове, м.Антрацит, Луганська обл., 94620","1176","527","1165","54","610","39","649","","0","610","39","649","50","599","139","19","71","21","16","20","5","308","29.10.12"
"440720","110","Луганська область","клуб смт Щотове, танцювальна зала
вул.Леніна, 10, смт Щотове, м.Антрацит, Луганська обл., 94620","1080","426","1060","80","593","61","654","","0","593","61","654","49","605","129","15","33","33","16","24","7","348","28.10.12"
"440721","110","Луганська область","школа № 12, фойє
вул.Першотравнева, 1, м.Антрацит, Луганська обл., 94620","1056","436","1026","61","566","54","620","","0","566","54","620","38","582","146","10","43","36","14","18","4","311","29.10.12"
"440722","110","Луганська область","клуб смт Кам’яне, зала для глядачів
вул.Шахтарська, 158, смт Кам’яне, м.Антрацит, Луганська обл., 94623","1104","538","1101","56","521","45","566","","0","521","45","566","30","536","83","11","61","21","13","24","5","318","29.10.12"
"440723","110","Луганська область","Кам’янська селищна рада, обрядова зала, 1-й поверх
вул.Шахтарська, 160, смт Кам’яне, м.Антрацит, Луганська обл., 94623","1176","547","1153","62","578","51","629","","0","578","51","629","30","599","107","13","103","9","26","33","10","298","29.10.12"
"440724","110","Луганська область","медичне училище, актова зала
вул.40 років Жовтня, 11Б, смт Кріпенський, м.Антрацит, Луганська обл., 94632","1116","528","1087","37","557","31","588","","0","557","31","588","44","544","149","13","59","20","11","50","3","239","29.10.12"
"440725","110","Луганська область","палац культури ім.Горького, танцювальна зала
вул.40 років Жовтня, палац культури ім.Горького, смт Кріпенський, м.Антрацит, Луганська обл., 94632","1218","561","1189","54","608","49","657","","0","608","49","657","34","623","115","14","48","21","12","35","4","374","29.10.12"
"440726","110","Луганська область","школа №9, фойє
вул.Леніна, 8, смт Кріпенський, м.Антрацит, Луганська обл., 94632","1110","589","1096","62","465","56","521","","0","465","56","521","37","484","145","7","42","11","10","21","2","246","29.10.12"
"440727","110","Луганська область","школа №17, фойє, 2-й поверх
вул.40 років Жовтня, 25А, смт Кріпенський, м.Антрацит, Луганська обл., 94632","1146","486","1141","47","613","47","660","","0","613","47","660","44","616","100","10","74","25","5","23","4","375","29.10.12"
"440728","110","Луганська область","адміністративно-побутовий комбінат шахти ""Кріпенська"", актова зала
вул.Більшовик, адміністративно-побутовий комбінат шахти ""Кріпенська"", смт Кріпенський, м.Антрацит, Луганська обл., 94632","702","285","701","34","385","32","417","","0","385","32","417","32","385","77","9","44","13","11","14","3","214","28.10.12"
"440729","110","Луганська область","Верхньонагольчицька селищна рада, актова зала
вул.Леніна, 1, смт Верхній Нагольчик, м.Антрацит, Луганська обл., 94630","1404","521","1391","86","809","74","883","","0","809","74","883","52","831","224","7","147","12","7","4","27","403","29.10.12"
"440730","110","Луганська область","школа №10, фойє
вул.Московська, 10, смт Дубівський, м.Антрацит, Луганська обл., 94637","1356","583","1349","59","721","52","773","","0","721","52","773","49","724","141","10","48","24","16","23","7","455","29.10.12"
"440731","110","Луганська область","будинок культури ""Дубівський"", фойє
вул.Миру, 10А, смт Дубівський, м.Антрацит, Луганська обл., 94637","936","342","930","51","543","51","594","","0","543","51","594","39","555","108","9","38","22","5","16","2","355","28.10.12"
"440732","110","Луганська область","клуб шахти ""Дружба"", актова зала
вул.Кірова, 17, смт Дубівський, м.Антрацит, Луганська обл., 94636","582","196","568","53","337","49","386","","0","337","49","386","16","370","27","7","17","9","5","16","3","286","29.10.12"
"440733","110","Луганська область","колишня школа №30, актова зала
вул.Мічуріна, 5, смт Дубівський, м.Антрацит, Луганська обл., 94608","246","43","242","20","184","19","203","","0","184","19","203","8","195","31","3","8","1","1","6","2","143","28.10.12"
"440734","110","Луганська область","школа №22, спортивна зала
вул.Горького, 72, с.Оріхове, м.Антрацит, Луганська обл., 94683","408","95","400","22","291","22","313","","0","291","22","313","12","301","46","5","13","8","21","10","1","197","28.10.12"
"440735","110","Луганська область","комунальна установа ""1-а міська лікарня"", дитяче інфекційне відділення, фойє, 2-й поверх
вул.Толстоусова, 1, м.Антрацит, Луганська обл., 94613","54","0","71","51","15","39","54","","0","15","39","54","0","54","11","2","8","3","0","1","2","27","28.10.12"
"440736","110","Луганська область","комунальна установа ""2-а міська лікарня"", палата 1
вул.Суворова, 2, смт Кріпенський, м.Антрацит, Луганська обл., 94632","54","26","28","0","28","0","28","","0","28","0","28","1","27","7","0","5","0","1","1","1","12","28.10.12"
"440737","110","Луганська область","Антрацитівська центральна районна лікарня, актова зала
вул.Говорова, 1, м.Антрацит, Луганська обл., 94605","54","37","18","4","14","3","17","","0","14","3","17","0","17","5","0","4","1","0","0","0","7","28.10.12"
