"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Демішкан
Володимир
Федорович","Запорожець
Іван
Іванович","Ільїнова
Лідія
Рефатівна","Кравченко
Ольга
Ігнатівна","Сивоконь
Тетяна
Семенівна","Черенков
Олександр
Павлович","Чудовський
Андрій
Ігорович","Штомпель
Віталій
Олександрович","Дата підписання протоколу"
"440514","114","Луганська область","дитячо-юнацька спортивна школа, спортивна зала
вул.Леніна, 26, смт Станиця Луганська, Станично-Луганський р-н, Луганська обл., 93600","1480","761","1460","51","682","37","719","","0","682","37","719","36","683","416","27","32","37","117","25","18","11","29.10.12"
"440515","114","Луганська область","будинок АТП, актова зала
вул.Горького, 66, смт Станиця Луганська, Станично-Луганський р-н, Луганська обл., 93600","1304","607","1280","36","669","28","697","","0","669","28","697","45","652","382","23","43","48","86","19","29","22","29.10.12"
"440516","114","Луганська область","школа №1, фойє
квартал Молодіжний, 19, смт Станиця Луганська, Станично-Луганський р-н, Луганська обл., 93601","2224","935","2194","69","1235","54","1289","","0","1235","54","1289","66","1223","821","47","48","59","163","20","28","37","29.10.12"
"440517","114","Луганська область","будинок культури, фойє
пров.Шкільний, 9, смт Станиця Луганська, Станично-Луганський р-н, Луганська обл., 93602","1624","922","1598","46","667","35","702","","0","667","35","702","20","682","476","23","23","37","85","9","11","18","28.10.12"
"440518","114","Луганська область","школа, фойє
вул.Шкільна, 1, смт Станиця Луганська, Станично-Луганський р-н, Луганська обл., 93602","1928","833","1902","74","1037","58","1095","","0","1037","58","1095","35","1060","751","35","30","57","126","17","24","20","31.10.12"
"440519","114","Луганська область","залізничний вокзал, фойє
вул.Піонерська, 36, смт Станиця Луганська, Станично-Луганський р-н, Луганська обл., 93602","1120","572","1133","17","531","17","548","","0","531","17","548","31","517","366","12","16","36","60","8","8","11","29.10.12"
"440520","114","Луганська область","лінійна поліклініка, актова зала
пров.Свердлова, 11, смт Станиця Луганська, Станично-Луганський р-н, Луганська обл., 93602","1112","574","1121","25","514","24","538","","0","514","24","538","24","514","350","17","33","30","56","6","13","9","29.10.12"
"440521","114","Луганська область","школа, фойє
вул.Радянська, 14, с.Миколаївка, Станично-Луганський р-н, Луганська обл., 93654","2120","808","2110","126","1234","78","1312","","0","1234","78","1312","91","1221","904","34","46","41","99","34","36","27","29.10.12"
"440522","114","Луганська область","будинок культури, фойє
вул.Донецька, 32А, с.Піонерське, Станично-Луганський р-н, Луганська обл., 93655","312","104","301","13","196","12","208","","0","196","12","208","13","195","124","10","15","13","18","8","5","2","29.10.12"
"440523","114","Луганська область","школа №2, фойє
вул.Миру, 67, с.Валуйське, Станично-Луганський р-н, Луганська обл., 93651","1232","569","1221","62","612","51","663","","0","612","51","663","40","623","396","27","20","46","92","10","18","14","29.10.12"
"440524","114","Луганська область","будинок культури, актова зала
вул.Совєтська, 274А, с.Валуйське, Станично-Луганський р-н, Луганська обл., 93650","2176","1071","2155","47","1066","39","1105","","0","1066","39","1105","73","1032","598","51","47","55","193","28","32","28","30.10.12"
"440525","114","Луганська область","заклад оздоровлення та відпочінку ""Берізка"", їдальня
вул.Чапаєва, 46А, с.Макарове, Станично-Луганський р-н, Луганська обл., 93652","1584","754","1554","29","803","27","830","","0","803","27","830","32","798","459","35","50","52","132","28","17","25","29.10.12"
"440526","114","Луганська область","залізничний вокзал, фойє
вул.Вокзальна, 1, с-ще Вільхове, Станично-Луганський р-н, Луганська обл., 93653","976","475","967","37","470","31","501","","0","470","31","501","28","473","310","19","24","33","44","16","13","14","29.10.12"
"440527","114","Луганська область","школа, фойє
вул.Шкільна, 50, с-ще Вільхове, Станично-Луганський р-н, Луганська обл., 93653","1528","749","1517","27","753","26","779","","0","753","26","779","45","734","451","25","32","56","97","23","26","24","29.10.12"
"440528","114","Луганська область","кафе-бар ""Чайка"", великий зал
квартал Молодіжний, 16, с.Валуйське, Станично-Луганський р-н, Луганська обл., 93651","480","221","460","14","246","13","259","","0","246","13","259","23","236","144","8","17","26","22","4","8","7","29.10.12"
"440529","114","Луганська область","будинок культури, великий зал
вул.Жовтнева, 53, с.Нижня Вільхова, Станично-Луганський р-н, Луганська обл., 93641","728","289","713","32","409","30","439","","0","409","30","439","17","422","319","13","7","12","40","7","14","10","29.10.12"
"440530","114","Луганська область","будинок культури, великий зал
площа Жовтневої Революції, 2, с.Верхня Вільхова, Станично-Луганський р-н, Луганська обл., 93642","456","210","444","16","230","16","246","","0","230","16","246","8","238","170","8","13","18","16","5","4","4","30.10.12"
"440531","114","Луганська область","школа, фойє
вул.Карла Маркса, 38А, с.Плотина, Станично-Луганський р-н, Луганська обл., 93643","528","224","516","25","280","24","304","","0","280","24","304","15","289","174","10","7","15","67","10","5","1","29.10.12"
"440532","114","Луганська область","школа, фойє
вул.Молодіжна, 5, с.Гарасимівка, Станично-Луганський р-н, Луганська обл., 93640","544","186","538","33","327","31","358","","0","327","31","358","18","340","255","11","8","14","40","4","6","2","28.10.12"
"440533","114","Луганська область","будинок культури, великий зал
вул.Дружби, 1, с.Комишне, Станично-Луганський р-н, Луганська обл., 93644","688","270","679","28","396","22","418","","0","396","22","418","11","407","288","10","9","31","50","9","6","4","28.10.12"
"440534","114","Луганська область","школа, фойє
вул.Водолазкіна, 13, с-ще Широкий, Станично-Луганський р-н, Луганська обл., 93624","1424","556","1408","44","828","40","868","","0","828","40","868","27","841","658","18","22","40","63","17","7","16","29.10.12"
"440535","114","Луганська область","будинок культури, великий зал
вул.Центральна, 43, с-ще Козачий, Станично-Луганський р-н, Луганська обл., 93626","288","128","282","9","152","8","160","","0","152","8","160","3","157","126","4","3","11","2","8","2","1","28.10.12"
"440536","114","Луганська область","будинок культури, великий зал
вул.Мира, 34А, с-ще Степове, Станично-Луганський р-н, Луганська обл., 93641","112","26","108","9","79","7","86","","0","79","7","86","4","82","59","3","2","4","7","1","0","6","28.10.12"
"440537","114","Луганська область","школа, фойє
вул.Шкільна, 1Б, с.Чугинка, Станично-Луганський р-н, Луганська обл., 93620","824","359","817","77","388","77","465","","0","388","77","465","24","441","282","24","18","36","55","10","8","8","28.10.12"
"440538","114","Луганська область","будинок культури, великий зал
вул.Набережна, 47А, с.Олександрівка, Станично-Луганський р-н, Луганська обл., 93620","248","115","244","43","95","38","133","","0","95","38","133","1","132","80","5","5","15","22","1","2","2","28.10.12"
"440539","114","Луганська область","сільська рада, фойє
вул.Шкільна, 2, с-ще Розквіт, Станично-Луганський р-н, Луганська обл., 93625","384","127","384","22","240","17","257","","0","240","17","257","6","251","212","5","8","9","10","3","2","2","28.10.12"
"440540","114","Луганська область","школа, фойє
проспект Перемоги, 1, с.Красна Талівка, Станично-Луганський р-н, Луганська обл., 93621","856","396","849","62","402","58","460","","0","402","58","460","32","428","249","46","24","21","71","1","12","4","29.10.12"
"440541","114","Луганська область","школа, фойє
пров.Клубний, 3, с-ще Талове, Станично-Луганський р-н, Луганська обл., 93623","320","118","312","12","191","11","202","","0","191","11","202","4","198","118","12","8","11","37","2","3","7","28.10.12"
"440542","114","Луганська область","будинок культури, великий зал
вул.Радянська, будинок культури, с.Благовіщенка, Станично-Луганський р-н, Луганська обл., 93623","256","133","264","2","121","2","123","","0","121","2","123","4","119","95","2","3","1","10","3","3","2","28.10.12"
"440543","114","Луганська область","школа, фойє
вул.Миру, 45, с.Тепле, Станично-Луганський р-н, Луганська обл., 93630","712","292","701","60","364","56","420","","0","364","56","420","10","410","284","10","7","26","61","14","4","4","28.10.12"
"440544","114","Луганська область","будинок культури, великий зал
вул.Центральна, 41, с.Верхній Мінченок, Станично-Луганський р-н, Луганська обл., 93631","496","170","490","64","269","57","326","","0","269","57","326","13","313","205","13","7","22","42","12","7","5","30.10.12"
"440545","114","Луганська область","школа, фойє
вул.Леніна, 1, с.Нижньотепле, Станично-Луганський р-н, Луганська обл., 93632","1528","583","1504","84","865","80","945","","0","865","80","945","42","903","571","28","27","37","184","16","24","16","29.10.12"
"440546","114","Луганська область","школа, фойє
вул.Сонячна, 48А, с.Артема, Станично-Луганський р-н, Луганська обл., 93632","536","198","526","16","323","15","338","","0","322","15","337","20","317","175","23","9","20","63","7","13","7","28.10.12"
"440547","114","Луганська область","школа №1, фойє
вул.Артема, 4, смт Петрівка, Станично-Луганський р-н, Луганська обл., 93613","1872","824","1847","103","954","94","1048","","0","954","94","1048","43","1005","543","40","26","35","274","37","36","14","29.10.12"
"440548","114","Луганська область","школа №2, фойє
вул.Кірова, 64А, смт Петрівка, Станично-Луганський р-н, Луганська обл., 93613","2312","1050","2288","120","1201","61","1262","","0","1201","61","1262","57","1205","760","45","38","54","194","30","65","19","29.10.12"
"440549","114","Луганська область","школа, фойє
вул.Радянська, 33, с.Войтове, Станично-Луганський р-н, Луганська обл., 93614","232","81","223","20","132","19","151","","0","132","19","151","2","149","92","3","9","13","17","5","4","6","28.10.12"
"440550","114","Луганська область","будинок культури, великий зал
вул.Советська, 43Б, с.Передільське, Станично-Луганський р-н, Луганська обл., 93615","808","200","803","42","570","38","608","","0","570","38","608","24","584","399","16","19","40","78","13","14","5","29.10.12"
"440551","114","Луганська область","магазин, великий зал
вул.Айдарська, 70Б, с.Старий Айдар, Станично-Луганський р-н, Луганська обл., 93616","176","63","174","11","104","9","113","","0","104","9","113","9","104","66","5","3","9","13","2","4","2","29.10.12"
"440552","114","Луганська область","школа, фойє
вул.Леніна, 1В, с.Червоний Жовтень, Станично-Луганський р-н, Луганська обл., 93612","776","256","761","33","487","33","520","","0","487","33","520","15","505","176","8","8","14","56","235","1","7","29.10.12"
"440553","114","Луганська область","будинок культури, великий зал
вул.Советська, 1, с.Михайлівка, Станично-Луганський р-н, Луганська обл., 93612","192","80","183","14","98","14","112","","0","98","14","112","4","108","57","1","3","8","20","13","5","1","29.10.12"
"440554","114","Луганська область","будинок культури, великий зал
вул.Леніна, 235, с.Велика Чернігівка, Станично-Луганський р-н, Луганська обл., 93611","1056","410","1040","84","570","76","646","","0","570","76","646","27","619","282","20","16","22","166","85","12","16","29.10.12"
"440555","114","Луганська область","будинок культури, великий зал
площа Миру, 4, с.Верхньобогданівка, Станично-Луганський р-н, Луганська обл., 93610","512","179","502","32","301","32","333","","0","301","32","333","6","327","168","3","4","9","15","119","6","3","31.10.12"
"440556","114","Луганська область","Станично-Луганське районне територіальне медичне об’єднання, хол, 1-й поверх
вул.5 Лінія, 39, смт Станиця Луганська, Станично-Луганський р-н, Луганська обл., 93600","224","149","82","8","67","8","75","","0","67","8","75","0","75","48","4","4","4","8","2","4","1","28.10.12"
