"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Баркасов
Олексій
Володимирович","Бондарєв
Віктор
Леонідович","Гайдей
Олександр
Петрович","Доровський
Юрій
Михайлович","Ільченко
Костянтин
Григорійович","Коваль
Олександр
Іванович","Степанець
Олена
Миколаївна","Дата підписання протоколу"
"000001","111","Луганська область","
вул.Субботіна, 85А, смт Дзержинський, м.Ровеньки, Луганська обл.","16","0","16","0","16","0","16","","0","16","0","16","2","14","1","1","4","2","0","6","0","28.10.12"
"440001","111","Луганська область","палац культури, хол
вул.Колгоспна, палац культури, с.Бобрикове, Антрацитівський р-н, Луганська обл., 94694","712","115","705","54","546","51","597","","0","546","51","597","17","580","4","46","29","15","2","474","10","29.10.12"
"440002","111","Луганська область","сільський клуб, хол
вул.Давиденка, сільський клуб, с.Вишневе, Антрацитівський р-н, Луганська обл., 94696","144","17","142","18","109","18","127","","0","109","18","127","6","121","2","17","21","0","2","75","4","28.10.12"
"440003","111","Луганська область","сільський клуб, актовий зал
вул.Пушкінська, сільський клуб, с.Єгорівка, Антрацитвський р-н, Луганська обл., 94690","160","12","154","12","136","12","148","","0","136","12","148","0","148","2","8","4","3","1","129","1","28.10.12"
"440004","111","Луганська область","сільський клуб, актовий зал
вул.Калініна, сільський клуб, с.Клуникове, Антрацитівський р-н, Луганська обл., 94694","96","9","98","7","80","7","87","","0","80","7","87","0","87","0","8","6","0","0","72","1","28.10.12"
"440005","111","Луганська область","сільський клуб, актовий зал
вул.Буданової, сільський клуб, с.Новокраснівка, Антрацитівський р-н, Луганська обл., 94694","168","31","161","11","126","11","137","","0","126","11","137","3","134","0","11","9","1","0","111","2","28.10.12"
"440006","111","Луганська область","будинок культури, фойє
пл.Леніна, 10, с.Дякове, Антрацитівський р-н, Луганська обл., 94690","2120","895","2081","109","1147","78","1225","","0","1147","78","1225","37","1188","25","230","128","30","4","746","25","29.10.12"
"440007","111","Луганська область","фельдшерський пункт, к.1
вул.Октябрська, фельдшерський пункт, с.Червоний Жовтень, Антрацитівський р-н, Луганська обл., 94690","72","27","71","4","41","4","45","","0","41","4","45","2","43","0","8","4","1","1","29","0","28.10.12"
"440008","111","Луганська область","селищна рада, зал засідань
вул.Переверзєва, 6А, смт Єсаулівка, Антрацитівський р-н, Луганська обл., 94684","1152","381","1135","80","691","80","771","","0","691","80","771","29","742","10","56","122","23","9","507","15","28.10.12"
"440014","111","Луганська область","будинок культури, фойє
вул.Пролетарська, 10В, с-ще Кошари, Антрацитівський р-н, Луганська обл., 94681","672","236","660","33","403","33","436","","0","403","33","436","7","429","7","66","72","13","2","261","8","29.10.12"
"440021","111","Луганська область","сільський клуб, глядацька зала
вул.Центральна, сільський клуб, с.Микитівка, Антрацитівський р-н, Луганська обл., 94640","232","70","221","15","148","14","162","","0","148","14","162","3","159","9","18","13","4","2","109","4","28.10.12"
"440022","111","Луганська область","досуговий центр, актовий зал
вул.Комсомольська, 5, смт Нижній Нагольчик, Антрацитівський р-н, Луганська обл., 94686","1264","399","1245","82","787","78","865","","0","787","78","865","29","836","17","59","149","15","0","580","16","28.10.12"
"440023","111","Луганська область","сільська рада, актовий зал
вул.Підлісна, 27А, с.Рафайлівка, Антрацитівський р-н, Луганська обл, 94682","864","264","849","66","535","65","600","","0","535","65","600","20","580","11","121","72","5","4","365","2","28.10.12"
"440024","111","Луганська область","сільський клуб, актовий зал
вул.Гагаріна, 18, с.Леськине, Антрацитівський р-н, Луганська обл., 94682","248","90","239","9","150","8","158","","0","150","8","158","4","154","0","20","22","6","0","102","4","28.10.12"
"440025","111","Луганська область","сільський клуб, фойє
вул.Дзержинського, сільський клуб, с.Ребрикове, Антрацитівський р-н, Луганська обл., 94665","712","232","703","28","457","23","480","","0","457","23","480","24","456","11","96","99","8","6","212","24","28.10.12"
"440026","111","Луганська область","сільський клуб, фойє
вул.Степанова, сільський клуб, с.Картушине, Антрацитівський р-н, Луганська обл., 94666","664","178","658","30","456","30","486","","0","456","30","486","12","474","6","101","100","7","5","249","6","28.10.12"
"440027","111","Луганська область","фельдшерський пункт, к.1
вул.Поштова, фельдшерський пункт, с.Мечетка, Антрацитівський р-н, Луганська обл., 94667","360","93","355","31","236","31","267","","0","236","31","267","10","257","5","33","34","6","0","176","3","28.10.12"
"440029","111","Луганська область","будинок культури, хол
вул.Первомайська, 6А, с.Червона Поляна, Антрацитівський р-н, Луганська обл., 94660","1312","455","1281","82","775","82","857","","0","775","82","857","27","830","24","99","101","14","1","577","14","28.10.12"
"440030","111","Луганська область","навчально-виховний комплекс, хол
вул.Первомайська, 12, с.Червона Поляна, Антрацитівський р-н, Луганська обл., 94660","1136","384","1102","87","675","77","752","","0","675","77","752","21","731","23","85","77","7","6","515","18","29.10.12"
"440031","111","Луганська область","фельдшерський пункт, к.2
вул.Центральна, фельдшерський пункт, с.Зеленодільське, Антрацитівський р-н, Луганська обл., 94663","152","43","148","7","102","7","109","","0","102","7","109","3","106","0","31","11","1","0","61","2","28.10.12"
"440032","111","Луганська область","сільський клуб, хол
вул.Пролетарська, сільський клуб, с-ще Ковпакове, Антрацитівський р-н, Луганська обл., 94664","408","101","397","27","280","27","307","","0","280","27","307","7","300","8","40","60","4","0","181","7","28.10.12"
"440033","111","Луганська область","фельдшерський пункт, к.2
вул.Вокзальна, фельдшерський пункт, с-ще Ковпакове, Антрацитівський р-н, Луганська обл., 94664","152","30","157","13","109","13","122","","0","109","13","122","3","119","2","6","19","1","0","89","2","29.10.12"
"440034","111","Луганська область","будинок-інтернат, актовий зал
вул.Лісна, 1, с-ще Ковпакове, Антрацитівський р-н, Луганська обл., 94664","264","3","268","149","114","147","261","","0","114","147","261","27","234","2","13","6","2","0","208","3","28.10.12"
"441016","111","Луганська область","будинок культури імені Шевченка, фойє, 1-й поверх
вул.Алмазна, 8, м.Ровеньки, Луганська обл., 94706","2376","1104","2343","91","1192","80","1272","","0","1192","80","1272","68","1204","16","279","354","29","22","467","37","29.10.12"
"441017","111","Луганська область","групова збагачувальна фабрика ""Ровеньківська"", актова зала
групова збагачувальна фабрика ""Ровеньківська"", м.Ровеньки, Луганська обл., 94706","880","370","872","31","483","27","510","","0","483","27","510","22","488","10","112","138","9","3","199","17","29.10.12"
"441018","111","Луганська область","бібліотека, читацька зала
вул.Ціолковського, 19, м.Ровеньки, Луганська обл., 94706","560","182","560","42","338","40","378","","0","338","40","378","12","366","6","55","83","2","16","200","4","28.10.12"
"441019","111","Луганська область","нова будівля школи №6, фойє, 1-й поверх
вул.Чехова, нова будівля школи №6, м.Ровеньки, Луганська обл., 94703","2392","1073","2348","77","1263","56","1319","","0","1263","56","1319","39","1280","20","308","270","17","11","611","43","29.10.12"
"441020","111","Луганська область","стара будівля школи №6, фойє, 2-й поверх
вул.Чехова, стара будівля школи №6, м.Ровеньки, Луганська обл., 94703","2416","1092","2383","59","1265","59","1324","","0","1265","59","1324","59","1265","31","311","191","23","13","653","43","28.10.12"
"441021","111","Луганська область","ремонтно-будівельна дільниця, актова зала
вул.Чехова, 1, м.Ровеньки, Луганська обл., 94703","2320","1067","2288","72","1196","57","1253","","0","1196","57","1253","51","1202","30","306","218","28","13","574","33","29.10.12"
"441022","111","Луганська область","Ровеньківська вечірня школа, актова зала
вул.Комуністична, 9, м.Ровеньки, Луганська обл., 94701","1896","876","1880","62","962","58","1020","","0","962","58","1020","45","975","18","237","178","37","12","473","20","29.10.12"
"441023","111","Луганська область","""Ровенькивантажтранс"", актова зала
вул.Капанеллі, 3, м.Ровеньки, Луганська обл., 94701","1768","729","1745","57","997","42","1039","","0","997","42","1039","39","1000","16","228","198","18","12","474","54","29.10.12"
"441024","111","Луганська область","гімназія №1, вестибюль, 1-й поверх
вул.Комуністична, 5, м.Ровеньки, Луганська обл., 94701","960","418","951","25","521","21","542","","0","521","21","542","23","519","6","132","74","20","4","264","19","29.10.12"
"441025","111","Луганська область","управління матеріально-технічного забезпечення, актова зала, 2-й поверх
вул.Енгельса, 8, м.Ровеньки, Луганська обл., 94701","1496","773","1462","40","692","31","723","","0","692","31","723","24","699","9","194","127","16","5","325","23","29.10.12"
"441026","111","Луганська область","школа №5, фойє, 2-й поверх
вул.Леніна, школа №5, м.Ровеньки, Луганська обл., 94701","928","317","916","47","567","44","611","","0","567","44","611","18","593","5","130","137","20","5","278","18","29.10.12"
"441027","111","Луганська область","палац культури імені Горького, фойє, 1-й поверх
вул.Леніна, 112, м.Ровеньки, Луганська обл., 94701","1432","654","1419","40","750","28","778","","0","750","28","778","30","748","8","177","127","21","11","380","24","29.10.12"
"441028","111","Луганська область","гімназія імені Трублаїні, актова зала, 1-й поверх
вул.Карла Маркса, 153, м.Ровеньки, Луганська обл., 94701","720","315","721","44","369","36","405","","0","369","36","405","12","393","2","104","61","9","7","200","10","29.10.12"
"441029","111","Луганська область","будинок-інтернат для людей похилого віку, бібліотека, 1-й поверх
вул.Лісна, 1, м.Ровеньки, Луганська обл., 94701","192","10","199","96","100","82","182","","0","100","82","182","6","176","0","29","5","2","1","138","1","29.10.12"
"441030","111","Луганська область","будівля фермерського господарства ""Олімп-10-3000"", фойє
фермерське господарство ""Олімп-10-3000"", м.Ровеньки, Луганська обл., 94702","1360","648","1333","32","680","32","712","","0","680","32","712","35","677","11","142","123","18","4","362","17","28.10.12"
"441031","111","Луганська область","школа №2, фойє, 1-й поверх
вул.Молодіжна, 48, м.Ровеньки, Луганська обл., 94702","2176","985","2145","50","1147","44","1191","","0","1146","44","1190","38","1152","16","296","211","30","9","563","27","29.10.12"
"441032","111","Луганська область","ЗАТ ""Ровеньківський пивзавод"", актова зала
вул.Шевченка, 38, м.Ровеньки, Луганська обл., 94701","1240","556","1216","27","662","22","684","","0","662","22","684","34","650","11","136","106","18","4","354","21","29.10.12"
"441033","111","Луганська область","міський комітет ТСО України, актова зала
вул.Українська, 5А, м.Ровеньки, Луганська обл., 94707","1920","920","1904","65","943","57","1000","","0","943","57","1000","46","954","10","253","131","27","6","491","36","29.10.12"
"441034","111","Луганська область","кафе ""Світанок"", фойє
вул.Тимирязєва, 3, м.Ровеньки, Луганська обл., 94701","1088","468","1083","38","589","31","620","","0","589","31","620","33","587","7","125","132","8","3","303","9","28.10.12"
