"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Белик
Дмитро
Анатолійович","Богатиренко
Сергій
Васильович","Варданідзе
Людмила
Іванівна","Голік
Олександр
Олексійович","Донець
Григорій
Григорович","Єрмаков
Іван
Федосович","Кондратевський
Сергій
Михайлович","Лебедєв
Павло
Валентинович","Рибаков
Микола
Сергійович","Тюлєнєв
Сергій
Анатолійович","Дата підписання протоколу"
"850052","224","м.Севастополь","Гагарінська районна Рада, зал засідань
просп.Октябрьської революції, 8, м.Севастополь, 99038","2460","1246","2444","35","1185","29","1214","","0","1185","29","1214","40","1174","411","180","15","12","8","35","20","400","41","52","29.10.12"
"850053","224","м.Севастополь","дитячий садок №131, зал засідань
просп.Октябрьської революції, 36, м.Севастополь, 99038","2472","1203","2451","12","1257","12","1269","","0","1257","12","1269","33","1236","556","164","15","7","9","23","13","382","25","42","29.10.12"
"850054","224","м.Севастополь","гімназія №2, зал засідань №1
просп.Октябрьської революції, 31А, м.Севастополь, 99057","2082","913","2052","33","1146","23","1169","","0","1146","23","1169","41","1128","457","191","11","3","10","19","8","368","30","31","28.10.12"
"850055","224","м.Севастополь","торгівельно-кулінарний ліцей, зал засідань
просп.Октябрьської революції, 89, м.Севастополь, 99038","2436","1023","2414","44","1373","40","1413","","0","1373","40","1413","48","1365","472","198","15","1","13","21","27","547","33","38","29.10.12"
"850056","224","м.Севастополь","гімназія №2, зал засідань №2
просп.Октябрьської революції, 31А, м.Севастополь, 99057","2322","1071","2302","17","1238","13","1251","","0","1238","13","1251","35","1216","677","152","6","2","11","23","9","264","28","44","28.10.12"
"850057","224","м.Севастополь","жіноча консультація №1, зал засідань
вул.Адмірала Юмашева, 4А, м.Севастополь, 99057","1698","857","1678","6","838","3","841","","0","837","3","840","20","820","430","97","12","2","6","17","11","207","12","26","29.10.12"
"850058","224","м.Севастополь","дитячий садок №125, зал засідань
просп.Октябрьської революції, 58, м.Севастополь, 99057","2448","1222","2418","17","1211","15","1226","","0","1211","15","1226","27","1197","581","137","7","5","6","9","19","359","26","48","29.10.12"
"850059","224","м.Севастополь","школа №23, зал засідань №1
вул.Степаняна, 13, м.Севастополь, 99038","2226","1206","2213","3","1017","3","1020","","0","1017","3","1020","17","1003","333","133","8","10","8","19","10","385","42","55","29.10.12"
"850060","224","м.Севастополь","школа №23, зал засідань №2
вул.Степаняна, 13, м.Севастополь, 99038","2316","1090","2292","37","1195","31","1226","","0","1195","31","1226","34","1192","351","171","11","5","13","14","16","520","39","52","29.10.12"
"850061","224","м.Севастополь","центр професійної підготовки, зал засідань
вул.Степаняна, 2, м.Севастополь, 99038","2262","1115","2246","22","1130","17","1147","","0","1130","17","1147","34","1113","342","139","6","2","2","17","9","516","26","54","28.10.12"
"850062","224","м.Севастополь","товариство ""Ріанта"", зал засідань
вул.Косарева Александра, 1, м.Севастополь, 99006","2310","1284","2296","5","1022","4","1026","","0","1022","4","1026","24","1002","281","117","9","7","10","14","21","462","31","50","29.10.12"
"850063","224","м.Севастополь","школа №37, зал засідань №1
просп.Октябрьської революції, 54, м.Севастополь, 99038","2406","1142","2448","15","1252","12","1264","","0","1252","12","1264","45","1219","390","193","10","6","9","24","23","429","65","70","29.10.12"
"850064","224","м.Севастополь","школа №37, зал засідань №2
просп.Октябрьської революції, 54, м.Севастополь, 99038","2400","1290","2365","30","1086","24","1110","","0","1086","24","1110","35","1075","284","166","9","6","4","23","29","436","54","64","28.10.12"
"850065","224","м.Севастополь","школа №58, зал засідань №1
вул. Кесаєва Астана, 11, м.Севастополь, 99038","2412","1239","2379","8","1165","8","1173","","0","1165","8","1173","35","1138","321","126","16","6","15","23","29","469","73","60","29.10.12"
"850066","224","м.Севастополь","школа №58, зал засідань №2
вул. Кесаєва Астана, 11, м.Севастополь, 99038","2436","1208","2428","15","1216","12","1228","","0","1216","12","1228","39","1189","403","170","11","7","9","17","21","429","59","63","29.10.12"
"850067","224","м.Севастополь","школа №57, зал засідань №1
вул.Шевченко Тараса, 19, м.Севастополь, 99006","2490","1215","2452","18","1258","17","1275","","0","1258","17","1275","31","1244","358","176","6","8","9","28","33","518","45","63","29.10.12"
"850068","224","м.Севастополь","школа №57, зал засідань №2
вул.Шевченко Тараса, 19, м.Севастополь, 99006","2490","1179","2483","10","1302","9","1311","","0","1302","9","1311","47","1264","337","150","11","5","10","36","26","538","67","84","29.10.12"
"850069","224","м.Севастополь","школа №61, зал засідань №1
вул.Косарева Александра, 12, м.Севастополь, 99006","2430","1349","2397","7","1075","6","1081","","0","1075","6","1081","29","1052","318","129","10","2","3","36","30","382","66","76","29.10.12"
"850070","224","м.Севастополь","школа №61, зал засідань №2
вул.Косарева Александра, 12, м.Севастополь, 99006","2496","1314","2464","6","1179","3","1182","","0","1179","3","1182","33","1149","302","114","8","3","6","34","30","559","37","56","29.10.12"
"850071","224","м.Севастополь","школа №29, зал засідань
вул.Чайкіної Лізи, 80, м.Севастополь, 99053","2184","1221","2161","11","955","8","963","","0","955","8","963","34","928","248","139","6","6","10","19","23","426","30","21","29.10.12"
"850072","224","м.Севастополь","університет ім.В.І.Вернадського, зал засідань
вул.Чайкіної Лізи, 80, м.Севастополь, 99053","1992","1032","1978","35","930","30","960","","0","930","30","960","26","934","195","196","4","6","11","14","18","416","34","40","29.10.12"
"850073","224","м.Севастополь","центр зайнятості, зал засідань
вул.Руднева, 40, м.Севастополь, 99053","2232","1000","2194","35","1210","22","1232","","0","1210","22","1232","36","1196","311","282","5","2","20","18","19","458","39","42","28.10.12"
"850074","224","м.Севастополь","гуманітарний університет, зал засідань
просп.Гагаріна, 13, м.Севастополь, 99028","2466","1201","2448","48","1221","44","1265","","0","1221","44","1265","35","1230","308","218","6","7","13","19","21","563","33","42","28.10.12"
"850075","224","м.Севастополь","гімназія №24, зал засідань
вул.Вакуленчука, 7, м.Севастополь, 99053","1938","861","1921","13","1065","12","1077","","0","1065","12","1077","34","1043","266","202","8","5","25","14","15","439","29","40","29.10.12"
"850076","224","м.Севастополь","школа №34, зал засідань №1
вул.Ульянова Дмітрія, 12, м.Севастополь, 99045","1368","618","1359","21","735","15","750","","0","735","15","750","29","721","208","182","17","2","12","9","8","233","22","28","29.10.12"
"850077","224","м.Севастополь","академія водного транспорту, зал засідань
вул.Репіна, 3, м.Севастополь, 99045","2094","1053","2065","14","1029","12","1041","","0","1028","12","1040","31","1009","288","193","4","2","21","13","13","405","25","45","28.10.12"
"850078","224","м.Севастополь","школа №34, зал засідань №2
вул.Ульянова Дмітрія, 12, м.Севастополь, 99045","2482","1125","2458","40","1325","32","1357","","0","1325","32","1357","42","1315","375","324","6","3","22","14","13","477","28","53","28.10.12"
"850079","224","м.Севастополь","університет СевНТУ, зал засідань
вул.Університетська, 29, м.Севастополь, 99053","948","454","971","0","494","0","494","","0","494","0","494","11","483","27","32","4","4","6","6","1","359","21","23","28.10.12"
"850080","224","м.Севастополь","клуб Академії ім.П.С.Нахімова, зал засідань
вул.Дибенко Павла, 1а, м.Севастополь, 99028","2388","1125","2443","16","1247","16","1263","","0","1247","16","1263","56","1207","229","130","14","16","14","48","22","581","87","66","29.10.12"
"850081","224","м.Севастополь","школа №35, зал засідань
вул.Гавена, 20, м.Севастополь, 99028","2142","969","2222","32","1147","26","1173","","0","1147","26","1173","34","1139","254","169","18","17","24","25","23","507","49","53","28.10.12"
"850082","224","м.Севастополь","технічний навчальний заклад, зал засідань
вул.Єфремова, 2, м.Севастополь, 99028","1692","842","1666","39","815","35","850","","0","815","35","850","26","824","227","163","6","2","12","12","18","341","16","27","29.10.12"
"850083","224","м.Севастополь","Севастопольський геріатричний будинок-інтернат, зал засідань
Фіолентовське шосе, 3, м.Севастополь, 99014","198","41","193","33","131","26","157","","0","131","26","157","7","150","8","32","2","4","2","3","3","89","3","4","28.10.12"
"850084","224","м.Севастополь","Севастопольський протитуберкульозний диспансер, зал засідань
Фіолентовське шосе, 17, м.Севастополь, 99014","468","437","41","0","31","0","31","","0","31","0","31","0","31","4","6","0","0","0","2","1","16","0","2","28.10.12"
"850085","224","м.Севастополь","Севастопольський пологовий будинок №1, кабінет ДВК
просп.Гагаріна, 17В, м.Севастополь, 99028","126","107","22","0","19","0","19","","0","19","0","19","0","19","3","3","0","0","0","0","1","9","1","2","28.10.12"
"850086","224","м.Севастополь","Севастопольська міська лікарня №2, зал засідань
вул.Єрошенко, 15, м.Севастополь, 99045","90","43","71","0","47","0","47","","0","47","0","47","1","46","11","14","0","0","0","1","2","14","1","3","28.10.12"
"850087","224","м.Севастополь","військово-медичний клінічний центр кримського регіону, зал засідань
бухта Омега, м.Севастополь, 99059","480","413","89","15","59","8","67","","0","59","8","67","2","65","14","11","1","1","2","2","4","24","3","3","28.10.12"
"850120","224","м.Севастополь","дошкільний навчальний заклад №118, кабінет підсобний
вул.Хрустальова, 95, м.Севастополь, 99040","1530","735","1517","15","784","11","795","","0","784","11","795","27","768","276","141","12","7","2","12","11","256","20","31","28.10.12"
"850121","224","м.Севастополь","дитячий навчальний заклад №114, музичний зал, 2-й поверх
вул.Хрустальова, 77, м.Севастополь, 99040","1686","797","1675","25","871","18","889","","0","871","18","889","34","855","306","153","7","8","6","17","11","279","38","30","29.10.12"
"850122","224","м.Севастополь","гімназія №7, хол, 1-й поверх
вул.Хрустальова, 71, м.Севастополь, 99040","1770","855","1750","13","906","9","915","","0","906","9","915","35","880","274","157","15","2","5","17","10","342","27","31","28.10.12"
"850131","224","м.Севастополь","школа №38, хол, 1-й поверх
вул.Хрустальова, 137А, м.Севастополь, 99055","2508","1365","2508","36","1119","24","1143","","0","1119","24","1143","23","1120","313","183","10","10","6","22","28","462","39","47","29.10.12"
"850132","224","м.Севастополь","школа №38, хол, 1-й поверх
вул.Хрустальова, 137А, м.Севастополь, 99055","1452","679","1441","19","756","17","773","","0","756","17","773","25","748","186","108","15","1","5","6","15","358","25","29","29.10.12"
"850133","224","м.Севастополь","дитячий навчальний заклад №122, музичний зал, 1-й поверх
вул.Хрустальова, 119, м.Севастополь, 99040","1998","926","1995","23","1055","17","1072","","0","1055","17","1072","35","1037","359","179","7","6","10","18","18","357","40","43","29.10.12"
"850134","224","м.Севастополь","дитячий навчальний заклад №122, спортивний зал, 1-й поверх
вул.Хрустальова, 119, м.Севастополь, 99055","1896","1029","1892","38","841","26","867","","0","841","26","867","40","827","239","166","11","5","5","9","13","319","27","33","28.10.12"
"850135","224","м.Севастополь","Торгівельно-розважальний комплекс ""Глобус"", каб.1, цокольний поверх
просп.Генерала Острякова, 158А, м.Севастополь, 99055","2010","1166","1958","20","829","15","844","","0","828","15","843","31","812","244","110","8","8","3","17","15","321","51","35","29.10.12"
